"dates","BA.Open","BA.High","BA.Low","BA.Close","BA.Volume","BA.Adjusted"
"2013-02-14",74.690002,75.309998,74.540001,74.93,3830400,63.193882
"2013-02-15",75.260002,75.260002,74.720001,75.029999,3650700,63.278206
"2013-02-19",74.989998,75.190002,74.269997,74.650002,3882500,62.95776
"2013-02-20",75.639999,76.25,74.75,74.779999,7551300,63.067394
"2013-02-21",74.959999,76.18,74.910004,76.010002,7438600,64.104721
"2013-02-22",76.699997,77.029999,76.480003,76.660004,5391200,64.652901
"2013-02-25",76.830002,76.900002,75.029999,75.029999,4936300,63.278206
"2013-02-26",75.43,75.910004,75.139999,75.650002,3436700,63.801105
"2013-02-27",75.529999,77.93,75.529999,77.360001,7160000,65.243279
"2013-02-28",77.239998,77.730003,76.400002,76.900002,5593400,64.855339
"2013-03-01",76.699997,77.589996,76.580002,77.279999,6024200,65.175812
"2013-03-04",76.949997,77.400002,76.169998,77.089996,4748600,65.015572
"2013-03-05",77.449997,78.849998,77.110001,78.660004,5693200,66.339653
"2013-03-06",78.669998,79.279999,78.489998,79.080002,3826100,66.693871
"2013-03-07",79.370003,81.949997,79.370003,81.050003,10029900,68.355316
"2013-03-08",81.160004,81.699997,80.720001,81.230003,5231700,68.507133
"2013-03-11",81.010002,83.029999,80.959999,82.940002,5087300,69.94928
"2013-03-12",83.099998,84.620003,83,84.160004,6600800,70.978218
"2013-03-13",84.379997,84.849998,83.519997,84.75,7750900,71.4758
"2013-03-14",84.620003,85.099998,84.129997,84.620003,5027800,71.366158
"2013-03-15",84.75,86.489998,84.5,86.43,8205400,72.89267
"2013-03-18",85.07,85.769997,85.040001,85.18,4803900,71.838463
"2013-03-19",85.529999,86,85.239998,85.510002,5381200,72.11676
"2013-03-20",85.849998,86.139999,85.18,85.370003,3783500,71.998703
"2013-03-21",85.199997,85.830002,84.18,84.330002,3672400,71.121597
"2013-03-22",84.519997,85.099998,84.519997,84.82,2841600,71.534828
"2013-03-25",85.029999,85.480003,84.339996,84.849998,3528400,71.560158
"2013-03-26",85.43,86.839996,85.410004,86.620003,5083400,73.052917
"2013-03-27",85.75,86.419998,85.050003,86.199997,3185700,72.698692
"2013-03-28",86.410004,86.5,85.419998,85.849998,4884300,72.403496
"2013-04-01",85.599998,86.190002,85.029999,85.25,2867200,71.897491
"2013-04-02",85.389999,85.5,83.800003,84.089996,4764900,70.919174
"2013-04-03",84.300003,85.349998,84.07,84.360001,3885000,71.146889
"2013-04-04",84.790001,85.019997,84.209999,84.949997,3352500,71.644485
"2013-04-05",84.07,86.300003,83.910004,86.169998,6109500,72.673378
"2013-04-08",86.040001,86.809998,85.379997,86.75,5003600,73.162537
"2013-04-09",87.120003,87.489998,86.190002,87.209999,6058400,73.550484
"2013-04-10",87.339996,88.559998,87.059998,87.82,4635200,74.064941
"2013-04-11",87.959999,89.459999,87.839996,88.529999,5394200,74.663757
"2013-04-12",88.290001,88.93,88,88.889999,2588300,74.967361
"2013-04-15",88.440002,88.769997,86.769997,86.769997,4324000,73.179413
"2013-04-16",87.449997,88.349998,86.43,86.889999,5233900,73.280617
"2013-04-17",86.470001,87,85.779999,86.690002,3781100,73.111931
"2013-04-18",87.059998,87.160004,85.75,86.120003,2792800,72.63121
"2013-04-19",87.57,88.080002,86.57,87.959999,6322200,74.183014
"2013-04-22",88.080002,88.080002,86.440002,86.940002,4248700,73.322769
"2013-04-23",87.349998,88.510002,87.199997,88.18,3130700,74.368546
"2013-04-24",91.949997,92.650002,90.419998,90.830002,9231700,76.603516
"2013-04-25",91.349998,92.620003,90.07,91.669998,5766100,77.311928
"2013-04-26",91.889999,93.379997,91.669998,92.849998,5910600,78.307114
"2013-04-29",91.400002,92.410004,91.190002,91.900002,6265900,77.505905
"2013-04-30",91.349998,91.989998,90.82,91.410004,4714300,77.092659
"2013-05-01",91.080002,91.75,90.720001,91.18,4567300,76.898659
"2013-05-02",91.239998,92.82,91.199997,92.209999,4514800,77.767357
"2013-05-03",92.849998,93.949997,92.669998,93.739998,4700100,79.057709
"2013-05-06",93.440002,94.790001,93.360001,94.190002,5504800,79.437241
"2013-05-07",94.309998,95.040001,94.059998,94.790001,3858400,79.943245
"2013-05-08",94.309998,94.440002,93.769997,94.040001,3204300,79.71862
"2013-05-09",94.07,95.150002,94.040001,94.610001,3677500,80.201797
"2013-05-10",94.75,94.989998,93.82,94.239998,3918600,79.888161
"2013-05-13",94.120003,95.160004,94.099998,94.760002,3492000,80.328964
"2013-05-14",94.919998,96.190002,94.699997,96.110001,4646500,81.473358
"2013-05-15",95.690002,97.470001,95.599998,97.019997,4875100,82.244781
"2013-05-16",96.889999,97.199997,96.300003,96.580002,5036700,81.87178
"2013-05-17",97.019997,99.040001,97,98.919998,7408900,83.855431
"2013-05-20",99.120003,99.330002,98.519997,98.720001,6535200,83.685898
"2013-05-21",98.589996,99.050003,97.900002,98.75,4415400,83.711311
"2013-05-22",98.860001,99.480003,97.860001,97.93,8399700,83.016212
"2013-05-23",97.18,99.989998,97.059998,99.75,6975700,84.559036
"2013-05-24",99.75,100.580002,98.849998,100,6746300,84.77095
"2013-05-28",100.849998,101.470001,100.110001,100.110001,5736000,84.864197
"2013-05-29",99.559998,100.029999,98.900002,99.089996,4405800,83.999519
"2013-05-30",99.290001,100.989998,99.059998,100.540001,4784400,85.228722
"2013-05-31",100.209999,100.949997,99.019997,99.019997,4218700,83.940193
"2013-06-03",99.360001,100.900002,99.300003,100.739998,6472900,85.398262
"2013-06-04",100.480003,100.919998,99.080002,99.610001,3769800,84.440369
"2013-06-05",99.339996,99.709999,98.050003,98.489998,5151000,83.490913
"2013-06-06",98.650002,99.809998,98.419998,99.760002,4131700,84.567505
"2013-06-07",100.25,102.589996,100.059998,102.489998,5732900,86.881737
"2013-06-10",102.510002,102.949997,101.510002,102.239998,4047500,86.66983
"2013-06-11",101.610001,102.779999,100.900002,101.75,3144100,86.25444
"2013-06-12",102.190002,102.419998,100.610001,100.879997,2936500,85.516945
"2013-06-13",100.959999,102.339996,100.849998,102.160004,4076500,86.60202
"2013-06-14",102.160004,103.220001,101.5,101.830002,3944400,86.322281
"2013-06-17",102.690002,103.519997,102.519997,103.029999,4217400,87.339531
"2013-06-18",103.220001,104.150002,102.650002,104.080002,4035700,88.229622
"2013-06-19",103.830002,104.150002,102.239998,102.25,4186900,86.678329
"2013-06-20",101.459999,101.860001,99.379997,99.639999,7114800,84.465775
"2013-06-21",100.080002,100.139999,97.419998,99.980003,10328800,84.753998
"2013-06-24",99.059998,99.459999,96.309998,97.849998,5585200,82.948395
"2013-06-25",99.199997,99.660004,98.18,98.669998,3557900,83.643509
"2013-06-26",99.650002,101.389999,99.57,100.75,5267300,85.406754
"2013-06-27",102.410004,103.519997,102.010002,103.150002,6577700,87.441254
"2013-06-28",102.860001,103.489998,102.32,102.440002,5432500,86.839378
"2013-07-01",102.93,104.019997,102.93,103.239998,4091200,87.51754
"2013-07-02",103.220001,103.25,100.82,101.470001,4147000,86.017105
"2013-07-03",101.010002,103.040001,100.779999,102.889999,2891700,87.22084
"2013-07-05",103.699997,104.199997,102.75,104.199997,3671700,88.331352
"2013-07-08",104,105.099998,103.440002,104.370003,4222700,88.475449
"2013-07-09",105.269997,105.75,104.459999,104.68,3991800,88.738258
"2013-07-10",104.5,105.599998,104.410004,105.5,3872700,89.433357
"2013-07-11",106.43,107.459999,106.290001,106.879997,4529800,90.60318
"2013-07-12",106.860001,108.150002,98.989998,101.870003,44391800,86.356163
"2013-07-15",103.830002,105.870003,103.099998,105.660004,13169900,89.569008
"2013-07-16",105.690002,105.800003,103.779999,104.230003,5839100,88.356766
"2013-07-17",104.449997,105.43,104.419998,104.790001,3931800,88.83149
"2013-07-18",104.959999,107.980003,104.800003,107.629997,8046400,91.238983
"2013-07-19",107.129997,107.129997,105.610001,106.959999,5992000,90.671013
"2013-07-22",107.269997,107.32,106.449997,106.860001,4168800,90.586235
"2013-07-23",107.18,107.980003,106.339996,107.790001,5081600,91.374641
"2013-07-24",109.239998,109.489998,106.260002,106.949997,7723500,90.662537
"2013-07-25",106.360001,107.120003,105.849998,106.699997,5267100,90.450607
"2013-07-26",106.220001,106.220001,105.309998,105.599998,4216100,89.518135
"2013-07-29",103.519997,105.120003,103.5,104.809998,4041800,88.84845
"2013-07-30",104.940002,106.010002,104.800003,105.730003,5022700,89.628349
"2013-07-31",105.919998,106.279999,104.989998,105.099998,4487800,89.094276
"2013-08-01",105.989998,107,105.779999,106.699997,4910800,90.450607
"2013-08-02",106,107.949997,106,107.900002,4226200,91.467857
"2013-08-05",107.139999,107.800003,107.139999,107.5,3559200,91.128792
"2013-08-06",107.349998,107.709999,106.620003,107.040001,5199900,90.738838
"2013-08-07",106.209999,106.68,105.529999,106.419998,3158600,90.623878
"2013-08-08",106.68,107.239998,105.830002,105.839996,3741400,90.129951
"2013-08-09",105.370003,106.150002,104.879997,105.330002,3326500,89.695656
"2013-08-12",104.860001,105.07,104.050003,104.239998,3830800,88.767448
"2013-08-13",104.309998,106.550003,104.269997,106.230003,3578300,90.462067
"2013-08-14",106.160004,106.160004,104.07,104.160004,4481100,88.699341
