"dates","ROL.Open","ROL.High","ROL.Low","ROL.Close","ROL.Volume","ROL.Adjusted"
"2013-06-13",7.327407,7.457778,7.315556,7.434074,333788,6.651483
"2013-06-14",7.371852,7.413333,7.321481,7.368889,246713,6.593159
"2013-06-17",7.422222,7.442963,7.348148,7.386667,381375,6.609067
"2013-06-18",7.398519,7.442963,7.362963,7.407407,496463,6.627624
"2013-06-19",7.38963,7.419259,7.312593,7.336296,303413,6.563998
"2013-06-20",7.262222,7.351111,7.259259,7.297778,707400,6.529536
"2013-06-21",7.300741,7.348148,7.288889,7.33037,1058063,6.558696
"2013-06-24",7.265185,7.416296,7.259259,7.354074,695925,6.579906
"2013-06-25",7.416296,7.460741,7.333333,7.445926,733050,6.662087
"2013-06-26",7.481481,7.552593,7.475556,7.481481,863325,6.6939
"2013-06-27",7.514074,7.65037,7.502222,7.605926,401288,6.805243
"2013-06-28",7.611852,7.73037,7.579259,7.674074,986175,6.866218
"2013-07-01",7.697778,7.946667,7.697778,7.943704,746213,7.107464
"2013-07-02",7.961481,8.082963,7.908148,8.05037,849488,7.202901
"2013-07-03",8.002963,8.008889,7.86963,7.985185,839700,7.144578
"2013-07-05",8.008889,8.053333,7.914074,8.047407,443138,7.20025
"2013-07-08",8.085926,8.10963,7.982222,8.011852,594675,7.168438
"2013-07-09",8.038519,8.038519,7.97037,7.985185,636188,7.144578
"2013-07-10",7.967407,8.035556,7.946667,7.973333,465750,7.133972
"2013-07-11",8.041481,8.088889,7.979259,8.02963,541688,7.184345
"2013-07-12",8.011852,8.053333,8.011852,8.053333,372263,7.205553
"2013-07-15",8.047407,8.085926,7.973333,8.059259,417825,7.210855
"2013-07-16",8.053333,8.088889,8.002963,8.062222,1000350,7.213507
"2013-07-17",8.118519,8.162963,8.082963,8.151111,1124888,7.293036
"2013-07-18",8.157037,8.207407,8.118519,8.198519,812025,7.335455
"2013-07-19",8.168889,8.204444,8.13037,8.177778,362138,7.316896
"2013-07-22",8.162963,8.234074,8.133333,8.165926,433688,7.306291
"2013-07-23",8.201481,8.213333,8.142222,8.207407,505913,7.343407
"2013-07-24",8.216296,8.293333,7.434074,7.819259,1811700,6.99612
"2013-07-25",7.831111,7.845926,7.68,7.727407,514350,6.913937
"2013-07-26",7.694815,7.718519,7.585185,7.632593,405338,6.829104
"2013-07-29",7.662222,7.662222,7.54963,7.576296,486338,6.778732
"2013-07-30",7.579259,7.632593,7.52,7.531852,537638,6.738968
"2013-07-31",7.537778,7.585185,7.487407,7.555556,619313,6.760176
"2013-08-01",7.582222,7.665185,7.579259,7.605926,1413113,6.805243
"2013-08-02",7.561481,7.585185,7.502222,7.514074,848475,6.723061
"2013-08-05",7.517037,7.567407,7.487407,7.534815,528525,6.741619
"2013-08-06",7.546667,7.57037,7.487407,7.502222,468450,6.712458
"2013-08-07",7.466667,7.487407,7.419259,7.457778,310500,6.696496
"2013-08-08",7.505185,7.505185,7.416296,7.481481,312863,6.717778
"2013-08-09",7.466667,7.487407,7.407407,7.454815,391163,6.693836
"2013-08-12",7.413333,7.528889,7.413333,7.525926,322313,6.757686
"2013-08-13",7.511111,7.531852,7.434074,7.514074,240975,6.747044
"2013-08-14",7.481481,7.487407,7.437037,7.454815,189338,6.693836
"2013-08-15",7.395556,7.419259,7.285926,7.315556,484313,6.56879
"2013-08-16",7.300741,7.348148,7.288889,7.30963,432675,6.563469
"2013-08-19",7.30963,7.404444,7.282963,7.395556,305775,6.640625
"2013-08-20",7.401481,7.487407,7.377778,7.466667,355388,6.704477
"2013-08-21",7.428148,7.46963,7.395556,7.395556,385425,6.640625
"2013-08-22",7.422222,7.525926,7.365926,7.46963,180900,6.707138
"2013-08-23",7.487407,7.493333,7.392593,7.472593,298013,6.709798
"2013-08-26",7.496296,7.543704,7.472593,7.487407,210600,6.723101
"2013-08-27",7.413333,7.502222,7.413333,7.472593,619650,6.709798
"2013-08-28",7.484444,7.484444,7.416296,7.448889,318938,6.688513
"2013-08-29",7.442963,7.49037,7.431111,7.475556,365175,6.712458
"2013-08-30",7.463704,7.52,7.315556,7.333333,754650,6.584754
"2013-09-03",7.413333,7.481481,7.137778,7.202963,1478250,6.46769
"2013-09-04",7.182222,7.371852,7.182222,7.333333,630788,6.584754
"2013-09-05",7.327407,7.428148,7.30963,7.345185,452588,6.595395
"2013-09-06",7.354074,7.434074,7.288889,7.354074,381713,6.603377
"2013-09-09",7.383704,7.448889,7.351111,7.419259,292950,6.661908
"2013-09-10",7.463704,7.522963,7.451852,7.52,239288,6.752365
"2013-09-11",7.499259,7.555556,7.472593,7.493333,191363,6.72842
"2013-09-12",7.502222,7.561481,7.481481,7.517037,246713,6.749704
