"dates","MAR.Open","MAR.High","MAR.Low","MAR.Close","MAR.Volume","MAR.Adjusted"
"2011-03-15",34.618286,35.48539,34.363808,35.287464,4974286,31.230438
"2011-03-16",35.108387,35.475967,34.561733,34.853912,5210253,30.846727
"2011-03-17",35.560791,35.560791,34.825638,34.995289,3092391,30.971849
"2011-03-18",35.589066,35.890671,35.344013,35.786991,4057582,31.672537
"2011-03-21",36.352497,36.493874,35.966068,36.399624,2347144,32.214737
"2011-03-22",36.324223,36.324223,34.759663,34.853912,4632432,30.846727
"2011-03-23",34.655987,35.117813,34.156456,35.03299,3404643,31.005219
"2011-03-24",35.25919,35.428841,34.806786,35.061264,3253132,31.030254
"2011-03-25",35.127239,35.664467,35.051838,35.494816,2951702,31.413954
"2011-03-28",34.637135,35.25919,32.94062,33.2705,18056204,29.44537
"2011-03-29",33.619228,33.883129,33.411877,33.69463,7179681,29.820732
"2011-03-30",34.231857,34.344959,33.741753,33.770027,5053861,29.887466
"2011-03-31",33.751179,33.883129,33.317623,33.534401,3687612,29.678926
"2011-04-01",33.741753,34.005653,33.2328,33.374176,5529189,29.537117
"2011-04-04",33.440151,33.468426,33.072575,33.213947,4204425,29.395309
"2011-04-05",32.874645,33.336475,32.80867,33.110271,4479754,29.303568
"2011-04-06",33.2328,33.4967,33.006599,33.468426,3722094,29.620533
"2011-04-07",33.345901,33.477852,32.968899,33.025448,4231374,29.228489
"2011-04-08",33.053722,33.147972,32.35627,32.58247,4203470,28.836441
"2011-04-11",32.58247,32.733269,32.101791,32.214893,3693872,28.511122
"2011-04-12",31.932138,32.610744,31.922714,32.35627,3900979,28.636253
"2011-04-13",32.478794,32.601318,32.139492,32.224316,3657479,28.519461
"2011-04-14",32.007542,32.233742,31.941565,32.101791,2985017,28.411028
"2011-04-15",32.299717,32.327991,31.866163,32.139492,4378217,28.444393
"2011-04-18",31.658812,32.94062,31.621113,32.874645,7074430,29.09502
"2011-04-19",32.855797,33.355324,32.695572,32.912346,4912642,29.128387
"2011-04-20",33.402451,33.600376,33.13855,33.251648,5699904,29.428679
"2011-04-21",33.129124,34.47691,33.110271,33.807728,7248752,29.920835
"2011-04-25",34.288406,34.307259,33.298775,33.421303,5094179,29.578829
"2011-04-26",33.468426,33.685204,33.110271,33.251648,4137900,29.428679
"2011-04-27",33.440151,33.600376,33.053722,33.166824,4432752,29.353622
"2011-04-28",33.091423,33.572102,33.091423,33.430725,3638381,29.587162
"2011-04-29",33.402451,33.440151,33.091423,33.2705,2823003,29.44537
"2011-05-02",33.459,33.590954,33.355324,33.459,3582573,29.612196
"2011-05-03",33.421303,33.600376,33.081997,33.289349,3467560,29.462051
"2011-05-04",33.308201,33.459,32.865219,33.053722,2964434,29.25351
"2011-05-05",32.761547,33.930256,32.667294,33.468426,3840926,29.620533
"2011-05-06",33.873703,34.83506,33.704052,34.203583,6152527,30.271172
"2011-05-09",34.156456,34.51461,34.062206,34.260132,3983100,30.321222
"2011-05-10",34.429783,35.117813,34.373234,35.023563,3798062,30.996881
"2011-05-11",34.844486,34.96701,34.090481,34.241283,6910930,30.304544
"2011-05-12",34.05278,34.60886,33.911404,34.467484,3905329,30.504732
"2011-05-13",34.533459,34.590008,34.118755,34.401508,3658965,30.446344
"2011-05-16",34.184731,34.373234,33.704052,33.760605,3876576,29.879133
"2011-05-17",33.619228,33.930256,33.468426,33.807728,3687718,29.920835
"2011-05-18",33.788879,34.51461,33.685204,34.467484,3712015,30.590017
"2011-05-19",34.533459,35.080112,34.439209,35.014137,4057688,31.075167
"2011-05-20",34.995289,35.362865,34.901035,35.023563,3777266,31.083538
"2011-05-23",34.467484,34.571159,34.184731,34.213009,3413449,30.364164
"2011-05-24",34.354382,34.769085,34.307259,34.420357,3268623,30.548182
"2011-05-25",34.250706,34.872761,34.231857,34.599434,3604854,30.707117
"2011-05-26",34.665409,35.786991,34.665409,35.636192,4373760,31.627247
"2011-05-27",35.815269,36.30537,35.504242,35.683319,4305962,31.669075
"2011-05-31",35.956646,36.013195,35.334591,35.636192,3433820,31.627247
"2011-06-01",35.513664,35.513664,34.712536,34.731384,4324742,30.824221
"2011-06-02",34.684261,35.136665,34.495758,34.929314,3326235,30.999884
"2011-06-03",34.439209,34.665409,34.024506,34.165882,3598275,30.322336
"2011-06-06",34.118755,34.863335,33.986805,34.099907,5159219,30.263781
"2011-06-07",34.222431,34.373234,33.468426,33.4967,5193701,29.728447
"2011-06-08",33.355324,33.374176,32.563618,32.780396,6304250,29.09272
"2011-06-09",32.855797,32.902924,32.403393,32.610744,4267024,28.94215
"2011-06-10",32.507069,32.58247,31.828465,31.89444,4437633,28.306429
"2011-06-13",32.016964,32.130066,31.526861,31.828465,4273920,28.247873
"2011-06-14",32.177193,32.695572,32.082939,32.629597,4401877,28.958878
"2011-06-15",32.243168,32.469368,31.555138,31.555138,4455139,28.005301
"2011-06-16",31.508011,31.687088,31.055609,31.432611,3900873,27.896557
"2011-06-17",31.696512,31.856739,31.027332,31.244108,4336201,27.729259
"2011-06-20",31.083883,31.555138,31.083883,31.215834,3041569,27.704163
"2011-06-21",31.498587,32.375118,31.347786,32.337418,4213868,28.699568
"2011-06-22",32.177193,32.827522,32.092365,32.393967,3343105,28.74976
"2011-06-23",31.913288,32.299717,31.545712,32.271442,4180128,28.641022
"2011-06-24",32.280869,32.309143,31.837889,32.007542,2360831,28.406811
"2011-06-27",31.922714,32.224316,31.536287,32.12064,2356693,28.507181
