"dates","APD.Open","APD.High","APD.Low","APD.Close","APD.Volume","APD.Adjusted"
"2010-06-10",63.358002,64.162811,63.043476,63.746532,1807432,48.305965
"2010-06-11",63.18224,64.22757,63.135986,64.22757,1181101,48.670486
"2010-06-14",64.597595,65.217392,63.792786,63.848289,1311469,48.383087
"2010-06-15",64.477333,64.976875,64.088806,64.976875,1783001,49.238308
"2010-06-16",64.366325,65.494911,64.366325,65.254395,1494591,49.448605
"2010-06-17",65.596672,65.661423,64.477333,65.356155,1831106,49.525711
"2010-06-18",65.578171,66.641998,65.522667,66.179466,1999093,50.149605
"2010-06-21",66.938019,67.474564,65.337646,65.818687,1324982,49.876221
"2010-06-22",65.957443,66.604996,64.921371,64.958374,1090405,49.224289
"2010-06-23",64.856613,64.967621,63.265495,63.829788,1822242,48.369076
"2010-06-24",63.320999,64.579094,62.109158,62.275669,3510007,47.191399
"2010-06-25",62.331177,63.496761,61.840889,63.441257,3659942,48.074642
"2010-06-28",63.635525,63.894543,62.479187,62.710453,1604420,47.520855
"2010-06-29",61.406105,61.498611,60.314526,60.610546,2042874,46.263985
"2010-06-30",60.397781,61.073078,59.777985,59.953747,2227509,45.762646
"2010-07-01",59.703979,60.601295,59.703979,60.129509,3009396,45.896812
"2010-07-02",60.240517,60.675301,59.324699,60.101757,1613501,45.875618
"2010-07-06",60.721554,61.341351,60.212765,60.81406,2016822,46.419338
"2010-07-07",60.888065,62.682701,60.712303,62.6642,1605717,47.831547
"2010-07-08",63.395004,63.746532,62.756706,63.62627,2230535,48.565891
"2010-07-09",64.079559,64.616096,63.85754,64.514336,1639985,49.243752
"2010-07-12",64.024055,64.421829,63.607773,63.987049,953226,48.84127
"2010-07-13",64.505089,66.031448,64.505089,65.615173,1586043,50.084019
"2010-07-14",64.75486,65.494911,64.458832,64.995377,1805378,49.610928
"2010-07-15",64.986122,65.217392,64.162811,65.05088,841991,49.65329
"2010-07-16",64.875114,64.912117,63.85754,64.125809,2508569,48.947186
"2010-07-19",64.283073,64.60685,63.533764,64.125809,903392,48.947186
"2010-07-20",63.496761,65.531914,63.404255,65.467163,1101107,49.971039
"2010-07-21",65.800186,66.0037,64.199814,64.801109,1204558,49.46265
"2010-07-22",65.77243,68.085106,65.670677,66.23497,2560457,50.557114
"2010-07-23",64.653099,66.716003,64.653099,66.688255,1297524,50.903099
"2010-07-26",66.910271,67.354301,66.6605,67.345055,1369627,51.404423
"2010-07-27",67.881592,67.992599,66.716003,66.947273,1216233,51.100803
"2010-07-28",66.743759,67.317299,66.614243,67.076782,1103377,51.199657
"2010-07-29",67.48381,68.445885,66.641998,67.243294,1201099,51.326759
"2010-07-30",66.688255,67.493065,66.373726,67.141533,1060461,51.249073
"2010-08-02",68.066605,69.583717,67.90934,69.370956,2602940,52.950787
"2010-08-03",68.982422,70.064758,68.714157,70.009254,2098978,53.438015
"2010-08-04",69.879738,71.18409,69.759483,70.95282,1637391,54.15823
"2010-08-05",70.610542,71.359856,70.360779,71.285843,1605393,54.412434
"2010-08-06",70.851067,71.433861,69.814987,70.508789,1401517,53.819305
"2010-08-09",70.934319,71.322845,70.75856,71.230339,981224,54.370079
"2010-08-10",70.462532,71.674377,70.157265,71.165588,1425623,54.320641
"2010-08-11",69.85199,69.962997,68.741905,69.750229,1513941,53.240295
"2010-08-12",68.723404,69.361702,68.28862,69.102684,1512860,52.746029
"2010-08-13",68.741905,70.111008,68.593895,70.009254,1717169,53.438015
"2010-08-16",69.232193,70.832565,68.926918,70.212769,1157211,53.593353
"2010-08-17",70.971321,72.007401,70.832565,70.971321,1896615,54.172363
"2010-08-18",71.054581,71.526367,70.57354,71.258095,1110295,54.391251
"2010-08-19",70.934319,70.934319,68.621651,69.925995,1982554,53.374458
"2010-08-20",69.380203,69.842735,68.732658,69.389458,1126510,52.964931
"2010-08-23",69.944496,70.397781,68.991676,69.09343,947713,52.73896
"2010-08-24",68.427383,69.19519,67.779831,68.307121,1646039,52.138775
"2010-08-25",67.816833,68.334877,67.354301,68.038857,1808945,51.93401
"2010-08-26",68.630898,69.000923,68.029602,68.048103,1303146,51.941078
"2010-08-27",68.649399,68.945419,67.955597,68.843666,1807108,52.548321
"2010-08-30",68.566139,68.954674,68.177612,68.177612,1302497,52.039925
"2010-08-31",67.955597,68.769661,67.946342,68.482887,1314820,52.272949
"2010-09-01",69.352448,69.352448,68.492134,69.148933,2689096,52.781315
"2010-09-02",69.574471,71.507866,69.148933,71.406105,2252047,54.504246
"2010-09-03",72.146164,72.192413,71.517113,72.192413,1635553,55.104404
"2010-09-07",71.970398,72.155411,71.10083,71.581871,1249636,54.63839
"2010-09-08",71.507866,72.941719,71.341354,71.961143,1881048,54.927898
"2010-09-09",72.627197,73.367256,71.998154,72.109161,1339251,55.040867
"2010-09-10",72.220169,72.497688,71.970398,72.109161,995493,55.040867
"2010-09-13",72.802963,73.052727,72.377426,72.876968,1194721,55.626938
"2010-09-14",72.830711,74.773361,72.765961,74.199814,3021179,56.636677
"2010-09-15",73.894539,75.485664,73.515266,75.282143,1938774,57.462826
"2010-09-16",74.782608,75.85569,74.190567,75.62442,2065359,57.724075
"2010-09-17",76.281219,76.401482,75.587418,76.040703,3076418,58.041832
"2010-09-20",76.160965,77.021278,75.929695,76.827011,1403246,58.642006
"2010-09-21",76.817764,77.197037,76.327477,76.780762,1766678,58.606712
"2010-09-22",76.845512,77.132286,76.290474,76.947273,1405192,58.733788
"2010-09-23",76.197968,77.271042,76.105461,76.72525,1504968,58.56435
"2010-09-24",77.585571,78.103607,77.243294,77.890839,1366060,59.454029
"2010-09-27",77.779831,77.937096,77.437561,77.576317,1594043,59.213947
"2010-09-28",77.705826,77.76133,76.475487,77.678078,1145644,59.291607
"2010-09-29",77.030525,77.058281,76.040703,76.641998,1142617,58.844154
"2010-09-30",76.928772,77.964844,76.364479,76.614243,1649714,58.822868
"2010-10-01",76.984276,77.705826,76.336723,76.799263,1630472,58.964912
"2010-10-04",76.72525,76.780762,75.744682,75.920441,1020248,58.290184
"2010-10-05",76.706757,77.974098,76.688255,77.890839,1156021,59.803005
"2010-10-06",77.779831,78.223869,77.437561,77.724327,1380869,59.675152
"2010-10-07",78.075859,78.344124,76.160965,76.23497,1984176,58.531639
"2010-10-08",76.216469,76.706757,76.197968,76.503235,1494050,58.737617
"2010-10-11",76.679001,77.086029,76.133209,76.345978,1248123,58.616898
"2010-10-12",76.022202,76.521736,75.578171,76.392227,1395247,58.652386
"2010-10-13",76.76226,76.984276,76.123962,76.697502,1697711,58.886784
"2010-10-14",75.892693,76.651253,75.319145,75.948196,1016032,58.311466
"2010-10-15",76.651253,76.734505,75.226639,75.541168,1463458,57.998981
"2010-10-18",75.661423,76.790009,75.605919,76.734505,960793,58.915184
"2010-10-19",75.744682,76.096207,74.838112,75.208138,943713,57.743282
"2010-10-20",75.531914,76.984276,75.356155,76.873268,842531,59.021732
"2010-10-21",77.48381,78.593895,76.984276,78.566139,2069683,60.321495
"2010-10-22",78.399628,78.538391,78.103607,78.390381,734864,60.186546
"2010-10-25",78.556892,80.018501,78.28862,79.315453,1258933,60.896812
"2010-10-26",78.871414,79.352448,78.168365,79.278442,753349,60.868366
"2010-10-27",78.695648,78.788162,77.520813,77.863091,1653390,59.781673
"2010-10-28",78.418129,79.324699,78.029602,78.769661,801237,60.477745
"2010-10-29",78.51989,79.250694,78.112862,78.603142,1076460,60.349892
"2010-11-01",79.09343,79.648476,78.223869,78.584641,485801,60.335693
"2010-11-02",79.259941,80.351524,79.259941,79.888992,811507,61.337139
"2010-11-03",80.018501,80.018501,77.974098,79.056427,900905,60.69791
"2010-11-04",80.138763,80.360779,79.629974,80.351524,1078838,61.692276
"2010-11-05",80.360779,80.57354,79.750229,80.157265,572173,61.543121
"2010-11-08",79.898239,80.860313,79.870491,80.675301,840910,61.940861
"2010-11-09",81.036079,81.110085,78.852913,79.167435,819506,60.783142
"2010-11-10",79.111931,79.500465,78.085106,78.880669,881447,60.562958
"2010-11-11",77.853836,79.176689,77.724327,79.084183,761565,60.719234
"2010-11-12",78.112862,78.760406,76.864014,77.705826,911715,59.660961
"2010-11-15",77.900093,78.760406,77.56707,78.186867,757781,60.030289
"2010-11-16",77.437561,77.752083,76.716003,76.975021,1007168,59.099861
"2010-11-17",77.252541,78.196114,76.901016,77.465309,1130834,59.476288
"2010-11-18",78.334877,79.648476,78.325623,79.232193,997331,60.832874
"2010-11-19",79.444962,79.574471,78.880669,79.565216,1067812,61.08852
"2010-11-22",77.261795,79.19519,77.261795,79.09343,717352,60.726311
"2010-11-23",78.251617,78.464386,76.864014,78.233116,2327069,60.065811
"2010-11-24",77.3358,80.194267,77.3358,80.064758,1396544,61.472095
"2010-11-26",79.509712,79.509712,79.010178,79.204437,367756,60.811558
"2010-11-29",78.566139,79.611473,76.651253,79.389458,1108998,60.953594
"2010-11-30",78.353378,79.925995,78.353378,79.759483,949118,61.237709
"2010-12-01",81.304352,81.609619,79.722481,79.91674,1741599,61.358452
"2010-12-02",80.111008,82.025902,80.074005,81.988899,1338386,62.94939
"2010-12-03",81.535614,81.674377,80.555038,81.045326,1168777,62.224945
"2010-12-06",81.119331,81.369102,80.869568,81.119331,594550,62.281754
"2010-12-07",81.868637,82.377426,80.934319,80.962074,993980,62.161041
"2010-12-08",80.962074,81.230339,79.731728,80.536537,898203,61.834297
"2010-12-09",80.934319,83.182236,79.574471,82.099907,3586218,63.034626
"2010-12-10",82.43293,82.793709,81.720627,82.183167,1806243,63.098549
"2010-12-13",83.246994,83.246994,81.831635,82.035156,1565829,62.984913
"2010-12-14",81.840889,82.543938,80.925072,81.026825,1372762,62.210754
"2010-12-15",80.795563,81.803886,80.730804,81.424606,1042084,62.516136
"2010-12-16",81.71138,82.035156,81.110085,81.942642,797454,62.913887
"2010-12-17",81.822388,82.701202,81.211838,82.636452,1325306,63.446579
"2010-12-20",82.608696,83.256241,82.423683,83.19149,869232,63.87273
"2010-12-21",83.256241,84.088806,83.19149,83.746529,852260,64.298859
"2010-12-22",83.626274,84.181313,83.395004,83.783531,1003709,64.327293
"2010-12-23",83.450508,84.181313,83.450508,83.9963,440399,64.490639
"2010-12-27",83.700279,84.14431,83.395004,84.079559,363216,64.554558
"2010-12-28",84.320076,84.505089,83.755783,84.384827,514124,64.788963
"2010-12-29",84.357079,84.542091,84.051804,84.412582,760484,64.810257
"2010-12-30",84.172066,84.412582,83.903793,84.135063,562228,64.945938
"2010-12-31",83.903793,84.273819,83.774284,84.135063,439318,64.945938
"2011-01-03",84.680855,84.838112,83.543015,83.746529,1188127,64.646011
"2011-01-04",83.718781,83.857536,82.28492,82.506935,1185533,63.689156
"2011-01-05",82.368179,82.682701,81.961143,82.146164,1312658,63.410648
"2011-01-06",82.044403,82.173912,81.128586,81.720627,1683982,63.082161
"2011-01-07",81.951897,83.052727,81.369102,81.868637,1168669,63.196442
"2011-01-10",82.072159,82.072159,81.202591,81.877892,888798,63.20359
"2011-01-11",81.988899,82.229416,81.369102,81.702126,1046408,63.067883
"2011-01-12",81.951897,82.331177,81.600372,82.007401,949983,63.303528
"2011-01-13",82.414429,82.469933,81.951897,82.201668,2004931,63.453499
"2011-01-14",81.924141,82.136909,81.174835,82.081406,1437730,63.360653
"2011-01-18",81.322845,82.51619,80.962074,82.423683,1311037,63.624886
"2011-01-19",82.89547,82.89547,81.581871,81.877892,946091,63.20359
"2011-01-20",81.507866,81.813133,80.444031,80.721558,1555559,62.310959
"2011-01-21",80.989822,81.572617,79.76873,80.027756,2188268,61.775398
"2011-01-24",79.907494,80.397781,79.833488,80.018501,2062656,61.768272
"2011-01-25",80,80.601295,79.713226,80.185013,2360688,61.896809
"2011-01-26",80.481033,80.675301,80.185013,80.407028,3268512,62.068176
"2011-01-27",80.490288,81.119331,79.805733,79.870491,1840078,61.653992
"2011-01-28",80.08326,80.75856,79.130432,79.343201,2719364,61.246983
"2011-01-31",79.694725,80.795563,79.537468,80.712303,1955853,62.303802
"2011-02-01",81.813133,82.978722,81.285843,82.904716,1242285,63.996193
"2011-02-02",83.015724,83.015724,81.924141,82.368179,823830,63.58202
"2011-02-03",82.368179,82.802963,81.415359,81.951897,1347575,63.2607
"2011-02-04",82.053658,82.28492,81.56337,81.970398,950199,63.274967
"2011-02-07",82.28492,82.793709,82.053658,82.562439,1026734,63.731995
"2011-02-08",82.775208,82.950974,82.229416,82.839966,1570153,63.94622
"2011-02-09",82.460686,82.636452,81.62812,81.85939,1030517,63.189297
"2011-02-10",81.609619,82.331177,81.517113,81.970398,1029869,63.274967
"2011-02-11",81.71138,82.590195,81.489365,82.386681,718865,63.596325
"2011-02-14",82.321922,83.311745,82.23867,83.283997,1072784,64.288979
"2011-02-15",82.608696,83.533768,82.423683,83.459763,824587,64.424652
"2011-02-16",86.392227,87.613319,85.568916,87.520813,4344323,67.559479
"2011-02-17",86.891769,87.280296,85.975945,86.901016,2250426,67.08107
"2011-02-18",87.641075,87.881592,87.363548,87.844589,2151731,67.809402
"2011-02-22",85.494911,87.539314,84.782608,84.94912,2471815,65.574333
"2011-02-23",85.837189,85.929695,83.024979,84.079559,2640451,64.903084
"2011-02-24",84.107307,84.90287,83.265495,84.051804,1988932,64.881668
"2011-02-25",84.421829,85.374657,84.394081,84.569839,1869481,65.281532
"2011-02-28",85.023125,85.615173,84.782608,85.106384,1938449,65.695709
"2011-03-01",85.531914,85.568916,83.154488,83.163734,1787434,64.196136
"2011-03-02",83.283997,83.885292,83.117485,83.644775,2315934,64.56749
"2011-03-03",84.551338,85.106384,84.495834,85.013878,1712196,65.624321
"2011-03-04",84.653099,85.134132,83.718781,84.384827,1164129,65.138741
"2011-03-07",84.690102,85.115631,82.747459,82.849213,2155082,63.953354
"2011-03-08",83.376503,83.376503,82.506935,83.145233,1621068,64.181862
"2011-03-09",82.867714,83.182236,82.358925,82.876968,1307902,63.974777
"2011-03-10",81.887138,82.414429,81.295097,81.313599,2104275,62.767963
"2011-03-11",81.165588,81.850136,80.370026,80.499535,2944536,62.139595
"2011-03-14",80.222015,80.767807,79.759483,80.370026,2498515,62.039612
"2011-03-15",78.362625,79.85199,77.918594,79.306198,2474841,61.218414
"2011-03-16",79.19519,79.278442,76.984276,77.816833,2201997,60.068722
"2011-03-17",79.084183,80.777061,78.048103,79.787231,3447958,61.589733
