"dates","RL.Open","RL.High","RL.Low","RL.Close","RL.Volume","RL.Adjusted"
"2010-05-03",90.699997,93.379997,89.900002,92.370003,714500,78.932098
"2010-05-04",91.339996,91.809998,90.209999,90.650002,1225100,77.462311
"2010-05-05",89.519997,91.660004,88.459999,89.410004,1179000,76.402695
"2010-05-06",88.800003,89.330002,80.339996,85.279999,1865900,72.873535
"2010-05-07",84.459999,86.199997,80.830002,82.739998,1892200,70.703056
"2010-05-10",86.410004,89.830002,86.410004,89.589996,1198800,76.556534
"2010-05-11",88.099998,90.309998,88.099998,89.029999,1543800,76.077988
"2010-05-12",89.75,92.07,89.370003,91.919998,611100,78.547569
"2010-05-13",91.919998,92.419998,89.709999,90.18,757500,77.060692
"2010-05-14",89.220001,90.510002,88.050003,89.32,1559300,76.325806
"2010-05-17",89.419998,90.010002,84.519997,86.980003,2332800,74.326233
"2010-05-18",87.919998,89.480003,85.480003,85.779999,1802600,73.300804
"2010-05-19",82.989998,89.260002,82.699997,88.099998,5850700,75.283279
"2010-05-20",85.720001,86.82,84.650002,85.010002,4014100,72.642815
"2010-05-21",83.419998,86.519997,83.419998,84.269997,2539100,72.010445
"2010-05-24",83.769997,85.730003,83.629997,84.919998,1571100,72.56591
"2010-05-25",83.150002,85.940002,81.300003,85.599998,1942600,73.146996
"2010-05-26",86.529999,87.190002,85.169998,85.230003,1604400,72.830826
"2010-05-27",86.779999,88.349998,86.589996,88.279999,901000,75.437088
"2010-05-28",87.919998,88.940002,86.389999,86.860001,722300,74.223694
"2010-06-01",86.129997,87.660004,84.480003,84.550003,917600,72.249748
"2010-06-02",82.580002,85.900002,82.559998,85.839996,1667000,73.352074
"2010-06-03",85.629997,87.489998,85.519997,86.339996,1036700,73.779327
"2010-06-04",85.129997,85.129997,81.050003,81.779999,1419400,69.882706
"2010-06-07",82.230003,82.300003,78.419998,78.599998,2051600,67.165321
"2010-06-08",78.900002,79.889999,77.199997,79.410004,1557000,67.857506
"2010-06-09",79.889999,82.459999,79.75,80.269997,1697800,68.592384
"2010-06-10",81.699997,83.57,81.639999,83.199997,1081600,71.096115
"2010-06-11",82.120003,84.199997,82.050003,83.449997,1048300,71.309769
"2010-06-14",84,85,83.709999,84.169998,1038000,71.925026
"2010-06-15",82.940002,83.099998,81.110001,82.440002,2485100,70.446701
"2010-06-16",80.139999,80.809998,80,80.120003,7336900,68.464218
"2010-06-17",80.400002,81,80.110001,80.849998,2294900,69.088013
"2010-06-18",80.93,81.300003,80.32,80.449997,1713900,68.746208
"2010-06-21",81.209999,82.010002,79.419998,79.879997,2430200,68.259125
"2010-06-22",79.949997,81,77.93,78.18,2187400,66.806465
"2010-06-23",78.440002,79.580002,76.68,78.830002,2945700,67.361877
"2010-06-24",78.43,78.529999,76.080002,76.519997,2142600,65.387947
"2010-06-25",76.720001,78.18,76.410004,77.269997,1731500,66.028839
"2010-06-28",77.290001,78.309998,76.699997,77.040001,900600,65.832283
"2010-06-29",75.709999,75.709999,72.910004,73.400002,2137400,62.721832
"2010-06-30",73.400002,74.610001,72.510002,72.959999,1503900,62.430904
"2010-07-01",73.32,74.32,71.139999,73.949997,2331500,63.27803
"2010-07-02",74.339996,74.900002,72.610001,73.120003,1119900,62.567799
"2010-07-06",74,74.610001,71.120003,71.93,1281800,61.549549
"2010-07-07",72.540001,75.150002,71.769997,74.959999,1369000,64.14225
"2010-07-08",75.940002,77.489998,75.68,77.220001,2080400,66.076096
"2010-07-09",77.879997,77.900002,76.120003,77.160004,866200,66.024788
"2010-07-12",77,77.209999,75.470001,76.120003,892500,65.134865
"2010-07-13",77.220001,77.959999,76.540001,77.68,1156900,66.469749
"2010-07-14",77.169998,77.830002,76.360001,77.190002,580900,66.050468
"2010-07-15",77.040001,77.370003,75.349998,77.18,778100,66.041901
"2010-07-16",76.68,76.709999,73.669998,73.900002,1080200,63.23526
"2010-07-19",73.690002,74.019997,72.279999,72.900002,1483600,62.37957
"2010-07-20",71.610001,74.589996,71.389999,74.389999,1090600,63.654514
"2010-07-21",74.580002,75.040001,73.190002,73.309998,961400,62.73037
"2010-07-22",74.43,77.5,74.339996,76.470001,1148200,65.434357
"2010-07-23",76.349998,79.540001,75.830002,79.220001,1306300,67.787514
"2010-07-26",79.669998,82.010002,79.110001,81.970001,1225000,70.14061
