"dates","RTX.Open","RTX.High","RTX.Low","RTX.Close","RTX.Volume","RTX.Adjusted"
"2012-11-29",50.258022,50.471996,49.78603,50.195091,6687465,41.270626
"2012-11-30",50.320957,50.572685,50.106987,50.415356,12447749,41.451744
"2012-12-03",50.805538,51.195721,50.182507,50.220264,5264993,41.291325
"2012-12-04",50.327251,50.799244,50.062935,50.434235,6216327,41.467258
"2012-12-05",50.560101,50.818127,49.930775,50.490875,6608333,41.513832
"2012-12-06",50.534927,50.912525,50.302078,50.893642,5015996,41.844986
"2012-12-07",51.000629,51.202015,50.522343,50.969162,5997998,41.907078
"2012-12-10",50.969162,51.183132,50.855885,50.98175,4514667,41.917431
"2012-12-11",51.258652,51.390812,50.943989,51.095028,5950646,42.010578
"2012-12-12",51.466331,51.548141,50.755192,50.975456,5838463,41.912262
"2012-12-13",51.113907,51.2146,50.465702,50.578979,6458649,41.586273
"2012-12-14",50.333542,50.818127,50.239143,50.333542,7424761,41.38448
"2012-12-17",50.42794,50.509754,50.031467,50.339836,9194272,41.389652
"2012-12-18",50.409061,51.894272,50.283195,51.749527,9590886,42.548698
"2012-12-19",51.743237,52.592827,51.541851,52.252991,11861408,42.962658
"2012-12-20",52.303333,52.636879,52.026432,52.341095,6572422,43.035088
"2012-12-21",51.837635,52.152298,51.227188,51.944618,11390270,42.70911
"2012-12-24",51.976086,52.108246,51.686596,51.755821,1928093,42.553883
"2012-12-26",51.818752,51.881687,51.35305,51.674007,3463702,42.48661
"2012-12-27",51.705475,51.887981,51.05727,51.648834,4692953,42.465912
"2012-12-28",51.302708,51.491505,50.774071,50.855885,3515663,41.813946
"2012-12-31",50.667088,51.762115,50.522343,51.611076,5845613,42.434868
"2013-01-02",52.504719,52.863438,52.303333,52.863438,7126983,43.464561
"2013-01-03",52.706104,53.152927,52.492134,53.058529,6016907,43.624973
"2013-01-04",53.159222,53.486469,52.90749,53.480175,6127025,43.971642
"2013-01-07",53.203274,53.486469,53.096287,53.222153,5368437,43.759499
"2013-01-08",53.108875,53.310257,52.391441,52.580238,7675823,43.231712
"2013-01-09",52.825676,53.687855,52.756451,53.209564,5990530,43.749165
"2013-01-10",53.492764,53.505348,53.089993,53.473885,5627444,43.966476
"2013-01-11",53.41095,53.801132,53.272499,53.606041,4740940,44.075123
"2013-01-14",53.650093,54.10321,53.650093,53.996223,4966261,44.395935
"2013-01-15",53.606041,54.203903,53.436123,54.096916,4383733,44.478741
"2013-01-16",53.8326,54.002518,53.587162,53.851479,3888760,44.276939
"2013-01-17",54.172436,54.499683,53.864063,54.373821,5451382,44.706406
"2013-01-18",54.568913,54.977974,54.273129,54.719952,6705580,44.990997
"2013-01-22",54.518566,55.066078,54.33606,55.047199,6543025,45.260063
"2013-01-23",54.933922,55.619888,54.631844,55.424793,6292281,45.570515
"2013-01-24",55.387035,55.984898,55.084957,55.959724,8504646,46.010334
"2013-01-25",55.921963,56.519825,55.921963,56.507236,7227567,46.460506
"2013-01-28",56.595345,56.639397,56.230335,56.513531,7067236,46.465694
"2013-01-29",56.519825,56.551289,56.079296,56.488358,6943294,46.444992
"2013-01-30",56.400253,56.463184,56.022655,56.073002,7117290,46.103481
"2013-01-31",55.752045,56.073002,55.11013,55.11013,9124038,45.311806
"2013-02-01",55.374451,56.708622,55.374451,56.538704,10763092,46.486382
"2013-02-04",56.910007,57.111389,56.123348,56.349907,9365566,46.331146
"2013-02-05",56.80302,57.016991,56.041534,56.173695,8114070,46.186268
"2013-02-06",55.796097,56.343613,55.796097,56.24292,5314728,46.243195
"2013-02-07",56.349907,56.607929,55.764633,56.607929,6007532,46.543301
"2013-02-08",56.702328,57.199497,56.482063,56.696033,6116538,46.615742
"2013-02-11",56.683449,56.840778,56.236626,56.393959,4892531,46.367371
"2013-02-12",56.513531,56.689743,56.356197,56.626808,5267694,46.558811
"2013-02-13",56.526115,56.526115,56.010071,56.324734,5680198,46.587452
"2013-02-14",56.154816,56.639397,55.884205,56.444305,5767117,46.686359
"2013-02-15",56.67086,57.130272,56.544998,57.130272,7023221,47.253727
"2013-02-19",57.287601,57.58968,57.035873,57.281307,7026717,47.378658
"2013-02-20",57.281307,57.394588,56.708622,56.740089,4798462,46.931007
"2013-02-21",56.500942,56.519825,55.707993,56.268093,6014683,46.540604
"2013-02-22",56.570171,56.947765,56.431717,56.947765,5798579,47.102772
"2013-02-25",57.205791,57.237255,55.613594,55.613594,6357589,45.999256
"2013-02-26",56.016361,56.343613,55.802391,56.135937,4142682,46.431286
"2013-02-27",56.073002,57.117683,55.638767,56.998112,5342377,47.144413
"2013-02-28",57.105099,57.470108,56.784142,56.985523,6096357,47.133999
"2013-03-01",56.80302,57.111389,56.186279,56.721207,4302694,46.915371
"2013-03-04",56.349907,56.45689,55.689114,56.091881,4998041,46.394855
"2013-03-05",56.444305,57.451225,56.331024,57.281307,5343489,47.378658
"2013-03-06",57.640026,57.809944,57.205791,57.312775,4075308,47.404682
"2013-03-07",57.394588,57.828823,57.382,57.715546,4014450,47.737823
"2013-03-08",57.916927,58.470737,57.828823,57.942101,4958951,47.925213
"2013-03-11",57.998741,58.590309,57.841412,58.470737,4081029,48.362465
"2013-03-12",58.43927,58.678413,58.055382,58.615482,4810539,48.482166
"2013-03-13",58.64695,58.797985,58.344872,58.577721,6079037,48.450947
"2013-03-14",58.766521,58.810574,58.508495,58.810574,5194282,48.643539
"2013-03-15",58.716175,58.842037,58.527374,58.703587,8863124,48.555065
"2013-03-18",58.508495,58.892384,58.288231,58.382629,4735538,48.289585
"2013-03-19",58.527374,58.94273,58.200127,58.596603,5881048,48.466579
"2013-03-20",59.043423,59.1567,58.747639,58.810574,4786068,48.643539
"2013-03-21",58.533669,58.722466,58.074261,58.168659,3531553,48.112614
"2013-03-22",58.395218,58.930145,58.275646,58.898678,5097194,48.716423
"2013-03-25",59.01825,59.1567,58.105728,58.401508,3740029,48.305199
"2013-03-26",58.703587,58.829453,58.237885,58.30711,4773674,48.227131
"2013-03-27",58.112019,58.376335,57.451225,58.281937,3881450,48.206299
"2013-03-28",58.590309,58.986786,58.533669,58.797985,6430206,48.633133
"2013-04-01",58.628067,58.7854,58.338577,58.477032,4041463,48.367668
"2013-04-02",58.621777,58.86721,58.432976,58.521084,4109790,48.404106
"2013-04-03",58.621777,59.137821,58.533669,58.65324,7003359,48.513424
"2013-04-04",58.760227,59.030838,58.502205,58.628067,4813876,48.492596
"2013-04-05",57.898048,58.370045,57.835117,58.300819,4075467,48.221916
"2013-04-08",58.426682,58.980492,58.162365,58.974197,3791354,48.778889
"2013-04-09",59.118942,59.521713,58.766521,59.439899,5055086,49.164085
"2013-04-10",59.609818,60.226559,59.559471,59.899307,6006738,49.54406
"2013-04-11",60.113277,60.314663,59.893013,60.302078,6211242,49.877205
"2013-04-12",60.182507,60.220264,59.893013,60.220264,4035424,49.809536
"2013-04-15",60.018879,60.088104,58.842037,58.854626,6286402,48.679985
"2013-04-16",59.408432,59.672749,58.980492,59.477657,4518163,49.195301
"2013-04-17",59.024544,59.087475,58.156075,58.432976,5611871,48.331226
"2013-04-18",58.470737,58.596603,57.426052,57.614853,6972214,47.654541
"2013-04-19",57.72184,58.709881,57.72184,58.665829,6013094,48.52383
"2013-04-22",58.665829,59.194462,58.237885,58.923851,4978655,48.737247
"2013-04-23",58.716175,59.314034,57.048458,58.458149,10335809,48.352051
"2013-04-24",58.357456,58.57143,57.784771,57.898048,6718451,47.888771
"2013-04-25",58.14978,58.64695,57.898048,57.967274,5707847,47.946041
"2013-04-26",57.916927,58.030209,57.350536,57.363121,4651639,47.446323
