"dates","MCD.Open","MCD.High","MCD.Low","MCD.Close","MCD.Volume","MCD.Adjusted"
"2011-10-12",89.830002,89.830002,88.029999,88.360001,7847900,67.151527
"2011-10-13",88.389999,89.940002,88.279999,89.309998,4990800,67.87352
"2011-10-14",89.980003,89.980003,89.139999,89.940002,3702300,68.352325
"2011-10-17",89.410004,89.900002,88.510002,88.660004,4321700,67.379562
"2011-10-18",88.949997,90,88.209999,89.639999,4864000,68.124306
"2011-10-19",89.919998,90.629997,89.309998,89.620003,5681700,68.109138
"2011-10-20",90,90.150002,88.379997,89.010002,6969800,67.645546
"2011-10-21",91.220001,92.449997,91.089996,92.32,12081700,70.161064
"2011-10-24",92.07,92.309998,91.400002,92.010002,6653900,69.925461
"2011-10-25",91.860001,92.860001,91.449997,91.769997,6465700,69.743057
"2011-10-26",92.379997,92.669998,90.870003,91.779999,7046500,69.750679
"2011-10-27",93.309998,93.839996,92.010002,93.510002,7004300,71.06543
"2011-10-28",93.489998,93.650002,92.489998,93.290001,4942400,70.898224
"2011-10-31",92.779999,93.68,92.779999,92.849998,4544600,70.56385
"2011-11-01",92.309998,93.389999,91.709999,91.910004,6503500,69.84948
"2011-11-02",92.330002,92.830002,91.669998,92.529999,5421700,70.320656
"2011-11-03",92.830002,93.150002,92.279999,93,5245400,70.677849
"2011-11-04",92.839996,93.830002,92.300003,93.809998,5612500,71.293411
"2011-11-07",93.919998,94.699997,93.220001,94.620003,4646700,71.909004
"2011-11-08",94.959999,95.449997,93.839996,94.599998,7195500,71.893799
"2011-11-09",93.410004,93.959999,92.349998,92.650002,6666000,70.411873
"2011-11-10",93.279999,93.489998,92.589996,93.260002,4189400,70.875427
"2011-11-11",93.93,94.949997,93.860001,94.760002,4425500,72.015396
"2011-11-14",94.349998,94.800003,93.860001,94.059998,3232200,71.483414
"2011-11-15",93.870003,94.910004,93.699997,94.470001,5577300,71.795029
"2011-11-16",93.910004,94.330002,93.07,93.150002,3915600,70.791855
"2011-11-17",93.139999,93.550003,91.720001,92.290001,5435000,70.13829
"2011-11-18",92.559998,93,92.190002,92.739998,4791500,70.480247
"2011-11-21",92.029999,92.620003,91.220001,92.279999,5869400,70.130676
"2011-11-22",91.900002,93.139999,91.809998,92.650002,4695700,70.411873
"2011-11-23",92.32,92.5,91.699997,91.870003,4555800,69.819084
"2011-11-25",91.870003,92.449997,91.800003,92.099998,2452400,69.993866
"2011-11-28",93.190002,93.989998,93.07,93.760002,6101200,71.255417
"2011-11-29",93.540001,93.790001,93.110001,93.459999,5648300,71.561707
"2011-11-30",94.849998,95.540001,94.639999,95.519997,7683300,73.13903
"2011-12-01",95.440002,95.879997,95.220001,95.5,4860300,73.123741
"2011-12-02",96.370003,96.470001,95.32,95.699997,4023100,73.276848
"2011-12-05",96.419998,96.589996,95.080002,95.349998,5906900,73.008865
"2011-12-06",95.470001,96.269997,94.82,96.010002,5346500,73.514221
"2011-12-07",95.830002,96.650002,95.5,96.449997,5137800,73.85112
"2011-12-08",97.029999,98.290001,96.720001,96.919998,8123000,74.210999
"2011-12-09",97.669998,98.43,97.620003,98.029999,5721200,75.060944
"2011-12-12",97.669998,98.529999,97.199997,98.480003,5804900,75.405479
"2011-12-13",98.739998,98.949997,97.760002,98,6862400,75.037941
"2011-12-14",97.760002,98.459999,97.160004,97.610001,6347200,74.739342
"2011-12-15",98.510002,98.779999,97.860001,98.139999,5558600,75.145142
"2011-12-16",98.540001,98.620003,97.080002,97.489998,8867300,74.647446
"2011-12-19",97.919998,98.370003,96.980003,97.239998,5169500,74.456017
"2011-12-20",98.07,98.919998,97.93,98.82,5981100,75.665833
"2011-12-21",98.980003,99.5,98.699997,99.199997,5414500,75.956795
"2011-12-22",99.239998,99.349998,98.550003,98.599998,4752500,75.497375
"2011-12-23",98.839996,100.150002,98.760002,100.150002,3516800,76.684189
"2011-12-27",100.169998,100.82,100,100.550003,3052100,76.990486
"2011-12-28",100.730003,100.75,99.459999,99.580002,3111600,76.247749
"2011-12-29",99.75,101,99.599998,100.809998,3986200,77.189537
"2011-12-30",100.43,100.82,100.059998,100.330002,2957200,76.822029
"2012-01-03",101.330002,101.589996,98.75,98.839996,8895900,75.681129
"2012-01-04",99.110001,100.300003,98.760002,99.389999,6754700,76.102287
"2012-01-05",99.470001,100.400002,98.68,99.830002,8163800,76.439156
