"dates","COP.Open","COP.High","COP.Low","COP.Close","COP.Volume","COP.Adjusted"
"2013-10-22",73.260002,73.529999,72.879997,73.260002,3597300,58.640873
"2013-10-23",72.919998,72.919998,71.949997,72.389999,4442600,57.944481
"2013-10-24",72.669998,73.489998,72.440002,73.389999,3707900,58.744919
"2013-10-25",73.529999,74.099998,73.010002,74.059998,4218700,59.281231
"2013-10-28",73.910004,74.059998,73.599998,73.889999,3480100,59.145149
"2013-10-29",74.199997,74.589996,74,74.339996,3389900,59.505344
"2013-10-30",74.400002,74.480003,72.870003,73.25,5278500,58.632858
"2013-10-31",73.660004,74.480003,73.279999,73.330002,5556600,58.696888
"2013-11-01",73.559998,73.559998,72.209999,73.089996,4921000,58.504772
"2013-11-04",73.370003,73.510002,72.839996,73.330002,3604300,58.696888
"2013-11-05",73.029999,73.279999,72.5,72.57,4592500,58.088547
"2013-11-06",73.190002,73.970001,73.110001,73.900002,5644300,59.15316
"2013-11-07",73.849998,73.93,72.269997,72.510002,5836600,58.040512
"2013-11-08",72.489998,73.720001,72.370003,73.690002,4819600,58.985062
"2013-11-11",73.459999,73.830002,73.330002,73.559998,2786700,58.880985
"2013-11-12",73.25,73.470001,72.610001,72.82,3125000,58.288662
"2013-11-13",72.739998,73.360001,72.57,73.339996,3463600,58.704895
"2013-11-14",73.580002,73.800003,73.199997,73.68,3833000,58.977058
"2013-11-15",73.550003,73.57,72.75,73.300003,5341200,58.672878
"2013-11-18",73.470001,73.629997,72.199997,72.309998,4718300,57.880424
"2013-11-19",72.120003,72.690002,71.760002,72.260002,7124200,57.840412
"2013-11-20",72.489998,72.93,72.089996,72.25,4139300,57.832417
"2013-11-21",72.470001,73.599998,72.400002,73.339996,3988900,58.704895
"2013-11-22",73.489998,74.07,73.239998,74.019997,3633800,59.249207
"2013-11-25",73.760002,73.919998,72.75,72.809998,5294800,58.280663
"2013-11-26",72.82,73.510002,72.489998,72.93,4089800,58.376724
"2013-11-27",72.940002,73.400002,72.379997,72.620003,3301300,58.128574
"2013-11-29",72.639999,73.540001,72.5,72.800003,2434300,58.272659
"2013-12-02",73.389999,73.489998,72.25,72.57,5696100,58.088547
"2013-12-03",72.470001,73.139999,72.139999,72.470001,5411900,58.008503
"2013-12-04",72.339996,72.620003,71.120003,71.410004,5399100,57.160027
"2013-12-05",71.209999,71.349998,70.120003,70.839996,5040400,56.703766
"2013-12-06",71.18,71.480003,70.199997,70.769997,5560700,56.647747
"2013-12-09",70.550003,70.989998,70.199997,70.440002,4952900,56.383602
"2013-12-10",70.199997,70.629997,69.809998,70.309998,4712300,56.27953
"2013-12-11",70.309998,70.330002,69.050003,69.110001,5776900,55.319004
"2013-12-12",69.129997,69.790001,68.910004,69.480003,5714600,55.615158
"2013-12-13",69.540001,70.160004,69.290001,69.43,4649000,55.57515
"2013-12-16",69.699997,70.139999,69.519997,69.790001,4167400,55.863285
