"dates","YUM.Open","YUM.High","YUM.Low","YUM.Close","YUM.Volume","YUM.Adjusted"
"2014-05-15",54.579437,54.65852,53.249462,53.824589,4419763,47.22509
"2014-05-16",53.716751,53.918045,53.479511,53.781452,2971037,47.187241
"2014-05-19",53.601727,53.723942,53.314163,53.630482,2622452,47.054783
"2014-05-20",53.745506,54.299065,53.422001,53.673615,3849593,47.092625
"2014-05-21",53.874908,53.874908,53.472321,53.680805,2366091,47.098946
"2014-05-22",53.65205,54.018692,53.450756,53.824589,2450803,47.22509
"2014-05-23",53.824589,53.910854,53.544212,53.752697,2442040,47.162014
"2014-05-27",54.076202,54.89576,53.9468,54.759167,3072163,48.045078
"2014-05-28",54.644142,55.499641,54.399712,55.312725,4122089,48.530777
"2014-05-29",55.298347,55.499641,54.888569,55.154564,3113893,48.392002
"2014-05-30",55.240833,55.643421,55.10424,55.57872,4008862,48.764153
"2014-06-02",55.327103,56.182602,55.327103,56.161034,2267469,49.27507
"2014-06-03",56.060387,56.621136,55.859093,56.542057,3823024,49.609379
"2014-06-04",56.534866,56.606758,56.146656,56.577999,2924995,49.640911
"2014-06-05",56.700214,57.038101,56.470165,56.872753,2383896,49.899525
"2014-06-06",57.009346,57.50539,56.82243,57.50539,3143382,50.454594
"2014-06-09",57.462257,57.656361,57.196262,57.383179,4345206,50.347355
"2014-06-10",57.203449,57.368797,56.815243,57.081238,1811638,50.082451
"2014-06-11",56.836807,57.239395,56.685837,57.174694,2057845,50.164452
"2014-06-12",57.21064,57.426311,56.527679,56.628326,2695202,49.685059
"2014-06-13",56.599567,57.066856,56.254494,56.959023,2403509,49.975216
"2014-06-16",56.707405,56.894321,56.556435,56.865562,1929734,49.893215
"2014-06-17",56.73616,57.181885,56.613949,57.145939,1924866,50.13921
"2014-06-18",57.181885,57.347233,56.707405,57.282532,1347462,50.259052
"2014-06-19",57.476635,57.97987,57.390366,57.778576,3144634,50.694279
"2014-06-20",57.778576,57.951115,57.577282,57.872036,3272049,50.776279
"2014-06-23",57.936737,58.044571,57.59166,57.951115,2435919,50.845665
"2014-06-24",57.749821,58.353703,57.677929,57.943924,2236450,50.839348
"2014-06-25",57.943924,59.022285,57.778576,58.936016,4047532,51.709816
"2014-06-26",58.950394,59.043854,58.360889,58.7491,2964360,51.545807
"2014-06-27",58.727535,58.979153,58.396835,58.885693,2583087,51.665657
"2014-06-30",58.806614,58.806614,58.231487,58.375271,2818444,51.217808
"2014-07-01",58.677212,58.914452,58.461536,58.619698,3235049,51.432278
"2014-07-02",58.698776,59.115746,58.634075,58.892883,2000119,51.671967
"2014-07-03",58.914452,59.626167,58.84256,59.302662,1719276,52.031494
"2014-07-07",59.252335,59.302662,58.533428,59.158878,2403509,51.905338
"2014-07-08",59.209202,59.475197,58.856937,59.166069,4194839,51.911648
"2014-07-09",58.806614,59.978432,58.770668,59.834652,4220155,52.735344
"2014-07-10",59.273903,59.46801,58.928829,59.28828,2352042,52.253796
"2014-07-11",59.281094,59.489574,58.892883,59.202011,1785209,52.177753
"2014-07-14",59.561466,59.985622,59.367363,59.877785,2746808,52.773361
"2014-07-15",59.899353,60.086269,59.453629,59.798706,3725515,52.703659
"2014-07-16",59.892162,59.992809,59.352982,59.460819,5010799,52.405861
"2014-07-17",57.929546,58.231487,55.10424,55.363049,17902448,48.794281
"2014-07-18",55.449318,56.412655,55.391804,55.657799,6984489,49.054066
"2014-07-21",54.946083,54.946083,53.271027,53.292595,11790533,46.96949
"2014-07-22",53.630482,54.025883,53.41481,53.80302,6214432,47.419353
"2014-07-23",54.227177,54.299065,53.702374,53.70956,8027183,47.336975
"2014-07-24",53.918045,53.918045,53.005032,53.08411,8249326,46.785744
"2014-07-25",53.120056,53.486698,53.120056,53.227894,4433952,46.91246
"2014-07-28",53.335732,53.486698,53.048168,53.314163,4714099,46.988503
"2014-07-29",53.537025,53.975555,53.062546,53.062546,5170625,46.766747
"2014-07-30",53.148815,53.242271,52.336449,52.480228,7335717,46.253513
"2014-07-31",49.381741,49.949677,48.950394,49.892162,24729337,43.972519
"2014-08-01",49.942486,50.754852,49.928108,50.654205,9857461,44.644138
"2014-08-04",50.718906,51.085548,50.438534,50.452911,6494440,44.46674
"2014-08-05",50.726097,50.726097,50.007191,50.028755,8544218,44.092907
"2014-08-06",50.38821,50.71172,50.035946,50.323509,4252843,44.352684
"2014-08-07",50.639828,50.733284,50.007191,50.122215,4811747,44.17527
"2014-08-08",50.23724,50.53199,49.877785,50.301941,3244368,44.333672
"2014-08-11",50.366642,50.553558,50.251617,50.352264,3391954,44.378033
"2014-08-12",50.445724,50.524803,50.280373,50.345074,2731785,44.3717
"2014-08-13",50.611073,50.977715,50.38102,50.668583,2707164,44.656818
"2014-08-14",51.286842,51.286842,50.618259,51.078362,4539668,45.017967
"2014-08-15",51.39468,51.667866,51.258087,51.387489,5144335,45.290424
"2014-08-18",51.675053,52.250179,51.495327,51.861969,4659572,45.708599
"2014-08-19",52.113586,52.271748,51.63192,52.113586,6339483,45.93037
"2014-08-20",52.113586,52.818115,52.1064,52.444286,6335031,46.221851
"2014-08-21",52.631203,52.631203,51.797268,51.962616,5315707,45.797325
"2014-08-22",52.02013,52.142345,51.768513,52.056076,3634127,45.879692
"2014-08-25",52.300503,52.559311,52.156723,52.31488,3093167,46.107784
"2014-08-26",52.523365,52.616821,52.120777,52.487419,4796864,46.259853
"2014-08-27",52.523365,52.588066,51.797268,51.991371,2759188,45.822651
"2014-08-28",51.761322,52.171101,51.560028,51.984184,3040170,45.816326
"2014-08-29",52.120777,52.221424,51.818836,52.070454,2998301,45.892361
"2014-09-02",51.761322,52.02013,50.841122,51.344357,5995071,45.252411
"2014-09-03",51.473759,51.833214,51.200577,51.387489,3645672,45.290424
"2014-09-04",50.244427,51.653488,50.057514,51.531273,10706805,45.417149
"2014-09-05",51.488136,52.027317,51.272465,52.02013,4328236,45.848003
"2014-09-08",51.969807,52.099209,51.703812,52.005753,2432164,45.835339
"2014-09-09",52.099209,52.1064,51.68943,51.811646,3635100,45.664261
"2014-09-10",51.746944,52.278934,51.682243,52.185478,2867825,45.993725
"2014-09-11",52.207047,52.724659,51.941051,52.185478,3105825,45.993725
"2014-09-12",51.991371,52.070454,51.236519,51.459381,3497948,45.35379
"2014-09-15",51.322788,51.739758,51.322788,51.574406,2466382,45.455166
"2014-09-16",51.725376,51.976994,51.423435,51.754135,2684908,45.613564
