"dates","ISRG.Open","ISRG.High","ISRG.Low","ISRG.Close","ISRG.Volume","ISRG.Adjusted"
"2010-04-05",117.5,117.996666,114.833336,115.26667,1451100,115.26667
"2010-04-06",114.946671,115.333336,114.300003,114.433334,1374000,114.433334
"2010-04-07",114.666664,114.833336,110.599998,111.123337,2536800,111.123337
"2010-04-08",110.419998,113.553329,110.01667,113.366669,2007600,113.366669
"2010-04-09",114,117.046669,113.419998,116.873337,2041200,116.873337
"2010-04-12",117.583336,118.166664,116.863335,118.07,1649100,118.07
"2010-04-13",118.126663,123.26667,118.003334,122.476669,4729200,122.476669
"2010-04-14",123.333336,128.183334,123.006668,127.98333,3745800,127.98333
"2010-04-15",128.363327,131.306671,126.269997,129.33667,4831200,129.33667
"2010-04-16",126.333336,130.996674,119.956665,120.129997,7398600,120.129997
"2010-04-19",120.196671,123.230003,118.400002,120.660004,3086400,120.660004
"2010-04-20",121.326668,122.91333,120.903336,122.226669,1791600,122.226669
"2010-04-21",121.59333,123.57,120.666664,121.993332,2406900,121.993332
"2010-04-22",121.333336,124.553329,120.166664,122.910004,2063700,122.910004
"2010-04-23",123.110001,123.629997,121.253334,121.660004,1445100,121.660004
"2010-04-26",121.629997,122.313332,119.493332,120.723335,1265700,120.723335
"2010-04-27",120,122.416664,118.73333,119.26667,1418700,119.26667
"2010-04-28",120.006668,120.903336,119.666664,120.029999,1069800,120.029999
"2010-04-29",120.503334,123.886665,120.333336,122.793335,1164300,122.793335
"2010-04-30",122.669998,123.84333,120.186668,120.186668,1089600,120.186668
"2010-05-03",121,124.353333,120.76667,124.073334,1595700,124.073334
"2010-05-04",122.970001,123.166664,119.669998,120.573334,1377600,120.573334
"2010-05-05",117.23333,117.993332,113.699997,115.646667,2659500,115.646667
"2010-05-06",115.323334,116.553329,104.716667,112.43,2991900,112.43
"2010-05-07",112.003334,112.66333,103.796669,108.106667,3861300,108.106667
"2010-05-10",113.666664,115.32,112.686668,114.813332,2211000,114.813332
"2010-05-11",113.730003,115.833336,112.666664,114.93,1084200,114.93
"2010-05-12",116,118.769997,115.669998,118.166664,1285800,118.166664
"2010-05-13",118.633331,119.626663,116.666664,116.936668,799500,116.936668
"2010-05-14",116.173332,116.57,112.053329,113.373337,1225200,113.373337
"2010-05-17",114.326668,114.629997,111.456665,113.699997,1195800,113.699997
"2010-05-18",114.860001,115.269997,110.599998,110.826668,1191000,110.826668
"2010-05-19",110.116669,111.933334,107.463333,109.589996,1703100,109.589996
"2010-05-20",107.063332,107.616669,103.546669,103.966667,2025300,103.966667
"2010-05-21",101.669998,107.26667,100.349998,107.026665,3304500,107.026665
"2010-05-24",107.849998,108.349998,105.089996,105.453331,1627500,105.453331
"2010-05-25",103.633331,106.75,101.536667,106.386665,2596200,106.386665
"2010-05-26",107.353333,111.276665,102.199997,105.823334,3848400,105.823334
"2010-05-27",108.209999,110.253334,107,110.150002,1595700,110.150002
"2010-05-28",110.199997,110.370003,106.866669,107.589996,1313400,107.589996
"2010-06-01",110.166664,110.166664,105.856667,108.056664,1674300,108.056664
"2010-06-02",108.489998,111.373337,107.753334,111.373337,1723500,111.373337
"2010-06-03",111.446671,113.333336,111.376663,112.459999,1168800,112.459999
"2010-06-04",110.576668,111.153336,108.029999,108.223335,1461300,108.223335
"2010-06-07",108.76667,109.216667,106.756668,107.010002,1438200,107.010002
"2010-06-08",107.120003,108.153336,105.496666,107.543335,1391700,107.543335
"2010-06-09",108.473335,109.476669,106.823334,107.073334,1015200,107.073334
"2010-06-10",109.053329,110.459999,107.379997,110.316666,1173600,110.316666
"2010-06-11",108.863335,112.580002,108.863335,112.370003,1221000,112.370003
"2010-06-14",110.666664,111.193336,108.603333,109.133331,1555500,109.133331
"2010-06-15",109.23333,111.269997,108.306664,111.136665,1261500,111.136665
"2010-06-16",110.533333,112.183334,110.196671,111.476669,756000,111.476669
"2010-06-17",112.596664,113.690002,111.333336,113.443336,1134000,113.443336
"2010-06-18",113.476669,116.940002,112.669998,116.633331,2197200,116.633331
"2010-06-21",118.706665,119.629997,116.379997,117.096664,1359300,117.096664
"2010-06-22",117.660004,118.963333,114.589996,115.029999,1667100,115.029999
"2010-06-23",114.900002,114.980003,112,112.806664,1948800,112.806664
"2010-06-24",111.940002,113.126663,110.236664,110.636665,1086600,110.636665
"2010-06-25",110.813332,112.610001,110.003334,112.473335,1500900,112.473335
"2010-06-28",112.816666,113.323334,110.349998,111.866669,658800,111.866669
