"dates","DRI.Open","DRI.High","DRI.Low","DRI.Close","DRI.Volume","DRI.Adjusted"
"2011-03-08",41.75407,41.977543,41.173035,41.423325,2742589,30.20014
"2011-03-09",41.441204,42.27253,41.217728,42.18314,2669874,30.754095
"2011-03-10",41.700436,42.317226,41.575291,41.968605,1775143,30.597673
"2011-03-11",41.611046,42.263592,41.494839,42.00436,1878174,30.623758
"2011-03-14",41.655739,42.281471,41.584229,41.834518,1799866,30.499922
"2011-03-15",40.922741,41.75407,40.842293,41.512714,3923705,30.265306
"2011-03-16",41.387569,41.771946,40.976376,41.04789,1654324,29.926426
"2011-03-17",41.646801,41.861336,41.092583,41.173035,1301264,30.017662
"2011-03-18",41.539532,41.718311,41.173035,41.289242,1444569,30.102388
"2011-03-21",41.771946,41.959667,41.476959,41.602104,1203714,30.330484
"2011-03-22",41.736191,42.18314,41.619984,41.780888,1553418,30.460827
"2011-03-23",41.637863,42.308289,41.19091,42.254654,1446135,30.806229
"2011-03-24",42.522823,43.103859,42.352982,42.916138,2238617,31.288496
"2011-03-25",42.379799,42.603275,40.681389,40.788658,5374427,29.737431
"2011-03-28",41.074703,41.602104,40.931683,41.253487,3159414,30.076313
"2011-03-29",41.75407,42.585396,41.423325,42.352982,2629153,30.877903
"2011-03-30",42.692665,43.407784,42.567516,43.372028,2269493,31.620867
"2011-03-31",43.255821,43.953064,42.934017,43.917309,3023157,32.01841
"2011-04-01",43.827915,44.078209,43.407784,43.488235,1922475,31.705585
"2011-04-04",43.667015,44.051392,43.264759,43.443539,1221501,31.673006
"2011-04-05",43.416721,43.79216,43.175369,43.291576,1452735,31.562206
"2011-04-06",43.220066,43.345211,42.790993,42.969772,1350039,31.535963
"2011-04-07",42.790993,43.112797,42.326164,42.424496,2946750,31.135782
"2011-04-08",42.594334,42.630093,41.673618,41.91497,1658463,30.761841
"2011-04-11",41.906033,42.192081,41.512714,41.736191,1264571,30.630623
"2011-04-12",41.566349,42.424496,41.566349,41.888153,1764068,30.742153
"2011-04-13",42.00436,42.263592,41.485901,41.602104,1857702,30.532227
"2011-04-14",41.485901,42.361919,41.351814,42.352982,1773017,31.083286
"2011-04-15",42.478127,42.72842,42.245712,42.630093,1232912,31.286674
"2011-04-18",42.192081,42.451309,41.879215,42.218899,1256964,30.984894
"2011-04-19",42.335106,42.88932,42.227837,42.603275,1972368,31.266989
"2011-04-20",42.99659,43.398846,42.9072,43.318394,1625126,31.791813
"2011-04-21",43.363091,43.363091,42.871445,42.925079,1511355,31.50317
"2011-04-25",42.942955,42.987652,42.522823,42.934017,1038259,31.509735
"2011-04-26",42.960835,43.157494,42.540703,42.81781,1230563,31.424442
"2011-04-27",42.9072,43.211124,41.995422,42.361919,2234814,31.089861
"2011-04-28",42.263592,42.692665,42.02224,42.379799,1274975,31.102985
"2011-04-29",42.370861,42.370861,41.780888,41.986485,1521423,30.814316
"2011-05-02",42.165264,42.335106,41.852398,42.138447,1151135,30.925837
"2011-05-03",42.129505,42.424496,41.655739,41.91497,3099004,30.761841
"2011-05-04",42.02224,43.273701,41.718311,43.085979,2681844,31.62125
"2011-05-05",42.951897,44.435768,42.9072,43.738525,2129209,32.100163
"2011-05-06",44.122906,44.462585,43.139614,43.291576,1700078,31.772141
"2011-05-09",43.193249,43.622318,43.014469,43.121735,1113883,31.647497
"2011-05-10",43.229004,43.854733,43.229004,43.434601,1360331,31.877108
"2011-05-11",43.345211,43.97094,43.327332,43.693832,1511019,32.067364
"2011-05-12",43.61338,44.695,43.559746,44.632427,2139501,32.75621
"2011-05-13",44.596672,45.24028,44.498341,44.972111,1756125,33.005497
"2011-05-16",44.802269,45.052559,44.543037,44.855904,1982548,32.920212
"2011-05-17",44.51622,44.998924,44.033512,44.775452,2096319,32.861176
"2011-05-18",44.954231,45.49057,44.793327,45.436935,1879740,33.346649
"2011-05-19",45.57996,46.590069,45.481632,46.509617,2376217,34.133892
"2011-05-20",46.527496,46.527496,45.526325,46.053726,2084797,33.799313
"2011-05-23",45.651474,46.545372,45.535267,46.009033,1381474,33.76651
"2011-05-24",46.169933,46.169933,45.588902,45.937523,1604318,33.714027
