"dates","IFF.Open","IFF.High","IFF.Low","IFF.Close","IFF.Volume","IFF.Adjusted"
"2012-01-17",55.310001,55.689999,54.720001,55.080002,685200,45.52927
"2012-01-18",55.09,55.810001,54.880001,55.700001,701100,46.041763
"2012-01-19",55.75,56.09,55.32,56.02,1127000,46.306274
"2012-01-20",56.049999,56.369999,55.959999,56.150002,648200,46.413727
"2012-01-23",56.150002,56.549999,56.049999,56.459999,513200,46.669979
"2012-01-24",56.259998,56.59,55.939999,56.450001,353700,46.661716
"2012-01-25",56.299999,56.880001,56.139999,56.790001,370300,46.942745
"2012-01-26",57,57.099998,56.580002,56.759998,430000,46.917953
"2012-01-27",56.610001,57.139999,56.599998,56.939999,502900,47.06675
"2012-01-30",56.509998,56.610001,56,56.41,723600,46.628647
"2012-01-31",56.610001,56.75,55.709999,55.810001,839700,46.13269
"2012-02-01",56.330002,56.669998,56.07,56.279999,542000,46.521191
"2012-02-02",56.299999,56.59,56.029999,56.040001,578400,46.322803
"2012-02-03",57.32,57.32,56.279999,56.389999,649600,46.61211
"2012-02-06",56.200001,56.509998,55.959999,56.290001,462600,46.529434
"2012-02-07",56.040001,56.130001,55.509998,55.599998,1149200,45.959095
"2012-02-08",55.810001,56.490002,55.580002,56.25,897800,46.496387
"2012-02-09",58.330002,58.810001,56.41,57.220001,1226500,47.298203
"2012-02-10",57.25,57.25,55.5,56.02,830400,46.306274
"2012-02-13",56.43,56.630001,56.18,56.299999,497100,46.53772
"2012-02-14",56.060001,56.450001,55.990002,56.400002,718500,46.620384
"2012-02-15",56.48,56.759998,55.900002,55.98,595500,46.273216
"2012-02-16",55.91,56.59,55.709999,56.310001,494900,46.545998
"2012-02-17",56.5,56.709999,56.34,56.66,672900,46.835304
"2012-02-21",56.73,57.52,56.650002,57.349998,829100,47.405659
"2012-02-22",57.43,57.619999,57.029999,57.419998,458500,47.463524
"2012-02-23",57.52,57.66,56.939999,57.48,378200,47.513111
"2012-02-24",57.560001,57.889999,57.34,57.630001,465600,47.637108
"2012-02-27",57.27,57.799999,57.150002,57.619999,326500,47.628838
"2012-02-28",57.740002,58.07,57.349998,57.599998,536600,47.612309
