"dates","WLTW.Open","WLTW.High","WLTW.Low","WLTW.Close","WLTW.Volume","WLTW.Adjusted"
"2011-11-30",93.880798,93.933777,92.688744,93.403976,952130,76.648872
"2011-12-01",93.37748,94.596024,93.059601,93.880798,470101,77.040192
"2011-12-02",94.860924,96.768211,94.543045,96.635765,348281,79.300934
"2011-12-05",99.576157,99.973511,97.271523,99.655632,530614,81.779083
"2011-12-06",99.7351,100.132446,98.64901,99.099335,283955,81.322609
"2011-12-07",99.099335,101.033112,98.701988,100.794701,360777,82.713829
"2011-12-08",100.211922,101.112579,99.814568,100.132446,400452,82.170372
"2011-12-09",100.635765,101.218544,100.185432,100.609268,237032,82.561661
"2011-12-12",99.788078,100.662254,96.052979,100.476822,320648,82.45298
"2011-12-13",100.609268,101.112579,99.947021,100.344368,475763,82.344307
"2011-12-14",100.132446,100.688744,100.026489,100.688744,393091,82.6269
"2011-12-15",101.139076,101.139076,99.947021,100.344368,318157,82.344307
"2011-12-16",100.715233,100.900665,99.629143,100.132446,321441,82.170372
"2011-12-19",100.609268,100.927155,99.788078,100.132446,260437,82.170372
"2011-12-20",101.668877,102.781456,100.397354,102.463577,475763,84.083336
"2011-12-21",102.198677,103.311256,101.695366,102.940399,377198,84.474648
"2011-12-22",102.569534,103.17881,100.55629,101.907288,738918,83.626846
"2011-12-23",102.304634,103.364235,102.092712,103.337746,385880,84.800713
"2011-12-27",103.390732,104.238411,102.701988,103.761589,225141,85.148521
"2011-12-28",103.125832,103.17881,102.437088,102.516556,170101,84.688965
"2011-12-29",102.437088,103.072845,102.278145,102.966888,98716,85.060982
"2011-12-30",103.072845,103.258278,102.384109,102.781456,167383,84.907806
"2012-01-03",103.841057,104.105957,102.543045,102.781456,275348,84.907806
"2012-01-04",102.569534,102.966888,101.880798,102.198677,268516,84.426376
"2012-01-05",101.695366,104.052979,101.08609,103.973511,307134,85.892555
"2012-01-06",103.4702,104.105957,102.834435,103.099335,305473,85.170403
"2012-01-09",102.993378,103.496689,101.668877,102.225166,458625,84.44825
"2012-01-10",102.569534,103.523178,102.278145,103.284767,330199,85.323586
"2012-01-11",102.437088,103.4702,101.748344,102.781456,222498,84.907806
"2012-01-12",102.940399,103.231789,102.225166,102.410599,179388,84.601456
"2012-01-13",101.589401,102.516556,101.37748,102.463577,269761,84.645203
"2012-01-17",102.596024,102.940399,101.668877,101.986755,237296,84.251305
"2012-01-18",101.615891,102.966888,101.298012,102.966888,206228,85.060982
"2012-01-19",103.152321,105.165565,101.933777,102.145699,236655,84.382568
"2012-01-20",102.331123,102.331123,101.589401,101.668877,344091,83.988708
"2012-01-23",100.980133,101.880798,100.291389,101.37748,381766,83.747993
"2012-01-24",101.536423,103.17881,101.139076,102.834435,266402,84.951584
"2012-01-25",102.834435,103.417221,102.119202,103.311256,528726,85.345467
"2012-01-26",103.947021,104.2649,102.596024,103.046356,278670,85.126633
"2012-01-27",102.728477,103.231789,101.960266,102.596024,263080,84.754616
"2012-01-30",102.64901,102.91391,101.695366,102.463577,430916,84.645203
"2012-01-31",102.596024,104.052979,102.384109,102.966888,345186,85.060982
"2012-02-01",103.602646,105.403976,103.311256,104.662254,532803,86.46151
"2012-02-02",105.033112,105.562912,104,104.635765,236164,86.439651
"2012-02-03",105.403976,105.403976,103.205299,104,329180,85.914436
"2012-02-06",103.4702,105.006622,102.966888,103.973511,179048,85.892555
"2012-02-07",103.258278,103.761589,103.072845,103.44371,477953,85.454865
"2012-02-08",103.655632,104.5298,103.205299,104.317879,411475,86.177055
"2012-02-09",104.079468,104.715233,103.602646,104.635765,139373,86.439651
"2012-02-10",104.132446,104.2649,101.536423,103.417221,136315,85.432983
"2012-02-13",104.026489,104.635765,103.337746,103.788078,252698,85.73938
"2012-02-14",103.099335,103.364235,101.960266,102.437088,268327,84.623329
"2012-02-15",90.91391,94.781456,90.91391,91.44371,2651900,75.541656
"2012-02-16",91.523178,93.006622,90.198677,90.384109,2505279,74.666351
"2012-02-17",90.251656,91.337746,89.562912,90.331123,3254239,74.622574
"2012-02-21",90.543045,91.364235,90.172188,91.311256,1329291,75.432266
"2012-02-22",91.337746,93.033112,90.887421,93.033112,1069722,76.854706
"2012-02-23",92.900665,94.437088,92.715233,93.668877,947223,77.37989
"2012-02-24",94.145699,94.728477,93.245033,93.430466,726159,77.182968
"2012-02-27",93.509933,94.64901,91.655632,92.423843,827178,76.351379
"2012-02-28",92.2649,94.91391,92.2649,94.066223,722082,77.708138
"2012-02-29",94.066223,95.390732,93.668877,95.046356,1100224,78.51786
"2012-03-01",95.019867,95.231789,93.536423,93.642387,678594,77.358017
"2012-03-02",93.456955,94.357613,93.059601,93.192055,980292,76.985977
"2012-03-05",93.139076,94.119202,92.794701,93.933777,460361,77.598724
"2012-03-06",93.509933,93.933777,92.158943,92.158943,791164,76.132553
"2012-03-07",92.635765,92.635765,91.337746,91.655632,626197,75.716759
"2012-03-08",91.947021,93.112579,91.337746,92.900665,670327,76.745262
"2012-03-09",93.192055,93.456955,92.370857,93.139076,333559,76.942215
"2012-03-12",92.450333,93.536423,92.450333,92.927155,571950,76.767159
"2012-03-13",93.748344,93.748344,92.609268,93.165565,506567,76.964134
"2012-03-14",93.509933,95.417221,93.112579,95.284767,846619,78.714767
"2012-03-15",95.284767,95.7351,94.543045,95.496689,450433,78.889862
"2012-03-16",95.576157,95.973511,94.754967,95.019867,1114191,78.495949
"2012-03-19",95.152321,95.284767,94.834435,95.152321,272857,78.605331
"2012-03-20",94.569534,95.099335,92.715233,92.953644,644128,76.789024
"2012-03-21",92.794701,92.980133,92.238411,92.715233,996109,76.592094
"2012-03-22",92.158943,93.192055,91.7351,92.953644,452622,76.789024
"2012-03-23",93.218544,93.430466,92.503311,92.82119,241675,76.679642
"2012-03-26",93.37748,93.827812,93.059601,93.456955,340845,77.204826
"2012-03-27",93.430466,93.748344,92.980133,93.456955,246281,77.204826
"2012-03-28",92.635765,93.748344,92.55629,93.139076,198791,77.535606
"2012-03-29",92.688744,93.006622,92.450333,92.741722,221894,77.204811
"2012-03-30",93.033112,93.430466,92.662254,92.662254,279878,77.138687
"2012-04-02",92.370857,93.483444,91.920532,92.82119,402000,77.270966
"2012-04-03",92.82119,93.298012,92.662254,93.192055,324046,77.579697
"2012-04-04",93.006622,93.033112,92.5298,92.688744,741183,77.160713
"2012-04-05",92.741722,92.900665,92.370857,92.794701,536012,77.248932
"2012-04-09",91.947021,92.900665,91.920532,92.741722,411626,77.204811
"2012-04-10",92.503311,93.536423,92.026489,92.079468,617892,76.653503
"2012-04-11",92.344368,93.298012,92.238411,92.847679,302755,77.29303
"2012-04-12",92.768211,93.695366,92.741722,93.668877,285239,77.976662
"2012-04-13",93.165565,94.119202,92.741722,92.847679,324461,77.29303
"2012-04-16",93.403976,93.562912,92.5298,93.006622,594751,77.425323
"2012-04-17",93.589401,94.966888,92.980133,94.463577,723101,78.638229
"2012-04-18",94.278145,94.278145,92.927155,93.536423,448696,77.866394
"2012-04-19",93.509933,94.834435,93.509933,94.490067,584408,78.660271
"2012-04-20",95.099335,95.894043,94.437088,95.7351,490637,79.696716
"2012-04-23",94.966888,95.788078,94.966888,95.682121,571837,79.652634
"2012-04-24",95.44371,96.238411,95.417221,95.894043,439297,79.829048
"2012-04-25",95.814568,97.748344,95.814568,97.695366,619855,81.32859
"2012-04-26",97.403976,99.019867,96.609268,98.860924,963757,82.298882
"2012-04-27",98.013245,98.039734,96.052979,97.536423,1751449,81.196274
"2012-04-30",95.364235,96.741722,95.364235,96.582779,1182670,80.402397
"2012-05-01",96.609268,96.794701,95.973511,96.370857,669345,80.225983
"2012-05-02",96.132446,96.582779,95.337746,96.450333,809964,80.292152
"2012-05-03",96.423843,96.635765,96.105957,96.503311,551188,80.336227
"2012-05-04",96.503311,96.503311,95.576157,96.105957,462362,80.00544
"2012-05-07",95.788078,96.291389,95.4702,96.211922,397885,80.093666
"2012-05-08",95.920532,96,95.311256,95.496689,501093,79.498253
"2012-05-09",95.152321,95.920532,94.543045,95.894043,452585,79.829048
"2012-05-10",96.609268,96.635765,95.311256,95.496689,466703,79.498253
"2012-05-11",95.205299,95.602646,94.64901,95.125832,530425,79.189529
"2012-05-14",94.754967,95.099335,93.960266,93.986755,402415,78.24128
"2012-05-15",93.35099,94.490067,93.298012,93.721855,358549,78.020767
"2012-05-16",93.960266,94.516556,93.35099,93.430466,399357,77.778168
"2012-05-17",93.509933,93.562912,92.317879,92.55629,401773,77.050461
"2012-05-18",92.927155,93.165565,90.91391,90.966888,527934,75.727325
"2012-05-21",91.152321,91.576157,90.887421,91.099335,503434,75.837601
"2012-05-22",91.337746,91.947021,90.701988,91.7351,961643,76.366837
"2012-05-23",91.629143,92.5298,91.364235,92.5298,438881,77.028389
"2012-05-24",92.741722,96.185432,92.291389,93.589401,551037,77.910484
"2012-05-25",94.013245,94.410599,93.536423,93.748344,380067,78.042809
"2012-05-29",94.834435,94.834435,93.774834,94.251656,309021,78.461815
"2012-05-30",94.91391,94.91391,93.430466,93.827812,284559,78.108978
"2012-05-31",93.668877,94.251656,93.112579,93.430466,633407,77.778168
"2012-06-01",92.768211,93.271523,91.655632,92.026489,391920,76.609421
"2012-06-04",91.841057,92.82119,91.576157,92.741722,337674,77.204811
