"dates","BXP.Open","BXP.High","BXP.Low","BXP.Close","BXP.Volume","BXP.Adjusted"
"2010-06-09",74.459999,76.449997,74.18,74.620003,2039300,52.487259
"2010-06-10",75.800003,78.470001,75.349998,78.190002,2181700,54.998383
"2010-06-11",77.160004,79.099998,77.139999,79.019997,1541000,55.582195
"2010-06-14",79.809998,80.519997,78.449997,79.260002,1852500,55.751022
"2010-06-15",79.75,81.230003,79.040001,81.080002,1655900,57.031197
"2010-06-16",80.489998,81.120003,79.870003,80.449997,1384700,56.588062
"2010-06-17",80.599998,80.790001,79.540001,79.970001,1635000,56.250397
"2010-06-18",80.25,80.419998,79.660004,80.089996,1613900,56.334839
"2010-06-21",81.080002,81.800003,79.220001,79.389999,1286700,55.842449
"2010-06-22",79.720001,79.769997,76.269997,76.360001,1758200,53.711159
"2010-06-23",76.5,77.510002,75.419998,76.529999,1348900,53.830753
"2010-06-24",76.050003,76.360001,74.120003,74.239998,1656200,52.219982
"2010-06-25",74.779999,76.989998,74.370003,76.739998,1671100,53.978455
"2010-06-28",76.209999,76.440002,74.489998,74.650002,1242200,52.852734
"2010-06-29",73.599998,73.93,71.82,72.339996,2258700,51.217232
"2010-06-30",72.059998,73.489998,71.07,71.339996,1630200,50.50922
"2010-07-01",71.559998,71.93,69.839996,71.25,1592600,50.445492
"2010-07-02",71.599998,71.849998,69.5,69.699997,1242000,49.348095
"2010-07-06",71.269997,72.080002,68.470001,69.080002,2404800,48.909126
"2010-07-07",69.419998,72.839996,69.080002,72.769997,2130000,51.521675
"2010-07-08",73.699997,74.370003,72.330002,73.849998,1553400,52.286316
"2010-07-09",73.889999,75.290001,73.68,75.230003,1261600,53.263371
"2010-07-12",75.169998,75.75,74.150002,75.510002,866800,53.461609
"2010-07-13",76.529999,77.660004,76.07,77.379997,1355700,54.78558
"2010-07-14",76.580002,77.620003,75.93,77.010002,964000,54.523617
"2010-07-15",77.150002,77.5,75.349998,77.309998,953700,54.736031
"2010-07-16",76.410004,76.949997,74.029999,74.709999,1791200,52.895203
"2010-07-19",74.75,76.68,73.93,76.25,1497700,53.985531
"2010-07-20",75,78.040001,74.68,77.970001,1828300,55.203316
"2010-07-21",78.370003,78.5,75.739998,76.080002,1351800,53.865173
"2010-07-22",77.129997,79.779999,76.529999,79.139999,1709800,56.031666
"2010-07-23",78.839996,80.099998,77.620003,79.970001,1399400,56.619301
"2010-07-26",80.139999,81.860001,79.459999,81.75,1161900,57.879593
"2010-07-27",82,82.5,80.370003,81.629997,1371200,57.794598
"2010-07-28",81.260002,82.559998,80.860001,81.540001,1227700,57.730896
"2010-07-29",82.18,82.18,80.269997,81.099998,1557100,57.419361
"2010-07-30",80.139999,82.360001,79.940002,81.900002,1631400,57.985764
"2010-08-02",83.760002,85.660004,82.989998,85.080002,2529600,60.237236
"2010-08-03",84.720001,84.720001,83.18,84.110001,1732800,59.55048
"2010-08-04",84.25,85.919998,84,85.650002,1650600,60.64082
"2010-08-05",84.989998,85.699997,84.480003,84.889999,1201900,60.102718
"2010-08-06",84.459999,84.889999,83.260002,84.730003,890100,59.989433
"2010-08-09",85.040001,86.080002,84.449997,85.870003,959800,60.796574
"2010-08-10",85.349998,85.610001,83.790001,84.589996,1115200,59.890331
"2010-08-11",83.199997,84.160004,82.339996,82.860001,1387600,58.665466
"2010-08-12",81.449997,82.860001,81.279999,81.32,1300400,57.575111
"2010-08-13",81.099998,82,80.989998,81.019997,1280800,57.362732
"2010-08-16",80.57,81.610001,80,81.040001,976800,57.376881
"2010-08-17",81.779999,84.379997,81.370003,83.650002,1426900,59.224762
"2010-08-18",83.779999,84,82.720001,83.169998,1149000,58.884956
"2010-08-19",82.739998,82.830002,80.529999,81.239998,1522800,57.518486
"2010-08-20",80.529999,81.449997,80.279999,81.230003,815300,57.511421
"2010-08-23",81.57,82.360001,81.419998,81.529999,1024400,57.723812
"2010-08-24",80.980003,80.980003,79.639999,79.940002,1524200,56.598072
"2010-08-25",79.440002,81.730003,79.209999,81.389999,950700,57.624695
"2010-08-26",81.879997,82.059998,80.480003,80.650002,1288000,57.100754
"2010-08-27",81.339996,82.209999,79.379997,81.720001,1343700,57.858341
"2010-08-30",81.279999,82.169998,81.029999,81.059998,879900,57.39106
"2010-08-31",81,81.93,80.419998,81.400002,1189500,57.631783
"2010-09-01",82.800003,84.790001,82.190002,84.470001,1622800,59.805359
"2010-09-02",84.650002,86.540001,84.610001,86.419998,1922200,61.18597
"2010-09-03",87.540001,88.370003,86.669998,87.849998,1508900,62.198433
"2010-09-07",87.089996,87.57,86.449997,86.519997,992300,61.25676
"2010-09-08",85.889999,87.040001,85.860001,86.800003,1094200,61.45499
"2010-09-09",88.150002,88.160004,84.970001,85.099998,1458400,60.251396
"2010-09-10",85.410004,86.099998,84.709999,85.199997,1251500,60.322208
"2010-09-13",85.889999,86.32,85.489998,86.260002,1188400,61.072678
"2010-09-14",85.870003,86.889999,85.309998,86.400002,858600,61.171803
"2010-09-15",86.050003,87.550003,85.510002,87.5,871500,61.950615
"2010-09-16",87.190002,87.419998,86.330002,86.769997,615900,61.433765
"2010-09-17",87.059998,87.370003,86.410004,87.099998,873800,61.667412
"2010-09-20",87.669998,89.25,87.25,88.879997,1141200,62.927677
"2010-09-21",88.010002,89.260002,87.900002,88.010002,1561400,62.311695
"2010-09-22",87.779999,88.239998,86.07,86.540001,1368900,61.270931
"2010-09-23",85.5,85.919998,83.699997,83.980003,1690400,59.458427
"2010-09-24",85,86.029999,84.830002,85.779999,1389700,60.732826
"2010-09-27",85.730003,85.839996,84.459999,85.029999,892500,60.201851
"2010-09-28",84.949997,85.209999,83.230003,84.959999,1228100,60.508076
"2010-09-29",84.690002,84.809998,83.120003,83.480003,1078500,59.454044
"2010-09-30",83.949997,84.949997,82.629997,83.120003,1829400,59.197647
"2010-10-01",83.900002,83.989998,82.709999,83.639999,1213500,59.567978
"2010-10-04",83.57,84.029999,82.900002,83.57,1006500,59.518131
"2010-10-05",84.470001,85.209999,83.620003,85.080002,1298000,60.59354
"2010-10-06",84.699997,85,84.050003,84.809998,974100,60.401234
"2010-10-07",85.199997,85.68,84.610001,84.989998,704800,60.529465
"2010-10-08",85.040001,85.18,84.199997,84.860001,1018500,60.436874
"2010-10-11",84.860001,85.410004,84.629997,85.07,635600,60.586418
"2010-10-12",84.720001,85.989998,84.360001,85.849998,797800,61.14193
"2010-10-13",86.349998,87.540001,86.019997,86.830002,1258100,61.839878
"2010-10-14",86.5,87.339996,86.269997,87.169998,1019600,62.082035
"2010-10-15",87.599998,87.989998,86.620003,86.959999,940000,61.932491
"2010-10-18",86.529999,88.459999,86.199997,88.449997,1436200,62.993641
"2010-10-19",87.5,88.989998,87.110001,87.809998,1583200,62.537834
"2010-10-20",88.160004,90.879997,87.959999,89.889999,1674500,64.019211
"2010-10-21",90.110001,91.230003,89.470001,90.139999,873300,64.19725
"2010-10-22",90.209999,91.040001,89.559998,90.5,881500,64.453659
"2010-10-25",91.18,91.449997,90.480003,90.730003,853800,64.617462
"2010-10-26",90.190002,90.230003,89.18,89.870003,1022900,64.004959
"2010-10-27",88.620003,89.230003,86.690002,87.339996,1888500,62.203098
"2010-10-28",87.910004,88.059998,86.050003,86.25,1121500,61.426804
"2010-10-29",85.879997,86.360001,85.730003,86.190002,1153200,61.38409
"2010-11-01",86.589996,86.93,85.849998,86.32,1014100,61.476673
"2010-11-02",87.279999,87.5,86.529999,87.400002,810700,62.245827
"2010-11-03",87.470001,87.879997,86.800003,87.349998,869500,62.210224
"2010-11-04",88.480003,88.779999,87.739998,88.639999,1228300,63.128941
"2010-11-05",88.629997,90.510002,88.400002,90.150002,1118800,64.204391
"2010-11-08",89.769997,90.199997,88.980003,89.330002,750900,63.620384
"2010-11-09",89.029999,89.029999,84.760002,85.370003,2146800,60.800076
"2010-11-10",85.519997,86.5,85.370003,86.32,958700,61.476673
"2010-11-11",85.470001,86.620003,85.050003,85.07,850800,60.586418
"2010-11-12",84.449997,85.309998,83.940002,84.699997,887300,60.322887
"2010-11-15",85.040001,85.809998,83.690002,83.769997,919200,59.660564
"2010-11-16",83.279999,83.709999,81.019997,81.559998,1500900,58.086617
"2010-11-17",81.839996,82.480003,81.389999,82.260002,1007900,58.585163
"2010-11-18",83.919998,84.190002,83.25,83.529999,1479600,59.489639
"2010-11-19",83.519997,84.300003,82.82,84.120003,937800,59.909851
"2010-11-22",83.669998,84.589996,83.419998,84.059998,768900,59.867111
"2010-11-23",83.07,83.839996,82.809998,83.470001,912800,59.44693
"2010-11-24",84.129997,85.120003,83.849998,84.959999,847100,60.508076
"2010-11-26",84.260002,84.720001,83.989998,84.330002,375000,60.059406
"2010-11-29",83.669998,84.449997,82.599998,84.190002,727800,59.959679
"2010-11-30",83.199997,84.5,83.010002,83.800003,1265400,59.68195
"2010-12-01",85.099998,85.220001,84.029999,84.910004,909000,60.472485
"2010-12-02",84.919998,86.32,84.68,86.120003,905400,61.334209
"2010-12-03",85.68,86.370003,85.300003,86.190002,580600,61.38409
"2010-12-06",85.949997,86.809998,85.080002,86.410004,739600,61.540768
"2010-12-07",87.330002,87.330002,86.099998,86.410004,717100,61.540768
"2010-12-08",86.410004,86.480003,84.029999,84.510002,1180800,60.187603
"2010-12-09",85.190002,85.389999,82.650002,82.699997,1391300,58.898525
"2010-12-10",82.769997,83.43,82.510002,83.370003,799200,59.375698
"2010-12-13",83.580002,84.449997,83.260002,84.050003,737200,59.859985
"2010-12-14",83.940002,84.099998,82.150002,82.660004,1069500,58.87006
"2010-12-15",82.5,83.139999,81.900002,81.949997,1139100,58.364395
"2010-12-16",82.040001,82.519997,81.110001,82.059998,792700,58.44273
"2010-12-17",82.07,83.25,81.779999,83.120003,1747400,59.197647
"2010-12-20",83.559998,84.379997,83.32,84.190002,798800,59.959679
"2010-12-21",84.559998,84.860001,83.82,84.739998,995500,60.35141
"2010-12-22",85.150002,86.18,84.739998,85.559998,675100,60.935387
"2010-12-23",85.449997,86.120003,85.370003,85.410004,513500,60.828579
