"dates","AMT.Open","AMT.High","AMT.Low","AMT.Close","AMT.Volume","AMT.Adjusted"
"2010-12-23",50.630001,50.790001,50.400002,50.529999,1063500,42.787659
"2010-12-27",50.73,50.900002,50.419998,50.84,912400,43.050152
"2010-12-28",50.869999,51.049999,50.669998,50.93,1088400,43.126358
"2010-12-29",50.990002,51.279999,50.610001,51.18,1407600,43.338051
"2010-12-30",51.080002,51.540001,51.040001,51.470001,1227100,43.583614
"2010-12-31",51.48,51.73,51.25,51.639999,1510900,43.72757
"2011-01-03",51.91,52.150002,51.459999,51.630001,2413800,43.719105
"2011-01-04",51.630001,52.189999,51.349998,51.470001,2932100,43.583614
"2011-01-05",51.220001,51.400002,50.740002,50.759998,3414100,42.98241
"2011-01-06",50.790001,51.18,50.48,50.619999,2880000,42.863857
"2011-01-07",50.959999,51.09,50.419998,50.5,3571200,42.762241
"2011-01-10",50.259998,50.68,50.07,50.41,2706300,42.686035
"2011-01-11",50.549999,50.799999,50.220001,50.470001,3395900,42.736839
"2011-01-12",50.669998,50.84,50.52,50.700001,2359300,42.931602
"2011-01-13",50.869999,51.560001,50.619999,50.75,2899700,42.973938
"2011-01-14",50.580002,50.830002,49.77,49.849998,2748800,42.211834
"2011-01-18",49.919998,50.220001,49.330002,49.490002,3676400,41.907009
"2011-01-19",49.200001,49.369999,48.779999,49.18,3377000,41.644489
"2011-01-20",49.049999,50.529999,48.939999,50.32,3968100,42.609825
"2011-01-21",50.639999,50.970001,50.380001,50.52,2847200,42.779179
"2011-01-24",50.470001,51.009998,50.34,51.009998,2027900,43.194092
"2011-01-25",50.860001,51.84,50.259998,51.369999,5074300,43.498932
"2011-01-26",51.779999,52.240002,51.400002,51.939999,3728500,43.981602
"2011-01-27",52.049999,52.16,51.560001,52,2179900,44.03241
"2011-01-28",51.959999,52.48,51.169998,51.32,2253000,43.456608
"2011-01-31",51.27,51.540001,50.73,50.860001,2014700,43.067089
"2011-02-01",51.080002,51.900002,51.049999,51.779999,1976100,43.846111
"2011-02-02",51.610001,52.110001,51.610001,51.91,1849000,43.956196
"2011-02-03",51.759998,52.779999,51.610001,52.68,2182300,44.608227
"2011-02-04",52.740002,53.799999,52.709999,53.59,3106600,45.378784
"2011-02-07",53.959999,54.189999,53.529999,53.66,2418200,45.438061
"2011-02-08",53.66,54.299999,53.66,54.279999,1968000,45.963055
"2011-02-09",54.299999,54.740002,54.139999,54.59,1985500,46.225567
"2011-02-10",54.43,55.080002,54.259998,55,1950800,46.572742
"2011-02-11",54.900002,56.75,54.779999,56.73,3888100,48.03767
"2011-02-14",56.630001,56.84,55.869999,56.009998,2917700,47.427982
"2011-02-15",55.93,56.209999,55.5,55.810001,2203700,47.258633
"2011-02-16",56.060001,56.48,55.43,55.619999,2106500,47.097748
"2011-02-17",55.580002,55.779999,54.439999,54.650002,2899200,46.276371
"2011-02-18",54.759998,54.91,53.509998,54.259998,4283400,45.946129
"2011-02-22",53.810001,54.59,52.75,52.98,3503800,44.862251
"2011-02-23",53,53.759998,51.32,51.849998,5550700,43.905396
"2011-02-24",52,52.939999,51.849998,52.849998,3610400,44.752174
"2011-02-25",52.990002,53.799999,52.630001,53.759998,3290800,45.522736
"2011-02-28",53.860001,54,53.41,53.959999,3104100,45.692089
"2011-03-01",53.990002,54.119999,52.700001,52.720001,3086800,44.642097
"2011-03-02",52.709999,53.119999,51.82,52.279999,2786600,44.269505
"2011-03-03",52.68,53.450001,52.66,53.330002,2273400,45.158634
"2011-03-04",53.259998,53.330002,52.650002,53.07,1639800,44.938454
"2011-03-07",53.110001,53.720001,53.060001,53.080002,3380100,44.946926
"2011-03-08",52.220001,52.560001,50.880001,52.119999,5050900,44.134022
"2011-03-09",52.110001,52.389999,51.669998,52.189999,2198300,44.193298
"2011-03-10",51.580002,51.580002,50.57,50.779999,3666600,42.999348
"2011-03-11",50.450001,50.900002,50.400002,50.810001,5496900,43.024742
"2011-03-14",50.419998,50.509998,49.57,50.220001,2740700,42.52515
"2011-03-15",49.200001,50.18,49,50.02,3447400,42.355808
"2011-03-16",50.040001,51.220001,50.040001,50.439999,4510500,42.711449
"2011-03-17",51.02,51.240002,50.52,51.040001,2063300,43.219509
"2011-03-18",51.740002,51.810001,50.369999,50.619999,2442400,42.863857
"2011-03-21",46.650002,47.41,45.849998,46.610001,21980500,39.468288
"2011-03-22",47.040001,48.759998,46.970001,48.720001,9738800,41.254982
"2011-03-23",48.599998,49.880001,48.43,49.470001,6399400,41.890064
"2011-03-24",49.950001,50.709999,48.98,49.07,7268200,41.55135
"2011-03-25",48.970001,49.73,48.869999,49.639999,4237400,42.034016
"2011-03-28",50.369999,50.470001,49.639999,50,2932600,42.338863
"2011-03-29",49.860001,50.59,49.459999,50.509998,3448100,42.770706
"2011-03-30",50.720001,51.790001,50.709999,51.740002,4399100,43.812244
"2011-03-31",51.619999,52,51.290001,51.82,3045700,43.880009
"2011-04-01",51.98,52.75,51.950001,52.330002,2601400,44.311855
"2011-04-04",52.41,52.529999,51.900002,51.970001,2509600,44.007004
"2011-04-05",51.779999,51.830002,50.619999,50.740002,4821600,42.965469
"2011-04-06",50.82,51.099998,50.549999,50.900002,2860900,43.100964
"2011-04-07",50.799999,50.990002,50.380001,50.77,3423600,42.990871
"2011-04-08",50.970001,51.049999,50.110001,50.279999,2134200,42.575954
"2011-04-11",50.349998,50.720001,50.029999,50.130001,2881000,42.448944
"2011-04-12",50.060001,50.16,49.560001,49.630001,3954200,42.025551
"2011-04-13",49.740002,50.470001,49.619999,50.360001,4384100,42.643688
"2011-04-14",50.220001,50.25,49.560001,50.18,3696100,42.49128
"2011-04-15",50.27,50.799999,50.080002,50.580002,3689400,42.82999
"2011-04-18",50.040001,50.060001,49.41,49.560001,3122600,41.966278
"2011-04-19",49.619999,49.91,49.080002,49.52,3508900,41.932404
"2011-04-20",50,51.150002,49.990002,51.049999,2958700,43.227966
"2011-04-21",51.360001,51.560001,51.169998,51.310001,2445600,43.448132
"2011-04-25",51.029999,51.349998,50.98,51.049999,1879000,43.227966
"2011-04-26",51.09,51.82,50.759998,51.790001,2400000,43.854595
"2011-04-27",51.950001,52.939999,51.799999,52.869999,2973900,44.7691
"2011-04-28",52.720001,53.139999,52.310001,52.380001,2962200,44.354179
"2011-04-29",52.279999,52.66,51.98,52.310001,2866600,44.294914
"2011-05-02",52.509998,52.540001,51.380001,51.540001,2171200,43.642906
"2011-05-03",52.279999,53.279999,52.150002,52.52,4128600,44.472736
"2011-05-04",52.490002,52.810001,51.380001,51.740002,3161600,43.812244
"2011-05-05",51.450001,53.439999,51.23,52.959999,4164400,44.845322
"2011-05-06",53.310001,53.740002,52.119999,52.41,2427900,44.379585
"2011-05-09",52.400002,53.43,52.400002,53.07,1653000,44.938454
"2011-05-10",53.130001,53.75,52.900002,53.689999,3709800,45.463463
"2011-05-11",53.59,53.939999,53.080002,53.52,2286700,45.319504
"2011-05-12",53.380001,53.509998,53.080002,53.310001,2235200,45.141693
"2011-05-13",53.18,53.400002,52.5,52.939999,1632700,44.828384
"2011-05-16",52.77,52.990002,52.43,52.5,1925500,44.455788
"2011-05-17",52.450001,52.5,51.860001,52.200001,2666800,44.201756
"2011-05-18",52.32,52.41,52.029999,52.16,3110700,44.167892
"2011-05-19",52.360001,52.57,51.889999,52.080002,2305900,44.100155
"2011-05-20",52.32,54,51.900002,53.639999,5601800,45.421124
"2011-05-23",53.169998,53.560001,52.689999,53.150002,2511000,45.00621
"2011-05-24",53.189999,54.650002,53.189999,54.139999,5817800,45.844509
"2011-05-25",53.93,54.82,53.529999,54.299999,4077700,45.979992
"2011-05-26",54.169998,55.259998,54.009998,55.220001,2701400,46.759045
"2011-05-27",55.32,55.380001,54.650002,54.91,2645900,46.496525
"2011-05-31",55.5,55.509998,54.650002,55.48,3066900,46.979191
"2011-06-01",55.459999,55.52,54.09,54.130001,2353000,45.836048
"2011-06-02",54.25,54.82,54.130001,54.380001,2195100,46.047737
"2011-06-03",50.450001,52.669998,50.25,51.209999,12627100,43.363453
"2011-06-06",51.59,52.52,51.439999,51.77,5452200,43.83765
"2011-06-07",51.830002,52.09,51.27,51.290001,2439600,43.431198
"2011-06-08",51.18,51.48,50.110001,50.150002,6635800,42.465881
