"dates","LMT.Open","LMT.High","LMT.Low","LMT.Close","LMT.Volume","LMT.Adjusted"
"2012-04-04",90.860001,90.949997,90.260002,90.339996,1632700,68.45578
"2012-04-05",90.040001,90.769997,89.830002,90.150002,1808400,68.311821
"2012-04-09",89.360001,89.360001,88.709999,88.739998,1331600,67.243385
"2012-04-10",88.5,88.639999,87.669998,87.669998,1441100,66.432594
"2012-04-11",88.370003,88.949997,88.230003,88.489998,1386800,67.05394
"2012-04-12",88.800003,90.410004,88.699997,90.169998,1467900,68.326988
"2012-04-13",89.93,90.589996,89.290001,89.300003,1481300,67.66774
"2012-04-16",89.550003,89.800003,89.080002,89.57,2807200,67.872322
"2012-04-17",89.540001,90.779999,89.029999,90.599998,1373200,68.652802
"2012-04-18",90.290001,90.769997,89.93,90.370003,946800,68.478516
"2012-04-19",90.699997,90.970001,90.029999,90.339996,1500100,68.45578
"2012-04-20",90.449997,91.239998,90.32,90.839996,1118800,68.834663
"2012-04-23",89.989998,90.739998,89.940002,90.529999,1414300,68.599762
"2012-04-24",90.629997,91.290001,90.529999,91.129997,1291400,69.054413
"2012-04-25",91.739998,91.889999,90.620003,90.980003,1843400,68.940765
"2012-04-26",91.410004,92.239998,91.110001,91.699997,1976200,69.486328
"2012-04-27",92.080002,92.089996,91.199997,91.300003,1526500,69.183228
"2012-04-30",91.099998,91.099998,90.459999,90.540001,1146200,68.607338
"2012-05-01",90.610001,91.019997,90.160004,90.550003,1629300,68.614914
"2012-05-02",89.709999,90.290001,89.709999,90.080002,2000800,68.258774
"2012-05-03",89.830002,90.080002,89.230003,89.470001,1459400,67.796539
"2012-05-04",89.279999,89.550003,87.830002,87.830002,2082600,66.553818
"2012-05-07",87.779999,88.110001,86.980003,87.309998,2172100,66.15979
"2012-05-08",86.989998,87.220001,86.25,87.129997,1669100,66.023399
"2012-05-09",86.529999,86.910004,85.919998,85.949997,1756900,65.129227
"2012-05-10",86.589996,86.910004,86,86.120003,1317200,65.258064
"2012-05-11",86.18,86.330002,85.169998,85.209999,1919300,64.568497
"2012-05-14",84.660004,85.400002,84.169998,85.199997,1186500,64.56089
"2012-05-15",85.029999,85.370003,84.419998,84.589996,1403600,64.098663
"2012-05-16",84.93,85.32,84.290001,84.330002,1319000,63.901649
"2012-05-17",84.220001,84.300003,82.779999,82.830002,1398700,62.765015
"2012-05-18",83.160004,83.779999,82.599998,82.779999,1563200,62.727142
"2012-05-21",83.25,83.660004,82.519997,83.629997,1250100,63.371235
"2012-05-22",83.599998,84.230003,83.089996,83.690002,1532600,63.416714
"2012-05-23",83.370003,83.480003,82.190002,83.349998,1572500,63.159065
"2012-05-24",83.580002,83.580002,82.510002,83.370003,5978900,63.174229
"2012-05-25",83.25,83.620003,82.620003,82.709999,6308500,62.674122
"2012-05-29",83.290001,83.690002,82.830002,83.660004,7994200,63.393978
"2012-05-30",82.400002,83.25,81.519997,82.800003,1959200,63.501331
"2012-05-31",82.739998,83.470001,82.620003,82.800003,1613900,63.501331
"2012-06-01",81.639999,82.019997,81.010002,81.220001,1797300,62.2896
"2012-06-04",81.230003,81.959999,80.440002,81.050003,1506700,62.15921
"2012-06-05",80.809998,80.919998,80.139999,80.82,1416600,61.982838
"2012-06-06",81.790001,82.440002,81.279999,82.379997,3648700,63.179218
"2012-06-07",83.040001,83.650002,82.690002,83.150002,1777100,63.769756
"2012-06-08",82.940002,83.410004,82.650002,83.290001,1117400,63.877106
"2012-06-11",83.790001,83.790001,82.389999,82.459999,886400,63.240585
"2012-06-12",83.080002,83.790001,82.75,83.370003,1475000,63.938496
"2012-06-13",82.970001,83.440002,82.400002,82.669998,1132900,63.401623
"2012-06-14",82.849998,83.599998,82.440002,83.330002,1358200,63.90781
"2012-06-15",83.379997,83.889999,83.169998,83.449997,1708000,63.999855
"2012-06-18",83.480003,84.839996,83.339996,84.760002,1500800,65.004517
"2012-06-19",85.019997,85.610001,84.440002,85.300003,1498700,65.418671
"2012-06-20",85.160004,85.269997,84.120003,84.540001,1156900,64.835777
"2012-06-21",85.18,85.529999,84.269997,84.370003,1618200,64.705391
"2012-06-22",84.730003,85.5,84.220001,85.349998,1567400,65.456978
"2012-06-25",84.669998,85.25,84.169998,84.25,1532200,64.613373
"2012-06-26",84.559998,84.68,83.150002,83.379997,1480900,63.946125
"2012-06-27",83.43,85.18,83.43,84.910004,1245800,65.119537
"2012-06-28",84.089996,84.75,83.459999,84.529999,1049700,64.828148
"2012-06-29",86,87.089996,86,87.080002,2172800,66.783768
"2012-07-02",87.32,87.650002,86.510002,87.160004,1088000,66.845131
"2012-07-03",87.220001,87.510002,87.089996,87.510002,1076400,67.113564
"2012-07-05",87.160004,87.540001,86.849998,87,1738700,66.72242
"2012-07-06",86.43,87,86.110001,86.860001,893000,66.615028
"2012-07-09",86.889999,87.550003,86.82,87.389999,1384000,67.021545
"2012-07-10",87.669998,88.230003,86.709999,87.019997,963200,66.73774
"2012-07-11",87.099998,87.300003,86.519997,86.839996,1402100,66.599701
"2012-07-12",86.410004,86.610001,85.650002,86.019997,1610200,65.97084
"2012-07-13",86.129997,87.330002,86.099998,87.25,1378300,66.914139
"2012-07-16",87.010002,87.220001,86.160004,87.139999,1118300,66.829796
"2012-07-17",87.139999,87.809998,86.720001,87.43,1300400,67.052208
"2012-07-18",87.400002,88.669998,87.269997,88.599998,1154000,67.949516
"2012-07-19",88.800003,88.800003,87.769997,88.510002,1234700,67.88047
"2012-07-20",88.07,88.489998,87.379997,87.709999,1348300,67.266922
"2012-07-23",86.900002,87.290001,86.57,86.910004,1541200,66.653389
"2012-07-24",87.489998,89.160004,86.93,87.790001,2029800,67.328278
"2012-07-25",88.120003,88.220001,86.559998,87.68,2346300,67.243935
"2012-07-26",88.650002,88.870003,87.959999,88.550003,1356800,67.911171
"2012-07-27",88.739998,90.510002,88.650002,90.199997,1495600,69.176567
"2012-07-30",89.589996,89.849998,88.779999,89.080002,1482300,68.317627
"2012-07-31",89.18,89.610001,88.970001,89.269997,2256200,68.463333
"2012-08-01",89.860001,90,88.800003,88.959999,3683000,68.225586
"2012-08-02",88.739998,88.830002,87.470001,88.449997,1395600,67.834442
"2012-08-03",89.43,89.559998,88.470001,89.389999,1046300,68.555382
"2012-08-06",89.610001,89.839996,88.940002,88.989998,837900,68.248589
"2012-08-07",89.440002,90.5,89.120003,90.32,1330200,69.268593
"2012-08-08",90.25,91,89.709999,90.889999,1084200,69.705742
"2012-08-09",90.480003,90.629997,90,90.540001,1066900,69.437317
"2012-08-10",90.349998,91.150002,90.199997,91.029999,1010900,69.813126
"2012-08-13",90.709999,91.18,90.540001,91.120003,1079700,69.882156
"2012-08-14",91.190002,91.68,90.900002,91.349998,1086300,70.058563
"2012-08-15",90.989998,91.690002,90.720001,91.510002,763400,70.181252
"2012-08-16",91.519997,92.239998,91.330002,92.050003,4808000,70.595406
"2012-08-17",92.339996,92.5,91.779999,92.400002,1574200,70.8638
"2012-08-20",92.120003,93.5,92.120003,93.32,1570200,71.569366
"2012-08-21",93.709999,93.989998,93.110001,93.800003,1868700,71.937508
"2012-08-22",93.470001,93.5,92.669998,93.029999,1614100,71.346985
"2012-08-23",93,93,91.699997,92.199997,1423600,70.710426
"2012-08-24",91.760002,92.68,91.699997,92.449997,1483800,70.902161
"2012-08-27",92.639999,93,92.209999,92.279999,945600,70.771774
"2012-08-28",91.860001,92.699997,91.379997,92.480003,1817900,70.925171
"2012-08-29",92.550003,92.75,91.82,91.919998,969800,70.495682
"2012-08-30",91.029999,91.32,90.519997,90.93,908300,70.503441
"2012-08-31",91.370003,91.760002,90.769997,91.139999,1087400,70.666275
"2012-09-04",91.190002,91.389999,90.010002,90.529999,959200,70.193298
"2012-09-05",90.440002,91.580002,90.339996,91.529999,1401900,70.968651
"2012-09-06",92,92.849998,91.599998,92.830002,1220600,71.976624
"2012-09-07",92.809998,92.980003,92.029999,92.18,1161600,71.472656
"2012-09-10",91.790001,92.480003,91.720001,92.029999,719400,71.356346
"2012-09-11",92,92.5,91.830002,92.239998,969100,71.519142
"2012-09-12",92.489998,92.940002,92.260002,92.419998,1086400,71.658722
"2012-09-13",92.43,93.449997,91.949997,93.129997,1325200,72.209251
"2012-09-14",93.139999,93.199997,92.019997,92.519997,1782200,71.736252
"2012-09-17",92.290001,92.949997,92,92.209999,4665600,71.495911
"2012-09-18",91.93,92.089996,91.059998,91.769997,1339200,71.154739
"2012-09-19",91.720001,92.349998,91.559998,92.239998,1353300,71.519142
"2012-09-20",91.730003,91.889999,91.120003,91.18,1574100,70.697289
"2012-09-21",91.349998,91.739998,91.050003,91.290001,2995900,70.782585
"2012-09-24",91.349998,91.489998,90.389999,91.040001,1503800,70.588737
"2012-09-25",91.199997,91.889999,91.050003,91.5,1899400,70.945396
"2012-09-26",91.489998,92.669998,91.489998,91.910004,1185600,71.263283
"2012-09-27",92.18,92.5,91.43,92.459999,1424400,71.689758
"2012-09-28",92.279999,93.699997,92.080002,93.379997,1780600,72.403084
"2012-10-01",93.370003,93.980003,93.059998,93.440002,1707700,72.449608
"2012-10-02",93.550003,93.699997,92.279999,93.160004,1382100,72.232513
"2012-10-03",93.279999,93.650002,92.830002,93.089996,1326800,72.178207
"2012-10-04",93.580002,94.589996,93.5,94.519997,1359300,73.28698
"2012-10-05",94.800003,94.900002,94.129997,94.370003,1172800,73.170677
"2012-10-08",94.199997,94.589996,94,94.010002,628600,72.891556
"2012-10-09",94.07,94.82,93.709999,93.720001,806100,72.66671
"2012-10-10",93.82,93.82,92.480003,92.709999,1000700,71.883591
"2012-10-11",93.190002,93.440002,92.699997,92.720001,533400,71.891342
"2012-10-12",93.059998,93.889999,92.5,92.959999,969200,72.077438
"2012-10-15",92.75,92.940002,92.419998,92.5,1258100,71.720764
"2012-10-16",92.860001,93.410004,92.709999,93.370003,1162800,72.395309
"2012-10-17",93.629997,93.980003,93.239998,93.580002,1004600,72.558151
"2012-10-18",93.580002,94.400002,93.190002,94.32,1165700,73.131927
"2012-10-19",94.209999,94.300003,92.690002,92.889999,1518900,72.023155
"2012-10-22",92.650002,93.110001,92,92.769997,762800,71.930099
