"dates","V.Open","V.High","V.Low","V.Close","V.Volume","V.Adjusted"
"2010-06-11",19.127501,19.2225,18.8375,19.02,30177200,17.609068
"2010-06-14",19.237499,19.247499,18.424999,18.445,37456800,17.076727
"2010-06-15",18.6175,19.24,18.475,19.2325,31226400,17.805813
"2010-06-16",19.045,19.3125,18.9025,19.2925,28142000,17.861361
"2010-06-17",19.452499,19.782499,19.315001,19.559999,29133200,18.109016
"2010-06-18",19.627501,19.8125,19.065001,19.26,29732800,17.831266
"2010-06-21",19.49,20.9475,18.855,20.225,115862800,18.724686
"2010-06-22",20.25,20.25,19.657499,19.690001,46870800,18.229382
"2010-06-23",19.74,19.74,19.202499,19.440001,27933600,17.997915
"2010-06-24",19.282499,19.49,18.940001,19.120001,26277600,17.701654
"2010-06-25",19.2575,19.352501,18.9125,19.165001,24130400,17.743319
"2010-06-28",19.247499,19.3225,18.7875,18.805,20523600,17.410019
"2010-06-29",18.57,18.6175,17.775,17.862499,39851600,16.537437
"2010-06-30",17.915001,18.025,17.6775,17.6875,24716400,16.375423
"2010-07-01",17.75,18.252501,17.5275,18.215,30360000,16.863787
"2010-07-02",18.309999,18.4475,18.145,18.295,18801200,16.937853
"2010-07-06",18.4575,18.58,17.9475,18.067499,23726000,16.727234
"2010-07-07",18.17,18.73,18.0375,18.705,20873600,17.31744
"2010-07-08",18.875,18.950001,18.51,18.77,16231600,17.377623
"2010-07-09",19.059999,19.4,18.905001,19.344999,22479600,17.909958
"2010-07-12",18.997499,19.342501,18.969999,19.127501,15832800,17.708599
"2010-07-13",19.450001,19.450001,18.8675,19.147499,19931600,17.727118
"2010-07-14",19.1425,19.25,18.9125,19.07,12814800,17.655363
"2010-07-15",19.0975,19.16,18.565001,18.82,16489200,17.423908
"2010-07-16",18.4,18.4375,17.817499,17.862499,39060000,16.537437
"2010-07-19",18.0525,18.0625,17.717501,17.805,20019200,16.484207
"2010-07-20",17.6775,18.415001,17.625,18.4,19106400,17.035067
"2010-07-21",18.497499,18.502501,17.9825,18.09,15907600,16.748064
"2010-07-22",18.2875,18.637501,18.254999,18.615,19493200,17.234121
"2010-07-23",18.6175,18.9925,18.512501,18.897499,12660800,17.495667
"2010-07-26",18.922501,19.125,18.8375,19.02,15792800,17.609068
"2010-07-27",19.25,19.317499,18.967501,19.1525,17352400,17.731749
"2010-07-28",19.0375,19.209999,18.775,18.795,25205200,17.400763
"2010-07-29",18.690001,18.719999,17.8375,17.995001,58866800,16.660105
"2010-07-30",17.897499,18.407499,17.842501,18.3375,30784800,16.977205
"2010-08-02",17.745001,18.0975,17.7425,18.057501,53846800,16.717974
"2010-08-03",17.907499,18.379999,17.8575,18.25,34164800,16.896194
"2010-08-04",18.3025,18.35,18.094999,18.112499,20499200,16.7689
"2010-08-05",18.032499,18.1,17.83,17.875,30787600,16.549002
"2010-08-06",17.7875,18.049999,17.715,18.035,19362800,16.697142
"2010-08-09",18.280001,18.717501,18.202499,18.684999,28612400,17.298929
"2010-08-10",18.514999,18.932501,18.514999,18.817499,31068400,17.421591
"2010-08-11",18.5,18.5875,18.25,18.377501,23113600,17.042538
"2010-08-12",18.195,18.547501,18.1325,18.245001,24677200,16.919662
"2010-08-13",18.235001,18.280001,18.0375,18.055,14566800,16.743462
"2010-08-16",18.02,18.309999,17.950001,18.2075,10700800,16.884892
"2010-08-17",18.362499,18.442499,18.110001,18.34,13334000,17.007765
"2010-08-18",18.27,18.344999,18.129999,18.219999,12232000,16.896473
"2010-08-19",18.105,18.182501,17.875,17.907499,18442400,16.606684
"2010-08-20",17.8225,17.897499,17.395,17.525,31538400,16.251961
"2010-08-23",17.637501,17.825001,17.4,17.530001,18389600,16.256599
"2010-08-24",17.377501,17.7425,17.25,17.665001,26747600,16.381792
"2010-08-25",17.577499,18.035,17.567499,17.715,22398800,16.428164
"2010-08-26",17.8025,17.85,17.469999,17.477501,14099200,16.20792
"2010-08-27",17.5975,17.782499,17.4,17.7775,15654000,16.486122
"2010-08-30",17.7425,17.85,17.385,17.385,1.4e+07,16.122133
"2010-08-31",17.385,17.525,17.002501,17.245001,23217200,15.992307
"2010-09-01",17.4575,17.684999,17.2675,17.6325,17290400,16.351656
"2010-09-02",17.745001,18.0625,17.665001,17.995001,16776800,16.687822
"2010-09-03",18.25,18.285,18.02,18.125,14072000,16.80838
"2010-09-07",17.967501,18.245001,17.834999,17.875,14419200,16.576536
"2010-09-08",17.5875,17.6675,17.075001,17.137501,45012000,15.89261
"2010-09-09",17.195,17.2425,16.5175,16.695,53064000,15.482256
