"dates","GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted"
"2011-08-29",267.547546,269.994995,267.047058,269.809814,4666928,269.809814
"2011-08-30",269.364349,271.766754,265.670685,270.620636,5972022,270.620636
"2011-08-31",272.642639,273.423431,268.26828,270.750763,5381213,270.750763
"2011-09-01",270.64566,272.187195,265.875885,266.51651,4826169,266.51651
"2011-09-02",262.497498,264.224213,260.625641,262.682678,4797598,262.682678
"2011-09-06",255.655655,261.641632,255.505508,261.351349,5426168,261.351349
"2011-09-07",265.490479,268.238251,263.963959,267.282288,5506088,267.282288
"2011-09-08",267.167175,269.819824,266.216217,267.747742,4756239,267.747742
"2011-09-09",265.965973,267.59259,260.855865,262.687683,6531062,262.687683
"2011-09-12",259.239227,266.261261,259.009003,265.325317,5335459,265.325317
"2011-09-13",266.266266,267.207214,261.961975,265.025024,4703692,265.025024
"2011-09-14",266.561554,268.743744,263.173187,266.3013,5383411,266.3013
"2011-09-15",268.018005,272.762756,267.547546,271.551544,5915678,271.551544
"2011-09-16",272.672668,273.693695,271.841827,273.613617,7061531,273.613617
"2011-09-19",270.445435,275.22522,267.957947,273.608612,4931863,273.608612
"2011-09-20",274.974976,279.539551,271.606598,273.588593,5552642,273.588593
"2011-09-21",274.11911,277.777771,269.699707,269.869873,5023571,269.869873
"2011-09-22",263.388397,264.654663,257.257263,260.590576,8791799,260.590576
"2011-09-23",258.538544,263.47348,257.507507,263.018005,5549045,263.018005
"2011-09-26",263.888885,266.73172,256.881897,266.211212,5263132,266.211212
"2011-09-27",269.369354,273.798798,268.293304,269.939941,6015778,269.939941
"2011-09-28",271.021027,272.282288,264.114105,264.684692,4522073,264.684692
"2011-09-29",268.2883,268.918915,259.964966,264.014008,5807387,264.014008
"2011-09-30",260.365356,262.262268,257.447449,257.777771,5441753,257.777771
"2011-10-03",255.180176,256.256256,247.747742,248.008011,8939851,248.008011
"2011-10-04",245.260254,251.97197,240.540543,251.201202,8309282,251.201202
"2011-10-05",248.423416,254.15416,240.625626,252.6026,9059132,252.6026
"2011-10-06",254.003998,257.872864,251.551559,257.61261,6841751,257.61261
"2011-10-07",258.673676,260.510498,255.405411,257.81781,5706088,257.81781
"2011-10-10",262.852844,269.003998,261.861847,268.853851,4639756,268.853851
"2011-10-11",266.997009,273.673676,266.997009,271.861847,5701093,271.861847
"2011-10-12",274.339325,277.892883,272.587585,274.524536,6349244,274.524536
"2011-10-13",275.290283,279.779785,274.284271,279.77478,11363825,279.77478
"2011-10-14",300.035034,300.100098,294.079071,296.136139,17042740,296.136139
"2011-10-17",292.152161,296.211212,289.289276,291.49649,8008384,291.49649
"2011-10-18",290.385376,296.576569,288.988983,295.550537,7593998,295.550537
"2011-10-19",293.963959,296.326324,289.899902,290.640656,5857137,290.640656
"2011-10-20",291.241241,294.739746,290.045044,292.127136,6751242,292.127136
"2011-10-21",295.050049,296.671661,293.643646,295.540527,6775218,295.540527
"2011-10-24",293.653656,300.285278,293.543549,298.508514,6846946,298.508514
"2011-10-25",296.846832,297.797791,291.716705,291.871887,5075919,291.871887
"2011-10-26",295.070068,295.385376,286.716705,293.448456,5740454,293.448456
"2011-10-27",299.509521,301.651642,296.94696,299.634644,7553039,299.634644
"2011-10-28",297.557556,301.451447,297.422424,300.370361,5010984,300.370361
"2011-10-31",297.842834,300.145142,296.131134,296.616608,5110484,296.616608
"2011-11-01",290.340332,293.048035,288.663666,289.614624,6243950,289.614624
"2011-11-02",292.742737,294.274261,290.530518,292.702698,4237558,292.702698
