"dates","XRX.Open","XRX.High","XRX.Low","XRX.Close","XRX.Volume","XRX.Adjusted"
"2010-10-21",29.855072,30.013174,29.090908,29.538868,7858724,18.987297
"2010-10-22",29.64427,30.144928,29.433464,30.092228,5690716,19.342989
"2010-10-25",30.144928,30.909092,30.092228,30.566536,5772726,19.647867
"2010-10-26",30.540184,30.540184,29.72332,30.27668,7381503,19.461554
"2010-10-27",30.065876,30.540184,29.77602,30.434784,4050707,19.563175
"2010-10-28",30.671938,30.909092,30.039526,30.77734,4458366,19.783371
"2010-10-29",30.645586,30.83004,30.434784,30.83004,3208559,19.817247
"2010-11-01",30.93544,31.35705,30.35573,30.592884,3804867,19.664806
"2010-11-02",30.93544,31.225296,30.77734,30.88274,2246526,19.851122
"2010-11-03",30.88274,31.093544,30.35573,30.83004,4278787,19.817247
"2010-11-04",31.251648,31.515152,31.146244,31.4361,3774279,20.20682
"2010-11-05",31.35705,31.4888,31.146244,31.35705,2323944,20.156
"2010-11-08",31.093544,31.304348,30.724638,30.909092,4435292,19.868059
"2010-11-09",31.014494,31.4888,30.83004,31.014494,3910102,19.935814
"2010-11-10",30.988142,31.093544,30.197628,30.487484,4941659,19.597054
"2010-11-11",30.382082,30.408432,29.249012,30.144928,7444462,19.376862
"2010-11-12",29.881424,30.144928,29.328062,29.749672,6238297,19.122793
"2010-11-15",29.77602,30.250328,29.617918,29.802372,4335901,19.156672
"2010-11-16",29.512516,29.64427,28.853756,29.06456,4464931,18.682413
"2010-11-17",29.011858,29.486166,28.853756,29.354414,4263075,18.868727
"2010-11-18",29.749672,30.698286,29.749672,30.592884,5983311,19.664806
"2010-11-19",30.540184,30.93544,30.197628,30.77734,3522519,19.783371
"2010-11-22",30.540184,30.961792,30.30303,30.88274,2521056,19.851122
"2010-11-23",30.434784,30.566536,29.855072,30.30303,3693939,19.478485
"2010-11-24",30.645586,31.093544,30.540184,31.093544,2040230,19.986624
"2010-11-26",30.909092,31.093544,30.671938,30.988142,938845,19.918879
"2010-11-29",30.698286,30.77734,30.013174,30.566536,3780351,19.647867
"2010-11-30",30.27668,30.540184,30.039526,30.197628,3216528,19.41074
"2010-12-01",30.645586,31.35705,30.487484,30.988142,5020557,19.918879
"2010-12-02",30.909092,31.251648,30.750988,31.014494,6158488,19.935814
"2010-12-03",30.93544,31.35705,30.85639,31.172596,2486105,20.037441
"2010-12-06",31.093544,31.251648,30.88274,31.093544,1888240,19.986624
"2010-12-07",31.4361,31.541502,31.172596,31.251648,2376505,20.088253
"2010-12-08",31.277996,31.4361,30.909092,31.40975,3110078,20.189882
"2010-12-09",31.541502,31.752306,31.35705,31.646904,4669064,20.342319
"2010-12-10",31.673254,31.778656,31.4361,31.620552,2779875,20.32538
"2010-12-13",31.752306,31.831356,31.40975,31.40975,2424891,20.189882
"2010-12-14",31.383398,31.541502,31.172596,31.35705,3162222,20.156
"2010-12-15",31.198946,31.304348,30.540184,30.566536,4183077,19.647867
"2010-12-16",30.592884,31.225296,30.513834,31.119896,3065829,20.003565
"2010-12-17",31.093544,31.251648,30.803688,30.961792,3762629,19.901936
"2010-12-20",30.961792,31.251648,30.85639,31.093544,3245901,19.986624
"2010-12-21",31.251648,31.40975,31.067194,31.330698,2329713,20.139059
"2010-12-22",31.304348,31.330698,30.803688,30.988142,3470869,19.918879
"2010-12-23",30.93544,31.040842,30.645586,30.803688,1327187,19.800304
"2010-12-27",30.645586,30.77734,30.513834,30.645586,1862814,19.698681
"2010-12-28",30.724638,30.750988,30.197628,30.513834,2807655,19.613993
"2010-12-29",30.461132,30.93544,30.35573,30.619236,2287398,19.755096
"2010-12-30",30.540184,30.619236,30.22398,30.250328,2301971,19.517082
"2010-12-31",30.197628,30.566536,30.144928,30.35573,1892225,19.585091
"2011-01-03",30.619236,31.014494,30.408432,30.85639,3959703,19.908115
