"dates","LYB.Open","LYB.High","LYB.Low","LYB.Close","LYB.Volume","LYB.Adjusted"
"2012-05-03",43.25,43.27,41.09,41.25,4471500,27.58058
"2012-05-04",41,41.52,39.240002,39.48,7864400,26.397118
"2012-05-07",39.259998,40.009998,39.09,39.23,5300000,26.229958
"2012-05-08",38.91,39.049999,37.669998,38.849998,5677800,25.975882
"2012-05-09",38.720001,41.279999,38.369999,40.099998,7675500,26.811655
"2012-05-10",40.869999,40.880001,39.779999,40.459999,6688800,27.052372
"2012-05-11",39.990002,40.740002,39.869999,40.080002,3858400,26.798286
"2012-05-14",39.599998,39.619999,38.830002,39.32,5081000,26.290136
"2012-05-15",39.459999,40.130001,39.310001,39.740002,3906900,26.570963
"2012-05-16",40.279999,40.540001,38.810001,39.220001,4560200,26.223282
"2012-05-17",38.900002,38.919998,36.950001,36.959999,5529000,24.966829
"2012-05-18",37.049999,38.02,36.779999,37.040001,4279900,25.020864
"2012-05-21",37.099998,39.16,37.040001,39,2979400,26.344873
"2012-05-22",39.43,39.720001,38.970001,39.259998,5605400,26.520498
"2012-05-23",38.91,39.09,37.860001,38.959999,3671000,26.317844
"2012-05-24",39.299999,39.77,38.349998,38.970001,3206600,26.324608
"2012-05-25",39.130001,39.84,38.849998,39.599998,2099600,26.750168
"2012-05-29",40.09,41.07,39.919998,40.889999,3912900,27.62158
"2012-05-30",39.830002,40.02,38.919998,39.349998,2469800,26.581287
"2012-05-31",39.529999,39.66,38.400002,39.459999,4627200,26.6556
"2012-06-01",37.23,38.200001,37.040001,37.259998,5158900,25.169479
"2012-06-04",37.290001,37.290001,35.970001,36.759998,2974500,24.831722
"2012-06-05",36.41,37.630001,36.139999,37.52,4176500,25.345114
"2012-06-06",38.110001,38.939999,37.790001,38.439999,4048700,25.966572
"2012-06-07",39.360001,40.09,37.82,38,4350600,25.669363
"2012-06-08",37.75,38.389999,36.970001,38.23,2480700,25.824724
"2012-06-11",38.73,38.84,36.990002,37.060001,1763400,25.034378
"2012-06-12",37.509998,38.099998,37.200001,37.830002,2234000,25.554527
"2012-06-13",37.450001,38.349998,37.27,37.77,2907600,25.513992
"2012-06-14",37.68,37.970001,37.07,37.599998,2861800,25.399149
"2012-06-15",37.950001,39.150002,37.669998,38.939999,3270100,26.304337
"2012-06-18",38.77,40.68,38.48,40.529999,3667800,27.378401
"2012-06-19",40.75,41.91,40.599998,41.48,2858200,28.020128
"2012-06-20",41.48,41.990002,41.040001,41.419998,2564800,27.979607
"2012-06-21",41.439999,41.580002,39.169998,39.259998,4267100,26.520498
"2012-06-22",39.869999,39.869999,38.59,39.619999,4051200,26.76368
"2012-06-25",38.959999,39.290001,38.509998,39.119999,2140700,26.425926
"2012-06-26",39.150002,39.919998,38.810001,39.529999,1802200,26.702885
"2012-06-27",39.77,39.77,38.439999,38.900002,3174800,26.277315
"2012-06-28",38.290001,38.869999,37.919998,38.619999,3221300,26.088182
"2012-06-29",40.040001,40.41,39.549999,40.27,3822600,27.202765
"2012-07-02",40.59,41.860001,40.349998,40.849998,3164900,27.594561
"2012-07-03",40.939999,42.099998,40.939999,41.939999,1372600,28.330864
"2012-07-05",41.82,42.599998,41.48,42.310001,2727600,28.580816
"2012-07-06",41.790001,42.130001,40.77,41.150002,2397400,27.79722
"2012-07-09",41.709999,41.939999,40.580002,40.810001,2986700,27.567539
"2012-07-10",41.209999,41.529999,40.169998,40.470001,2625100,27.337872
"2012-07-11",40.439999,40.509998,39.27,39.68,2778300,26.804211
"2012-07-12",39.16,39.970001,38.439999,39.619999,2727500,26.76368
"2012-07-13",40.02,41.310001,40,40.779999,2657000,27.547274
"2012-07-16",40.549999,41.52,40.200001,41.209999,2711100,27.837751
"2012-07-17",41.450001,42.02,40.93,41.970001,2256400,28.351139
"2012-07-18",41.599998,42.560001,41.59,42.240002,2570700,28.533524
"2012-07-19",42.389999,42.689999,41.860001,41.959999,2425500,28.344368
"2012-07-20",41.049999,41.66,40.330002,41.599998,2194400,28.101196
"2012-07-23",40.41,41.189999,40.029999,41.029999,2614700,27.716158
"2012-07-24",40.959999,41.299999,39.740002,40.43,3699800,27.310848
"2012-07-25",40.59,40.830002,40.049999,40.419998,1542200,27.304089
"2012-07-26",41.380001,41.669998,40.099998,40.900002,4470200,27.62834
"2012-07-27",43.450001,44.990002,42.889999,44.509998,8802700,30.066916
"2012-07-30",44.689999,44.990002,44.32,44.580002,2787200,30.11421
"2012-07-31",44.669998,44.93,44.34,44.529999,3146200,30.080437
"2012-08-01",44.810001,44.810001,43.970001,44.23,2991300,29.877783
"2012-08-02",43.73,44.709999,43.349998,44.41,3331300,29.999369
"2012-08-03",45.459999,45.84,44.720001,45.369999,3401700,30.647858
"2012-08-06",45.580002,46.689999,45.560001,45.959999,3691000,31.046419
"2012-08-07",46.259998,47.040001,46.18,46.709999,2438900,31.553055
"2012-08-08",46.099998,47.439999,46.09,47.209999,2725400,31.890804
"2012-08-09",46.970001,47.439999,46.66,47.349998,2558800,31.985369
"2012-08-10",46.970001,47.43,46.619999,47.279999,2195700,31.938084
"2012-08-13",47,47.599998,46.610001,47.360001,2081700,31.992134
"2012-08-14",47.48,48.150002,47.380001,47.549999,3439400,32.120476
"2012-08-15",47.560001,47.93,47.16,47.77,2588400,32.269089
"2012-08-16",47.970001,48.709999,47.779999,48.52,2076800,32.775723
"2012-08-17",48.68,49.32,48.400002,49.240002,2187300,33.262089
"2012-08-20",49.16,49.869999,49.099998,49.860001,2986200,33.680908
"2012-08-21",49.959999,49.959999,48.939999,49.060001,2687800,33.140495
"2012-08-22",48.700001,48.93,47.759998,48.580002,2142200,32.816238
"2012-08-23",48.049999,48.330002,47.25,47.73,2338000,32.242062
"2012-08-24",47.830002,48.32,47.66,47.900002,1938400,32.356892
"2012-08-27",46.52,47.400002,46.310001,47.130001,2639400,31.836761
"2012-08-28",46.740002,48.029999,46.610001,47.48,2961200,32.073193
"2012-08-29",47.470001,47.720001,46.639999,47.290001,3057600,31.944838
"2012-08-30",48.93,49.040001,48.470001,48.669998,12324900,33.157509
"2012-08-31",48.990002,49.09,48.610001,48.84,4806500,33.273319
"2012-09-04",47.799999,48.200001,46.880001,47.009998,41142800,32.026596
"2012-09-05",47.110001,47.529999,46.66,46.970001,10549500,31.999348
"2012-09-06",47.439999,49.419998,47.200001,48.459999,5913600,33.014435
"2012-09-07",48.639999,49.709999,48.400002,49.459999,3160100,33.695702
"2012-09-10",49.259998,50.02,49.23,49.330002,3123500,33.607143
"2012-09-11",49.59,50.23,49.169998,49.400002,2210800,33.654823
"2012-09-12",49.490002,49.720001,48.75,49.610001,2819600,33.797897
"2012-09-13",49.59,52.349998,49.580002,51.919998,7525900,35.371643
"2012-09-14",52.650002,53.77,52.18,53.419998,6534100,36.393551
"2012-09-17",53.150002,53.200001,51.810001,51.98,3217300,35.41251
"2012-09-18",51.869999,52.09,51.360001,51.939999,4171600,35.385262
