"dates","IP.Open","IP.High","IP.Low","IP.Close","IP.Volume","IP.Adjusted"
"2011-01-13",28.303747,28.639053,28.254438,28.471399,5249377,19.387421
"2011-01-14",28.41223,28.540434,27.928993,28.274162,4432397,19.253115
"2011-01-18",28.244576,28.441814,27.899408,27.919132,4860203,19.01136
"2011-01-19",28.047337,28.323471,27.60355,27.741617,5007943,18.890478
"2011-01-20",27.623274,27.642998,26.83432,27.071007,7181959,18.433834
"2011-01-21",27.465483,28.106508,27.228798,27.524654,5836990,18.742735
"2011-01-24",28.007891,29.230768,27.968443,28.41223,9345734,19.34713
"2011-01-25",28.06706,28.313608,27.544378,28.234715,6840241,19.226248
"2011-01-26",28.402367,28.639053,28.254438,28.52071,5879882,19.420996
"2011-01-27",28.688362,28.925049,28.471399,28.777121,4065227,19.595602
"2011-01-28",28.865877,28.895464,27.95858,28.047337,4357158,19.098663
"2011-01-31",28.16568,28.62919,27.830376,28.481262,6459079,19.394136
"2011-02-01",28.708088,29.388559,28.540434,29.161736,6472970,19.8575
"2011-02-02",28.925049,29.260355,28.698225,28.964497,3980964,19.723196
"2011-02-03",29.132151,29.556213,28.086784,28.856016,9131780,19.649332
"2011-02-04",28.737673,28.934912,28.382643,28.816568,5179918,19.622461
"2011-02-07",28.846153,29.240631,28.540434,28.934912,5215712,19.703051
"2011-02-08",29.023668,29.319527,28.796844,29.280079,3994653,19.938086
"2011-02-09",29.142012,29.536489,28.925049,29.230768,3698666,19.904507
"2011-02-10",29.003944,29.289942,28.698225,28.984221,3767111,19.736628
"2011-02-11",28.806705,29.013807,28.530573,28.934912,4901676,19.829893
"2011-02-14",28.826429,29.457594,28.717949,29.368835,3734968,20.127274
"2011-02-15",29.339251,29.802761,29.319527,29.64497,4130935,20.316523
"2011-02-16",29.674557,29.970413,29.428007,29.595661,4430267,20.282728
"2011-02-17",29.358974,29.940828,29.358974,29.871796,3870844,20.47197
"2011-02-18",30,30.019724,28.570021,28.619329,6726065,19.613609
"2011-02-22",28.027613,28.214991,27.080868,27.120316,8274139,18.586296
"2011-02-23",27.238659,27.573963,26.341223,26.863905,6313772,18.410576
"2011-02-24",26.666668,27.347139,26.666668,27.159763,6560479,18.613335
"2011-02-25",27.337278,27.702169,27.140039,27.692308,3159117,18.978308
"2011-02-28",27.712032,27.741617,27.090731,27.39645,4398326,18.775549
"2011-03-01",27.465483,27.613413,26.183432,26.351086,6236100,18.059124
"2011-03-02",26.291912,26.706114,25.996056,26.360947,5429159,18.065884
"2011-03-03",26.715977,26.972387,26.568047,26.883629,5789129,18.424091
"2011-03-04",26.863905,26.863905,26.173571,26.410255,4123938,18.099678
"2011-03-07",26.558186,26.706114,25.739645,25.936884,5294297,17.775263
"2011-03-08",26.065088,26.499014,25.749508,26.114397,4532377,17.896917
"2011-03-09",26.074951,26.213018,25.749508,26.074951,5074056,17.869886
"2011-03-10",25.818541,25.828402,25.177515,25.345167,7463953,17.369736
"2011-03-11",25.128204,25.927023,25.029587,25.631165,5837497,17.565748
"2011-03-14",25.56213,25.887573,25.236687,25.581854,4089969,17.531954
"2011-03-15",24.585798,25.631165,24.536489,25.414202,6328273,17.417055
"2011-03-16",25.384615,25.56213,24.901381,25.276134,8006240,17.322433
"2011-03-17",25.729782,26.163708,25.404339,25.936884,6952694,17.775263
"2011-03-18",26.331362,26.627218,26.084812,26.499014,9373112,18.160503
