"dates","BF.B.Open","BF.B.High","BF.B.Low","BF.B.Close","BF.B.Volume","BF.B.Adjusted"
"2016-02-05",38.312,38.759998,37.855999,38.563999,2073750,35.47089
"2016-02-08",38.200001,38.271999,37.431999,37.728001,2421250,34.701954
"2016-02-09",37.599998,38.688,37.560001,38.344002,2465250,35.268547
"2016-02-10",38.528,38.720001,37.952,38.112,1907500,35.055149
"2016-02-11",37.624001,38.403999,37.543999,38.231998,2235250,35.165531
"2016-02-12",38.771999,38.964001,38.271999,38.807999,1430000,35.695328
"2016-02-16",39.099998,39.411999,38.880001,39.287998,1926000,36.136826
"2016-02-17",39.484001,40.124001,39.307999,39.936001,1517250,36.732845
"2016-02-18",39.84,40.515999,39.68,40.476002,2728750,37.229534
"2016-02-19",40.543999,40.916,40.112,40.804001,2027500,37.531227
"2016-02-22",40.959999,41.271999,40.908001,41.112,1375250,37.814533
"2016-02-23",41.080002,41.223999,40.616001,41.104,1492250,37.807178
"2016-02-24",40.872002,41.091999,40.484001,40.944,1092750,37.660004
"2016-02-25",41.104,41.368,40.580002,41.355999,1081500,38.038963
"2016-02-26",40.804001,41.084,39.956001,40.043999,1942250,36.832188
"2016-02-29",39.784,40.203999,39.375999,39.388,2602750,36.228813
"2016-03-01",39.863998,39.911999,38.924,39.063999,2959750,35.930786
"2016-03-02",37.891998,38.504002,36.872002,38.476002,4332500,35.389965
"2016-03-03",38.400002,38.827999,37.928001,38.743999,2993250,35.636452
"2016-03-04",38.18,39.243999,37.759998,39.208,3259500,36.063236
"2016-03-07",38.743999,39.248001,38.644001,39.012001,2107500,36.007862
"2016-03-08",38.827999,39.476002,38.751999,39.200001,1546500,36.1814
"2016-03-09",39.203999,39.495998,38.784,38.931999,911250,35.934017
"2016-03-10",39.116001,39.391998,38.816002,39.012001,1268000,36.007862
"2016-03-11",39.271999,39.327999,39.007999,39.155998,1595000,36.140774
"2016-03-14",38.944,39.5,38.891998,38.959999,1621000,35.959866
"2016-03-15",38.751999,39.080002,38.287998,38.307999,2927500,35.358067
"2016-03-16",38.240002,38.380001,37.723999,38.132,1491000,35.195629
"2016-03-17",38.200001,39.248001,37.964001,39.132,1937750,36.118626
"2016-03-18",39.16,39.287998,39.060001,39.080002,2593750,36.070633
"2016-03-21",39.015999,39.251999,38.948002,39.088001,1153500,36.078011
"2016-03-22",38.936001,39.299999,38.799999,39.007999,1674000,36.004162
"2016-03-23",39.007999,39.127998,38.599998,38.647999,955500,35.67189
"2016-03-24",38.540001,38.896,38.419998,38.599998,848750,35.62759
