"dates","GD.Open","GD.High","GD.Low","GD.Close","GD.Volume","GD.Adjusted"
"2010-11-01",68.330002,68.849998,67.309998,67.860001,1852400,53.227352
"2010-11-02",68.540001,69.099998,67.980003,67.989998,2069700,53.329292
"2010-11-03",68.209999,68.769997,67.269997,67.949997,2405600,53.297943
"2010-11-04",68.809998,69.300003,68.25,69.169998,2283900,54.254871
"2010-11-05",69.099998,69.970001,68.900002,69.660004,1778300,54.639214
"2010-11-08",69.139999,69.800003,68.959999,69.400002,1342900,54.435272
"2010-11-09",69.529999,69.610001,68.900002,69.199997,1714000,54.278408
"2010-11-10",69.059998,69.099998,67.980003,68.209999,1632100,53.501888
"2010-11-11",67.720001,68,67.080002,67.419998,1976300,52.882233
"2010-11-12",67.059998,67.18,66.25,66.5,1752400,52.16061
"2010-11-15",66.589996,67.190002,66.220001,66.550003,1278200,52.199837
"2010-11-16",66.040001,66.379997,65.080002,65.540001,2031300,51.407619
"2010-11-17",65.589996,65.730003,64.830002,65.389999,1722100,51.289959
"2010-11-18",65.919998,67.059998,65.440002,67.050003,2321900,52.592007
"2010-11-19",67.089996,67.220001,66.239998,66.599998,1654900,52.239033
"2010-11-22",66.300003,66.599998,65.57,66.260002,1482000,51.972355
"2010-11-23",65.629997,66.620003,65.480003,66.480003,1896600,52.144928
"2010-11-24",66.779999,68.470001,66.779999,68.019997,1924100,53.352844
"2010-11-26",67.400002,67.699997,66.839996,67.120003,555800,52.646912
"2010-11-29",66.510002,66.519997,65.050003,66.309998,2452500,52.011578
"2010-11-30",65.82,66.589996,65.440002,66.089996,2141900,51.839012
"2010-12-01",67.029999,67.809998,67.029999,67.620003,1712900,53.039108
"2010-12-02",67.849998,68.400002,67.379997,67.800003,2093800,53.180283
"2010-12-03",67.559998,67.870003,67.279999,67.580002,1844400,53.007729
"2010-12-06",67.589996,67.800003,66.959999,67.629997,1998400,53.046955
"2010-12-07",68.330002,69.129997,68.129997,68.730003,2380900,53.909767
"2010-12-08",68.720001,68.769997,67.919998,68.470001,1532700,53.705822
"2010-12-09",68.910004,69.18,67.959999,68.889999,2334000,54.035236
"2010-12-10",68.910004,69.730003,68.779999,69.559998,1982900,54.560772
"2010-12-13",69.709999,69.839996,68.529999,69.400002,2564000,54.435272
"2010-12-14",69.18,70.389999,69.18,69.980003,2731000,54.890224
"2010-12-15",69.699997,69.980003,69.260002,69.349998,1685800,54.396072
"2010-12-16",69.760002,70.489998,69.309998,70.419998,1685600,55.23534
"2010-12-17",70.32,70.5,69.730003,70.279999,2935600,55.125534
"2010-12-20",70.389999,70.470001,69.629997,70.010002,1714700,54.913746
"2010-12-21",70.18,70.720001,70.010002,70.190002,1255900,55.054928
"2010-12-22",70.510002,70.529999,70.099998,70.529999,915700,55.321613
"2010-12-23",70.370003,71.339996,70.309998,71.019997,1226000,55.705967
"2010-12-27",70.830002,71.330002,70.519997,71.099998,1074900,55.76873
"2010-12-28",71.110001,71.239998,70.440002,71.019997,1305800,55.705967
"2010-12-29",71.110001,71.440002,70.769997,70.830002,1397600,55.556927
"2010-12-30",70.540001,71.110001,70.32,70.769997,1385400,55.509857
"2010-12-31",70.599998,71.330002,70.239998,70.959999,1454900,55.658909
"2011-01-03",70.260002,70.57,69.870003,69.970001,2769300,54.882389
