"dates","ADP.Open","ADP.High","ADP.Low","ADP.Close","ADP.Volume","ADP.Adjusted"
"2010-07-02",35.092186,35.452152,34.381035,34.618088,4416928,26.571354
"2010-07-06",34.846355,34.969273,34.310799,34.600529,4684479,26.557886
"2010-07-07",34.600529,35.373135,34.51273,35.302898,4937451,27.096996
"2010-07-08",35.53117,35.53117,35.118526,35.443371,4870136,27.204809
"2010-07-09",35.478489,35.785778,35.373135,35.750656,2945910,27.440672
"2010-07-12",35.864796,36.18964,35.48727,35.978928,2621181,27.615883
"2010-07-13",36.172081,36.575943,36.154522,36.426689,3554705,27.959568
"2010-07-14",36.40913,36.725197,36.338894,36.611061,3208221,28.101076
"2010-07-15",36.444248,36.786655,36.172081,36.62862,3025412,28.114559
"2010-07-16",36.584724,36.584724,35.601406,35.671642,4492672,27.380033
"2010-07-19",35.715542,36.110622,35.697983,36.014046,2764011,27.642836
"2010-07-20",35.645302,36.400352,35.338017,36.374012,3443311,27.919132
"2010-07-21",36.470589,36.470589,35.136086,35.338017,6490022,27.123945
"2010-07-22",35.636524,36.540825,35.636524,36.400352,3972376,27.939352
"2010-07-23",36.215981,36.865673,36.172081,36.777874,4464083,28.229116
"2010-07-26",36.742756,36.91835,36.637402,36.91835,3340687,28.33695
"2010-07-27",36.944687,37.129063,36.742756,36.909569,3573385,28.330204
"2010-07-28",36.91835,37.278313,36.874451,36.96225,3305378,28.370642
"2010-07-29",36.505707,36.900791,36.014046,36.277435,4843825,27.845016
"2010-07-30",35.952591,36.417912,35.935032,36.23354,3338523,27.811304
"2010-08-02",36.470589,36.874451,36.312553,36.830551,2965387,28.269554
"2010-08-03",36.769096,36.96225,36.382793,36.883232,3783986,28.309992
"2010-08-04",36.821774,37.058823,36.549606,36.997368,3557553,28.397602
"2010-08-05",36.769096,36.91835,36.567165,36.812992,2669019,28.256079
"2010-08-06",36.479366,36.584724,35.908691,36.496925,4069191,28.013468
"2010-08-09",36.62862,36.795437,36.496925,36.67252,1926163,28.148258
"2010-08-10",36.303776,36.496925,35.987709,36.312553,3243189,27.871969
"2010-08-11",35.908691,35.978928,35.373135,35.469711,3451626,27.225035
"2010-08-12",35.206322,35.390694,34.942932,35.118526,2776426,26.955475
"2010-08-13",35.065845,35.232658,34.872696,34.934155,2496005,26.813967
"2010-08-16",34.75856,35.26778,34.565407,35.179981,2693621,27.002651
"2010-08-17",35.355576,35.873573,35.24144,35.425812,3633068,27.191332
"2010-08-18",35.320457,35.41703,34.969273,35.311676,3525661,27.103731
"2010-08-19",35.232658,35.24144,34.433716,34.635647,3656190,26.584841
"2010-08-20",34.51273,34.73222,34.328358,34.591747,3127694,26.551142
"2010-08-23",34.653206,34.890255,34.266899,34.284458,2643277,26.315283
"2010-08-24",34.152767,34.407375,33.8367,34.07375,3297177,26.153543
"2010-08-25",33.863037,34.337139,33.722565,34.179104,2857751,26.234413
"2010-08-26",34.249344,34.398594,33.924496,34.021072,2947846,26.113119
"2010-08-27",34.310799,34.600529,33.854259,34.556629,3227129,26.524185
"2010-08-30",34.46883,34.565407,34.091309,34.091309,3135439,26.16703
"2010-08-31",34.108868,34.354698,33.801579,33.898155,4003699,26.018774
"2010-09-01",34.07375,34.881474,34.064968,34.565407,3810297,26.530924
"2010-09-02",34.626865,34.951714,34.433716,34.846355,2925180,26.746571
"2010-09-03",35.24144,35.522388,34.986832,35.188763,3781252,27.009386
"2010-09-07",35.083405,35.127304,34.811237,34.837578,2478236,26.739838
"2010-09-08",34.635647,35.004391,34.477612,34.820019,2599654,26.95734
"2010-09-09",35.223881,35.294117,34.942932,35.048286,2500561,27.134062
"2010-09-10",35.074627,35.338017,34.969273,35.206322,1795861,27.256416
"2010-09-13",35.557507,35.654083,35.346794,35.478489,2515482,27.467123
"2010-09-14",35.408253,35.768219,35.381912,35.601406,2123324,27.562281
"2010-09-15",35.724319,36.215981,35.557507,36.172081,3434199,28.004086
"2010-09-16",35.996487,36.198421,35.987709,36.110622,2229593,27.956514
"2010-09-17",36.321335,36.426689,36.136963,36.286217,5632013,28.092451
"2010-09-20",36.435471,36.988586,36.312553,36.900791,3174165,28.568266
"2010-09-21",36.91835,36.944687,36.312553,36.663738,2839071,28.384733
"2010-09-22",36.707638,37.164181,36.654961,36.795437,2884518,28.486689
"2010-09-23",36.619843,36.821774,36.435471,36.540825,2203509,28.289568
"2010-09-24",36.496925,37.436348,36.496925,37.436348,2774148,28.982882
"2010-09-27",37.330994,37.374889,36.927128,36.96225,2830757,28.615837
"2010-09-28",37.190517,37.506584,36.479366,37.295876,3630449,28.874128
"2010-09-29",37.234417,37.260754,36.874451,36.979809,3269613,28.629427
"2010-09-30",37.225636,37.436348,36.602283,36.900791,5203863,28.568266
"2010-10-01",37.058823,37.313435,36.681297,36.716419,4019987,28.425522
"2010-10-04",36.777874,37.023705,36.444248,36.654961,3806766,28.377932
"2010-10-05",36.96225,37.172958,36.874451,37.014923,4896903,28.656614
"2010-10-06",37.023705,37.146622,36.830551,36.971027,2881328,28.62262
"2010-10-07",37.243195,37.313435,36.997368,37.032486,2730411,28.670212
"2010-10-08",37.041264,37.129063,36.681297,36.96225,2456367,28.615837
"2010-10-11",36.944687,37.076382,36.681297,36.909569,1417258,28.57505
"2010-10-12",36.84811,36.927128,36.435471,36.874451,2246336,28.547869
"2010-10-13",37.129063,37.480247,36.909569,37.278313,2046555,28.860525
"2010-10-14",37.269535,37.462688,37.050045,37.287094,2093710,28.867325
"2010-10-15",37.515366,37.743633,37.208076,37.699738,3481695,29.186792
"2010-10-18",37.524143,37.752415,37.392448,37.717297,2740434,29.200386
"2010-10-19",37.515366,37.673397,37.058823,37.40123,2988167,28.955694
"2010-10-20",37.515366,38.094818,37.40123,38.007023,3456409,29.424688
"2010-10-21",38.173836,38.32309,37.945564,38.252853,3022564,29.615013
"2010-10-22",38.366989,38.525021,38.138718,38.454784,2329483,29.771345
"2010-10-25",38.586479,38.735733,38.463566,38.621597,2818228,29.900475
"2010-10-26",38.446007,38.849869,38.147499,38.797192,4152338,30.036425
"2010-10-27",39.0079,39.280071,38.516243,39.22739,4087415,30.369497
"2010-10-28",39.288849,39.29763,38.753292,38.955223,3118468,30.158775
"2010-10-29",38.867428,39.22739,38.735733,39.060577,2911967,30.240343
"2010-11-01",39.113258,39.508343,38.981564,39.262512,2668221,30.396675
"2010-11-02",39.508343,39.622475,39.236172,39.350307,3414153,30.464651
"2010-11-03",39.323967,39.73661,39.201054,39.631256,4404057,30.682156
"2010-11-04",39.903423,40.175594,39.824406,40.175594,3253781,31.103565
"2010-11-05",40.096577,40.26339,39.97366,40.245831,3452765,31.157959
"2010-11-08",39.991219,40.210712,39.640034,39.920982,2427892,30.906462
"2010-11-09",39.938541,40.079018,39.640034,39.78051,2412858,30.797714
"2010-11-10",40.087795,40.131695,39.657593,40.131695,2985661,31.069592
"2010-11-11",39.938541,40.237049,39.631256,40.237049,2846703,31.151154
"2010-11-12",40.105354,40.122913,39.675156,39.877087,3220864,30.872484
"2010-11-15",40.052677,40.386303,39.841969,39.868305,3704825,30.865688
"2010-11-16",39.51712,39.604916,38.920105,39.183495,3656418,30.335505
"2010-11-17",39.069359,39.183495,38.902546,39.043018,2860371,30.226746
"2010-11-18",39.359089,39.894646,39.148376,39.745392,2821873,30.770523
"2010-11-19",39.727833,39.877087,39.508343,39.850746,2613436,30.852089
"2010-11-22",39.648815,40.061459,39.473221,40.017559,2299185,30.981234
"2010-11-23",39.683933,39.683933,39.130817,39.508343,2880417,30.58699
"2010-11-24",39.657593,40.342407,39.657593,40.158031,2607057,31.089983
"2010-11-26",39.894646,40.017559,39.587357,39.929764,925551,30.913261
