"dates","FTV.Open","FTV.High","FTV.Low","FTV.Close","FTV.Volume","FTV.Adjusted"
"2017-04-13",50.627617,50.97908,50.451881,50.485355,1452403,49.7047
"2017-04-17",50.627617,50.686192,50.263599,50.610878,1169069,49.828274
"2017-04-18",50.309624,50.614227,50.205021,50.435146,1867785,49.655266
"2017-04-19",50.451881,50.78661,50.108788,50.217571,2346144,49.441048
"2017-04-20",50.426777,50.920502,50.108788,50.719666,1795727,49.935379
"2017-04-21",50.70293,50.794979,50.188286,50.217571,1660931,49.441048
"2017-04-24",50.870293,51.49791,50.778244,51.405857,1516814,50.610966
"2017-04-25",51.707111,52.334728,51.631798,52.158997,1759040,51.352459
"2017-04-26",52.133892,52.493725,51.974895,52.092049,1557802,51.286545
"2017-04-27",52.083683,52.728031,51.941422,52.150627,2325112,51.344215
"2017-04-28",52.686192,53.782429,52.301254,52.937237,2871585,52.11866
"2017-05-01",53.230125,53.263599,51.974895,52.167362,2102125,51.360691
"2017-05-02",51.740585,52.150627,51.129707,52.033474,1798714,51.228867
"2017-05-03",51.841003,52.485355,51.698746,52.443516,1167276,51.632572
"2017-05-04",52.410042,52.811714,52.351463,52.569038,979781,51.756153
"2017-05-05",52.602509,52.853558,52.284519,52.836819,711503,52.019791
"2017-05-08",52.794979,53.02092,52.49791,52.627617,2140843,51.813828
"2017-05-09",52.669456,53.079498,52.26778,52.46862,987070,51.657288
"2017-05-10",52.326359,52.560669,52.083683,52.359833,1252958,51.550186
"2017-05-11",52.033474,52.46862,51.949791,52.401672,706604,51.591377
"2017-05-12",52.251045,52.324684,51.882847,52.033474,1201095,51.228867
"2017-05-15",52.133892,52.418411,52.04184,52.066944,1172893,51.261822
"2017-05-16",52.259415,52.259415,51.924686,52.158997,1062833,51.352459
"2017-05-17",52.158997,52.158997,51.154812,51.21339,1476901,50.421471
"2017-05-18",50.836819,51.539749,50.543934,51.179916,1646471,50.388512
"2017-05-19",51.447701,51.899582,51.04184,51.748955,2231782,50.94875
"2017-05-22",51.95816,52.301254,51.799164,52.217571,922182,51.410122
"2017-05-23",52.209206,52.46862,51.991631,52.393307,919553,51.583141
"2017-05-24",52.50209,52.903767,52.410042,52.78661,1622691,52.02853
"2017-05-25",52.820084,53.447701,52.51046,53.25523,1241725,52.490414
"2017-05-26",53.288704,53.472801,53.037659,53.146442,1405559,52.38319
"2017-05-30",52.920502,53.380753,52.74477,53.01255,2122081,52.251228
"2017-05-31",53.071129,53.188286,51.715481,52.259415,4692287,51.508904
"2017-06-01",52.493725,53.079498,52.280334,52.711296,1321073,51.954296
"2017-06-02",52.635983,53.414227,52.589958,53.062763,1419302,52.300713
"2017-06-05",52.920502,53.188286,52.903767,52.98745,1003203,52.226482
"2017-06-06",52.920502,53.096233,52.753139,52.887028,1645276,52.127495
"2017-06-07",52.928871,53.355648,52.778244,53.02092,939270,52.259472
"2017-06-08",53.02092,53.347279,52.560669,53.305439,1179465,52.539902
"2017-06-09",53.556484,53.556484,52.351463,52.794979,1227385,52.036777
"2017-06-12",52.753139,53.008369,52.048534,52.26778,1360149,51.517155
"2017-06-13",52.451881,52.962341,52.24268,52.945606,1211372,52.185242
"2017-06-14",52.953976,53.121338,52.661087,52.677822,1647666,51.921307
"2017-06-15",52.435146,52.937237,52.200836,52.753139,1400540,51.995541
"2017-06-16",52.861923,53.606693,52.610878,53.598328,2003657,52.828587
"2017-06-19",53.815899,54.251045,53.715481,54.217571,1641452,53.438953
"2017-06-20",53.974895,54.569038,53.807529,53.949791,2104156,53.175007
"2017-06-21",53.991631,54.142258,53.790794,53.866108,1747688,53.092529
"2017-06-22",53.841003,54,53.481171,53.640167,1246983,52.869831
"2017-06-23",53.514645,53.690376,53.280334,53.640167,8739035,52.869831
"2017-06-26",53.807529,54.158997,53.506275,53.648537,1206353,52.878075
"2017-06-27",53.380753,53.631798,53.029289,53.029289,833871,52.267723
"2017-06-28",53.380753,54.016735,53.217571,53.899582,992089,53.125523
"2017-06-29",53.866108,53.866108,52.51046,52.602509,1542984,51.847069
"2017-06-30",52.652721,53.288704,52.635983,53.01255,1406396,52.251228
"2017-07-03",53.263599,53.330544,52.878662,52.995815,779857,52.23473
"2017-07-05",53.246861,53.539749,52.874477,53.230125,1066179,52.465675
"2017-07-06",53.054394,53.372383,52.903767,52.995815,1763462,52.23473
"2017-07-07",53.230125,53.556484,53.104603,53.430962,1331350,52.663624
"2017-07-10",53.405857,54.347279,53.355648,54.058578,2360245,53.28223
"2017-07-11",54.125523,54.125523,53.037659,53.53138,1320236,52.7626
"2017-07-12",53.75732,54.309624,53.72385,54.142258,1336608,53.364712
"2017-07-13",54.184101,54.27615,53.815899,53.882847,1038933,53.10902
"2017-07-14",53.907951,54.217571,53.824268,54.025105,1330513,53.249237
"2017-07-17",54.033474,54.033474,53.372383,53.673641,1658899,52.902821
"2017-07-18",53.581589,53.740585,53.246861,53.347279,1230731,52.581139
"2017-07-19",53.506275,53.548119,53.205021,53.53138,1673717,52.7626
"2017-07-20",53.564854,53.682007,52.577408,53.138077,1861930,52.374947
"2017-07-21",52.920502,53.129707,52.78661,52.928871,1534619,52.168751
"2017-07-24",52.995815,53.054394,52.761505,52.962341,1438183,52.201729
"2017-07-25",53.196651,53.330544,52.694561,52.778244,2051457,52.020287
"2017-07-26",52.811714,52.903767,52,52.033474,2080376,51.286205
