"dates","CAT.Open","CAT.High","CAT.Low","CAT.Close","CAT.Volume","CAT.Adjusted"
"2013-12-23",89.309998,90.07,89.269997,89.959999,5733300,72.320763
"2013-12-24",90,90.980003,89.989998,90.910004,2675700,73.084511
"2013-12-26",90.989998,91.669998,90.699997,91.150002,4790800,73.277443
"2013-12-27",91.139999,91.43,90.559998,90.870003,3373800,73.05233
"2013-12-30",90.849998,91.029999,90.279999,90.870003,2625000,73.05233
"2013-12-31",91,91.18,90.459999,90.809998,3098900,73.004112
"2014-01-02",90.410004,90.449997,89.330002,89.870003,4898000,72.248413
"2014-01-03",90,90.25,89.589996,89.82,3722000,72.208244
"2014-01-06",90.190002,90.300003,88.379997,88.639999,5233900,71.259575
"2014-01-07",88.769997,89.230003,88.75,88.93,3512100,71.492737
"2014-01-08",88.779999,89.82,88.669998,89.139999,4421600,71.661568
"2014-01-09",89.260002,89.800003,88.690002,89.709999,4466400,72.119774
"2014-01-10",89.410004,90.599998,89.290001,90.510002,5416000,72.762924
"2014-01-13",90.260002,91.260002,89.82,89.889999,5213600,72.264481
"2014-01-14",89.860001,90.709999,89.860001,90.559998,3712100,72.803108
"2014-01-15",90.879997,93.199997,90.879997,92.410004,10121900,74.290367
"2014-01-16",91.889999,92.860001,91.699997,92.010002,4771000,74.452225
"2014-01-17",92.150002,92.260002,91.010002,91.440002,6833400,73.990997
"2014-01-21",91.599998,91.849998,89.639999,90.599998,5544900,73.311264
"2014-01-22",90.589996,90.82,89.349998,89.639999,4787300,72.534447
"2014-01-23",88.699997,89.080002,88.050003,88.480003,5014800,71.595825
"2014-01-24",87.980003,87.989998,85.879997,86.169998,8087400,69.726631
"2014-01-27",91.769997,92.309998,89.07,91.290001,22202300,73.869598
"2014-01-28",91.400002,92.669998,91.349998,92.470001,9409600,74.824425
"2014-01-29",91.309998,91.959999,90.290001,90.620003,8145900,73.327461
"2014-01-30",91.529999,93.849998,90.730003,93.199997,14764700,75.4151
"2014-01-31",92.160004,94.690002,92.010002,93.910004,9697300,75.989639
"2014-02-03",93.739998,93.940002,91.949997,92.419998,9084100,74.783981
"2014-02-04",92.480003,92.650002,91.489998,92.5,6839700,74.848679
"2014-02-05",92.239998,92.510002,91.059998,91.959999,5134500,74.411736
"2014-02-06",91.940002,94.230003,91.790001,93.830002,6844200,75.924911
"2014-02-07",94.169998,95.239998,93.879997,94.870003,9140200,76.766449
"2014-02-10",94.970001,94.980003,93.629997,94.5,5933400,76.467056
"2014-02-11",94.620003,95.339996,94.279999,94.959999,6006100,76.839279
"2014-02-12",95.309998,96.639999,95.169998,96.169998,8002000,77.818375
"2014-02-13",95.290001,96.410004,95.110001,96.110001,4387000,77.769821
"2014-02-14",95.860001,96.68,95.839996,96.550003,4145300,78.12587
"2014-02-18",95.849998,96.940002,95.849998,96.559998,4871700,78.133949
"2014-02-19",96.190002,97.669998,96.110001,96.209999,5865200,77.850761
"2014-02-20",96.510002,97.519997,95.300003,96.919998,7718400,78.425262
"2014-02-21",97.110001,97.949997,96.919998,97.5,5554600,78.894577
"2014-02-24",97.550003,98.239998,97.18,97.32,4887800,78.74894
"2014-02-25",96.839996,96.980003,95.82,96.410004,5989200,78.012589
"2014-02-26",96.660004,97.910004,96.339996,97.199997,4753900,78.651833
"2014-02-27",97.209999,97.639999,96.519997,96.699997,4337700,78.247238
"2014-02-28",96.629997,97.519997,96.300003,96.970001,5411100,78.465729
"2014-03-03",96.32,96.669998,95.599998,96.309998,4859200,77.931656
"2014-03-04",97.199997,97.459999,96.559998,97.019997,6261300,78.506165
"2014-03-05",96.540001,96.900002,95.879997,96.370003,5384800,77.980217
"2014-03-06",96.949997,98.150002,96.660004,97.599998,6714300,78.975494
"2014-03-07",97.779999,97.870003,96.5,97.050003,5259200,78.530441
"2014-03-10",96.639999,96.800003,95.860001,96.75,4640300,78.287712
"2014-03-11",97.089996,97.910004,96.620003,96.839996,5731200,78.360535
"2014-03-12",96.300003,97.239998,96.300003,96.82,4448600,78.344345
