"dates","OXY.Open","OXY.High","OXY.Low","OXY.Close","OXY.Volume","OXY.Adjusted"
"2010-09-09",74.939568,75.485657,74.173119,74.316826,3319829,50.888615
"2010-09-10",74.508438,75.811401,74.508438,74.920403,3542988,51.301926
"2010-09-13",75.725174,75.935951,75.054535,75.31321,3367425,51.5709
"2010-09-14",75.322792,75.840141,74.776695,75.083275,2588665,51.413448
"2010-09-15",74.431793,75.140755,74.249763,74.862923,2766420,51.262573
"2010-09-16",74.70005,74.968307,72.889313,73.243797,5371785,50.153866
"2010-09-17",73.550377,73.789894,72.611473,73.00428,7425411,49.989861
"2010-09-20",73.167152,74.345566,73.03302,73.991081,3516058,50.665569
"2010-09-21",74.249763,74.259338,72.72644,73.694084,3664170,50.462189
"2010-09-22",73.780312,74.67131,72.534828,72.75518,4221128,49.81929
"2010-09-23",72.218674,72.218674,70.934868,71.442642,5663102,48.920513
"2010-09-24",72.027061,73.234215,71.634254,73.100082,6644146,50.05545
"2010-09-27",72.898895,73.147987,71.52887,71.672577,6947467,49.077969
"2010-09-28",71.979156,72.515671,70.762421,72.343216,5380970,49.537193
"2010-09-29",71.835442,73.722824,71.634254,73.416245,5992726,50.271946
"2010-09-30",74.019829,75.409012,73.895279,75.016212,7745746,51.367531
"2010-10-01",75.792236,78.551453,75.591049,77.382622,9188868,52.987926
"2010-10-04",76.75988,78.292778,76.75988,77.210167,4638951,52.869862
"2010-10-05",77.832909,79.260422,77.670036,79.001747,6215364,54.09663
"2010-10-06",78.848457,79.911903,78.771812,79.452034,4108505,54.404984
"2010-10-07",79.624481,79.816093,77.804169,78.934677,3917703,54.050724
"2010-10-08",79.202934,79.892738,78.551453,79.691551,2906912,54.56897
"2010-10-11",79.528679,80.371773,79.519096,80.2089,2688450,54.923225
"2010-10-12",79.950226,80.477158,78.656845,79.739449,4546264,54.601761
"2010-10-13",80.36219,81.377739,80.256805,80.754997,4334378,55.297165
"2010-10-14",80.812485,81.914253,80.61129,81.348991,4340745,55.703915
"2010-10-15",81.808868,81.895088,80.687935,81.377739,3797460,55.723606
"2010-10-18",81.224449,82.316635,80.898705,81.866348,3732433,56.058186
"2010-10-19",80.429253,80.879547,76.7024,77.794586,9892998,53.270031
"2010-10-20",77.756264,78.034103,76.252106,77.574234,7603062,53.119133
"2010-10-21",78.024521,78.034103,74.776695,75.495239,9119561,51.695549
"2010-10-22",75.993431,76.501205,75.351532,76.242531,4508897,52.207264
"2010-10-25",76.961075,77.602974,76.644913,76.7024,4557015,52.522152
"2010-10-26",76.194626,76.271271,75.418594,75.725174,6850291,51.852989
"2010-10-27",74.997047,76.146721,74.518021,76.079659,6950181,52.09573
"2010-10-28",76.721558,76.75988,75.476082,75.562302,3417317,51.741467
"2010-10-29",75.341949,75.820984,74.929985,75.332367,3558540,51.584015
"2010-11-01",76.414978,77.344299,76.204208,76.48204,4735083,52.371277
"2010-11-02",77.06646,78.781387,76.980232,78.091583,4781844,53.473396
"2010-11-03",78.541878,78.963425,76.721558,78.292778,5072222,53.611176
"2010-11-04",79.595741,81.262772,79.499939,80.946609,6638197,55.428398
"2010-11-05",80.69751,81.310677,79.998131,80.69751,3830026,55.257813
"2010-11-08",79.921486,80.946609,79.806519,80.735832,2891673,55.28405
"2010-11-09",80.735832,81.885513,80.055611,80.48674,3581608,55.113483
"2010-11-10",80.66877,81.186127,79.490356,81.051994,3850693,55.500523
"2010-11-11",80.51548,84.702209,80.314285,84.08905,9084699,57.580189
"2010-11-12",83.408829,84.529762,82.891472,83.792053,6132592,57.376831
"2010-11-15",83.552536,84.884239,83.207634,84.069893,4254007,57.567059
"2010-11-16",83.025604,83.150154,80.707092,81.598091,6114744,55.874489
"2010-11-17",81.511864,82.297478,81.080734,82.057961,3457085,56.189396
"2010-11-18",83.236374,84.711792,83.130989,83.657921,4056838,57.284962
"2010-11-19",83.600441,84.568085,83.111832,84.49144,4375085,57.855717
"2010-11-22",84.194435,85.171661,83.054344,84.759697,3942232,58.039402
"2010-11-23",83.456734,84.663887,83.217216,84.386047,4992686,57.783546
"2010-11-24",84.999207,85.382431,84.261505,85.209984,3613965,58.347744
"2010-11-26",84.750114,85.382431,83.782471,83.974083,1452308,57.501431
"2010-11-29",83.734566,85.554886,83.504631,85.248306,3638389,58.373993
"2010-11-30",84.453117,85.736916,83.811211,84.472275,4800736,57.842598
"2010-12-01",85.526146,86.924911,85.171661,86.465042,4616927,59.207142
"2010-12-02",86.541687,87.250656,86.254272,86.934494,6069444,59.528599
"2010-12-03",86.790787,88.084167,86.656654,87.892555,3393519,60.184624
"2010-12-06",87.480591,89.511681,87.327301,89.147614,3705504,61.044044
"2010-12-07",90.096092,90.958351,88.793129,88.831451,5263754,60.827541
"2010-12-08",88.496132,89.262581,86.570427,87.078201,5023999,59.872391
"2010-12-09",87.576393,87.78717,86.532104,87.250656,3406462,59.990967
"2010-12-10",88.726067,89.291321,87.921295,89.138039,4901982,61.288677
"2010-12-13",90.21106,91.743965,89.626648,89.942802,6334041,61.841999
"2010-12-14",90.21106,90.920029,89.588326,90.15358,2703689,61.986923
"2010-12-15",89.69371,90.939194,89.69371,90.824226,4106209,62.448032
"2010-12-16",90.747581,90.977509,89.502098,90.862541,3731389,62.474384
"2010-12-17",90.948769,91.657738,90.440994,91.207443,5065228,62.711533
"2010-12-20",91.427803,91.734383,90.488899,91.466125,2293381,62.889412
"2010-12-21",91.57151,93.056503,91.418221,92.577477,3093225,63.653519
"2010-12-22",92.548737,93.794212,92.270897,93.660088,3021101,64.397903
"2010-12-23",93.669662,93.90918,93.171471,93.353508,1987242,64.18708
"2010-12-27",92.826569,93.42057,92.558311,92.807411,2104980,63.811604
"2010-12-28",93.018181,94.014565,92.855316,93.6026,2489298,64.358383
"2010-12-29",94.03373,95.394173,93.63134,94.876823,2497335,65.234489
"2010-12-30",94.742691,95.125916,93.410988,93.516373,3364816,64.299088
"2010-12-31",93.516373,94.541504,93.267281,93.985825,2634904,64.621872
"2011-01-03",94.646889,94.991791,93.746307,93.890022,3737443,64.555992
"2011-01-04",94.254082,94.369049,90.335609,92.606216,6741739,63.67329
"2011-01-05",92.184669,93.497215,91.360741,92.951118,3755083,63.910416
"2011-01-06",93.200218,93.47805,91.830185,92.414604,3938056,63.541534
"2011-01-07",92.567894,93.085251,91.57151,92.15593,3974797,63.36367
"2011-01-10",91.609833,92.357124,91.063736,91.772705,4006111,63.100204
"2011-01-11",92.309219,93.152313,91.676895,92.855316,4221337,63.844555
"2011-01-12",93.890022,94.110374,92.960701,93.410988,4926824,64.226624
"2011-01-13",93.688828,93.746307,91.69606,92.376282,4724958,63.515186
"2011-01-14",92.203835,93.382248,91.858932,93.238541,3696318,64.108063
"2011-01-18",93.075668,94.618149,92.931961,94.416954,3304381,64.918289
"2011-01-19",94.627724,94.838501,93.717567,94.148697,3373792,64.733826
"2011-01-20",93.296021,93.78463,91.90683,92.366699,4757837,63.508579
"2011-01-21",93.535538,94.206177,92.596634,93.861275,4215909,64.536224
"2011-01-24",93.506798,93.890022,92.788246,93.104408,3871777,64.015816
"2011-01-25",93.037346,93.200218,91.782288,93.075668,4159650,63.996071
"2011-01-26",91.925995,93.171471,90.076935,92.874474,10221892,63.857716
"2011-01-27",93.257698,94.081635,91.628998,92.903214,5528560,63.87748
"2011-01-28",92.644539,93.104408,89.770355,89.87574,9878281,61.795898
"2011-01-31",90.115257,92.644539,89.339226,92.625381,6668466,63.686466
"2011-02-01",93.688828,95.566628,93.430153,94.781013,7012494,65.16861
"2011-02-02",94.589401,94.982208,94.062469,94.522339,3966969,64.990746
"2011-02-03",94.397789,94.397789,92.088867,94.062469,3976572,64.674561
"2011-02-04",94.340309,94.426537,92.912796,93.42057,3534638,64.2332
"2011-02-07",93.497215,93.957085,92.970284,93.44931,3327553,64.252975
"2011-02-08",93.72715,94.100792,92.797829,93.660088,3018178,64.397903
"2011-02-09",93.181053,94.321144,92.232574,93.171471,4609725,64.061943
"2011-02-10",93.142731,94.819336,92.510414,94.781013,4142845,65.16861
"2011-02-11",94.349892,96.764206,93.650505,95.557045,4392620,65.702187
"2011-02-14",95.672012,97.128265,95.32711,97.003716,3303129,66.696869
"2011-02-15",96.898331,100.586868,96.448044,98.747391,7664540,67.89579
"2011-02-16",99.264748,100.912605,98.661163,100.615608,4518708,69.180298
"2011-02-17",99.791679,101.794029,99.753357,101.410805,3426711,69.727058
