"dates","ODFL.Open","ODFL.High","ODFL.Low","ODFL.Close","ODFL.Volume","ODFL.Adjusted"
"2010-02-23",8.8,8.823704,8.61037,8.767407,1886963,8.624807
"2010-02-24",8.767407,8.948148,8.758519,8.915556,1507275,8.770546
"2010-02-25",8.844444,9.048889,8.797037,9.031111,1223775,8.88422
"2010-02-26",9.01037,9.137778,8.924444,9.108148,727313,8.960006
"2010-03-01",9.122963,9.131852,8.971852,9.022222,1466775,8.875476
"2010-03-02",9.007407,9.042963,8.93037,8.986667,921038,8.840497
"2010-03-03",9.016296,9.143704,8.921481,9.081481,889650,8.933774
"2010-03-04",9.072593,9.14963,9.04,9.084444,644963,8.936687
"2010-03-05",9.102222,9.274074,9.022222,9.226667,1121175,9.076598
"2010-03-08",9.306667,9.632593,9.306667,9.493333,1965600,9.338924
"2010-03-09",9.511111,10.062222,9.511111,9.872593,3084750,9.712018
"2010-03-10",9.848889,10.157037,9.697778,9.875556,1928138,9.714931
"2010-03-11",9.819259,10.002963,9.81037,9.943704,730013,9.781972
"2010-03-12",9.991111,10.008889,9.70963,9.931852,1134675,9.770313
"2010-03-15",9.89037,9.985185,9.786667,9.925926,799538,9.764482
"2010-03-16",9.925926,10.222222,9.925926,10.213333,1074263,10.047215
"2010-03-17",10.231111,10.251852,10.017778,10.074074,1118813,9.910222
"2010-03-18",10.026667,10.074074,9.854815,9.973333,1442138,9.811119
"2010-03-19",10.017778,10.020741,9.825185,9.875556,1141763,9.714931
"2010-03-22",9.801481,10,9.748148,9.931852,828900,9.770313
"2010-03-23",9.964444,10.02963,9.908148,9.952593,852188,9.790715
"2010-03-24",9.946667,9.979259,9.813333,9.834074,622013,9.674126
"2010-03-25",9.905185,10.053333,9.807407,9.819259,609525,9.659551
"2010-03-26",9.819259,9.914074,9.662222,9.804444,748913,9.644979
"2010-03-29",9.854815,9.958519,9.733333,9.783704,523463,9.624576
"2010-03-30",9.822222,9.908148,9.754074,9.899259,563625,9.738249
"2010-03-31",9.863704,10.020741,9.742222,9.893333,1107000,9.732419
"2010-04-01",9.958519,10.124444,9.742222,9.807407,2416838,9.647891
"2010-04-05",9.848889,10,9.754074,10,703688,9.837352
"2010-04-06",10.008889,10.328889,9.928889,10.186667,1760738,10.020984
"2010-04-07",10.183704,10.272593,10.02963,10.26963,1313550,10.102597
"2010-04-08",10.213333,10.361481,10.127407,10.343704,1050638,10.175467
"2010-04-09",10.311111,10.322963,10.21037,10.302222,1036463,10.134661
"2010-04-12",10.296296,10.432593,10.245926,10.287407,1015538,10.120083
"2010-04-13",10.263704,10.314074,10.142222,10.237037,903825,10.070532
"2010-04-14",10.308148,10.657778,10.266667,10.645926,3099938,10.472772
"2010-04-15",10.678519,11.312593,10.672593,11.045926,2388150,10.866265
"2010-04-16",11.054815,11.054815,10.82963,10.998519,996638,10.819631
"2010-04-19",10.936296,10.998519,10.699259,10.868148,791438,10.691381
"2010-04-20",10.918519,11.028148,10.598519,10.752593,982125,10.577703
"2010-04-21",10.811852,10.859259,10.598519,10.835556,1014188,10.659319
"2010-04-22",10.752593,10.948148,10.580741,10.906667,1377338,10.729271
"2010-04-23",10.924444,11.146667,10.871111,11.06963,997650,10.889584
"2010-04-26",11.084444,11.306667,10.977778,11.253333,1174838,11.070296
"2010-04-27",11.185185,11.508148,11.01037,11.111111,1906875,10.930391
"2010-04-28",11.131852,11.191111,10.45037,10.562963,3556913,10.391158
"2010-04-29",10.654815,11.013333,10.651852,10.965926,1697625,10.787565
"2010-04-30",11.007407,11.185185,10.616296,10.631111,1226475,10.458199
"2010-05-03",10.699259,11.063704,10.631111,10.900741,877163,10.723442
"2010-05-04",10.835556,10.85037,10.557037,10.728889,1649700,10.554385
"2010-05-05",10.66963,10.868148,10.577778,10.74963,1061438,10.574789
"2010-05-06",11.099259,11.131852,10.056296,10.456296,1840388,10.286225
"2010-05-07",10.459259,10.533333,10.017778,10.106667,1558913,9.942284
"2010-05-10",10.524444,10.823704,10.438519,10.820741,1171125,10.644744
"2010-05-11",10.755556,11.194074,10.708148,11.173333,1504575,10.991601
"2010-05-12",11.214815,11.46963,11.12,11.256296,1493438,11.073215
"2010-05-13",11.194074,11.274074,10.865185,10.992593,2112413,10.813801
"2010-05-14",10.897778,11.054815,10.820741,10.995556,1033088,10.816717
"2010-05-17",11.081481,11.161481,10.823704,11.14963,1259213,10.968283
"2010-05-18",11.259259,11.392593,10.992593,11.016296,1284188,10.83712
"2010-05-19",10.96,11.137778,10.797037,11.042963,1021275,10.863352
"2010-05-20",10.814815,10.814815,10.24,10.24,1663200,10.073449
"2010-05-21",10.142222,10.518519,9.997037,10.435556,1856925,10.265823
"2010-05-24",10.459259,10.488889,10.231111,10.245926,953775,10.079279
"2010-05-25",10.074074,10.251852,9.834074,10.234074,884925,10.067617
"2010-05-26",10.29037,10.56,10.263704,10.284444,806625,10.117168
"2010-05-27",10.432593,10.746667,10.26963,10.725926,1449225,10.551472
"2010-05-28",10.693333,10.785185,10.497778,10.56,739800,10.388246
"2010-06-01",10.503704,10.595556,10.331852,10.331852,771863,10.163807
"2010-06-02",10.34963,10.678519,10.287407,10.619259,935550,10.446538
"2010-06-03",10.622222,10.912593,10.622222,10.897778,929138,10.720528
"2010-06-04",10.761481,10.794074,10.222222,10.24,873788,10.073449
"2010-06-07",10.251852,10.29037,9.712593,9.736296,1155600,9.577937
"2010-06-08",9.736296,9.76,9.342222,9.659259,1877175,9.502152
"2010-06-09",9.751111,10.222222,9.635556,10.047407,2185313,9.883988
"2010-06-10",10.228148,10.477037,10.183704,10.456296,730688,10.286225
"2010-06-11",10.391111,10.672593,10.281481,10.672593,492750,10.499005
"2010-06-14",10.776296,11.019259,10.74963,10.865185,659475,10.688465
"2010-06-15",10.98963,11.037037,10.764444,10.998519,1045913,10.819631
"2010-06-16",10.897778,11.019259,10.779259,10.885926,506588,10.708869
"2010-06-17",10.924444,10.948148,10.604444,10.794074,423225,10.61851
"2010-06-18",10.874074,11.054815,10.711111,11.001481,1016888,10.822543
"2010-06-21",11.081481,11.131852,10.853333,10.912593,763088,10.735101
"2010-06-22",10.971852,11.037037,10.177778,10.213333,1329075,10.047215
"2010-06-23",10.180741,10.524444,10.165926,10.367407,704025,10.198785
"2010-06-24",10.340741,10.441481,10.213333,10.26963,559575,10.102597
"2010-06-25",10.334815,10.500741,10.254815,10.299259,3672000,10.131742
"2010-06-28",10.325926,10.580741,10.29037,10.503704,672975,10.332865
"2010-06-29",10.346667,10.580741,10.311111,10.42963,1211288,10.259995
"2010-06-30",10.453333,10.625185,10.367407,10.411852,763088,10.242504
"2010-07-01",10.414815,10.512593,9.988148,10.317037,1250100,10.149231
"2010-07-02",10.364444,10.408889,10.21037,10.34963,986175,10.181295
"2010-07-06",10.48,10.637037,9.979259,10.011852,1249088,9.84901
"2010-07-07",10.065185,10.432593,9.997037,10.414815,682425,10.24542
"2010-07-08",10.518519,10.598519,10.423704,10.542222,507938,10.370755
"2010-07-09",10.506667,10.657778,10.441481,10.634074,344925,10.461112
"2010-07-12",10.64,10.832593,10.494815,10.595556,444150,10.423222
"2010-07-13",10.734815,10.906667,10.586667,10.874074,777263,10.697209
"2010-07-14",10.814815,11.060741,10.794074,10.957037,568688,10.778824
"2010-07-15",10.936296,10.98963,10.565926,10.693333,529200,10.519405
"2010-07-16",10.604444,10.696296,10.548148,10.619259,873113,10.446538
"2010-07-19",10.622222,10.814815,10.542222,10.767407,698625,10.592278
"2010-07-20",10.645926,10.88,10.515556,10.847407,555188,10.670978
"2010-07-21",10.903704,10.915556,10.397037,10.468148,747225,10.297885
"2010-07-22",10.607407,10.847407,10.607407,10.826667,1468800,10.650575
"2010-07-23",10.761481,11.247407,10.761481,11.217778,865350,11.035323
"2010-07-26",11.259259,11.611852,11.155556,11.431111,1607513,11.245186
"2010-07-27",11.528889,11.620741,11.182222,11.265185,1147163,11.081959
"2010-07-28",11.632593,12.13037,11.466667,11.917037,4941675,11.723207
"2010-07-29",11.911111,11.911111,11.531852,11.703704,2296688,11.513345
"2010-07-30",11.611852,11.777778,11.407407,11.682963,866025,11.492942
"2010-08-02",11.854815,12.02963,11.448889,11.540741,1330425,11.353031
"2010-08-03",11.52,11.552593,11.208889,11.226667,1604813,11.044068
"2010-08-04",11.244444,11.564444,11.158519,11.481481,1248413,11.294736
"2010-08-05",11.351111,11.351111,10.85037,11.096296,2719575,10.915817
"2010-08-06",10.98963,11.158519,10.734815,11.117037,1231538,10.936219
"2010-08-09",11.214815,11.300741,11.075556,11.262222,484988,11.079045
"2010-08-10",11.108148,11.182222,10.814815,10.918519,526838,10.740931
"2010-08-11",10.794074,10.794074,10.485926,10.595556,1525838,10.423222
"2010-08-12",10.48,10.814815,10.37037,10.746667,1271700,10.571875
"2010-08-13",10.687407,10.871111,10.536296,10.545185,501188,10.373669
"2010-08-16",10.474074,10.888889,10.405926,10.672593,691538,10.499005
"2010-08-17",10.802963,11.105185,10.776296,11.019259,1213988,10.840033
"2010-08-18",11.031111,11.428148,10.903704,11.321481,1172813,11.137339
"2010-08-19",11.253333,11.306667,10.752593,10.957037,1081013,10.778824
"2010-08-20",10.915556,11.09037,10.702222,11.034074,1166400,10.854606
"2010-08-23",11.12,11.28,10.891852,10.906667,870075,10.729271
"2010-08-24",10.795556,10.804444,10.368889,10.56,1797525,10.388246
"2010-08-25",10.502222,10.866667,10.444444,10.746667,1395450,10.571875
"2010-08-26",10.76,11.106667,10.666667,10.702222,673425,10.528153
"2010-08-27",10.84,11.217778,10.768889,11.137778,886950,10.956625
"2010-08-30",11.066667,11.12,10.715556,10.72,1056825,10.545642
"2010-08-31",10.688889,10.768889,10.284444,10.328889,2749950,10.160891
"2010-09-01",10.506667,11.115556,10.4,11.106667,1605600,10.926018
"2010-09-02",11.124444,11.204444,10.964444,11.137778,638325,10.956625
"2010-09-03",11.293333,11.431111,11.062222,11.124444,638100,10.943509
"2010-09-07",11.066667,11.2,10.92,11.048889,654075,10.869183
"2010-09-08",11.106667,11.462222,11.106667,11.32,765225,11.13588
"2010-09-09",11.435556,11.52,11.097778,11.124444,704925,10.943509
"2010-09-10",11.133333,11.288889,10.982222,11.048889,882450,10.869183
"2010-09-13",11.16,11.333333,11.12,11.257778,1012950,11.074673
"2010-09-14",11.284444,11.444444,11.186667,11.222222,1017000,11.039695
"2010-09-15",11.217778,11.302222,11.111111,11.248889,1092375,11.065928
"2010-09-16",11.288889,11.648889,11.248889,11.471111,1822725,11.284535
"2010-09-17",11.604444,11.68,11.222222,11.555556,1602900,11.367607
"2010-09-20",11.577778,11.657778,11.368889,11.511111,1107225,11.323883
"2010-09-21",11.502222,11.671111,11.36,11.511111,1669500,11.323883
"2010-09-22",11.502222,11.564444,11.32,11.395556,1039050,11.210208
"2010-09-23",11.302222,11.391111,11.022222,11.071111,1002600,10.891042
"2010-09-24",11.213333,11.542222,11.16,11.457778,780525,11.27142
"2010-09-27",11.453333,11.555556,11.24,11.48,854100,11.29328
"2010-09-28",11.533333,11.546667,11.24,11.502222,1145475,11.315141
"2010-09-29",11.44,11.573333,11.155556,11.475556,1344375,11.288908
"2010-09-30",11.546667,11.604444,11.284444,11.297778,939825,11.114023
"2010-10-01",11.466667,11.471111,11.013333,11.12,919575,10.939137
"2010-10-04",11.08,11.213333,10.826667,10.955556,1057950,10.777365
"2010-10-05",11.084444,11.386667,11.044444,11.302222,648900,11.118393
"2010-10-06",11.266667,11.328889,11.097778,11.151111,603225,10.969739
"2010-10-07",11.257778,11.324444,11.084444,11.2,1059975,11.017833
"2010-10-08",11.186667,11.391111,11.062222,11.231111,1696725,11.048436
"2010-10-11",11.191111,11.253333,11.115556,11.151111,1556775,10.969739
"2010-10-12",11.128889,11.373333,11.022222,11.311111,670950,11.12714
"2010-10-13",11.342222,11.697778,11.333333,11.56,1036350,11.371981
"2010-10-14",11.511111,11.568889,11.413333,11.475556,772875,11.288908
"2010-10-15",11.635556,11.635556,11.408889,11.524444,1057725,11.337002
"2010-10-18",11.555556,11.582222,11.484444,11.537778,635625,11.350118
"2010-10-19",11.364444,11.484444,11.266667,11.351111,1008450,11.166488
"2010-10-20",11.435556,11.755556,11.391111,11.631111,956700,11.441934
"2010-10-21",11.644444,11.697778,11.355556,11.582222,899775,11.393838
"2010-10-22",11.608889,11.746667,11.528889,11.702222,905400,11.511887
"2010-10-25",11.777778,11.888889,11.702222,11.764444,491850,11.573098
"2010-10-26",11.688889,11.835556,11.56,11.564444,807075,11.376352
"2010-10-27",11.671111,12.457778,11.591111,12.417778,3993300,12.215803
"2010-10-28",12.528889,12.671111,12.333333,12.431111,2025675,12.228923
"2010-10-29",12.408889,12.56,12.293333,12.466667,1193625,12.263898
"2010-11-01",12.506667,12.533333,12.044444,12.208889,1286325,12.010314
"2010-11-02",12.368889,12.44,12.213333,12.368889,1350675,12.167712
"2010-11-03",12.4,12.617778,12.355556,12.582222,2871450,12.377573
"2010-11-04",12.697778,12.888889,12.644444,12.751111,1183050,12.543717
"2010-11-05",12.786667,12.848889,12.6,12.68,703800,12.47376
"2010-11-08",12.622222,12.76,12.422222,12.626667,357750,12.421295
"2010-11-09",12.68,12.68,12.253333,12.324444,653625,12.12399
"2010-11-10",12.377778,12.444444,12.226667,12.364444,747675,12.163338
"2010-11-11",12.235556,12.408889,12.213333,12.4,638325,12.198316
"2010-11-12",12.302222,12.471111,12.231111,12.373333,611775,12.172083
"2010-11-15",12.422222,12.506667,12.253333,12.266667,571500,12.067151
"2010-11-16",12.155556,12.266667,12,12.2,645975,12.001568
"2010-11-17",12.231111,12.506667,12.173333,12.386667,913050,12.185201
"2010-11-18",12.515556,12.706667,12.404444,12.457778,659925,12.255154
"2010-11-19",12.435556,13,12.386667,12.68,1520775,12.47376
"2010-11-22",12.631111,12.777778,12.533333,12.751111,859950,12.543717
"2010-11-23",12.684444,12.875556,12.573333,12.853333,1577250,12.644275
"2010-11-24",12.933333,13.208889,12.933333,13.186667,1253025,12.972188
"2010-11-26",13.106667,13.191111,13.026667,13.053333,284400,12.841022
"2010-11-29",13.026667,13.048889,12.746667,12.986667,743850,12.77544
"2010-11-30",12.888889,12.924444,12.728889,12.835556,923625,12.626788
"2010-12-01",13.066667,13.271111,13.04,13.12,634050,12.906608
"2010-12-02",13.12,13.435556,13.031111,13.377778,1167075,13.160191
"2010-12-03",13.302222,13.831111,13.235556,13.622222,1321425,13.40066
"2010-12-06",13.6,13.777778,13.488889,13.711111,997875,13.488102
"2010-12-07",13.8,14.088889,13.773333,13.906667,906300,13.680476
"2010-12-08",13.977778,13.977778,13.648889,13.666667,990450,13.444382
"2010-12-09",13.786667,13.795556,13.586667,13.608889,817200,13.387545
"2010-12-10",13.626667,13.773333,13.524444,13.76,464400,13.536197
"2010-12-13",13.862222,13.862222,13.457778,13.471111,853650,13.252006
"2010-12-14",13.551111,13.684444,13.333333,13.537778,914850,13.31759
"2010-12-15",13.564444,13.688889,13.462222,13.52,904050,13.300099
"2010-12-16",13.595556,13.826667,13.471111,13.706667,923400,13.483731
"2010-12-17",13.697778,13.764444,13.471111,13.608889,1285200,13.387545
"2010-12-20",13.666667,13.72,13.475556,13.653333,517275,13.431263
"2010-12-21",13.755556,14.111111,13.733333,14.066667,647100,13.837873
"2010-12-22",14.102222,14.2,13.946667,14.044444,299700,13.816013
"2010-12-23",14.044444,14.151111,13.955556,14.084444,295650,13.855363
"2010-12-27",14.057778,14.244444,13.964444,14.151111,291600,13.920946
"2010-12-28",14.177778,14.177778,13.937778,14.017778,328725,13.789783
"2010-12-29",14.066667,14.146667,14.013333,14.062222,173475,13.833503
"2010-12-30",14.088889,14.311111,14.088889,14.24,357525,14.008389
"2010-12-31",14.24,14.328889,14.168889,14.217778,476325,13.986529
"2011-01-03",14.333333,14.675556,14.288889,14.435556,437400,14.200765
"2011-01-04",14.488889,14.995556,13.955556,14.435556,4093650,14.200765
"2011-01-05",14.377778,14.653333,14.266667,14.413333,1149300,14.178901
"2011-01-06",14.755556,14.777778,14.417778,14.511111,1014300,14.275091
"2011-01-07",14.6,14.702222,14.297778,14.546667,577125,14.310068
"2011-01-10",14.462222,14.608889,14.288889,14.52,542025,14.283834
"2011-01-11",14.533333,14.604444,14.275556,14.408889,558675,14.174529
"2011-01-12",14.546667,14.586667,14.355556,14.537778,733275,14.301324
"2011-01-13",14.377778,14.786667,14.128889,14.671111,894150,14.432488
"2011-01-14",14.64,14.808889,14.457778,14.76,798525,14.519933
"2011-01-18",14.76,14.897778,14.537778,14.693333,756675,14.454349
"2011-01-19",14.702222,14.72,14.288889,14.351111,937575,14.117695
"2011-01-20",14.222222,14.337778,14.08,14.182222,457875,13.951551
"2011-01-21",14.248889,14.328889,14.111111,14.142222,436725,13.9122
"2011-01-24",14.124444,14.44,14.097778,14.271111,603675,14.038995
"2011-01-25",14.182222,14.422222,14.168889,14.377778,444825,14.143925
"2011-01-26",14.457778,14.813333,14.297778,14.52,1278450,14.283834
"2011-01-27",14.533333,14.933333,14.457778,14.831111,618075,14.589885
"2011-01-28",14.777778,14.777778,14.302222,14.306667,671400,14.073974
"2011-01-31",14.342222,14.4,14.111111,14.297778,569700,14.065228
"2011-02-01",14.453333,14.6,14.382222,14.528889,546525,14.29258
"2011-02-02",14.075556,14.275556,12.608889,13.68,4995000,13.457495
"2011-02-03",13.426667,13.693333,13.191111,13.373333,2099700,13.155818
"2011-02-04",13.373333,13.644444,13.222222,13.551111,1510425,13.330704
"2011-02-07",13.511111,13.551111,13.266667,13.417778,1669050,13.19954
"2011-02-08",13.444444,13.555556,13.333333,13.453333,562725,13.234517
"2011-02-09",13.724444,13.724444,13.217778,13.36,1016100,13.142699
"2011-02-10",13.248889,13.76,13.244444,13.64,1050525,13.418147
"2011-02-11",13.613333,13.817778,13.52,13.813333,1562175,13.588662
"2011-02-14",13.764444,14.066667,13.697778,13.995556,721350,13.76792
"2011-02-15",13.928889,14.213333,13.902222,14.031111,1090350,13.802896
"2011-02-16",13.977778,14.177778,13.951111,14.075556,1159875,13.846621
"2011-02-17",14.084444,14.311111,13.946667,14.173333,675000,13.942806
"2011-02-18",14.284444,14.386667,14.066667,14.355556,795375,14.122065
"2011-02-22",14.177778,14.177778,13.84,13.888889,762750,13.662989
"2011-02-23",13.875556,13.875556,13.342222,13.528889,690075,13.308845
"2011-02-24",13.502222,13.697778,13.284444,13.457778,753750,13.238888
"2011-02-25",13.457778,13.968889,13.457778,13.724444,559350,13.501218
"2011-02-28",13.764444,13.946667,13.6,13.675556,409500,13.453125
"2011-03-01",13.711111,13.76,13.36,13.457778,405675,13.238888
"2011-03-02",13.408889,13.68,13.36,13.475556,1009125,13.256379
"2011-03-03",13.613333,14.297778,13.608889,14.248889,1675575,14.017134
"2011-03-04",14.324444,14.426667,14.173333,14.328889,902250,14.095831
"2011-03-07",14.36,14.515556,13.942222,14.244444,1243125,14.01276
"2011-03-08",14.231111,14.635556,14.142222,14.622222,552825,14.384395
"2011-03-09",14.617778,14.911111,14.453333,14.564444,1887300,14.327555
"2011-03-10",14.466667,14.568889,14.226667,14.377778,1085400,14.143925
"2011-03-11",14.773333,14.773333,14.382222,14.626667,3331800,14.388766
"2011-03-14",14.475556,14.773333,14.382222,14.546667,627300,14.310068
"2011-03-15",14.111111,14.782222,13.92,14.591111,1114425,14.35379
"2011-03-16",14.613333,15.151111,14.506667,14.702222,1550025,14.463092
"2011-03-17",15.057778,15.328889,14.946667,14.968889,1224225,14.725421
"2011-03-18",15.124444,15.444444,15,15.097778,1107450,14.852217
"2011-03-21",15.257778,15.337778,15.164444,15.288889,714375,15.04022
"2011-03-22",15.288889,15.288889,15.048889,15.106667,367200,14.860959
"2011-03-23",15.022222,15.226667,14.964444,15.142222,523350,14.895936
"2011-03-24",15.226667,15.413333,15.111111,15.244444,591300,14.996495
"2011-03-25",15.377778,15.404444,15.177778,15.248889,901350,15.000871
"2011-03-28",15.262222,15.324444,15.111111,15.195556,650250,14.948403
"2011-03-29",15.164444,15.368889,15.075556,15.235556,834750,14.987751
"2011-03-30",15.355556,15.653333,15.186667,15.555556,903600,15.302548
"2011-03-31",15.577778,15.693333,15.515556,15.595556,1035000,15.341898
"2011-04-01",15.666667,15.942222,15.631111,15.675556,608175,15.420595
"2011-04-04",15.746667,16.022223,15.688889,15.88,539325,15.621714
"2011-04-05",15.808889,16.088888,15.693333,15.951111,439875,15.69167
"2011-04-06",16.048889,16.24,15.835556,16.088888,1483200,15.827204
"2011-04-07",16.062222,16.204445,15.888889,15.906667,1025100,15.647947
"2011-04-08",16.044443,16.044443,15.551111,15.648889,926100,15.394361
"2011-04-11",15.644444,15.764444,15.417778,15.515556,610650,15.263199
"2011-04-12",15.511111,15.573333,15.346667,15.417778,499725,15.167009
"2011-04-13",15.466667,15.595556,15.182222,15.275556,535725,15.027102
"2011-04-14",15.208889,15.564444,15.208889,15.462222,929250,15.210732
"2011-04-15",15.36,15.56,15.275556,15.386667,865350,15.136407
"2011-04-18",15.271111,15.333333,15.075556,15.164444,407925,14.917797
"2011-04-19",15.231111,15.306667,15.044444,15.142222,466875,14.895936
"2011-04-20",15.32,15.324444,15.08,15.275556,479250,15.027102
"2011-04-21",15.422222,15.577778,15.302222,15.413333,292275,15.162637
"2011-04-25",15.337778,15.36,14.942222,15.053333,772650,14.808493
"2011-04-26",15.16,15.68,15.057778,15.337778,1361700,15.088315
"2011-04-27",16.146667,17.097778,16.031111,16.719999,3198150,16.44805
"2011-04-28",16.862223,16.937778,16.719999,16.888889,1172475,16.614191
"2011-04-29",16.968889,16.968889,16.573334,16.631111,837000,16.360613
"2011-05-02",16.675556,16.773333,16.542221,16.595556,800775,16.325632
"2011-05-03",16.555555,16.555555,16.346666,16.462221,698850,16.194466
"2011-05-04",16.515556,16.59111,16.146667,16.364445,994275,16.09828
"2011-05-05",16.284445,16.711111,16.071112,16.515556,750375,16.246931
"2011-05-06",16.675556,16.799999,16.440001,16.48889,621000,16.220701
"2011-05-09",16.43111,16.68,16.337778,16.626667,684450,16.356241
"2011-05-10",16.724443,16.835556,16.635555,16.791111,741150,16.518003
"2011-05-11",16.746668,16.782223,16.35111,16.475555,867150,16.207584
"2011-05-12",16.377777,16.684444,16.075556,16.404444,927000,16.13763
"2011-05-13",16.386667,16.395555,16.097778,16.173332,668250,15.910278
"2011-05-16",16.106667,16.222221,15.924444,16,769275,15.739761
"2011-05-17",15.92,15.955556,15.76,15.773333,687600,15.516784
"2011-05-18",15.835556,16.071112,15.675556,16.044443,908100,15.783483
"2011-05-19",16.173332,16.275557,15.848889,16.120001,763650,15.857812
"2011-05-20",16.017778,16.226667,15.875556,16.191111,799650,15.927766
"2011-05-23",15.88,16.226667,15.853333,16.142221,1019925,15.879671
"2011-05-24",16.186666,16.186666,15.835556,15.888889,612675,15.630461
"2011-05-25",15.835556,16.128889,15.835556,16.053333,378000,15.792228
"2011-05-26",16.071112,16.502222,16.008888,16.484444,708075,16.216328
"2011-05-27",16.546667,16.613333,16.306667,16.391111,418725,16.124512
"2011-05-31",16.52,16.684444,16.235556,16.59111,747225,16.321259
"2011-06-01",16.555555,16.555555,15.551111,15.564444,1939275,15.311289
"2011-06-02",15.733333,15.995556,15.662222,15.751111,1127025,15.494924
"2011-06-03",15.568889,15.604444,15.293333,15.346667,799425,15.097057
"2011-06-06",15.32,15.457778,15.128889,15.168889,1075725,14.922168
"2011-06-07",15.288889,15.6,14.968889,15.244444,1034325,14.996495
"2011-06-08",15.164444,15.382222,14.991111,15.142222,894150,14.895936
"2011-06-09",15.751111,15.848889,15.413333,15.431111,1033425,15.180126
"2011-06-10",15.302222,15.48,15.24,15.311111,833625,15.062079
"2011-06-13",15.413333,15.515556,15.257778,15.28,649800,15.031473
"2011-06-14",15.484444,15.897778,15.346667,15.826667,751275,15.56925
"2011-06-15",15.724444,15.777778,15.408889,15.488889,645750,15.236962
"2011-06-16",15.511111,15.782222,15.413333,15.617778,809775,15.363757
"2011-06-17",15.702222,15.96,15.497778,15.626667,977625,15.372501
"2011-06-20",15.551111,15.866667,15.511111,15.724444,681300,15.46869
"2011-06-21",15.888889,16.213333,15.844444,16.186666,731250,15.923392
"2011-06-22",16.137777,16.440001,16.057777,16.093332,520650,15.831577
"2011-06-23",16.075556,16.200001,15.866667,16.164444,531675,15.901532
"2011-06-24",16.222221,16.324444,15.933333,16.057777,2149425,15.7966
"2011-06-27",16.008888,16.017778,15.773333,16.008888,709875,15.748506
"2011-06-28",16.040001,16.24889,15.897778,16.24889,407025,15.984605
"2011-06-29",16.262222,16.377777,16.062222,16.235556,766125,15.971491
"2011-06-30",16.337778,16.75111,16.337778,16.577778,888975,16.308144
"2011-07-01",16.622223,17.017778,16.506666,16.853333,888075,16.579216
"2011-07-05",16.853333,17.008888,16.639999,16.871111,653400,16.596703
"2011-07-06",16.84,17.773333,16.764444,17.515556,2049525,17.230669
"2011-07-07",17.768888,17.831112,17.43111,17.666668,1116225,17.379324
"2011-07-08",17.462221,17.564444,17.213333,17.542221,542250,17.256895
"2011-07-11",17.368889,17.51111,17,17.16,632700,16.880894
"2011-07-12",17.111111,17.266666,16.968889,17.155556,494775,16.876526
