"dates","ROP.Open","ROP.High","ROP.Low","ROP.Close","ROP.Volume","ROP.Adjusted"
"2017-03-27",204.440002,205.389999,203.5,204.990005,706700,200.290466
"2017-03-28",204.429993,208.699997,204.300003,207.360001,491700,202.606125
"2017-03-29",206.889999,208.190002,206.649994,207.529999,315500,202.772232
"2017-03-30",207.289993,209.009995,207.199997,208.929993,396800,204.140121
"2017-03-31",208.25,209.080002,206.449997,206.490005,729700,201.756058
"2017-04-03",207.130005,207.130005,204.619995,206.050003,608800,201.326172
"2017-04-04",206.320007,207.100006,205.460007,206.830002,372400,202.088287
"2017-04-05",207.179993,209.449997,206.440002,207.080002,653000,202.675568
"2017-04-06",207.229996,208.75,205.720001,208.110001,428200,203.683594
"2017-04-07",208.020004,208.839996,206.970001,208.210007,416400,203.781509
"2017-04-10",208.210007,210.649994,207.639999,208.899994,352400,204.456818
"2017-04-11",207.850006,209.380005,204.990005,206.949997,514400,202.548294
"2017-04-12",205.800003,206.740005,204.880005,205.470001,397000,201.099747
"2017-04-13",204.809998,206.380005,204.770004,205.009995,300400,200.649536
"2017-04-17",205.899994,207.440002,205.199997,207.440002,368700,203.027878
"2017-04-18",206.649994,207.75,206.649994,207.139999,357500,202.734268
"2017-04-19",208.330002,208.580002,206.160004,206.600006,416300,202.205734
"2017-04-20",207.399994,209.800003,206.990005,208.839996,262100,204.398102
"2017-04-21",209.309998,210.369995,208.550003,209.75,495900,205.288742
"2017-04-24",212,214.25,212,213.729996,744800,209.184082
"2017-04-25",214.490005,217.139999,214,216.360001,613500,211.758163
"2017-04-26",216.059998,216.990005,214.979996,215.389999,579600,210.808762
"2017-04-27",215.720001,217.880005,215,217.630005,709700,213.00116
"2017-04-28",218,225.570007,217.580002,218.699997,1041700,214.04837
"2017-05-01",218.729996,219.570007,216.25,216.779999,494100,212.169205
"2017-05-02",217.509995,218.389999,216.25,217.229996,556400,212.609634
"2017-05-03",216.399994,217.110001,215.160004,216.75,458500,212.139877
"2017-05-04",217.070007,218.449997,216.5,218.220001,499500,213.578583
"2017-05-05",218.710007,220.929993,217.889999,220.899994,530300,216.201584
"2017-05-08",220.520004,222.070007,220.380005,220.889999,434800,216.191803
"2017-05-09",221.070007,222.389999,221.020004,221.899994,353200,217.180313
"2017-05-10",221.720001,222.889999,220.809998,222.619995,405700,217.884979
"2017-05-11",221.919998,222.940002,220.509995,222.789993,375100,218.051392
"2017-05-12",221.860001,222.699997,220.710007,221.479996,474500,216.769241
"2017-05-15",221.630005,222.850006,221.449997,222.399994,552100,217.669678
"2017-05-16",222.850006,224.320007,221.800003,224.190002,349800,219.421616
"2017-05-17",224.190002,224.190002,219.710007,219.710007,514100,215.036865
"2017-05-18",219.850006,220.410004,216.800003,219.350006,544700,214.68457
"2017-05-19",219.820007,222.589996,219.410004,221.570007,421600,216.857315
"2017-05-22",222.490005,223.660004,221.570007,223.460007,404200,218.707123
"2017-05-23",223.869995,225.399994,222.869995,224.809998,334900,220.028442
"2017-05-24",224.800003,225.800003,224.119995,225.179993,263700,220.390549
"2017-05-25",226,227.449997,225.490005,226.75,262100,221.927155
"2017-05-26",225.970001,228.039993,225.770004,227.080002,319500,222.250153
"2017-05-30",226.220001,228.210007,226.020004,227.699997,289900,222.856949
"2017-05-31",228.589996,230.119995,227.199997,227.199997,858000,222.367584
"2017-06-01",228.160004,230.470001,227.009995,229.669998,434500,224.785034
"2017-06-02",230.339996,232.869995,230.050003,231.199997,384500,226.282501
"2017-06-05",230.830002,231.679993,230.279999,230.360001,397400,225.460327
"2017-06-06",230,230,228.279999,228.360001,414700,223.50293
"2017-06-07",228.830002,230.199997,227.880005,228.880005,329700,224.011856
"2017-06-08",228.880005,229.610001,226.820007,228.449997,509100,223.591003
"2017-06-09",228.649994,230.149994,227.220001,228.839996,432300,223.972702
"2017-06-12",229.190002,229.619995,227.139999,227.139999,474500,222.308853
"2017-06-13",227.339996,228.610001,226.639999,228.429993,351900,223.571396
"2017-06-14",229.279999,229.410004,227.770004,228.839996,304500,223.972702
"2017-06-15",227.360001,230.940002,226.899994,230.729996,401900,225.822495
"2017-06-16",231.380005,233.100006,230.059998,232.199997,697600,227.2612
"2017-06-19",232.600006,235.5,232.330002,235.25,434200,230.246368
"2017-06-20",234.410004,235.139999,232.470001,232.949997,280100,227.99527
"2017-06-21",232.889999,233.240005,231,232.669998,391700,227.721222
"2017-06-22",232.580002,233.789993,232.25,232.410004,274400,227.466782
"2017-06-23",232.770004,233.25,231.149994,231.509995,1180500,226.585907
"2017-06-26",232.550003,233.660004,231.460007,232.589996,370200,227.642929
"2017-06-27",232.169998,232.850006,229.949997,230.119995,229000,225.225479
"2017-06-28",231.449997,233.190002,230.759995,232.300003,296400,227.359085
"2017-06-29",232.139999,232.529999,228.399994,229.910004,434000,225.019928
"2017-06-30",230.610001,232.619995,230.399994,231.529999,315900,226.605469
"2017-07-03",233.080002,233.809998,230.929993,232.339996,179900,227.398239
"2017-07-05",232.649994,236.509995,231.669998,235.270004,395800,230.613327
"2017-07-06",234.630005,235.699997,232.479996,233.149994,511200,228.535278
"2017-07-07",233.449997,236.169998,233.449997,234.449997,312700,229.80957
"2017-07-10",233.690002,237.190002,233.649994,234.740005,443600,230.093811
"2017-07-11",234.710007,235.889999,233.300003,235.270004,358500,230.613327
"2017-07-12",236.809998,238.490005,236.5,237.660004,394600,232.956039
"2017-07-13",237.539993,237.539993,235.5,236.399994,402200,231.720963
"2017-07-14",236.839996,238.169998,234.660004,235.809998,461400,231.142654
"2017-07-17",235.619995,236.759995,234.830002,236.539993,218000,231.858185
"2017-07-18",235.889999,236.149994,233.449997,233.949997,378100,229.319443
"2017-07-19",234.199997,236.139999,232.789993,236.059998,402600,231.387695
"2017-07-20",236.220001,236.470001,234.449997,234.850006,262900,230.20166
"2017-07-21",233.279999,234.869995,231.550003,234.770004,285900,230.123215
"2017-07-24",234.869995,236.070007,233.990005,235.020004,256700,230.368271
"2017-07-25",235.889999,236.479996,232.929993,233.419998,288900,228.799942
"2017-07-26",233.899994,234.830002,233.220001,233.759995,255700,229.133224
"2017-07-27",234.330002,234.429993,230.759995,231.960007,305300,227.368835
"2017-07-28",231.889999,232.619995,228.830002,232.339996,474000,227.741318
"2017-07-31",226.809998,233.899994,226.809998,232.460007,732200,227.858963
"2017-08-01",233.679993,236.910004,232.320007,236.470001,522700,231.789581
"2017-08-02",236.25,237.119995,234.820007,235.759995,490700,231.093643
"2017-08-03",235.899994,236.710007,233.600006,236.389999,311100,231.711182
"2017-08-04",236.839996,237.830002,236.039993,236.660004,260800,231.975815
"2017-08-07",236.360001,236.910004,234.729996,236.460007,226900,231.77977
"2017-08-08",235.889999,237.199997,235.520004,235.979996,263000,231.30928
"2017-08-09",236.029999,236.029999,234,234.509995,205400,229.868393
"2017-08-10",233.679993,234.009995,229.119995,229.160004,602600,224.624237
"2017-08-11",230.25,230.619995,228.75,229.539993,388200,224.996719
"2017-08-14",231.190002,234.339996,229.690002,233.960007,449400,229.329254
"2017-08-15",234.029999,235.399994,231.669998,233.330002,354800,228.711761
"2017-08-16",233.589996,234.270004,232.399994,233.100006,376100,228.486282
"2017-08-17",232.720001,232.779999,229.300003,229.300003,290000,224.761444
"2017-08-18",228.850006,229.449997,227.509995,228.199997,404200,223.683273
"2017-08-21",228.25,229.070007,227.309998,227.789993,323000,223.281357
"2017-08-22",228.460007,232.960007,228.460007,232.5,325600,227.898178
"2017-08-23",230.679993,231.720001,229.990005,231.039993,315900,226.467026
"2017-08-24",231.559998,232.259995,228.660004,229.029999,282400,224.496826
"2017-08-25",229.589996,231.289993,229.589996,230.759995,247200,226.192581
"2017-08-28",231.410004,231.929993,229.820007,230,346200,225.447678
"2017-08-29",229,229.770004,227.929993,229.470001,282500,224.928146
"2017-08-30",229.619995,231.720001,229.210007,231.630005,349100,227.04538
"2017-08-31",232.259995,232.369995,230.119995,230.660004,425900,226.094559
"2017-09-01",231.199997,231.699997,229.429993,230.089996,293900,225.535873
"2017-09-05",228.720001,229.910004,227.460007,229.009995,320500,224.477188
"2017-09-06",229.990005,230.410004,228.679993,229.589996,298900,225.045761
"2017-09-07",229.630005,230.740005,228.070007,229.960007,267300,225.408432
"2017-09-08",229.580002,234.550003,229.139999,234.380005,348100,229.740952
"2017-09-11",235.600006,237.240005,234.410004,236.820007,297700,232.132645
"2017-09-12",237.229996,238.410004,236.380005,237.369995,152100,232.671783
"2017-09-13",237.149994,237.240005,234.779999,235.580002,271400,230.917191
"2017-09-14",235.070007,236.5,234.910004,236.410004,241400,231.730759
"2017-09-15",235.789993,238.100006,235.279999,237.830002,409100,233.12265
"2017-09-18",238.449997,239.339996,237.020004,237.809998,375800,233.103058
"2017-09-19",237.850006,239.270004,236.990005,238.600006,241700,233.877441
"2017-09-20",241.649994,247.300003,240.190002,246.220001,801700,241.346619
"2017-09-21",246.149994,247.490005,244.220001,246.559998,398700,241.679871
"2017-09-22",246.089996,247.539993,245.440002,246.160004,319200,241.287766
"2017-09-25",246.210007,246.600006,242.860001,244.259995,310000,239.4254
"2017-09-26",244.759995,245.679993,242.75,243.410004,263000,238.592209
"2017-09-27",244.050003,244.919998,240.339996,241.029999,370400,236.259338
"2017-09-28",240.419998,241.729996,240.039993,241.710007,391200,236.925842
"2017-09-29",241.369995,243.830002,240.850006,243.399994,305800,238.582428
"2017-10-02",243.449997,247.910004,243.449997,247.800003,343500,242.89534
"2017-10-03",248.559998,249.940002,247.449997,249.860001,341700,244.914551
"2017-10-04",249.860001,251.100006,249.160004,249.660004,255700,244.718506
"2017-10-05",249.759995,251.529999,248.990005,251.020004,265700,246.397003
"2017-10-06",251.100006,252.169998,250.160004,251.990005,206300,247.349121
"2017-10-09",252.460007,252.559998,250.580002,251.259995,587200,246.632584
"2017-10-10",251.699997,252.490005,250.759995,251.759995,493400,247.123398
"2017-10-11",251.809998,251.929993,249.039993,249.910004,424000,245.307465
"2017-10-12",249.169998,252.25,249.100006,252.050003,296000,247.408066
"2017-10-13",252.199997,253.160004,249.490005,250.100006,368800,245.493988
"2017-10-16",250.190002,251.869995,249.240005,251.770004,187800,247.133209
"2017-10-17",251.399994,252.070007,250.369995,250.699997,511900,246.082916
"2017-10-18",251.029999,251.389999,249.240005,250.229996,228800,245.621552
"2017-10-19",249.720001,251.960007,248.929993,251.960007,299600,247.319717
"2017-10-20",252.860001,254.820007,252.179993,254.820007,223900,250.12706
"2017-10-23",255.910004,256.059998,253.470001,253.740005,240300,249.06694
"2017-10-24",255,255.660004,253.600006,254.830002,253200,250.136871
"2017-10-25",254.679993,256,253.699997,255.160004,295400,250.46077
"2017-10-26",256.390015,257.76001,255.229996,257.519989,273200,252.777267
"2017-10-27",257.130005,257.820007,254.419998,257.570007,396500,252.826385
"2017-10-30",252.350006,258.809998,248.029999,257.049988,565000,252.315933
"2017-10-31",257.709991,261.070007,256.600006,258.170013,453700,253.415359
