"dates","JCI.Open","JCI.High","JCI.Low","JCI.Close","JCI.Volume","JCI.Adjusted"
"2016-05-12",40.293194,40.890053,40.178009,40.52356,3431411,31.795151
"2016-05-13",40.418846,41.026176,39.979057,40.178009,1982771,31.524025
"2016-05-16",40.26178,42.314137,40.020943,42.125652,4917391,33.052166
"2016-05-17",41.958115,42.45026,41.518326,42.010471,5730764,32.961788
"2016-05-18",41.801048,42.52356,41.539268,42.094242,3836713,33.027519
"2016-05-19",41.842934,42.418846,41.643978,42.251308,2989437,33.150764
"2016-05-20",42.513088,43.109947,42.502617,43.068062,3933741,33.791592
"2016-05-23",43.099476,43.413612,42.858639,43.13089,3506760,33.840881
"2016-05-24",43.31937,44.429317,43.235603,44.345551,3276032,34.793915
"2016-05-25",44.418846,45.015705,44.376965,44.701572,2980078,35.073254
"2016-05-26",45.015705,45.089005,44.492146,44.638744,2630739,35.023968
"2016-05-27",44.596859,44.858639,44.544502,44.691097,1953357,35.065033
"2016-05-31",44.753925,44.879581,44.376965,44.628273,2642772,35.015743
"2016-06-01",44.356022,45.308903,44.062828,45.277489,4078805,35.525124
"2016-06-02",45.235603,45.54974,44.973824,45.486912,3328175,35.689445
"2016-06-03",45.445026,45.486912,44.921467,45.298428,2121628,35.541553
"2016-06-06",45.455498,45.602093,45.141361,45.361256,2966994,35.590851
"2016-06-07",45.47644,45.717278,45.403141,45.465969,2592157,35.673019
"2016-06-08",45.518326,45.727749,45.361256,45.486912,3023817,35.689445
"2016-06-09",45.172775,45.821991,45.047119,45.748692,3172892,35.894844
"2016-06-10",45.47644,45.905758,45.298428,45.539268,2365535,35.730522
"2016-06-13",45.507854,45.853401,45.31937,45.340313,2686606,35.574417
"2016-06-14",45.287956,45.623035,45.036648,45.340313,2121055,35.574417
"2016-06-15",45.424084,45.539268,45.015705,45.078533,2040835,35.36903
"2016-06-16",44.910995,45.371727,44.544502,45.277489,3423102,35.525124
"2016-06-17",45.287956,45.308903,44.827225,45.015705,2608965,35.319721
"2016-06-20",45.518326,45.842934,45.13089,45.193718,2521773,35.459393
"2016-06-21",45.235603,45.497383,45.078533,45.214661,2623576,35.475826
"2016-06-22",45.287956,45.623035,45.120419,45.518326,1488463,35.714092
"2016-06-23",45.989529,46.052357,45.81152,46.041885,1699041,36.124882
