"dates","APA.Open","APA.High","APA.Low","APA.Close","APA.Volume","APA.Adjusted"
"2013-05-30",83.910004,85.150002,83.110001,84.75,3585100,72.910202
"2013-05-31",84.400002,85.290001,82.089996,82.129997,3875100,70.656242
"2013-06-03",82.709999,84.580002,82.120003,84.57,5404500,72.755363
"2013-06-04",84.129997,84.919998,83.5,84.349998,2648600,72.566086
"2013-06-05",84.989998,86.309998,84.68,84.739998,4577800,72.901604
"2013-06-06",85,85.860001,84.220001,85.800003,3539900,73.813522
"2013-06-07",85.75,86.099998,84.589996,84.730003,4017500,72.892998
"2013-06-10",84.93,85.82,84.370003,85.610001,3812800,73.65007
"2013-06-11",84.580002,84.93,84.150002,84.400002,3810600,72.609116
"2013-06-12",85,85.360001,84.260002,84.449997,5127500,72.652107
"2013-06-13",84.139999,85.239998,83.900002,85.120003,2531000,73.228523
"2013-06-14",85.440002,85.610001,84.489998,84.889999,2514400,73.030663
"2013-06-17",85.339996,86.919998,85.290001,86.519997,3371800,74.432922
"2013-06-18",86.449997,87.57,86.260002,87.120003,2980400,74.949097
"2013-06-19",87.230003,87.57,86.57,86.57,3405800,74.475967
"2013-06-20",85.610001,85.849998,84.199997,84.93,4891000,73.065041
"2013-06-21",85.559998,85.639999,84.449997,85.040001,4977300,73.159698
"2013-06-24",83.720001,84.269997,81.669998,82.18,4594700,70.699242
"2013-06-25",82.870003,83.120003,82.300003,82.639999,3147400,71.094994
"2013-06-26",83.209999,83.589996,82.849998,83.169998,2421500,71.550949
"2013-06-27",83.550003,84.220001,83.300003,84.059998,2605600,72.316597
"2013-06-28",83.610001,84.589996,83.290001,83.830002,3273100,72.118752
"2013-07-01",84.209999,84.32,83.029999,83.300003,4718400,71.662788
"2013-07-02",83.220001,84.330002,81.470001,82.129997,5069700,70.656242
"2013-07-03",81.769997,81.93,79.5,80.230003,5293200,69.021675
"2013-07-05",81.769997,83.010002,81.279999,82.169998,5102300,70.690636
"2013-07-08",82.519997,82.879997,81.32,81.449997,3257900,70.07122
"2013-07-09",81.870003,82.190002,80.75,81.459999,3758600,70.079834
"2013-07-10",81.400002,81.43,80.129997,80.330002,4649600,69.107704
"2013-07-11",80.949997,81.940002,80.07,81.690002,4688100,70.277718
"2013-07-12",81.57,82.57,81.449997,82.410004,2286100,70.897125
"2013-07-15",82.389999,83.209999,82.129997,82.970001,2733400,71.378883
"2013-07-16",82.959999,83.220001,81.449997,82.029999,2830800,70.570213
"2013-07-17",82.059998,82.519997,81.800003,82.510002,2763000,70.983124
"2013-07-18",82.510002,83.68,82.470001,83.599998,2929400,72.095627
"2013-07-19",85.25,85.410004,83.889999,84.980003,5977400,73.285713
"2013-07-22",84.900002,84.970001,83.709999,83.900002,3147200,72.354347
"2013-07-23",83.889999,84.150002,83.300003,83.57,1917300,72.069771
"2013-07-24",83.309998,83.559998,81.860001,82.510002,2298500,71.155609
"2013-07-25",82.540001,83.309998,81.900002,82.769997,2184700,71.379837
"2013-07-26",82.290001,82.410004,81.730003,82.059998,1880800,70.767532
"2013-07-29",81.800003,81.919998,80.489998,81.150002,2458500,69.98278
"2013-07-30",81,81.050003,79.989998,80.580002,2333500,69.491219
"2013-07-31",80.769997,81.949997,80.25,80.25,3034300,69.206635
"2013-08-01",81.849998,82.330002,80.519997,81.68,2916200,70.439827
"2013-08-02",81.25,82.290001,80.889999,82,3843100,70.715813
"2013-08-05",81.970001,82.480003,81.459999,82.309998,2438000,70.983131
"2013-08-06",82.290001,82.489998,81.620003,82.260002,3302600,70.940018
"2013-08-07",82.120003,82.540001,81.349998,81.940002,3248600,70.664063
"2013-08-08",82,83.510002,81.919998,83.18,2332000,71.733414
"2013-08-09",83.040001,83.510002,82.379997,83.199997,1845200,71.750656
"2013-08-12",82.559998,83.370003,82.400002,82.699997,1369100,71.319466
"2013-08-13",82.870003,83,82.139999,82.510002,1837100,71.155609
"2013-08-14",82.410004,82.559998,80.720001,80.739998,3349600,69.629189
"2013-08-15",80.339996,80.419998,79.559998,80.269997,2642300,69.223846
"2013-08-16",80.050003,80.18,78.830002,78.989998,3453300,68.120026
"2013-08-19",78.419998,78.449997,75.279999,75.370003,6771700,64.998184
"2013-08-20",75.800003,76.989998,75.07,76.269997,4362300,65.774307
"2013-08-21",76.489998,77.870003,76.300003,77.220001,4464500,66.593613
"2013-08-22",77.470001,79.339996,77.160004,78.989998,2402200,68.120026
"2013-08-23",79.279999,79.919998,78.400002,79.800003,2466000,68.81855
"2013-08-26",79.949997,80.800003,79.690002,79.730003,2306300,68.758171
"2013-08-27",78.220001,79.230003,78.160004,78.57,2879700,67.757805
"2013-08-28",78.720001,80.309998,78.639999,79.169998,2377800,68.275246
"2013-08-29",78.910004,79.050003,78.419998,78.639999,1737300,67.818176
"2013-08-30",84.860001,85.989998,84.150002,85.68,13946800,73.889389
"2013-09-03",86.5,86.690002,84.410004,84.790001,4539500,73.121872
"2013-09-04",84.559998,86,84.5,85.529999,3669500,73.76004
"2013-09-05",85.980003,86.730003,85.760002,86.190002,3765300,74.329201
"2013-09-06",86.190002,87.169998,85.809998,86.510002,2794200,74.605171
"2013-09-09",86.059998,87.029999,86.010002,86.660004,2411800,74.734535
"2013-09-10",87.650002,87.760002,86.849998,87.260002,3453300,75.251953
"2013-09-11",86.620003,87.230003,86.230003,87.029999,3094800,75.053612
"2013-09-12",87.029999,87.629997,86.760002,87.199997,2334100,75.200203
"2013-09-13",87.080002,87.419998,86.43,86.809998,1932800,74.863876
"2013-09-16",87.779999,87.860001,86.910004,87,2793000,75.027748
"2013-09-17",87.82,88.739998,87.550003,88.25,3331200,76.105728
"2013-09-18",88.050003,89.169998,87.440002,88.93,2608000,76.692154
"2013-09-19",89,89.110001,88.050003,88.470001,1658700,76.295464
"2013-09-20",88.540001,88.610001,87.599998,87.849998,4749900,75.76078
"2013-09-23",87.5,87.82,87,87.370003,1810800,75.34684
"2013-09-24",87.5,87.879997,86.57,87,2072100,75.027748
"2013-09-25",87.279999,87.550003,86.589996,86.629997,2203500,74.708649
"2013-09-26",86.919998,87,86.029999,86.489998,2030300,74.587936
"2013-09-27",86.239998,86.900002,86.059998,86.25,1849900,74.380951
"2013-09-30",85.43,85.589996,84.75,85.139999,2061300,73.423706
"2013-10-01",84.760002,86.839996,84.760002,86.470001,2491700,74.570671
