"dates","GPN.Open","GPN.High","GPN.Low","GPN.Close","GPN.Volume","GPN.Adjusted"
"2010-11-01",19.565001,19.684999,19.35,19.48,797600,19.182653
"2010-11-02",19.605,19.905001,19.605,19.84,1174400,19.537151
"2010-11-03",19.879999,19.92,19.715,19.83,1116400,19.527309
"2010-11-04",20,20.16,19.860001,20.120001,1695200,19.812883
"2010-11-05",20.145,20.200001,20.075001,20.165001,2660400,19.857191
"2010-11-08",20.1,20.540001,20.1,20.465,1111000,20.152615
"2010-11-09",20.475,20.629999,20.385,20.440001,933400,20.127998
"2010-11-10",20.5,20.725,20.360001,20.715,1213800,20.398794
"2010-11-11",20.540001,20.715,20.299999,20.695,866000,20.379108
"2010-11-12",20.610001,20.73,20.51,20.625,1490800,20.319994
"2010-11-15",20.66,20.695,20.530001,20.549999,1070400,20.246096
"2010-11-16",20.41,20.41,20.045,20.15,1247400,19.852015
"2010-11-17",20.200001,20.33,20.09,20.110001,1387600,19.812614
"2010-11-18",20.285,20.695,20.27,20.594999,875800,20.290438
"2010-11-19",20.545,20.639999,20.34,20.52,686000,20.216543
"2010-11-22",20.455,20.555,20.254999,20.514999,779200,20.211615
"2010-11-23",20.32,20.469999,20.18,20.235001,730600,19.93576
"2010-11-24",20.285,20.73,20.264999,20.655001,592200,20.349546
"2010-11-26",20.51,20.855,20.455,20.780001,303200,20.472698
"2010-11-29",20.629999,20.74,20.325001,20.6,886400,20.295359
"2010-11-30",20.385,20.795,20.385,20.780001,1132400,20.472698
"2010-12-01",20.995001,21.344999,20.945,21.15,1126400,20.837231
"2010-12-02",21.195,21.295,21.129999,21.18,876600,20.866783
"2010-12-03",21.155001,21.440001,21.129999,21.379999,1870000,21.063826
"2010-12-06",21.315001,21.33,20.865,21.08,1420200,20.768261
"2010-12-07",21.26,21.565001,21.18,21.504999,1158600,21.186983
"2010-12-08",21.52,21.879999,21.514999,21.705,1242800,21.38402
"2010-12-09",21.834999,22.065001,21.745001,22.02,1282600,21.694365
"2010-12-10",22.055,22.139999,21.834999,22.049999,521000,21.723919
