"dates","WHR.Open","WHR.High","WHR.Low","WHR.Close","WHR.Volume","WHR.Adjusted"
"2010-05-26",100.489998,103.360001,98.339996,99,1595400,74.825432
"2010-05-27",100.269997,105.900002,100.269997,104.660004,2601700,79.103325
"2010-05-28",104.540001,106.830002,103.5,104.440002,1562600,78.93705
"2010-06-01",102.419998,104.760002,98.800003,98.980003,1731200,74.810326
"2010-06-02",99.919998,103.559998,99.040001,103.540001,1208500,78.256836
"2010-06-03",103.540001,103.870003,100.199997,101.290001,1312300,76.556259
"2010-06-04",98.93,100.160004,94.949997,95.650002,1452500,72.29348
"2010-06-07",96.349998,96.419998,92.239998,92.349998,1741300,69.799286
"2010-06-08",93.099998,95.07,90.209999,94.099998,1947000,71.121948
"2010-06-09",94.760002,98.349998,94.279999,94.959999,1976300,71.771942
"2010-06-10",97.25,100.089996,96.720001,99.769997,1378400,75.40741
"2010-06-11",98.269997,100.18,96.190002,98.239998,1694400,74.251022
"2010-06-14",100.169998,100.730003,97.809998,98.230003,1906700,74.243454
"2010-06-15",99.120003,102.699997,98.279999,102.480003,1685600,77.455658
"2010-06-16",101.93,103.779999,99.879997,102.800003,1480500,77.69754
"2010-06-17",103.599998,103.599998,99.510002,101.860001,1072000,76.987053
"2010-06-18",101.989998,102.349998,100.559998,101.360001,1046000,76.609161
"2010-06-21",103.040001,105.470001,102.699997,103.529999,1753300,78.249275
"2010-06-22",103.769997,104.190002,97.330002,97.940002,1504300,74.024284
"2010-06-23",97.910004,98.949997,95.050003,97.709999,1585400,73.85041
"2010-06-24",96.949997,97.589996,93.300003,94.290001,1540200,71.265564
"2010-06-25",94.639999,96.739998,93.470001,96.650002,1864200,73.049301
"2010-06-28",96.580002,97.629997,95,95.639999,882000,72.285927
"2010-06-29",94.029999,94.029999,89.019997,89.940002,2114700,67.977783
"2010-06-30",89.870003,90.82,87.580002,87.82,1734700,66.375458
"2010-07-01",88.230003,88.230003,82.07,85.349998,3030100,64.508575
"2010-07-02",86.629997,86.879997,83.5,84.099998,1228500,63.563835
"2010-07-06",85.639999,86.519997,82.019997,83.449997,2438300,63.072563
"2010-07-07",83.559998,90.389999,83.559998,90.139999,2791200,68.128937
"2010-07-08",90.910004,92.400002,88.449997,90.290001,1353200,68.24231
"2010-07-09",90.650002,92.620003,90.040001,92.389999,977700,69.829552
"2010-07-12",91.760002,92.769997,88.849998,90.639999,818500,68.506851
"2010-07-13",92.209999,95.089996,91.489998,94.599998,1485400,71.499863
"2010-07-14",94.449997,96.900002,93.480003,95.68,2015300,72.316132
"2010-07-15",96.559998,96.559998,91.540001,94.379997,1368300,71.333572
"2010-07-16",93.959999,94.279999,89.82,90.410004,2118200,68.333008
"2010-07-19",90.110001,91.900002,87.449997,91.360001,2739500,69.051003
"2010-07-20",90.540001,91.260002,85.779999,88.699997,6745200,67.040573
"2010-07-21",89.209999,89.919998,84.599998,86.169998,3656800,65.128349
"2010-07-22",87.5,88.309998,85.190002,86.199997,2953000,65.151054
"2010-07-23",85.970001,86.419998,84.199997,85.970001,2076000,64.977188
"2010-07-26",86.040001,89.360001,85.199997,88.18,1610200,66.647552
"2010-07-27",89.25,89.379997,85.099998,86.18,1742500,65.135918
"2010-07-28",86.169998,86.5,83.660004,84.279999,1351500,63.699883
"2010-07-29",84.519997,84.879997,81.800003,84.110001,1777000,63.571396
"2010-07-30",82.68,83.650002,82.029999,83.300003,1800700,62.959167
"2010-08-02",84.379997,87.400002,83.699997,86.75,2090000,65.56675
"2010-08-03",86.75,86.75,84.190002,85.089996,1655600,64.312073
"2010-08-04",85.709999,86.32,84.660004,85.860001,1113700,64.894051
"2010-08-05",84.830002,86.25,84.349998,85.330002,1567700,64.4935
