"dates","UPS.Open","UPS.High","UPS.Low","UPS.Close","UPS.Volume","UPS.Adjusted"
"2011-11-08",70.650002,71.669998,70.370003,71.550003,4106500,53.724171
"2011-11-09",69.970001,70.18,68.599998,68.989998,5680200,52.181213
"2011-11-10",69.93,70.330002,69.419998,69.879997,4910100,52.854366
"2011-11-11",70.720001,71.300003,70.650002,70.779999,3051700,53.535103
"2011-11-14",70.43,70.779999,69.889999,70.25,3116100,53.13422
"2011-11-15",70.07,71.050003,70.07,70.57,4446400,53.376259
"2011-11-16",70.059998,70.220001,69.139999,69.309998,4903900,52.423237
"2011-11-17",69.010002,69.809998,68.489998,68.93,4913400,52.13583
"2011-11-18",69.300003,69.470001,68.800003,69.139999,3691500,52.294662
"2011-11-21",68.120003,68.379997,67.610001,68.220001,4399200,51.598816
"2011-11-22",68.199997,68.75,67.839996,68.040001,3331300,51.462654
"2011-11-23",67.540001,67.57,66.900002,66.900002,5294900,50.60041
"2011-11-25",66.519997,67.150002,66.459999,66.459999,1690700,50.267624
"2011-11-28",68.190002,68.779999,67.739998,68.239998,4618600,51.61393
"2011-11-29",68.599998,69.120003,68.339996,68.410004,3121300,51.742512
"2011-11-30",70.019997,71.800003,69.949997,71.75,6995600,54.268753
"2011-12-01",71.57,71.730003,71,71.129997,3766300,53.799801
"2011-12-02",71.760002,72.089996,71,71.07,4107400,53.754436
"2011-12-05",71.940002,72.440002,71.510002,71.949997,4760000,54.420013
"2011-12-06",72.190002,72.25,71.489998,71.800003,3468500,54.306572
"2011-12-07",71.720001,73.660004,71.5,73.309998,7583000,55.448689
"2011-12-08",72.889999,73.300003,71.800003,72.019997,5756800,54.472965
"2011-12-09",72.379997,72.639999,71.760002,72.449997,3741900,54.798203
"2011-12-12",71.830002,71.889999,71.029999,71.839996,4156600,54.336834
"2011-12-13",72.050003,72.459999,70.660004,71.050003,5511200,53.739304
"2011-12-14",70.779999,71.400002,70.379997,70.639999,4714700,53.429192
"2011-12-15",71.720001,72.239998,71.379997,71.550003,6363900,54.117481
"2011-12-16",72.089996,72.400002,71.360001,71.760002,6937500,54.276329
"2011-12-19",71.989998,72.309998,70.550003,70.800003,3735400,53.550224
"2011-12-20",71.809998,72.779999,71.620003,72.559998,3615300,54.881393
"2011-12-21",72.75,72.919998,71.910004,72.470001,3105800,54.813335
"2011-12-22",72.730003,73.43,72.639999,73,3819000,55.214199
"2011-12-23",73.150002,73.480003,72.910004,73.470001,1870500,55.569702
"2011-12-27",73.400002,73.809998,73.129997,73.489998,1337000,55.584805
"2011-12-28",73.480003,73.540001,72.5,72.730003,2098500,55.009972
"2011-12-29",72.830002,73.629997,72.82,73.529999,1926900,55.615074
"2011-12-30",73.550003,73.75,73.110001,73.190002,1774600,55.357918
"2012-01-03",74.010002,74.919998,73.830002,74.160004,5152300,56.091568
"2012-01-04",73.93,74.370003,73.519997,73.839996,3698900,55.849545
"2012-01-05",73.459999,73.5,72.150002,73.120003,5064700,55.304958
"2012-01-06",73.129997,73.940002,73.050003,73.480003,3177500,55.577271
"2012-01-09",73.25,73.5,72.830002,73.449997,3959000,55.554554
"2012-01-10",73.970001,74.739998,73.300003,74.190002,3803700,56.114269
"2012-01-11",73.980003,74.760002,73.779999,74.610001,4047500,56.431942
"2012-01-12",74.410004,74.959999,74.410004,74.739998,2777700,56.530266
"2012-01-13",73.190002,74.269997,73,74.160004,5020600,56.091568
