"dates","MNST.Open","MNST.High","MNST.Low","MNST.Close","MNST.Volume","MNST.Adjusted"
"2010-05-27",6.431667,6.575,6.415,6.543333,5122200,6.543333
"2010-05-28",6.523333,6.666667,6.5,6.508333,3814200,6.508333
"2010-06-01",6.5,6.563333,6.41,6.41,5103600,6.41
"2010-06-02",6.416667,6.553333,6.388333,6.55,7563000,6.55
"2010-06-03",6.585,6.675,6.538333,6.621667,6330600,6.621667
"2010-06-04",6.513333,6.713333,6.513333,6.601667,6898200,6.601667
"2010-06-07",6.635,6.635,6.498333,6.5,3706800,6.5
"2010-06-08",6.5,6.5,6.213333,6.326667,17756400,6.326667
"2010-06-09",6.343333,6.495,6.343333,6.4,5450400,6.4
"2010-06-10",6.475,6.498333,6.428333,6.463333,2964600,6.463333
"2010-06-11",6.433333,6.546667,6.265,6.488333,4886400,6.488333
"2010-06-14",6.493333,6.563333,6.406667,6.476667,4957200,6.476667
"2010-06-15",6.463333,6.583333,6.433333,6.546667,3945600,6.546667
"2010-06-16",6.501667,6.581667,6.476667,6.491667,3469800,6.491667
"2010-06-17",6.51,6.583333,6.471667,6.53,3390600,6.53
"2010-06-18",6.545,6.633333,6.508333,6.588333,5874600,6.588333
"2010-06-21",6.625,6.755,6.606667,6.661667,5554200,6.661667
"2010-06-22",6.675,6.676667,6.561667,6.576667,4602600,6.576667
"2010-06-23",6.57,6.57,6.486667,6.533333,3402000,6.533333
"2010-06-24",6.493333,6.675,6.465,6.608333,9134400,6.608333
"2010-06-25",6.606667,6.666667,6.545,6.621667,9098400,6.621667
"2010-06-28",6.643333,6.77,6.588333,6.736667,5726400,6.736667
"2010-06-29",6.668333,6.688333,6.566667,6.588333,5175600,6.588333
"2010-06-30",6.57,6.668333,6.515,6.518333,4419000,6.518333
"2010-07-01",6.485,6.576667,6.336667,6.545,7516800,6.545
"2010-07-02",6.583333,6.733333,6.555,6.686667,6040200,6.686667
"2010-07-06",6.741667,6.838333,6.695,6.793333,4863000,6.793333
"2010-07-07",6.826667,7.031667,6.826667,6.948333,7785000,6.948333
"2010-07-08",6.988333,7.023333,6.871667,7.006667,8221200,7.006667
"2010-07-09",6.98,7.135,6.965,7.121667,5593200,7.121667
"2010-07-12",7.083333,7.085,6.836667,6.905,5299800,6.905
"2010-07-13",6.943333,6.963333,6.888333,6.921667,3330000,6.921667
"2010-07-14",6.925,6.968333,6.886667,6.961667,4483200,6.961667
"2010-07-15",6.976667,7.016667,6.92,7.01,2247600,7.01
"2010-07-16",7.003333,7.006667,6.835,6.848333,2236200,6.848333
"2010-07-19",6.833333,6.871667,6.735,6.851667,2530800,6.851667
"2010-07-20",6.785,7.058333,6.758333,7.045,4005600,7.045
"2010-07-21",7.065,7.131667,7.016667,7.083333,4283400,7.083333
"2010-07-22",7.131667,7.236667,7.108333,7.156667,5710800,7.156667
"2010-07-23",7.156667,7.206667,7.12,7.168333,6361800,7.168333
"2010-07-26",7.166667,7.206667,7.123333,7.206667,2846400,7.206667
