"dates","PH.Open","PH.High","PH.Low","PH.Close","PH.Volume","PH.Adjusted"
"2016-05-16",110.339996,112.830002,110.339996,112.25,1220100,103.147255
"2016-05-17",112.279999,113.129997,111.440002,111.910004,978100,102.834824
"2016-05-18",111.330002,112.150002,110,110.480003,928800,101.52079
"2016-05-19",109.879997,110.040001,107.720001,109,1149900,100.160805
"2016-05-20",109.690002,110.300003,109.019997,109.470001,1017700,100.592697
"2016-05-23",109.260002,109.879997,108.279999,109.599998,1019900,100.712151
"2016-05-24",109.900002,111.230003,109.489998,110.800003,893000,101.814835
"2016-05-25",111.470001,113.25,110.910004,112.959999,920500,103.799667
"2016-05-26",113.449997,114.5,112.919998,113.639999,1074800,104.424538
"2016-05-27",113.43,114.360001,113.339996,113.980003,1047500,104.736961
"2016-05-31",114.470001,115.269997,113.709999,114.839996,1453900,105.527222
"2016-06-01",113.980003,115.529999,112.910004,115.400002,1075700,106.041817
"2016-06-02",115.120003,115.900002,113.160004,115.879997,757500,106.482864
"2016-06-03",115.980003,116.120003,115.169998,116,661600,106.593132
"2016-06-06",116.370003,117,115.980003,116.260002,976100,106.832062
"2016-06-07",116.599998,117.410004,116.029999,116.120003,811500,106.703423
"2016-06-08",115.980003,117.779999,115.980003,116.599998,532700,107.144485
"2016-06-09",115.660004,116.139999,115.18,115.360001,916100,106.005058
"2016-06-10",113.989998,114.379997,112.220001,112.699997,1418400,103.56076
"2016-06-13",111.639999,112.940002,111.220001,111.57,1035800,102.522392
"2016-06-14",111.129997,112.279999,110.360001,111.889999,973000,102.816452
"2016-06-15",112.379997,112.519997,111.330002,111.620003,1049300,102.568344
"2016-06-16",110.940002,111.790001,109.379997,111.510002,826400,102.467247
"2016-06-17",111.739998,112.650002,111.25,112.18,924200,103.082932
"2016-06-20",113.839996,115.309998,113.459999,113.779999,900200,104.553177
"2016-06-21",113.849998,113.849998,113.029999,113.389999,810100,104.194824
"2016-06-22",113.790001,114.330002,112.959999,113.010002,773900,103.845627
"2016-06-23",114.389999,115.07,113.699997,114.010002,966500,104.764526
"2016-06-24",110.110001,110.889999,105.669998,105.910004,3493800,97.321396
"2016-06-27",103.809998,103.949997,99.099998,100.529999,2398000,92.377663
"2016-06-28",101.629997,102.480003,101.150002,102.400002,1643600,94.096039
"2016-06-29",103.779999,104.330002,102.489998,104.059998,1291800,95.621399
"2016-06-30",104.699997,108.050003,104.239998,108.050003,2208700,99.287842
"2016-07-01",108.050003,110.57,108.050003,109.339996,1592800,100.473228
"2016-07-05",108.550003,109.110001,106.139999,107.07,1469400,98.387306
"2016-07-06",106.849998,108.559998,105,108.389999,1862400,99.600273
