"dates","WAB.Open","WAB.High","WAB.Low","WAB.Close","WAB.Volume","WAB.Adjusted"
"2010-11-23",23.184999,23.445,23.09,23.34,322600,22.369801
"2010-11-24",23.535,23.665001,23.25,23.325001,858000,22.355421
"2010-11-26",23.174999,23.655001,23.01,23.584999,208800,22.60462
"2010-11-29",23.424999,23.445,22.85,23.025,1338800,22.067886
"2010-11-30",22.799999,23.15,22.504999,23.115,1387000,22.154148
"2010-12-01",23.49,23.715,23.42,23.49,2255200,22.513563
"2010-12-02",23.525,24.74,23.525,24.715,1172600,23.687643
"2010-12-03",24.67,25.695,24.52,25.584999,1169200,24.521469
"2010-12-06",25.52,25.575001,25.334999,25.5,527200,24.440006
"2010-12-07",25.705,25.969999,25.545,25.805,391200,24.732332
"2010-12-08",25.805,26.1,25.73,25.940001,478800,24.861715
"2010-12-09",26.09,26.195,25.844999,26.115,449000,25.029442
"2010-12-10",26.139999,26.469999,26.110001,26.450001,284200,25.350513
"2010-12-13",26.559999,26.625,26.379999,26.41,334600,25.312176
"2010-12-14",26.469999,26.525,26.26,26.34,468800,25.24509
"2010-12-15",26.245001,26.6,26.09,26.135,535000,25.048615
"2010-12-16",26.174999,26.49,26.094999,26.415001,180400,25.316975
"2010-12-17",26.459999,26.645,26.309999,26.475,602000,25.374479
"2010-12-20",26.555,26.555,25.924999,26.055,653200,24.971937
"2010-12-21",26.15,26.389999,26.040001,26.360001,394200,25.264261
"2010-12-22",26.370001,26.605,26.280001,26.440001,208800,25.340935
"2010-12-23",26.459999,26.66,26.415001,26.424999,151600,25.326561
"2010-12-27",26.315001,26.415001,26.155001,26.370001,184400,25.273846
"2010-12-28",26.424999,26.455,26.07,26.225,231200,25.134865
"2010-12-29",26.235001,26.445,26.235001,26.34,227000,25.24509
"2010-12-30",26.35,26.690001,26.245001,26.620001,240200,25.513449
"2010-12-31",26.6,26.709999,26.415001,26.445,364000,25.345728
"2011-01-03",26.665001,26.9,26.549999,26.559999,837400,25.455942
"2011-01-04",26.66,26.684999,25.51,25.725,675800,24.655659
"2011-01-05",25.635,26.42,25.545,26.065001,441800,24.981522
"2011-01-06",26.084999,26.215,25.815001,25.934999,325400,24.856926
"2011-01-07",25.945,26.200001,25.665001,25.924999,320200,24.84733
"2011-01-10",25.825001,26.594999,25.725,26.440001,524400,25.340935
"2011-01-11",26.525,26.59,26.200001,26.299999,243800,25.206762
"2011-01-12",26.5,26.684999,26.325001,26.684999,363000,25.575743
"2011-01-13",26.639999,26.75,26.504999,26.684999,189600,25.575743
"2011-01-14",26.605,26.834999,26.52,26.834999,200800,25.719517
"2011-01-18",26.655001,27.42,26.58,27.42,696400,26.280197
"2011-01-19",27.395,27.950001,27.145,27.15,690800,26.02142
"2011-01-20",27.025,27.040001,26.285,26.455,367000,25.355309
"2011-01-21",26.700001,26.91,26.58,26.76,611400,25.64764
"2011-01-24",26.754999,26.82,26.424999,26.709999,314800,25.59971
"2011-01-25",26.584999,26.879999,26.355,26.715,476200,25.6045
"2011-01-26",26.924999,27.42,26.785,27.045,535000,25.920782
"2011-01-27",27.1,27.32,26.93,27.27,304400,26.136436
"2011-01-28",27.245001,27.264999,26.5,26.584999,283600,25.479912
"2011-01-31",26.66,27.34,26.66,27.1,298600,25.973497
"2011-02-01",27.264999,27.655001,27.155001,27.525,324200,26.380833
"2011-02-02",27.440001,27.76,27.395,27.48,267400,26.337698
"2011-02-03",27.504999,27.639999,27.275,27.445,466200,26.304155
"2011-02-04",27.575001,28.290001,27.379999,28.035,939000,26.869631
"2011-02-07",28.094999,28.285,27.889999,27.99,262000,26.826504
"2011-02-08",27.955,28.155001,27.709999,28.110001,217200,26.941515
"2011-02-09",27.995001,28.174999,27.745001,27.860001,276600,26.701902
"2011-02-10",27.76,28.459999,27.695,28.209999,475000,27.042208
"2011-02-11",28.16,28.66,28.129999,28.514999,186800,27.334579
"2011-02-14",28.525,28.875,28.424999,28.719999,276200,27.531094
"2011-02-15",28.709999,28.84,28.549999,28.67,265400,27.483166
"2011-02-16",28.83,29.1,28.735001,28.82,405400,27.626959
"2011-02-17",28.815001,28.950001,28.65,28.870001,849200,27.674894
"2011-02-18",28.860001,28.915001,28.525,28.780001,393200,27.588623
"2011-02-22",28.115,28.795,27.545,27.68,706000,26.534155
"2011-02-23",27.705,27.775,26.57,27.125,757000,26.002125
"2011-02-24",27.120001,27.495001,26.844999,27.334999,870000,26.20343
"2011-02-25",27.504999,27.735001,27.365,27.66,586000,26.51498
"2011-02-28",27.969999,28.504999,27.889999,28.379999,537200,27.205172
"2011-03-01",28.465,28.665001,27.575001,27.855,485800,26.701906
"2011-03-02",27.844999,28.735001,27.844999,28.555,701000,27.372927
"2011-03-03",28.885,29.584999,28.885,29.475,393000,28.254847
"2011-03-04",29.530001,29.530001,29.065001,29.245001,368000,28.034369
"2011-03-07",29.334999,29.334999,27.74,28.23,870400,27.061386
"2011-03-08",28.209999,28.75,28.200001,28.594999,511800,27.411274
"2011-03-09",28.6,28.825001,28.34,28.635,288600,27.449615
"2011-03-10",28.120001,28.34,27.805,27.889999,366200,26.735455
"2011-03-11",27.719999,28.360001,27.525,28.225,404000,27.056591
"2011-03-14",27.959999,28.305,27.885,28.18,280000,27.013451
"2011-03-15",27.295,28.209999,27.1,27.959999,396800,26.802557
"2011-03-16",27.875,28.540001,27.645,28.139999,659000,26.975105
"2011-03-17",28.51,28.905001,28.215,28.434999,432200,27.257895
"2011-03-18",28.85,28.885,28.605,28.75,317400,27.559858
"2011-03-21",29.17,29.530001,29.129999,29.275,317400,28.06312
"2011-03-22",29.23,29.25,28.610001,28.865,420000,27.670095
"2011-03-23",28.715,28.77,28.275,28.709999,543000,27.521515
"2011-03-24",28.91,29.174999,28.68,29.1,794800,27.895365
"2011-03-25",29.27,29.719999,29.025,29.450001,597400,28.230877
"2011-03-28",31.5,33.610001,31.045,33.029999,4444800,31.66268
"2011-03-29",32.974998,33.619999,32.605,33.380001,1203600,31.998205
"2011-03-30",33.564999,33.75,33.285,33.610001,560400,32.218681
"2011-03-31",33.360001,33.93,33.16,33.915001,800200,32.511036
"2011-04-01",34.115002,34.564999,34,34.18,832600,32.765083
"2011-04-04",34.205002,35.605,34.205002,35.57,1001600,34.097538
"2011-04-05",35.470001,35.740002,35.02,35.049999,1338000,33.599064
"2011-04-06",35.32,35.77,34.445,34.654999,669200,33.220421
"2011-04-07",34.619999,35.125,34.535,34.965,652400,33.517582
"2011-04-08",35.139999,35.200001,33.595001,33.990002,699800,32.582935
"2011-04-11",34.049999,34.134998,33.435001,33.625,632800,32.23304
"2011-04-12",33.415001,33.689999,33.080002,33.419998,451400,32.036537
"2011-04-13",33.619999,33.775002,33.439999,33.645,512600,32.252216
