"dates","VTR.Open","VTR.High","VTR.Low","VTR.Close","VTR.Volume","VTR.Adjusted"
"2012-10-17",73.495491,73.495491,72.501999,72.958778,1419422,48.11433
"2012-10-18",72.970192,73.997948,72.890259,73.883751,1211006,48.724323
"2012-10-19",73.838074,74.466141,73.586845,73.701042,1277821,48.60384
"2012-10-22",73.598267,73.906586,73.015877,73.666779,842599,48.581238
"2012-10-23",72.798904,73.09581,72.022385,72.490578,1353920,47.805576
"2012-10-24",72.696129,73.16433,72.170837,72.616196,962920,47.888401
"2012-10-25",72.958778,73.118645,71.302956,71.965286,1093049,47.459156
"2012-10-26",72.033798,72.501999,70.355141,71.988121,1567503,47.474209
"2012-10-31",72.456322,73.232841,71.816833,72.250771,1974178,47.647434
"2012-11-01",72.307869,72.821739,72.068062,72.490578,1075184,47.805576
"2012-11-02",73.072968,73.643944,72.650452,73.301361,1380716,48.340267
"2012-11-05",72.844582,73.050133,71.919609,72.205093,1067391,47.617298
"2012-11-06",72.456322,73.16433,72.342125,72.981613,1277384,48.129395
"2012-11-07",72.444901,73.689621,72.444901,73.22142,1482210,48.287537
"2012-11-08",73.198586,73.392715,72.422066,72.433479,1167834,47.767914
"2012-11-09",72.31929,73.198586,72.056641,72.730385,1047863,47.963707
"2012-11-12",72.730385,73.015877,72.216515,72.844582,735063,48.039036
"2012-11-13",72.501999,73.472649,72.364967,73.02729,1063976,48.159515
"2012-11-14",73.232841,73.232841,71.782578,72.182251,1485450,47.602242
"2012-11-15",72.227936,72.718971,71.428574,71.839668,1296474,47.376316
"2012-11-16",72.033798,73.015877,71.691216,72.867416,1397442,48.054096
"2012-11-19",73.404137,74.134979,73.141487,73.6782,1065377,48.588783
"2012-11-20",73.792397,74.043625,73.244263,73.895172,1153384,48.731869
"2012-11-21",74.055038,74.180656,73.244263,73.449814,661854,48.438156
"2012-11-23",73.906586,74.351944,73.541168,74.294853,357723,48.995441
"2012-11-26",73.87233,75.037109,73.849495,74.409042,931132,49.07074
"2012-11-27",74.112137,74.112137,72.661873,73.152908,1800176,48.242355
"2012-11-28",73.084389,73.198586,72.422066,72.867416,1384832,48.054096
"2012-11-29",73.130066,73.130066,71.782578,72.604774,1922774,47.880867
"2012-11-30",72.741806,73.130066,72.353546,72.684708,1755779,47.93359
"2012-12-03",72.958778,73.792397,72.810326,73.244263,1084467,48.302605
"2012-12-04",73.16433,74.226334,73.02729,73.666779,1146554,48.581238
"2012-12-05",73.632523,73.838074,72.890259,73.22142,1302429,48.287537
"2012-12-06",73.41555,74.100716,73.404137,74.06646,996547,48.844822
"2012-12-07",74.203491,74.591759,73.963684,74.500397,1054255,49.130997
"2012-12-10",74.580338,74.648849,74.089302,74.214912,913268,48.942711
"2012-12-11",74.420464,74.763046,74.100716,74.637436,961869,49.221359
"2012-12-12",74.249168,74.568916,73.141487,74.306267,1720225,49.002956
"2012-12-13",74.123558,74.203491,72.147995,72.559097,1519515,48.311073
"2012-12-14",72.661873,72.684708,71.508507,71.599861,1691765,47.672398
"2012-12-17",71.862511,72.376389,71.679802,72.376389,1650870,48.189419
"2012-12-18",72.536255,72.993034,72.296448,72.958778,1399369,48.577194
"2012-12-19",72.924515,73.335617,72.673286,72.730385,1008456,48.425121
"2012-12-20",72.83316,73.87233,72.70755,73.87233,1016513,49.185452
"2012-12-21",73.255684,73.552589,72.981613,73.09581,2478669,48.668419
"2012-12-24",73.107231,73.997948,72.810326,73.803818,548714,49.139824
"2012-12-26",73.883751,73.883751,73.038712,73.335617,708441,48.828087
"2012-12-27",73.404137,73.758133,72.696129,73.506912,685148,48.94215
"2012-12-28",73.175743,73.860909,73.015877,73.015877,639874,48.615208
"2012-12-31",73.015877,73.906586,72.730385,73.906586,1040682,49.208252
"2013-01-02",74.865822,74.900078,73.952271,74.409042,1644302,49.542805
"2013-01-03",74.431885,74.648849,73.758133,73.860909,1600517,49.177849
"2013-01-04",73.860909,74.249168,73.621101,74.203491,1354270,49.405933
"2013-01-07",74.1464,74.431885,73.87233,73.952271,808621,49.23867
"2013-01-08",75.002853,75.071373,74.043625,74.306267,1032363,49.474358
"2013-01-09",74.488983,74.671692,74.06646,74.53466,908188,49.626438
"2013-01-10",74.626015,74.637436,73.849495,74.409042,1068792,49.542805
"2013-01-11",74.283432,74.523239,73.838074,74.443306,1027634,49.565609
"2013-01-14",74.500397,74.648849,74.089302,74.249168,710018,49.436356
"2013-01-15",73.929428,74.557495,73.564003,74.477562,1094362,49.588425
"2013-01-16",74.237755,74.488983,73.758133,74.386208,820268,49.527596
"2013-01-17",74.397629,75.014275,74.317688,74.831566,1263285,49.824127
"2013-01-18",74.968597,75.105629,74.374786,75.082794,1167921,49.991402
"2013-01-22",74.92292,75.334015,74.774467,75.334015,1126238,50.158669
"2013-01-23",75.002853,75.448212,74.911499,75.288338,949084,50.128242
"2013-01-24",75.43679,75.745117,75.139885,75.471054,1014148,50.249905
"2013-01-25",75.550987,76.133377,75.31118,76.110542,942954,50.675686
"2013-01-28",76.316093,76.338928,75.653763,76.053444,991643,50.637669
"2013-01-29",76.019188,76.418861,75.984924,76.350349,732085,50.835358
"2013-01-30",76.099121,76.304672,75.43679,76.133377,1392100,50.690895
"2013-01-31",75.996346,76.167641,75.57383,75.69944,1410227,50.401962
"2013-02-01",75.882149,77.035515,75.745117,76.567322,1251463,50.979805
"2013-02-04",76.247574,76.727188,76.179054,76.464546,957053,50.911385
"2013-02-05",76.590157,76.658676,75.802216,75.996346,951886,50.599659
"2013-02-06",75.539566,76.133377,75.425377,76.121964,1058196,50.683289
"2013-02-07",76.224731,76.373184,75.779373,76.121964,1372309,50.683289
"2013-02-08",76.258995,77.012672,76.053444,76.989838,1084204,51.261143
"2013-02-11",76.978416,77.492294,76.887062,77.309578,1086831,51.47403
"2013-02-12",77.298164,78.051842,77.024094,77.834877,987177,51.823784
"2013-02-13",77.960487,78.143204,77.469452,77.777779,759932,51.785759
"2013-02-14",77.697845,77.7892,77.172546,77.400932,1261884,51.53484
"2013-02-15",77.98333,79.376495,77.229645,79.330818,2357472,52.819813
"2013-02-19",79.42218,79.719086,78.268814,79.193787,1502789,52.728569
"2013-02-20",79.07959,79.730499,79.011078,79.456436,1559972,52.903439
"2013-02-21",79.570625,80.118759,79.045334,79.285141,1470563,52.789391
