"dates","EXPE.Open","EXPE.High","EXPE.Low","EXPE.Close","EXPE.Volume","EXPE.Adjusted"
"2015-01-14",84.260002,85.82,83.720001,85.389999,1607200,81.14209
"2015-01-15",85.809998,85.809998,82.279999,82.529999,2982500,78.424385
"2015-01-16",82.610001,84.089996,81.970001,83.480003,2939400,79.327103
"2015-01-20",84.029999,84.410004,82.489998,83.940002,2140900,79.764244
"2015-01-21",83.699997,84.5,83.190002,84.080002,2544200,79.89727
"2015-01-22",84.919998,86.019997,83.699997,85.709999,1696600,81.446198
"2015-01-23",84.330002,88.650002,84.139999,87.440002,3679500,83.090134
"2015-01-26",87.559998,87.809998,86.449997,87.290001,1526200,82.947578
"2015-01-27",87.059998,87.5,85.779999,86.68,913900,82.36792
"2015-01-28",87.209999,87.769997,85.830002,85.870003,908800,81.598228
"2015-01-29",86.220001,86.730003,84.629997,86.57,832700,82.263397
"2015-01-30",86.120003,87.260002,85.599998,85.93,1476100,81.655235
"2015-02-02",86.279999,86.489998,83.919998,86.220001,1396800,81.930817
"2015-02-03",86.650002,87.870003,85.389999,87.82,1454300,83.451218
"2015-02-04",87.139999,88.32,87.139999,87.870003,1823200,83.498749
"2015-02-05",88.129997,88.589996,87.110001,88,3438300,83.622269
"2015-02-06",79.230003,80.699997,76.699997,77.870003,12395100,73.996201
"2015-02-09",77.269997,78.809998,76.339996,78.199997,4057000,74.309784
"2015-02-10",78.639999,78.660004,76.919998,78.190002,2414600,74.300293
"2015-02-11",78.290001,78.690002,77.919998,78.220001,1964000,74.328796
"2015-02-12",87.800003,92.519997,86.349998,89.57,15944600,85.114166
"2015-02-13",89.529999,90.769997,88.519997,89.489998,3424900,85.038139
"2015-02-17",89.620003,90.769997,88.480003,88.690002,2602400,84.277939
"2015-02-18",88.919998,89.360001,88.550003,89.160004,2029000,84.724571
"2015-02-19",90.099998,91.440002,89,91.300003,2536200,86.758095
"2015-02-20",91.199997,92.339996,90.279999,92.300003,1798200,87.708344
"2015-02-23",92.309998,94.959999,92.099998,94.75,3524200,90.036476
"2015-02-24",94.480003,94.839996,93.900002,94.18,1436400,89.49482
"2015-02-25",94.010002,94.980003,94.010002,94.610001,1221900,89.903435
"2015-02-26",93.709999,95,92.650002,93.25,2061600,88.611099
"2015-02-27",93.18,93.57,91.639999,91.75,1663500,87.185707
"2015-03-02",90.330002,92.470001,90.32,92.18,1724600,87.594337
"2015-03-03",91.949997,92.019997,90.120003,91.019997,1628700,86.492012
"2015-03-04",90.519997,91.349998,89.860001,89.870003,1773200,85.399261
"2015-03-05",89.849998,92.57,89.809998,91.379997,1833900,86.834122
"2015-03-06",90.349998,91.349998,89.989998,90.25,1753300,85.929619
"2015-03-09",90.25,90.779999,89.879997,90.550003,821700,86.215256
"2015-03-10",89.620003,90.279999,89,89.349998,1165000,85.07267
"2015-03-11",89.400002,89.919998,88.720001,88.949997,922600,84.691811
"2015-03-12",88.919998,91.610001,88.709999,91.389999,1262400,87.015015
"2015-03-13",91.230003,92.169998,90.290001,91.349998,1132500,86.976952
"2015-03-16",91.709999,93.220001,91.040001,92.970001,1377600,88.519379
"2015-03-17",92.519997,93.279999,91.620003,92.330002,1583300,87.910027
"2015-03-18",92.290001,94.419998,92.099998,94.040001,1802200,89.538185
"2015-03-19",93.830002,94.879997,93.830002,94.68,1221900,90.147522
"2015-03-20",95,96.029999,94.760002,95.910004,1663700,91.318649
"2015-03-23",95.260002,96.449997,95.150002,95.400002,1504700,90.833054
"2015-03-24",95.209999,96.25,94.839996,95.470001,1078400,90.899704
"2015-03-25",95.360001,95.540001,93.790001,93.949997,1848200,89.452484
"2015-03-26",93.269997,93.919998,92.269997,92.760002,1381700,88.319443
"2015-03-27",92.870003,94.559998,92.540001,93.68,922500,89.195404
"2015-03-30",94.410004,94.449997,93.75,94.190002,1301400,89.681015
