"dates","DOV.Open","DOV.High","DOV.Low","DOV.Close","DOV.Volume","DOV.Adjusted"
"2010-12-22",38.5443,39.683868,38.142097,39.522987,5847817,31.909502
"2010-12-23",39.489471,39.516285,39.201229,39.335297,1711829,31.757957
"2010-12-27",39.087273,39.28167,38.879467,39.181118,726203,31.63348
"2010-12-28",39.201229,39.435844,39.026939,39.295074,1310239,31.725485
"2010-12-29",39.409031,39.536396,39.161007,39.221336,1488210,31.665958
"2010-12-30",39.147602,39.402328,39.1409,39.274963,682643,31.709244
"2010-12-31",39.221336,39.36211,39.060459,39.181118,786770,31.63348
"2011-01-03",39.670464,40.09948,39.529694,39.630241,2147879,31.996092
"2011-01-04",39.771011,39.884972,39.006832,39.409031,2013767,31.817493
"2011-01-05",39.1409,39.435844,38.959908,39.020237,1916055,31.50358
"2011-01-06",39.013535,39.241447,38.46386,38.584518,2078511,31.151804
"2011-01-07",38.718586,39.181118,38.443748,38.470562,1791043,31.059799
"2011-01-10",38.289574,38.624741,38.054955,38.504078,1738681,31.086864
"2011-01-11",38.691772,39.006832,38.5443,38.765511,1550417,31.297934
"2011-01-12",39.04705,39.630241,39.000126,39.46936,1283089,31.866194
"2011-01-13",39.529694,39.663761,39.295074,39.590023,1664390,31.963615
"2011-01-14",39.429142,39.945301,39.234745,39.945301,1669313,32.250458
"2011-01-18",39.851456,40.159809,39.851456,40.052555,1414068,32.337051
"2011-01-19",39.998928,39.998928,38.859356,39.013535,2625998,31.498177
"2011-01-20",38.845951,38.946503,37.880669,38.021439,2826942,30.697193
"2011-01-21",38.396824,38.772213,37.887371,37.981216,3029378,30.664724
"2011-01-24",38.054955,38.772213,38.054955,38.18232,2252305,30.827082
"2011-01-25",38.115284,38.591225,37.934296,38.530891,1757030,31.108509
"2011-01-26",38.725288,39.952003,38.698475,39.811234,3726342,32.142216
"2011-01-27",39.087273,40.220139,39.087273,39.871563,4074974,32.190918
"2011-01-28",41.031242,43.571815,40.856956,41.661362,6890429,33.635948
"2011-01-31",41.989822,43.270164,41.989822,42.968513,5321961,34.691292
"2011-02-01",43.229946,44.26226,42.821041,44.061161,3498397,35.573456
"2011-02-02",43.793026,43.974018,43.317089,43.685772,2436839,35.270386
"2011-02-03",43.61874,43.819839,43.30368,43.377419,3010283,35.02142
"2011-02-04",43.464561,43.880173,43.357307,43.766212,1694375,35.335342
"2011-02-07",43.947205,44.275669,43.860062,44.141602,3240168,35.638405
