"dates","TSCO.Open","TSCO.High","TSCO.Low","TSCO.Close","TSCO.Volume","TSCO.Adjusted"
"2010-06-24",15.9725,16.0175,15.54,15.625,1999200,13.886665
"2010-06-25",15.625,15.83,15.4275,15.51,18251200,13.784456
"2010-06-28",15.545,15.9175,15.5,15.76,2512000,14.006645
"2010-06-29",15.5875,15.66,15.1325,15.33,2163600,13.62448
"2010-06-30",15.295,15.565,15.1475,15.2425,1618000,13.546717
"2010-07-01",15.225,15.3625,14.775,15.31,1864400,13.606709
"2010-07-02",15.35,15.5175,15.1525,15.3675,1792400,13.657809
"2010-07-06",15.5125,16,15.125,15.3175,2046000,13.613375
"2010-07-07",15.4125,15.97,15.3275,15.94,2353600,14.166622
"2010-07-08",16.8475,17.032499,16.2675,16.352501,6386800,14.533231
"2010-07-09",16.3675,16.502501,16.205,16.434999,2404400,14.606544
"2010-07-12",16.440001,16.514999,16.33,16.48,1842400,14.646542
"2010-07-13",16.6075,16.9475,16.6075,16.842501,1978400,14.968717
"2010-07-14",16.8825,17.067499,16.52,16.9825,2146800,15.093135
"2010-07-15",17.0425,17.309999,16.647499,17.205,2838400,15.290884
"2010-07-16",17.120001,17.125,16.647499,16.6875,2158800,14.830956
"2010-07-19",16.627501,17.040001,16.625,17.01,3254000,15.117579
"2010-07-20",16.797501,17.245001,16.702499,17.215,1890800,15.299767
"2010-07-21",17.3125,17.3125,16.672501,16.817499,2938400,14.946493
"2010-07-22",17.1175,17.1875,16.860001,17.112499,3135600,15.208674
"2010-07-23",17,17.442499,16.8325,17.4275,2731600,15.488627
"2010-07-26",17.375,17.59,17.192499,17.5375,2512800,15.586385
"2010-07-27",17.5975,17.625,17.1,17.2575,1662400,15.337537
"2010-07-28",17.262501,17.35,16.934999,17.030001,1047600,15.135351
"2010-07-29",17.3575,17.434999,17.014999,17.3475,2166000,15.417534
"2010-07-30",17.135,17.485001,17.032499,17.377501,1082000,15.44419
"2010-08-02",17.555,17.684999,17.344999,17.625,1880800,15.664156
"2010-08-03",17.602501,17.612499,17.084999,17.3125,1274400,15.386425
"2010-08-04",17.41,17.555,17.275,17.465,762000,15.521957
"2010-08-05",17.397499,17.59,17.110001,17.565001,855200,15.610832
"2010-08-06",17.344999,17.620001,17.192499,17.6,938000,15.641939
"2010-08-09",17.655001,18.0975,17.6525,18.004999,2517200,16.001875
"2010-08-10",17.934999,17.952499,17.637501,17.782499,1307200,15.804133
"2010-08-11",17.25,17.25,16.825001,17.047501,2281600,15.150909
"2010-08-12",16.825001,17.3125,16.717501,17.227501,1487200,15.342381
"2010-08-13",17.217501,17.264999,17.0275,17.137501,993200,15.262231
"2010-08-16",17.075001,17.42,17,17.307501,1163600,15.413624
"2010-08-17",17.5,17.5875,17.327499,17.327499,1730800,15.431437
"2010-08-18",17.299999,17.8025,17.2225,17.5825,1209600,15.658529
"2010-08-19",17.530001,17.799999,17.355,17.514999,1506000,15.598421
"2010-08-20",17.42,17.745001,17.275,17.700001,993600,15.763177
"2010-08-23",17.745001,17.952499,17.719999,17.754999,1540000,15.812155
"2010-08-24",17.6175,17.6175,17.190001,17.202499,1662800,15.320111
"2010-08-25",17.102501,17.225,16.8825,17,3406400,15.139767
"2010-08-26",17.02,17.1075,16.727501,16.7675,2774800,14.93271
"2010-08-27",16.9625,17.2325,16.5875,17.16,2102800,15.28226
"2010-08-30",17.047501,17.352501,17.004999,17.07,1147200,15.202113
"2010-08-31",16.975,17.2425,16.8825,16.995001,2284000,15.135318
"2010-09-01",17.1175,17.66,17.067499,17.557501,1648800,15.636271
"2010-09-02",17.535,17.9475,17.504999,17.852501,2274400,15.898991
"2010-09-03",18.25,18.370001,17.799999,18.155001,1875200,16.168394
"2010-09-07",18.004999,18.495001,18.004999,18.33,1918400,16.32424
"2010-09-08",18.325001,18.700001,18.264999,18.620001,2409200,16.5825
"2010-09-09",18.75,18.75,18.334999,18.365,1339200,16.355402
"2010-09-10",18.375,18.51,18.344999,18.41,1174000,16.395489
"2010-09-13",18.620001,18.735001,18.525,18.575001,1334200,16.542433
"2010-09-14",18.620001,19,18.540001,18.870001,1323200,16.805149
"2010-09-15",18.875,19.09,18.68,19.075001,1150800,16.98772
"2010-09-16",18.965,19.139999,18.775,18.860001,922000,16.796242
"2010-09-17",18.855,19.174999,18.735001,18.844999,1857800,16.782881
"2010-09-20",18.950001,19.365,18.83,19.334999,1245400,17.219259
"2010-09-21",19.295,19.57,19.25,19.309999,1169400,17.197006
"2010-09-22",19.209999,19.35,18.934999,18.995001,1068200,16.91647
"2010-09-23",18.805,19.25,18.754999,18.985001,661200,16.907562
"2010-09-24",19.264999,19.43,19.155001,19.295,1159000,17.183643
"2010-09-27",19.325001,19.325001,19.135,19.174999,720000,17.076769
"2010-09-28",19.370001,19.84,19.135,19.799999,1709200,17.633377
"2010-09-29",19.450001,19.815001,19.450001,19.610001,869200,17.464172
"2010-09-30",19.665001,19.975,19.52,19.83,1517200,17.660099
"2010-10-01",19.950001,19.965,19.415001,19.6,1309400,17.455269
"2010-10-04",19.6,19.6,19.205,19.309999,882200,17.197006
"2010-10-05",19.535,19.85,19.33,19.465,1581400,17.335043
"2010-10-06",19.465,19.559999,19.280001,19.525,775800,17.388472
"2010-10-07",19.645,19.65,19.305,19.51,1678600,17.375118
"2010-10-08",19.59,19.77,19.215,19.290001,1779000,17.179188
"2010-10-11",19.26,19.6,19.215,19.434999,933800,17.308327
"2010-10-12",19.440001,20.059999,19.34,19.985001,2466600,17.798136
"2010-10-13",20.025,20.264999,19.844999,19.885,1477800,17.70908
"2010-10-14",19.860001,20.09,19.76,19.855,893000,17.682365
"2010-10-15",20.065001,20.17,19.785,19.82,1127400,17.651197
"2010-10-18",19.844999,19.870001,19.299999,19.33,1675800,17.214809
"2010-10-19",19.120001,19.26,18.85,19.094999,2413800,17.005527
"2010-10-20",19.174999,19.315001,18.889999,18.995001,1926800,16.91647
"2010-10-21",19.450001,19.5,18.5,18.74,4900800,16.689371
"2010-10-22",18.805,19.17,18.735001,19.16,1543800,17.063421
"2010-10-25",19.25,19.799999,19.245001,19.73,2138200,17.571045
"2010-10-26",19.565001,20.035,19.48,19.940001,1718200,17.758066
"2010-10-27",19.84,19.865,19.174999,19.52,1389600,17.38402
"2010-10-28",19.535,19.625,19.27,19.48,666800,17.348394
"2010-10-29",19.405001,19.865,19.379999,19.790001,1092800,17.624477
"2010-11-01",19.9,19.9,19.41,19.535,803000,17.397381
"2010-11-02",19.635,19.9,19.495001,19.865,797600,17.691259
"2010-11-03",19.924999,19.924999,19.559999,19.834999,718000,17.664551
"2010-11-04",19.955,20.565001,19.955,20.535,1278400,18.287956
"2010-11-05",20.535,21.389999,20.5,20.844999,1943000,18.564035
"2010-11-08",20.75,20.995001,20.59,20.92,1383600,18.630831
"2010-11-09",21,21.01,20.58,20.68,832000,18.417091
"2010-11-10",20.719999,20.934999,20.52,20.805,782200,18.559824
"2010-11-11",20.67,21,20.504999,20.870001,692800,18.617805
"2010-11-12",20.790001,20.885,20.290001,20.34,643200,18.145006
"2010-11-15",20.375,20.575001,20.24,20.264999,595000,18.078091
"2010-11-16",20.219999,20.555,20.084999,20.23,863200,18.046871
