"dates","UHS.Open","UHS.High","UHS.Low","UHS.Close","UHS.Volume","UHS.Adjusted"
"2010-07-06",37.119999,37.259998,36.259998,36.43,1355300,34.737305
"2010-07-07",36.389999,36.77,36.080002,36.740002,886800,35.032906
"2010-07-08",36.98,37.869999,36.66,36.740002,2478700,35.032906
"2010-07-09",36.720001,36.900002,36.130001,36.490002,1308700,34.794502
"2010-07-12",36.450001,36.810001,36.139999,36.400002,895500,34.708706
"2010-07-13",36.650002,37.040001,36.48,36.869999,834300,35.15686
"2010-07-14",36.880001,37.849998,36.549999,37.59,1340400,35.843407
"2010-07-15",37.509998,37.77,36.990002,37.650002,1144100,35.900612
"2010-07-16",37.490002,37.490002,36.689999,36.810001,1313300,35.099663
"2010-07-19",36.799999,37.150002,36.5,36.639999,768800,34.937534
"2010-07-20",36.299999,36.43,35.869999,36.200001,1352300,34.517994
"2010-07-21",36.389999,36.389999,34.790001,34.950001,2740100,33.326077
"2010-07-22",35.34,35.599998,34.880001,34.900002,1010700,33.278404
"2010-07-23",34.73,35.220001,34.599998,35.02,1650400,33.392815
"2010-07-26",35.360001,36.560001,34.950001,36.310001,2407200,34.62289
"2010-07-27",35.25,36.27,35,35.43,3449000,33.783768
"2010-07-28",35.549999,35.860001,34.509998,34.560001,1139400,32.954208
"2010-07-29",34.700001,35.09,34,34.279999,1359600,32.687206
"2010-07-30",34.029999,36.040001,33.900002,35.970001,2132100,34.298687
"2010-08-02",36.970001,37.509998,34.77,34.919998,2190500,33.297462
"2010-08-03",34.709999,36.290001,34.650002,36.200001,2215600,34.517994
"2010-08-04",36.400002,38.759998,36.169998,37.73,3294200,35.976906
"2010-08-05",38.59,39.220001,37.73,38,1928300,36.234367
"2010-08-06",37.619999,38.139999,37.169998,37.84,886600,36.081776
"2010-08-09",38.130001,38.240002,37.790001,38,559400,36.234367
"2010-08-10",37.650002,38.139999,37.540001,37.720001,789900,35.967358
"2010-08-11",37.32,37.32,36.110001,36.18,789300,34.498928
"2010-08-12",35.709999,36.279999,35.400002,36,709000,34.327278
"2010-08-13",35.950001,36.490002,35.560001,36.310001,558300,34.62289
"2010-08-16",36.049999,36.189999,35.650002,36,619400,34.327278
"2010-08-17",36.16,36.349998,35.779999,35.91,1170700,34.241467
"2010-08-18",35.970001,36.02,35.240002,35.880001,788600,34.212864
"2010-08-19",35.759998,35.919998,35.09,35.139999,975200,33.507248
"2010-08-20",35.119999,35.119999,34.41,34.860001,892300,33.240253
"2010-08-23",34.950001,35.18,34.169998,34.209999,784500,32.620461
"2010-08-24",33.959999,33.959999,32.369999,32.560001,2157900,31.047138
"2010-08-25",32.240002,33.139999,32.240002,32.799999,806800,31.275965
"2010-08-26",32.889999,33.07,31.299999,31.41,1730400,29.950558
"2010-08-27",31.549999,31.719999,30.51,31.629999,1368900,30.160337
"2010-08-30",31.4,31.629999,31.049999,31.059999,482900,29.663708
"2010-08-31",31.01,31.610001,30.92,31.4,1336000,29.98843
"2010-09-01",31.84,32.52,31.58,32.060001,1025900,30.618757
"2010-09-02",32.080002,32.950001,31.68,32.939999,1032000,31.4592
"2010-09-03",33.18,33.779999,33.040001,33.400002,708600,31.898529
"2010-09-07",33.23,33.450001,32.950001,33.279999,888500,31.783907
"2010-09-08",33.27,33.619999,33.02,33.130001,974500,31.640663
