"dates","GILD.Open","GILD.High","GILD.Low","GILD.Close","GILD.Volume","GILD.Adjusted"
"2016-07-05",84.68,85.160004,83.510002,83.889999,7621700,71.395737
"2016-07-06",83.639999,85.910004,83.330002,85.730003,9683800,72.961685
"2016-07-07",85.900002,86.260002,84.769997,85.470001,6764500,72.74041
"2016-07-08",85.959999,86.940002,85.730003,86.550003,7628800,73.659561
"2016-07-11",86.559998,87.230003,86.089996,86.25,7453900,73.404228
"2016-07-12",86.82,87.309998,86.480003,86.629997,7857700,73.727638
"2016-07-13",86.709999,87.080002,85.720001,85.75,8334400,72.978706
"2016-07-14",86.43,86.510002,85.269997,85.540001,8104400,72.799973
"2016-07-15",85.669998,87.959999,85.540001,86.669998,11483300,73.761673
"2016-07-18",86.940002,87.339996,86.470001,86.93,6788300,73.982971
"2016-07-19",86.5,86.959999,85.279999,85.440002,9832800,72.714867
"2016-07-20",85.459999,87.120003,85.099998,86.660004,9055900,73.753166
"2016-07-21",87.160004,87.830002,86.300003,87.239998,9453400,74.246803
"2016-07-22",87.32,87.440002,86.32,86.550003,7374700,73.659561
"2016-07-25",86.57,88.849998,86.279999,88.550003,15718500,75.361679
"2016-07-26",84.050003,84.150002,80.510002,81.050003,47371900,68.978714
"2016-07-27",81.339996,81.980003,81.059998,81.790001,14103800,69.60849
"2016-07-28",81.949997,81.980003,80.620003,81.239998,13011000,69.140396
"2016-07-29",80.599998,80.839996,79.370003,79.470001,19465700,67.634003
"2016-08-01",79.809998,81.209999,79.510002,80.459999,14758000,68.476585
"2016-08-02",80.980003,81.190002,79.449997,79.57,13408200,67.719124
"2016-08-03",79.720001,80.169998,79.110001,80.089996,10868100,68.161674
"2016-08-04",80.209999,80.629997,79.550003,79.769997,9738300,67.889343
"2016-08-05",80.199997,80.660004,79.860001,80.410004,10692300,68.434036
"2016-08-08",80.459999,80.790001,79.010002,79.739998,9511600,67.863808
"2016-08-09",79.860001,79.900002,79.010002,79.330002,9578200,67.51487
"2016-08-10",79.43,79.589996,78.449997,78.900002,12022200,67.148933
"2016-08-11",79.150002,79.980003,78.800003,79.57,8454700,67.719124
"2016-08-12",79.339996,79.769997,78.870003,79.660004,8434000,67.795746
"2016-08-15",79.879997,80.089996,79.43,79.650002,7464800,67.787224
"2016-08-16",79.57,79.800003,79.239998,79.25,7969900,67.446793
"2016-08-17",79.459999,80.870003,79.300003,80.699997,10583800,68.680817
"2016-08-18",80.870003,81.269997,80.18,80.589996,8994400,68.587227
"2016-08-19",80.559998,81.18,80.230003,81,8227900,68.936142
"2016-08-22",80.889999,81.529999,80.599998,80.919998,7522000,68.868057
"2016-08-23",81.459999,81.639999,81.019997,81.470001,8279400,69.336151
"2016-08-24",81.470001,82.099998,80.18,80.5,9699600,68.51062
"2016-08-25",80.449997,81,79.300003,80.080002,9220100,68.153175
"2016-08-26",80.110001,80.330002,79.269997,79.769997,8928000,67.889343
"2016-08-29",79.650002,79.699997,77.629997,78.169998,15383500,66.527641
"2016-08-30",78.050003,78.389999,77.660004,77.919998,9174200,66.31488
"2016-08-31",77.739998,78.599998,77.580002,78.379997,9758500,66.706367
"2016-09-01",78.43,78.459999,76.940002,77.419998,12403900,65.889351
"2016-09-02",77.620003,77.760002,76.669998,76.889999,7956200,65.438301
"2016-09-06",77.779999,78.290001,77.25,77.879997,11648400,66.280838
"2016-09-07",78.379997,78.809998,77.919998,78.220001,8232700,66.570198
"2016-09-08",78.330002,79.139999,77.599998,78.989998,8549600,67.22551
"2016-09-09",78.459999,79,78.050003,78.050003,10415200,66.425507
"2016-09-12",77.690002,79.029999,77.690002,78.849998,8896100,67.106369
"2016-09-13",78.660004,78.660004,77.5,78.059998,9389600,66.434021
"2016-09-14",77.940002,78.400002,77.440002,77.620003,8311200,66.459717
"2016-09-15",77.75,79.199997,77.269997,78.839996,10112800,67.504288
"2016-09-16",78.849998,79.190002,78.410004,78.800003,10307900,67.470062
"2016-09-19",78.919998,79.510002,78.809998,78.989998,7234200,67.632729
"2016-09-20",79.639999,82.07,79.629997,81.779999,17560700,70.021599
"2016-09-21",82.029999,82.050003,80.660004,81.699997,13628800,69.953079
"2016-09-22",81.970001,82,80.900002,81.519997,8213800,69.798958
"2016-09-23",81.550003,82,81.220001,81.370003,7534500,69.670532
"2016-09-26",81,81.129997,79.919998,80.620003,9036000,69.028366
"2016-09-27",79.32,79.900002,78.639999,79.25,13214300,67.855354
"2016-09-28",79.120003,79.5,78.510002,78.970001,6854100,67.615623
"2016-09-29",79.160004,79.339996,77.75,77.860001,7618600,66.665199
"2016-09-30",78.059998,79.629997,78.050003,79.120003,11031500,67.744041
"2016-10-03",78.629997,78.970001,77.25,78.029999,10626200,66.810776
"2016-10-04",77.599998,78.419998,77.120003,77.239998,8219400,66.134346
"2016-10-05",77.349998,78,77.199997,77.57,7910200,66.416908
"2016-10-06",77.379997,77.760002,76.080002,76.209999,10168200,65.252441
"2016-10-07",76.449997,76.480003,74.919998,75.239998,11149200,64.421898
"2016-10-10",75.5,75.970001,75.260002,75.489998,7161100,64.635963
"2016-10-11",75.139999,75.279999,73.559998,73.82,11910000,63.206074
"2016-10-12",74.18,74.209999,72.919998,73.029999,10014500,62.529667
"2016-10-13",72.290001,73.93,72.209999,73.059998,10586100,62.555363
"2016-10-14",73.269997,73.5,72.730003,72.75,7359100,62.289932
"2016-10-17",72.540001,73.459999,72.309998,72.639999,8181400,62.195744
"2016-10-18",73.400002,73.830002,72.910004,73.410004,6353500,62.855038
"2016-10-19",73.5,73.919998,73.309998,73.339996,6326400,62.795086
"2016-10-20",73.139999,74.809998,73.099998,74.309998,10351400,63.625637
"2016-10-21",74.099998,74.940002,73.779999,74.290001,8256500,63.608509
"2016-10-24",74.510002,74.779999,73.739998,74.150002,7404000,63.488636
"2016-10-25",74.040001,74.68,73.910004,74.410004,6140800,63.711254
"2016-10-26",74.510002,75.800003,74.260002,75.379997,8333000,64.541779
"2016-10-27",75.93,76.360001,75.639999,75.830002,9596400,64.927078
"2016-10-28",74.75,74.779999,73.230003,73.879997,13160000,63.257458
"2016-10-31",74.089996,74.440002,73.550003,73.629997,8457000,63.0434
"2016-11-01",73.629997,74.290001,73.059998,74.07,10741600,63.420139
"2016-11-02",74,74.349998,72.449997,72.510002,14620000,62.084457
"2016-11-03",72.330002,72.93,71.68,71.760002,9286200,61.442257
