"dates","FTI.Open","FTI.High","FTI.Low","FTI.Close","FTI.Volume","FTI.Adjusted"
"2015-04-22",28.005953,30.833332,27.991072,30.178572,10965158,28.212811
"2015-04-23",30.178572,31.153275,30.178572,30.818453,6122592,28.811012
"2015-04-24",30.699406,30.944941,29.642857,29.769344,4361683,27.830242
"2015-04-27",30.327381,30.46875,29.918156,30.394344,3491712,28.414532
"2015-04-28",30.252975,30.744047,30.104168,30.528275,3505690,28.539736
"2015-04-29",30.476191,31.711309,30.260418,31.592262,4899149,29.53442
"2015-04-30",31.629463,33.058037,31.331844,32.8125,6914342,30.675173
"2015-05-01",32.730656,32.916668,31.994047,32.247025,4990675,30.146532
"2015-05-04",32.336311,32.380951,31.607143,31.875,3016742,29.798738
"2015-05-05",32.075893,32.738094,32.038689,32.276787,4537747,30.174353
"2015-05-06",32.462799,32.94643,32.016369,32.16518,4197178,30.070021
"2015-05-07",31.867559,31.897322,30.907738,31.354168,4181856,29.311836
"2015-05-08",31.674107,31.971725,31.212797,31.830357,2838259,29.757002
"2015-05-11",31.770832,31.815475,30.811012,30.922619,2948736,28.908394
"2015-05-12",31.138393,31.443453,30.677082,31.123512,2755872,29.096201
"2015-05-13",31.257441,31.309525,30.505953,30.840775,3152083,28.831882
"2015-05-14",30.997025,31.465775,30.773809,30.9375,3095770,28.922304
"2015-05-15",30.811012,31.227678,30.401787,30.877975,2636256,28.866659
"2015-05-18",30.855656,31.071428,30.520832,30.967262,2928038,28.950132
"2015-05-19",30.572918,30.788691,30.305059,30.625,4393670,28.630163
"2015-05-20",30.892857,31.398809,30.438988,31.272322,3835373,29.235319
"2015-05-21",31.443453,32.135418,31.309525,31.919643,3876096,29.840475
"2015-05-22",31.569941,32.142857,31.324406,31.941963,3897734,29.86134
"2015-05-26",31.599703,31.860119,30.505953,30.892857,5636333,28.880571
"2015-05-27",30.877975,31.40625,30.751488,31.264881,4203898,29.228359
"2015-05-28",31.130953,31.227678,30.684525,31.190475,3172915,29.158802
"2015-05-29",31.257441,31.607143,31.071428,31.09375,3112973,29.068378
"2015-06-01",30.997025,31.063988,30.438988,30.997025,3119827,28.977953
"2015-06-02",31.279762,32.5,31.130953,32.113094,3441850,30.021322
"2015-06-03",31.986607,32.34375,31.547619,31.629463,2435597,29.569197
"2015-06-04",31.40625,31.651787,31.130953,31.413691,2958010,29.367481
"2015-06-05",31.227678,32.217262,31.153275,31.815475,2442720,29.74309
"2015-06-08",31.629463,32.068451,31.346725,31.413691,1666829,29.367481
"2015-06-09",31.733631,31.994047,31.592262,31.614582,1953773,29.555285
"2015-06-10",32.120537,32.313988,31.919643,32.180061,2944704,30.083933
"2015-06-11",32.120537,32.194939,31.741072,31.904762,2666496,29.826563
"2015-06-12",31.860119,32.05357,31.711309,31.830357,2589082,29.757002
"2015-06-15",31.540178,31.741072,31.242559,31.436012,1657555,29.388348
"2015-06-16",31.480656,31.651787,31.376488,31.569941,2157254,29.513554
"2015-06-17",31.964287,32.03125,31.584822,31.703869,2426726,29.638756
"2015-06-18",31.867559,31.934525,31.168156,31.354168,2668109,29.311836
"2015-06-19",31.175594,31.584822,31.011906,31.041668,3380026,29.01969
"2015-06-22",31.041668,31.220238,30.811012,31.026787,3562944,29.005777
"2015-06-23",31.183037,31.555059,30.915178,31.421131,5061773,29.374434
"2015-06-24",31.272322,31.837797,31.25,31.480656,2904787,29.430077
"2015-06-25",31.421131,31.622025,31.272322,31.421131,2581555,29.374434
"2015-06-26",31.376488,31.391369,30.736607,31.25,6924422,29.214449
"2015-06-29",30.833332,30.989582,30.208332,30.357143,5191334,28.379751
"2015-06-30",30.647322,30.959822,30.3125,30.870537,6342067,28.859701
"2015-07-01",30.9375,31.041668,29.375,29.501488,10452288,27.579832
"2015-07-02",29.642857,29.903275,29.397322,29.605656,3494400,27.677217
"2015-07-06",28.854168,29.330357,28.653275,28.757441,3323981,26.884249
"2015-07-07",28.705357,28.936012,27.738094,28.772322,6045581,26.898163
"2015-07-08",28.497025,28.668156,27.566963,27.626488,4426195,25.826963
"2015-07-09",28.147322,28.348213,27.827381,27.849703,3426394,26.035639
"2015-07-10",28.072918,28.340775,27.529762,27.864582,4710182,26.049549
"2015-07-13",27.901787,28.177082,27.552082,27.671131,5054381,25.8687
"2015-07-14",27.8125,28.199406,27.700893,27.938988,5031936,26.11911
"2015-07-15",27.849703,27.931547,27.157738,27.180059,3722880,25.409613
"2015-07-16",27.477678,27.805059,27.358631,27.477678,4167610,25.687849
"2015-07-17",27.395832,27.5,26.934525,27.090775,4018291,25.326149
"2015-07-20",27.180059,27.269344,26.770832,27.001488,3748013,25.242676
"2015-07-21",27.113094,27.663691,26.994047,27.061012,4573766,25.298323
"2015-07-22",26.041668,26.555059,24.345238,24.375,16240358,22.787271
"2015-07-23",24.404762,24.761906,23.683037,23.943453,6897811,22.383835
"2015-07-24",24.047619,24.732143,23.988094,24.434525,7959034,22.842916
"2015-07-27",24.084822,24.598213,24.017857,24.278275,5995315,22.696844
"2015-07-28",24.345238,25.133928,24.084822,24.836309,5773286,23.218529
"2015-07-29",24.627975,25.290178,24.449406,25.044643,3971520,23.413294
"2015-07-30",24.962797,25.111607,24.434525,24.605656,3956333,23.002903
"2015-07-31",24.464287,24.761906,24.345238,24.375,4051488,22.787271
"2015-08-03",24.174107,24.851191,24.010418,24.293156,4756147,22.710756
"2015-08-04",24.53125,24.866072,24.166668,24.255953,2707085,22.67598
"2015-08-05",24.672619,24.985119,24.330357,24.709822,4754266,23.100285
"2015-08-06",24.575893,24.955357,24.21875,24.799107,3707290,23.183752
"2015-08-07",24.546131,24.717262,24.122025,24.188988,4038317,22.613375
"2015-08-10",24.233631,25.319941,24.233631,25.267857,3359059,23.621967
"2015-08-11",24.613094,24.918156,24.412203,24.761906,3384461,23.148975
"2015-08-12",24.769344,25.126488,24.337797,25.059525,3356237,23.427208
"2015-08-13",24.680059,24.903275,24.174107,24.322918,2615424,22.738581
"2015-08-14",24.322918,24.858631,24.278275,24.419643,3085555,22.829006
"2015-08-17",24.263393,24.806547,24.21875,24.456844,5333933,22.863783
"2015-08-18",24.375,24.620537,24.159225,24.278275,1797062,22.696844
"2015-08-19",24.069941,24.293156,23.400297,23.519344,4042214,21.987352
"2015-08-20",23.422619,23.883928,23.005953,23.020832,2947526,21.521309
"2015-08-21",22.782738,23.221725,22.328869,22.328869,4002970,20.87442
"2015-08-24",20.803572,22.328869,20.788691,21.569941,5785517,20.164928
"2015-08-25",22.559525,22.559525,21.369047,21.376488,4642848,19.984074
"2015-08-26",22.849703,23.831844,22.075893,22.864582,9569683,21.375238
"2015-08-27",23.690475,25.037203,23.444941,24.196428,4958688,22.620331
"2015-08-28",24.129463,25.550594,24.122025,25.505953,6937190,23.844559
"2015-08-31",25.111607,26.197918,24.84375,25.877975,6074342,24.192347
"2015-09-01",24.702381,25.424107,23.936012,24.732143,5458118,23.121151
"2015-09-02",25.141369,25.483631,24.568453,25.126488,7526131,23.489807
"2015-09-03",25.297619,25.558037,24.880953,25.223213,6576461,23.580235
"2015-09-04",25.163691,25.238094,24.508928,24.702381,5085696,23.093327
"2015-09-08",24.947918,25.252975,24.717262,25.186012,4214515,23.545458
"2015-09-09",25.416668,25.662203,24.255953,24.456844,4382784,22.863783
"2015-09-10",24.449406,25.014881,24.203869,24.791668,4337760,23.176798
"2015-09-11",23.816963,24.337797,23.816963,24.211309,3375322,22.634243
"2015-09-14",24.144344,24.665178,24.010418,24.568453,3876499,22.968121
"2015-09-15",24.672619,25.252975,24.613094,25.148809,2685178,23.510675
"2015-09-16",25.438988,26.532738,25.230656,26.138393,3339437,24.435802
"2015-09-17",26.056547,26.287203,25.513393,25.744047,4048666,24.067142
"2015-09-18",23.296131,25.290178,23.296131,24.761906,5676115,23.148975
"2015-09-21",25.119047,25.252975,24.635418,24.6875,2572954,23.079414
"2015-09-22",24.211309,25.245537,24.188988,24.561012,4325933,22.961166
"2015-09-23",24.613094,24.880953,24.352678,24.382441,2210746,22.794226
"2015-09-24",24.151787,24.441963,23.645832,24.21875,4293005,22.641199
"2015-09-25",24.501488,24.635418,24.181547,24.427082,2987443,22.835962
"2015-09-28",24.092262,24.174107,23.333332,23.415178,3702317,21.889971
"2015-09-29",23.616072,23.891369,23.236607,23.474703,4651584,21.945618
"2015-09-30",23.616072,23.75,22.686012,23.065475,5592115,21.563046
"2015-10-01",23.467262,23.504463,22.113094,22.194941,8545421,20.749216
"2015-10-02",21.875,22.864582,21.577381,22.864582,10536691,21.375238
"2015-10-05",23.117559,24.546131,22.611607,24.389881,8394355,22.801184
"2015-10-06",24.382441,25.327381,24.010418,24.918156,10022342,23.295048
"2015-10-07",25.409225,25.721725,24.732143,25.438988,5200070,23.781952
"2015-10-08",25.364582,26.034225,24.955357,25.870537,3551386,24.185392
"2015-10-09",25.967262,25.967262,25.305059,25.632441,2575238,23.962803
"2015-10-12",25.617559,25.796131,24.873512,25.044643,2488550,23.413294
"2015-10-13",24.851191,25.46875,24.799107,25.022322,3212966,23.392426
"2015-10-14",25.089287,25.379463,24.739582,25.267857,2634374,23.621967
"2015-10-15",25.230656,25.930059,25.007441,25.877975,4512211,24.192347
"2015-10-16",26.049107,26.071428,24.888393,25.364582,3452064,23.712395
"2015-10-19",25.014881,25.349703,24.873512,25.186012,3061632,23.545458
"2015-10-20",24.940475,25.438988,24.739582,25.342262,4666771,23.691528
"2015-10-21",24.880953,25.238094,24.107143,24.375,10430381,22.787271
"2015-10-22",24.464287,24.895832,24.151787,24.345238,5028038,22.759447
"2015-10-23",24.330357,25.104168,24.122025,24.754463,4717978,23.142017
"2015-10-26",24.650297,24.918156,23.779762,23.980656,4353216,22.418615
"2015-10-27",23.348213,24.077381,23.102678,23.660713,3382310,22.119513
"2015-10-28",23.898809,24.955357,23.616072,24.910713,6505229,23.288088
"2015-10-29",24.761906,25.148809,24.270832,24.427082,3623962,22.835962
"2015-10-30",24.456844,25.349703,24.114582,25.171131,7437562,23.531542
"2015-11-02",24.880953,25.818453,24.836309,25.788691,4138310,24.108879
"2015-11-03",25.863094,26.614582,25.803572,26.398809,4773888,24.679255
"2015-11-04",26.361607,26.733631,26.197918,26.391369,3280973,24.6723
"2015-11-05",26.272322,26.688988,25.907738,26.056547,2759098,24.359289
"2015-11-06",25.744047,26.272322,25.669643,26.123512,2200397,24.42189
"2015-11-09",26.063988,26.242559,25.327381,25.758928,2269747,24.081051
"2015-11-10",25.625,25.877975,25.282738,25.639881,1890067,23.969761
"2015-11-11",25.632441,25.647322,24.761906,25.037203,2322163,23.406336
"2015-11-12",24.471725,25.133928,24.129463,24.166668,2981530,22.59251
"2015-11-13",24.0625,24.419643,23.869047,24.010418,2945107,22.446438
"2015-11-16",24.017857,24.895832,23.898809,24.880953,2367187,23.260265
"2015-11-17",24.769344,25.029762,24.486607,24.657738,1854317,23.051594
"2015-11-18",24.933037,25.565475,24.6875,25.535713,2236282,23.872377
"2015-11-19",25.431547,25.617559,24.761906,24.858631,1632154,23.239401
"2015-11-20",24.925594,25.119047,24.285713,24.635418,2202816,23.030727
"2015-11-23",24.583332,24.940475,24.427082,24.754463,1652986,23.142017
"2015-11-24",24.918156,25.558037,24.84375,25.446428,2494598,23.78891
"2015-11-25",25.148809,25.639881,24.806547,25.230656,1511059,23.587191
"2015-11-27",25.044643,25.401787,24.754463,24.836309,790810,23.218529
"2015-11-30",25.394344,25.766369,25.074406,25.3125,2796326,23.663702
"2015-12-01",25.238094,25.46875,24.873512,25.3125,2455622,23.663702
"2015-12-02",25.141369,25.520832,24.784225,25.052082,3087974,23.42025
"2015-12-03",25.282738,25.409225,24.583332,24.694941,2886778,23.086372
"2015-12-04",24.456844,24.642857,23.891369,24.285713,3651648,22.703802
"2015-12-07",23.556547,23.556547,22.604168,23.005953,4562746,21.507401
"2015-12-08",22.604168,23.370537,22.477678,22.849703,4271770,21.361326
"2015-12-09",23.020832,25.052082,22.172619,23.385418,8956819,21.862148
"2015-12-10",23.065475,23.258928,22.581844,22.953869,9687552,21.458708
"2015-12-11",22.514881,22.663691,21.465775,21.517857,5835110,20.116236
"2015-12-14",21.398809,22.03125,21.398809,21.711309,6146650,20.297087
"2015-12-15",22.068453,23.154762,21.994047,22.782738,4696877,21.298727
"2015-12-16",22.708332,23.095238,22.276787,22.596725,3522086,21.124832
"2015-12-17",22.455357,22.589287,21.607143,21.607143,3668582,20.199703
"2015-12-18",21.480656,21.636906,21.086309,21.09375,6006202,19.719757
"2015-12-21",21.123512,21.473213,20.892857,21.354168,2989728,19.963207
"2015-12-22",21.480656,21.674107,21.316963,21.488094,3910099,20.088413
"2015-12-23",22.001488,22.083332,21.569941,22.038691,4379155,20.603146
"2015-12-24",22.098213,22.209822,21.748512,21.763393,1820986,20.345779
"2015-12-28",21.272322,21.547619,21.086309,21.540178,2698483,20.137102
"2015-12-29",21.912203,22.120537,21.584822,21.726191,2249856,20.310999
"2015-12-30",21.25,22.016369,21.25,21.696428,2836243,20.283173
"2015-12-31",21.555059,21.882441,21.450893,21.584822,1992077,20.178839
