"dates","AMGN.Open","AMGN.High","AMGN.Low","AMGN.Close","AMGN.Volume","AMGN.Adjusted"
"2016-06-15",153.130005,154.080002,151.820007,151.899994,2443700,132.885941
"2016-06-16",151.679993,152.899994,150.699997,152.300003,2321700,133.23587
"2016-06-17",152.610001,152.759995,149.550003,149.619995,4681500,130.891312
"2016-06-20",151.789993,152.690002,150.369995,150.649994,3250500,131.792374
"2016-06-21",151.139999,151.470001,148.5,149.419998,2622200,130.71637
"2016-06-22",149.080002,152.179993,149,149.809998,4470100,131.057541
"2016-06-23",151.210007,152.399994,150.630005,152.270004,3000400,133.20961
"2016-06-24",147.199997,149.300003,146.029999,146.449997,4919200,128.118118
"2016-06-27",146.160004,147.070007,143.820007,144.580002,4176700,126.482201
"2016-06-28",145.889999,148.419998,145.600006,148.419998,4348000,129.841537
"2016-06-29",149.110001,150.75,148.630005,150.100006,3771100,131.311249
"2016-06-30",150.830002,152.429993,149.830002,152.149994,3480700,133.104645
"2016-07-01",152.429993,154.949997,152.25,154.279999,2758100,134.968002
"2016-07-05",154.289993,154.940002,153.380005,154.270004,2349100,134.95929
"2016-07-06",153.440002,156.820007,152.949997,156.050003,3834000,136.516449
"2016-07-07",155.860001,156.759995,155.25,156.589996,2437100,136.988831
"2016-07-08",157.619995,161.110001,156.199997,161.100006,3741500,140.934311
"2016-07-11",161.360001,162.320007,160,160.179993,2464700,140.129471
"2016-07-12",160.619995,162.279999,160.509995,161.960007,2407200,141.686661
"2016-07-13",162.639999,162.660004,160.309998,160.520004,2691800,140.426926
"2016-07-14",162,162.990005,160.740005,162.740005,2444800,142.369019
"2016-07-15",163.449997,164.570007,161.559998,163.279999,3179700,142.841446
"2016-07-18",163.820007,164,162.789993,162.929993,1815600,142.535248
"2016-07-19",163.199997,164.710007,161.940002,162.490005,2249500,142.150314
"2016-07-20",162.449997,163.649994,161.820007,163.25,2161400,142.815186
"2016-07-21",163.389999,164.259995,162.710007,164.190002,1971800,143.637527
"2016-07-22",164.779999,166.330002,164,165.669998,2500400,144.932281
"2016-07-25",165.699997,166.949997,164.070007,166.559998,2704900,145.710861
"2016-07-26",165.889999,168.050003,165.770004,167.669998,2883600,146.681931
"2016-07-27",167.449997,171.089996,167.440002,170.679993,4200200,149.31514
"2016-07-28",168.929993,171.800003,166.509995,171.279999,5192500,149.840027
"2016-07-29",171.570007,172.259995,170.529999,172.029999,3121600,150.496155
"2016-08-01",172.910004,174.979996,172.279999,174.160004,3571900,152.359543
"2016-08-02",175.050003,176.5,173.169998,174.149994,6589000,152.350784
"2016-08-03",173.740005,174.389999,172.279999,173.429993,3911800,151.720871
"2016-08-04",173.300003,173.669998,172.039993,172.669998,2122200,151.05603
"2016-08-05",173.350006,174.520004,172.509995,173.660004,2228300,151.922134
"2016-08-08",173.309998,174.160004,171.830002,172.339996,2706500,150.767349
"2016-08-09",172.660004,173.300003,171.679993,172.080002,2094200,150.539886
"2016-08-10",171.889999,172.199997,170.710007,171.229996,2476600,149.79631
"2016-08-11",172.240005,172.779999,171.050003,172.429993,2142800,150.846054
"2016-08-12",171.240005,173.149994,170.679993,173.020004,1863200,151.362228
"2016-08-15",171.479996,174.720001,171.479996,174.580002,2784300,153.614807
"2016-08-16",174.539993,174.910004,172.070007,172.160004,2622800,151.485397
"2016-08-17",172.009995,174.5,171.679993,174.309998,2580900,153.377182
"2016-08-18",174.429993,176.639999,173.570007,174.75,3422400,153.764389
"2016-08-19",174.100006,174.960007,172.259995,173.619995,2696400,152.770065
"2016-08-22",173.740005,175.179993,173.220001,174.350006,2603700,153.412445
"2016-08-23",174.440002,175.990005,173.660004,174.399994,2375700,153.456421
"2016-08-24",174,174.869995,170.279999,170.839996,3055000,150.323944
"2016-08-25",169.919998,171.460007,168.759995,170.229996,2623800,149.787201
"2016-08-26",170.800003,172.990005,169.770004,171.970001,2925300,151.318253
"2016-08-29",172.369995,172.5,171.119995,171.509995,2512200,150.913483
"2016-08-30",171.160004,171.940002,170.119995,170.759995,1803100,150.253525
"2016-08-31",170.729996,171.389999,169.820007,170.059998,2936400,149.637589
"2016-09-01",170.550003,170.559998,168.619995,170.130005,1876100,149.699203
"2016-09-02",170.550003,171.050003,168.910004,169.770004,2083800,149.382446
"2016-09-06",169.850006,171.770004,169.389999,170.839996,1919700,150.323944
"2016-09-07",169.779999,171.440002,169.199997,170.630005,2013000,150.13913
"2016-09-08",170.070007,171.360001,169.729996,170.970001,2611200,150.438309
"2016-09-09",169.690002,169.759995,166.529999,166.550003,3131400,146.549103
"2016-09-12",166.080002,172.580002,165.929993,172.039993,4451500,151.379837
"2016-09-13",171.240005,171.5,167.809998,169.300003,3162600,148.968857
"2016-09-14",169.649994,171.770004,169.5,170.139999,2799000,149.707962
"2016-09-15",170.039993,173.389999,169.470001,172.639999,2923900,151.907745
"2016-09-16",172.589996,173.389999,171.050003,172.960007,4028300,152.189407
"2016-09-19",173.25,173.5,171.179993,171.380005,2226800,150.799072
"2016-09-20",172.940002,174.259995,172.460007,173.380005,2607700,152.558899
"2016-09-21",174.240005,174.25,171.610001,173.850006,2516400,152.972488
"2016-09-22",174.600006,175.729996,173.75,175.619995,2338300,154.529938
"2016-09-23",176.270004,176.850006,174.610001,174.800003,2238700,153.808426
"2016-09-26",174.220001,174.449997,172.830002,173.529999,1798500,152.690887
"2016-09-27",170.240005,171.979996,169.5,171.630005,4798900,151.019073
"2016-09-28",172.220001,172.220001,169.050003,169.710007,3300700,149.329636
"2016-09-29",170.389999,170.389999,165.330002,165.449997,3804000,145.581207
"2016-09-30",166.380005,167.720001,165.270004,166.809998,3999600,146.777893
"2016-10-03",166.050003,167.580002,164.440002,167.339996,2514600,147.244232
"2016-10-04",167.339996,168.690002,167.139999,167.550003,2797600,147.429031
"2016-10-05",167.550003,168.389999,166.919998,167.240005,1953400,147.156265
"2016-10-06",166.330002,167.789993,165.789993,166.899994,1904100,146.857071
"2016-10-07",167.940002,168.149994,166.300003,167.5,1679800,147.385056
"2016-10-10",168.199997,168.589996,167.669998,168.309998,1628200,148.097748
"2016-10-11",167.820007,167.820007,163.509995,164.320007,2761900,144.586929
"2016-10-12",164.320007,165.589996,163.610001,163.880005,2250600,144.199753
"2016-10-13",162.850006,165.089996,162.509995,164.289993,2430900,144.560486
"2016-10-14",165.050003,165.25,161.839996,161.899994,2817500,142.457535
"2016-10-17",162.199997,163.449997,161.139999,162.619995,2348400,143.091064
"2016-10-18",163.740005,163.860001,162.75,162.800003,2001800,143.249451
"2016-10-19",163.419998,163.610001,161.020004,161.080002,2502700,141.736008
"2016-10-20",161,163.350006,161,161.5,2922600,142.10556
"2016-10-21",160.690002,161.220001,158.350006,158.509995,3541000,139.47464
"2016-10-24",159.360001,159.699997,158.240005,158.759995,2920200,139.694595
"2016-10-25",158.839996,159.270004,157.800003,157.899994,2414300,138.937881
"2016-10-26",158.679993,160.050003,158.029999,158.990005,2716800,139.896988
"2016-10-27",159.710007,161.600006,159.639999,160.570007,3366900,141.287262
"2016-10-28",151.690002,151.759995,142.639999,145.179993,18311600,127.74543
"2016-10-31",146.550003,146.679993,140.940002,141.160004,8693700,124.208183
"2016-11-01",141.169998,142.410004,139.309998,140.759995,5589300,123.856201
"2016-11-02",140.309998,140.610001,138.639999,138.699997,4622500,122.04361
"2016-11-03",139.699997,139.770004,135,135.220001,5791200,118.981522
"2016-11-04",133.710007,137.610001,133.639999,135.399994,5051500,119.139893
"2016-11-07",137.850006,140.229996,137.160004,139.210007,5146000,122.492371
"2016-11-08",139.550003,140,137.350006,138.449997,3668500,121.823639
"2016-11-09",146.75,152.850006,142.75,146.419998,11793400,128.836517
"2016-11-10",150.399994,152.229996,148.759995,151.570007,8933400,133.368073
"2016-11-11",150.050003,150.839996,146.800003,149.039993,5159400,131.141907
"2016-11-14",148.470001,149.149994,146.009995,146.419998,5060000,129.706818
"2016-11-15",146.869995,148.460007,145.009995,147.059998,4515100,130.273758
"2016-11-16",147.570007,148.5,146.440002,147.229996,4108200,130.424362
"2016-11-17",147.729996,148.449997,146.509995,147.360001,3957300,130.53949
"2016-11-18",147.050003,148.350006,144.899994,145.229996,3764600,128.652618
"2016-11-21",145.990005,146.169998,145.110001,145.550003,2860500,128.936096
"2016-11-22",146.820007,146.949997,142.820007,144.330002,3586200,127.855377
"2016-11-23",142.940002,145.169998,142.839996,145.029999,3216900,128.475479
"2016-11-25",145.220001,146,144.759995,145.429993,2004000,128.829819
"2016-11-28",145.25,145.919998,144.5,145.070007,2411700,128.51091
"2016-11-29",145.360001,146.789993,145.309998,146,2939100,129.334732
"2016-11-30",145.699997,146.320007,144.070007,144.070007,4296900,127.625046
"2016-12-01",144.240005,144.240005,142.139999,142.389999,3894000,126.136841
"2016-12-02",142.289993,144.910004,141.5,144.009995,3517300,127.571892
"2016-12-05",145.449997,146.369995,143.720001,145.289993,3855500,128.70578
"2016-12-06",145.800003,145.990005,144.279999,145.110001,2399000,128.546341
"2016-12-07",143.520004,143.880005,139.660004,141.190002,7031300,125.073792
"2016-12-08",140.830002,141.100006,138.830002,140.589996,4387600,124.542267
"2016-12-09",141.5,144.580002,141,143.449997,4637300,127.07579
"2016-12-12",142.919998,146.039993,142.789993,145.759995,3310100,129.122116
"2016-12-13",146.809998,149.970001,146.550003,148.369995,4308700,131.434204
"2016-12-14",148.160004,149.550003,147.419998,148.690002,3196700,131.717697
"2016-12-15",149.179993,150.470001,148.779999,150.389999,2950500,133.223648
"2016-12-16",150.919998,151.210007,148.809998,149.369995,6356800,132.320068
"2016-12-19",149.75,150.350006,147.210007,147.740005,3013800,130.876129
"2016-12-20",146.820007,147.990005,146.470001,147.220001,2615600,130.415482
"2016-12-21",147.070007,147.630005,145.699997,146.169998,2491800,129.485336
"2016-12-22",146.309998,146.610001,145.119995,146.360001,1820500,129.653656
"2016-12-23",146.350006,147.729996,146.240005,147.550003,2169700,130.707794
"2016-12-27",147.770004,150.110001,147.770004,148.360001,1941000,131.425369
"2016-12-28",148.630005,149.149994,147.360001,147.669998,1804000,130.814133
"2016-12-29",147.369995,148.690002,147.369995,147.779999,1655500,130.911545
"2016-12-30",147.630005,148.75,145.619995,146.210007,3193100,129.520798
"2017-01-03",147.860001,151,147.119995,150.729996,3640900,133.524841
"2017-01-04",152.089996,153.720001,151.770004,152.869995,3945900,135.420578
"2017-01-05",152.720001,153.399994,151.509995,152.979996,3441700,135.518021
"2017-01-06",159.880005,161,156.669998,156.779999,9899300,138.884232
"2017-01-09",157.009995,158.949997,156.630005,158.839996,4247700,140.709106
"2017-01-10",158.490005,159.130005,157.240005,158.759995,3324400,140.638229
"2017-01-11",159.160004,159.160004,154.5,156.619995,4821300,138.742508
"2017-01-12",155.440002,156.149994,154.559998,155.360001,3234800,137.626373
"2017-01-13",155.279999,157.210007,154.889999,156.119995,2637500,138.299591
"2017-01-17",155.139999,156.119995,153.529999,154.800003,3404900,137.130264
"2017-01-18",155.690002,155.940002,154.509995,155.770004,2432600,137.989548
"2017-01-19",155.130005,155.690002,153.25,153.800003,2571900,136.244415
"2017-01-20",154.710007,155.350006,153.820007,154.669998,3067400,137.015121
"2017-01-23",154.210007,154.550003,152.399994,152.720001,2458200,135.287689
"2017-01-24",152.820007,153,150.380005,151.850006,3027700,134.516998
"2017-01-25",152.529999,154.820007,151.770004,154.100006,3479500,136.510178
"2017-01-26",155,155.800003,152.899994,152.979996,3366900,135.518021
"2017-01-27",153.229996,157.5,152.759995,157.160004,4885200,139.220886
"2017-01-30",157.100006,157.179993,153.770004,154.429993,3758400,136.802475
"2017-01-31",153.699997,156.960007,153.149994,156.679993,3351300,138.795685
"2017-02-01",158.589996,159.75,157.050003,159.669998,3924800,141.444382
"2017-02-02",159.729996,159.940002,156.910004,159.580002,4445400,141.364639
"2017-02-03",166.100006,167.850006,164.860001,167.529999,7366600,148.407181
"2017-02-06",166.179993,166.889999,165.130005,166.580002,4389200,147.565643
"2017-02-07",167,167.720001,165.600006,166.820007,3584300,147.778214
