"dates","SLG.Open","SLG.High","SLG.Low","SLG.Close","SLG.Volume","SLG.Adjusted"
"2011-11-16",69.00103,69.2379,67.16787,67.250259,857296,49.166527
"2011-11-17",67.270859,68.424309,66.642639,67.08548,1352991,49.046059
"2011-11-18",67.6828,67.92997,66.725029,67.85788,774081,49.610756
"2011-11-21",66.714729,66.84861,64.55201,65.581871,753982,47.946762
"2011-11-22",65.31411,66.06591,64.727081,65.3965,592019,47.811241
"2011-11-23",64.727081,64.75798,62.286304,62.348095,572405,45.582561
"2011-11-25",62.203915,64.109169,61.802265,62.739445,188957,45.868675
"2011-11-28",64.46962,64.75798,62.811535,64.253349,846129,46.975491
"2011-11-29",64.521111,64.644699,62.018539,62.440784,1136361,45.65033
"2011-11-30",65.097839,68.094749,64.85067,67.806381,1873350,49.573112
"2011-12-01",67.44593,67.44593,65.643669,66.24099,726114,48.428661
"2011-12-02",67.198761,68.61998,66.982491,67.435631,984303,49.30204
"2011-12-05",68.105049,70.422241,68.08445,69.54686,922256,50.845562
"2011-12-06",69.32029,70.123581,68.78476,69.721939,1178891,50.973568
"2011-12-07",69.289391,70.46344,68.496391,70.31926,1051302,51.410263
"2011-12-08",69.77343,69.77343,67.75489,68.022659,645909,49.731228
"2011-12-09",68.197731,70.514931,68.08445,69.824921,657561,51.048855
"2011-12-12",69.00103,69.00103,67.044281,67.435631,872929,49.30204
"2011-12-13",67.91967,68.568489,65.520081,65.983521,649696,48.240417
"2011-12-14",65.77755,66.24099,64.76828,65.24202,1214236,47.698311
"2011-12-15",66.1586,66.714729,65.489189,66.426369,887980,48.564167
"2011-12-16",67.054581,67.960861,66.817711,67.30175,1460578,49.20417
"2011-12-19",67.785789,68.043251,66.01442,66.117409,597165,48.338291
"2011-12-20",67.332649,68.516991,67.22966,67.92997,817291,49.663464
"2011-12-21",67.641609,68.032959,66.663231,67.6931,678826,49.490273
"2011-12-22",67.971161,68.743561,67.92997,68.331619,540944,49.957115
"2011-12-23",68.4758,68.671471,67.981461,68.424309,320527,50.02486
"2011-12-27",68.16684,69.433571,67.63131,68.733269,452583,50.250751
"2011-12-28",68.650871,68.650871,67.023689,67.08548,784665,49.230476
"2011-12-29",67.54892,68.85685,67.023689,68.743561,472780,50.447247
"2011-12-30",68.898041,69.897011,68.08445,68.63028,431415,50.364101
"2012-01-03",69.969101,72.09063,69.134911,70.195679,976243,51.512875
"2012-01-04",69.69104,70.54583,68.959831,70.22657,998382,51.535549
"2012-01-05",70.051491,71.5345,68.4758,71.513901,820883,52.480228
"2012-01-06",71.421211,72.203911,70.23687,71.864059,665232,52.737198
"2012-01-09",72.09063,72.09063,71.174049,71.60659,659115,52.548271
"2012-01-10",72.667351,73.892891,72.512871,73.367661,665329,53.840618
"2012-01-11",73.213181,74.479919,72.646759,74.30484,564151,54.52837
"2012-01-12",73.336769,73.357361,71.668381,73.15139,974981,53.681915
"2012-01-13",72.348099,72.821831,71.431511,72.667351,555315,53.326714
"2012-01-17",73.429451,74.15036,73.202881,73.666321,766022,54.059784
"2012-01-18",73.656029,74.119461,73.192589,73.501549,940122,53.938892
"2012-01-19",73.92379,75.097839,73.810509,74.665291,619692,54.792885
"2012-01-20",74.902161,76.560249,74.15036,76.488159,1257445,56.1306
"2012-01-23",76.570549,77.21936,75.746651,76.045311,856228,55.805607
