"dates","PM.Open","PM.High","PM.Low","PM.Close","PM.Volume","PM.Adjusted"
"2013-05-30",92.25,92.910004,92.019997,92.419998,4373900,62.273205
"2013-05-31",91.970001,92.57,90.889999,90.910004,7408600,61.255756
"2013-06-03",90.949997,92.660004,90.199997,92.379997,6554000,62.246269
"2013-06-04",92.379997,92.82,91.419998,91.889999,4728500,61.916096
"2013-06-05",91.660004,91.720001,90.410004,90.470001,4480200,60.959286
"2013-06-06",90.150002,92,89.43,92,9930500,61.990219
"2013-06-07",92.650002,93.07,91.07,92.089996,5650600,62.050869
"2013-06-10",92.260002,92.730003,91.410004,91.629997,3888200,61.740879
"2013-06-11",91.089996,92.330002,90.849998,91.230003,3648100,61.471378
"2013-06-12",91.699997,92.150002,91.099998,91.650002,4194800,61.754356
"2013-06-13",91.739998,92.769997,91.360001,92.580002,3899900,62.381027
"2013-06-14",92.32,93.169998,91.970001,92.120003,3811100,62.071079
"2013-06-17",92.43,93,91.82,92.470001,4584500,62.306896
"2013-06-18",92.510002,92.879997,91.940002,92.650002,2888100,62.4282
"2013-06-19",92.730003,93.129997,90.260002,90.260002,4843400,60.817787
"2013-06-20",89.860001,89.860001,86.330002,86.629997,9511400,58.371864
"2013-06-21",87.480003,88.440002,86.650002,87.459999,11088400,58.931122
"2013-06-24",86.610001,88.029999,86.050003,86.849998,6824800,58.520115
"2013-06-25",86.57,86.940002,86.050003,86.5,6387200,58.860336
"2013-06-26",87.120003,88.410004,86.940002,87.540001,6448100,59.568024
"2013-06-27",88.370003,88.959999,87.690002,87.779999,5276500,59.731358
"2013-06-28",87.5,88.32,86.559998,86.620003,11121000,58.942001
"2013-07-01",87.110001,87.959999,87.110001,87.529999,5338100,59.56123
"2013-07-02",87.389999,88.379997,87.050003,87.559998,4775900,59.581638
"2013-07-03",87.080002,88.18,86.800003,87.75,2070400,59.710911
"2013-07-05",88.120003,88.25,86.580002,87.510002,3039500,59.547615
"2013-07-08",88.010002,89.120003,87.779999,88.57,4373500,60.268917
"2013-07-09",89.279999,89.900002,88.93,89.18,4290500,60.683983
"2013-07-10",89.220001,89.910004,88.220001,88.43,5005700,60.173637
"2013-07-11",89.839996,91.080002,89.660004,90.339996,5808600,61.473324
"2013-07-12",90.989998,91.400002,89.040001,89.699997,4957000,61.037846
"2013-07-15",89.68,90.18,89.209999,89.610001,3612400,60.976582
"2013-07-16",89.519997,90.75,89.309998,89.949997,4933700,61.207947
"2013-07-17",90.260002,90.650002,89.709999,89.709999,4354200,61.044655
"2013-07-18",88.279999,90.199997,87.650002,89.25,6148200,60.731625
"2013-07-19",89.309998,89.489998,88.449997,88.610001,5242400,60.29612
"2013-07-22",89,90.099998,88.57,89.230003,4326700,60.71801
"2013-07-23",89.199997,89.68,88.580002,88.779999,4164800,60.411819
"2013-07-24",88.839996,88.93,87.889999,88.540001,5171600,60.248474
"2013-07-25",88.089996,89.669998,88.089996,89.220001,3956400,60.71122
"2013-07-26",88.68,88.989998,87.720001,88.879997,3825700,60.479851
"2013-07-29",88.599998,89.139999,88.349998,88.669998,3250200,60.336948
"2013-07-30",89.099998,89.440002,88.669998,89.169998,3672200,60.677162
"2013-07-31",89.139999,89.940002,88.830002,89.18,5371200,60.683983
"2013-08-01",89.610001,89.900002,89.370003,89.709999,5262700,61.044655
"2013-08-02",89.389999,89.75,89.110001,89.589996,3507000,60.962978
"2013-08-05",89.389999,89.559998,88.709999,89.220001,2791100,60.71122
"2013-08-06",89.010002,89.169998,88.559998,88.769997,4230000,60.404984
"2013-08-07",88.650002,88.650002,87.879997,88.209999,4218900,60.023933
"2013-08-08",88.519997,89.800003,88.410004,89.360001,4193400,60.806465
"2013-08-09",89.349998,89.57,88.43,88.699997,3338200,60.357376
"2013-08-12",88.209999,88.730003,88,88.300003,2918500,60.085182
"2013-08-13",88.209999,88.589996,87.580002,88.330002,3035900,60.105587
"2013-08-14",88.519997,88.980003,87.809998,88.18,2942200,60.003506
"2013-08-15",87.790001,88.029999,86.949997,87.139999,3630400,59.295834
"2013-08-16",86.699997,87.150002,85.599998,85.75,4711100,58.349998
"2013-08-19",85.599998,85.800003,85.059998,85.160004,4447100,57.948517
"2013-08-20",85.220001,85.239998,84.18,84.209999,5963200,57.302067
"2013-08-21",84.129997,84.809998,83.669998,83.769997,7091700,57.002647
"2013-08-22",83.739998,84.370003,83.739998,84.169998,4718800,57.27486
"2013-08-23",84.349998,85.639999,84.269997,85.370003,4331400,58.091419
"2013-08-26",85.5,85.650002,84.410004,84.410004,3420100,57.438152
"2013-08-27",83.989998,84.589996,83.529999,84.110001,5002600,57.23402
"2013-08-28",83.769997,83.809998,82.900002,82.949997,6096300,56.444679
"2013-08-29",83.029999,84.419998,82.860001,83.879997,4510700,57.077522
"2013-08-30",83.669998,84,83.150002,83.440002,4386000,56.778107
"2013-09-03",83.830002,84.389999,83.160004,83.400002,4725500,56.750896
"2013-09-04",83.279999,84.309998,83.199997,83.849998,3708000,57.057102
"2013-09-05",83.959999,84.75,83.690002,84.099998,4310700,57.227222
"2013-09-06",84.379997,84.620003,83.559998,84.190002,3574500,57.288471
"2013-09-09",84.410004,84.519997,83.730003,84.510002,3965200,57.506226
"2013-09-10",84.790001,84.910004,84.040001,84.230003,4462500,57.315681
"2013-09-11",84.690002,86.580002,84.610001,86.559998,5591800,58.901157
"2013-09-12",86.599998,86.730003,85.980003,86.279999,4237800,58.710644
"2013-09-13",86.489998,87.879997,86.489998,87.779999,4455700,59.731358
"2013-09-16",88.68,89.080002,87.730003,87.849998,4262900,59.778973
"2013-09-17",87.769997,88.349998,87.720001,88.220001,4154100,60.030739
"2013-09-18",88.309998,90.220001,87.830002,89.949997,5829800,61.207947
"2013-09-19",90.080002,91.25,89.889999,90.540001,4761800,61.609428
"2013-09-20",90.660004,90.959999,90.360001,90.470001,20793500,61.561783
"2013-09-23",90.120003,90.160004,89.260002,89.75,13825500,61.071869
"2013-09-24",88.489998,88.550003,87.269997,87.410004,5731000,60.109146
"2013-09-25",87.400002,87.599998,86.559998,86.910004,3990000,59.76527
"2013-09-26",87.019997,87.720001,86.769997,87.690002,3597600,60.301659
"2013-09-27",87.260002,87.459999,86.720001,87.330002,3319400,60.0541
"2013-09-30",86.720001,87.209999,86.279999,86.589996,4288500,59.545238
"2013-10-01",86.730003,87.43,86.519997,87.370003,3538600,60.081608
"2013-10-02",86.980003,87.769997,86.57,87.720001,4335900,60.3223
"2013-10-03",87.540001,87.949997,86.800003,87.489998,3987700,60.164127
"2013-10-04",87.440002,87.690002,86.739998,87.040001,3600100,59.854691
"2013-10-07",86.629997,87.260002,86.470001,86.580002,3728500,59.538342
"2013-10-08",86.419998,87.029999,85.900002,85.940002,4643400,59.098244
"2013-10-09",86.080002,86.419998,84.160004,84.160004,7307300,57.87421
"2013-10-10",84.800003,86.199997,84.800003,86.160004,5831400,59.249542
"2013-10-11",86.290001,86.709999,84.709999,85.029999,5988600,58.472469
"2013-10-14",84.690002,87.050003,84.660004,86.690002,4534500,59.614002
"2013-10-15",86.559998,86.559998,85.400002,85.5,4978700,58.79567
"2013-10-16",85.949997,86.25,85.400002,86.089996,4808700,59.201408
"2013-10-17",85.830002,87.5,85.790001,86.889999,6286300,59.75153
"2013-10-18",86.849998,87.239998,86.110001,86.93,5654300,59.779045
"2013-10-21",86.639999,86.970001,86.379997,86.849998,3437900,59.724022
"2013-10-22",86.769997,87.919998,86.209999,87.779999,5247600,60.363544
"2013-10-23",87.400002,88.82,87.290001,88.120003,4229100,60.597355
"2013-10-24",88.650002,89.209999,88.010002,88.18,5116000,60.638618
"2013-10-25",87.769997,88.650002,87.690002,88.599998,4610000,60.927452
"2013-10-28",88.730003,90.379997,88.510002,89.900002,5250800,61.821415
"2013-10-29",90.099998,90.5,89.400002,90.360001,4294300,62.137745
"2013-10-30",90.589996,90.660004,89.309998,89.339996,3723500,61.436314
"2013-10-31",89.230003,90.099998,88.800003,89.120003,5339800,61.285034
"2013-11-01",89.360001,90.150002,89.199997,89.760002,4094500,61.725132
"2013-11-04",90.150002,90.349998,89.589996,90.25,3589200,62.062084
"2013-11-05",90.07,90.489998,89.830002,90.129997,3085100,61.979572
"2013-11-06",90.440002,91.239998,90.279999,91.010002,3902600,62.584724
"2013-11-07",91.040001,91.25,89.589996,89.970001,5184400,61.869556
"2013-11-08",89.739998,89.790001,88.709999,89.410004,4972600,61.484463
"2013-11-11",89.360001,90.970001,89.25,89.730003,3417700,61.704502
"2013-11-12",89.610001,89.760002,88.830002,89.75,3910100,61.718269
"2013-11-13",89.400002,90.720001,89.360001,90.620003,3723300,62.316532
"2013-11-14",90.669998,91.239998,90.589996,90.699997,3765700,62.371571
"2013-11-15",90.550003,91.400002,90.480003,91.360001,4089300,62.82542
"2013-11-18",91.32,91.809998,91.32,91.639999,3463800,63.017944
"2013-11-19",91.449997,91.68,91.040001,91.470001,3162500,62.901062
"2013-11-20",91.529999,91.809998,88.599998,89.300003,10067500,61.40881
"2013-11-21",87.339996,87.959999,84.900002,86.599998,15638000,59.552109
"2013-11-22",86.779999,87.290001,86.279999,86.949997,7114700,59.792797
"2013-11-25",87.139999,87.18,86.209999,86.290001,4688400,59.338928
"2013-11-26",86.120003,86.370003,84.860001,85.480003,8403300,58.78191
"2013-11-27",85.440002,85.769997,85.25,85.5,3626400,58.79567
"2013-11-29",85.75,86.010002,85.300003,85.540001,2990400,58.823174
"2013-12-02",85.330002,85.699997,85,85.07,3904000,58.499969
"2013-12-03",84.849998,85.760002,84.849998,85.760002,5200800,58.974468
"2013-12-04",85.32,86.040001,85.010002,85.910004,4495400,59.077618
"2013-12-05",85.690002,86.089996,85.110001,85.510002,5591800,58.802563
"2013-12-06",86.309998,86.550003,85.599998,85.830002,4844800,59.02261
"2013-12-09",86.040001,86.440002,85.589996,86.349998,4597600,59.380199
"2013-12-10",86.25,86.489998,85.379997,85.790001,4756300,58.995106
"2013-12-11",86.010002,86.290001,85.510002,85.919998,5352100,59.084488
"2013-12-12",85.730003,85.849998,85.209999,85.32,4616800,58.671898
"2013-12-13",85.449997,85.580002,84.900002,85.239998,3650000,58.616871
"2013-12-16",85.269997,85.269997,84.620003,84.75,5500600,58.279934
"2013-12-17",84.709999,84.860001,84.32,84.650002,5663200,58.211163
"2013-12-18",84.989998,85.559998,83.809998,85.480003,6874300,58.78191
"2013-12-19",85.330002,85.68,84.82,85.480003,5667300,58.78191
"2013-12-20",85.550003,85.860001,85.309998,85.519997,9643600,58.809429
"2013-12-23",84.839996,85.389999,84.330002,85.25,4166600,59.275276
"2013-12-24",85.089996,85.989998,85.010002,85.43,1909600,59.400433
"2013-12-26",85.480003,86.139999,85.43,86.010002,2624000,59.803722
"2013-12-27",86.199997,86.93,86.089996,86.739998,3046000,60.311302
"2013-12-30",86.57,86.889999,85.839996,86.599998,3908300,60.213955
"2013-12-31",86.629997,87.339996,86.419998,87.129997,3799000,60.582481
"2014-01-02",87,87.199997,85.75,86.019997,3748000,59.810658
"2014-01-03",86.25,86.5,85.510002,85.529999,3847000,59.469986
"2014-01-06",85.550003,85.57,84.550003,84.93,5323900,59.052788
"2014-01-07",85.120003,85.669998,84.529999,84.68,7502500,58.878963
"2014-01-08",84.5,84.610001,82.93,83.269997,10906300,57.898563
"2014-01-09",83.25,83.629997,82.610001,83.309998,6690100,57.926388
"2014-01-10",83.959999,84.050003,82.410004,82.57,9047600,57.41185
"2014-01-13",82.440002,82.959999,82.269997,82.449997,6999000,57.328415
"2014-01-14",82.739998,83,82.309998,82.449997,6103200,57.328415
"2014-01-15",82.449997,83.300003,82.349998,83.080002,5525800,57.76646
"2014-01-16",82.959999,84.550003,82.620003,84.519997,6866200,58.767708
"2014-01-17",84.129997,84.260002,83.199997,83.330002,6171600,57.940296
"2014-01-21",84.32,84.540001,83.410004,83.989998,4528100,58.3992
"2014-01-22",83.919998,84.410004,83.449997,84.190002,3401900,58.538242
"2014-01-23",83.610001,84.410004,83,83.540001,4534300,58.086285
"2014-01-24",82.959999,83.18,81.5,81.5,8040200,56.667858
"2014-01-27",81.629997,81.860001,80.769997,80.779999,5444200,56.16724
"2014-01-28",80.889999,81.010002,80.510002,80.809998,5951100,56.188095
"2014-01-29",80.470001,80.470001,78.330002,79.440002,10371500,55.235523
"2014-01-30",79.610001,79.800003,78.93,79.089996,7011600,54.992157
"2014-01-31",78.309998,78.949997,77.190002,78.139999,8001800,54.331623
"2014-02-03",78.089996,78.190002,75.279999,75.389999,9837000,52.419514
"2014-02-04",75.849998,77.230003,75.57,76.879997,7917900,53.455524
"2014-02-05",76.559998,77.080002,76.059998,76.900002,7038800,53.469433
"2014-02-06",76.879997,78.790001,76.660004,78.110001,8400900,54.31076
"2014-02-07",78.330002,80.290001,78.169998,80.25,8628100,55.798725
"2014-02-10",79.949997,80.099998,78.440002,78.809998,6526000,54.797466
"2014-02-11",78.610001,79.5,78.010002,79.459999,6011300,55.249447
"2014-02-12",79.639999,79.660004,78.309998,78.440002,5160000,54.540211
"2014-02-13",78.25,79.32,77.550003,79.239998,4595200,55.096466
