"dates","UNP.Open","UNP.High","UNP.Low","UNP.Close","UNP.Volume","UNP.Adjusted"
"2013-12-11",81.400002,81.75,80.25,80.349998,4240800,68.610626
"2013-12-12",80.25,80.915001,80.084999,80.485001,2856600,68.725899
"2013-12-13",80.665001,81.165001,80.230003,80.375,2583200,68.631966
"2013-12-16",80.684998,81.315002,80.639999,80.849998,3540600,69.037582
"2013-12-17",80.919998,80.919998,80.345001,80.514999,2981800,68.751518
"2013-12-18",80.800003,81.815002,80.019997,81.779999,4661000,69.831688
"2013-12-19",81.485001,82.160004,81.205002,82.095001,3751200,70.100685
"2013-12-20",82.114998,82.440002,81.625,81.800003,6231800,69.84877
"2013-12-23",81.754997,82.565002,81.519997,82.474998,2581400,70.425156
"2013-12-24",82.43,83,82.084999,82.82,1538400,70.719734
"2013-12-26",82.184998,83.305,82.175003,83.209999,2346200,71.052803
"2013-12-27",83.324997,83.5,82.650002,83.025002,1348200,70.894775
"2013-12-30",83.050003,83.355003,82.665001,83.025002,1840400,70.894775
"2013-12-31",83.205002,84.120003,83.184998,84,2855200,71.727341
"2014-01-02",84.199997,84.910004,83.32,83.555,4692200,71.347366
"2014-01-03",83.709999,84.379997,83.125,83.425003,2411600,71.236366
"2014-01-06",83.584999,83.805,82.485001,82.580002,3741200,70.514816
"2014-01-07",82.690002,83.445,82.610001,83.309998,3135200,71.138168
"2014-01-08",83.93,84.5,83.25,83.464996,4462600,71.270508
"2014-01-09",83.595001,84.665001,83.459999,84.635002,4533800,72.269569
"2014-01-10",84.419998,85.440002,84.285004,85.190002,5088000,72.743484
"2014-01-13",85.169998,85.345001,83.775002,84.025002,4530200,71.748711
"2014-01-14",84.110001,84.735001,83.769997,84.410004,3145200,72.077454
"2014-01-15",84.445,85.690002,84.415001,85.074997,4351800,72.645287
"2014-01-16",83.785004,84.214996,83.279999,83.980003,4837200,71.710274
"2014-01-17",83.964996,84.404999,83.559998,83.919998,4756400,71.65905
"2014-01-21",84.790001,84.790001,83.589996,84.059998,3098600,71.778572
"2014-01-22",84.540001,85,84.050003,84.25,5254600,71.940804
"2014-01-23",86.195,87.410004,86.025002,87.059998,7353200,74.340271
"2014-01-24",86.074997,87.5,85.25,85.82,7066200,73.281441
"2014-01-27",86.029999,86.264999,85.150002,85.605003,5458800,73.09787
"2014-01-28",85.709999,86.989998,85.660004,86.400002,4187200,73.776711
"2014-01-29",86.080002,86.589996,85.595001,85.974998,5525600,73.413788
"2014-01-30",87.375,88.5,87.165001,88.114998,5357400,75.241142
"2014-01-31",87.339996,87.910004,86.589996,87.120003,5034000,74.391495
"2014-02-03",87.300003,87.904999,85.559998,85.870003,6805000,73.32415
"2014-02-04",86.535004,86.830002,85.720001,86.625,4055000,73.968834
"2014-02-05",86.294998,86.68,85.599998,86.315002,4348800,73.704124
"2014-02-06",86.449997,87.805,86.360001,87.559998,3998200,74.767212
"2014-02-07",87.894997,88.790001,87.739998,88.449997,4627200,75.527176
"2014-02-10",88.324997,88.389999,87.279999,87.389999,5165400,74.622055
"2014-02-11",87.614998,89.389999,87.529999,88.849998,5403200,75.868752
"2014-02-12",88.945,89.690002,88.665001,89.425003,3269000,76.359734
"2014-02-13",88.839996,89.595001,88.724998,89.32,2874000,76.270065
"2014-02-14",89.139999,90.245003,89.099998,90.07,3817200,76.910484
"2014-02-18",90.120003,90.199997,88.665001,89.150002,5751200,76.124916
"2014-02-19",88.690002,89.18,87.785004,87.934998,3776800,75.087433
"2014-02-20",88.035004,89.245003,88.004997,88.934998,4276200,75.941322
"2014-02-21",89.25,90.099998,89.044998,89.559998,4103400,76.475021
"2014-02-24",89.610001,90.639999,89.449997,89.805,3282800,76.684227
"2014-02-25",89.985001,90.040001,89.014999,89.349998,2794800,76.295685
"2014-02-26",89,89.5,88.379997,88.605003,3374800,76.046799
"2014-02-27",88.445,89.535004,88.385002,89.25,2951200,76.600388
"2014-02-28",89.394997,90.584999,89.105003,90.190002,4774200,77.407158
"2014-03-03",89.584999,89.970001,89.144997,89.754997,3857400,77.033806
"2014-03-04",90.900002,92.415001,90.57,91.925003,4955400,78.89624
"2014-03-05",92.154999,92.989998,91.894997,92.169998,4431800,79.106544
"2014-03-06",92.300003,93.544998,92.154999,92.93,3646200,79.758789
"2014-03-07",93.290001,94.294998,93.025002,93.785004,3818400,80.492622
"2014-03-10",93.635002,93.769997,92.75,93.110001,3677800,79.913284
"2014-03-11",93.260002,93.345001,92.654999,92.885002,2855800,79.720215
"2014-03-12",92.445,93.785004,92.154999,93.769997,3314800,80.479744
"2014-03-13",93.980003,94.730003,92.730003,92.93,4766200,79.758789
"2014-03-14",92.730003,93.214996,92.099998,92.57,3855200,79.449814
"2014-03-17",93.239998,93.940002,92.980003,93.684998,3464400,80.406792
"2014-03-18",93.849998,95,93.625,94.699997,3541000,81.277939
"2014-03-19",94.919998,95.125,93.110001,93.425003,4157600,80.18367
"2014-03-20",93.220001,94.375,92.93,94.364998,3271200,80.990417
"2014-03-21",94.989998,95.239998,93.529999,93.665001,5736000,80.389603
"2014-03-24",93.824997,94.279999,92.769997,94,4113400,80.677155
"2014-03-25",94.235001,94.654999,93.489998,93.489998,4306800,80.239426
"2014-03-26",93.93,94.044998,92.150002,92.154999,4655400,79.093658
"2014-03-27",91.779999,92.625,91.425003,91.654999,4266400,78.664513
"2014-03-28",91.900002,92.449997,91.760002,92.375,3182000,79.28244
"2014-03-31",92.894997,94.330002,92.544998,93.830002,3263200,80.53125
"2014-04-01",94.190002,94.269997,93.334999,94.220001,2681000,80.865944
"2014-04-02",94.18,94.989998,94.074997,94.540001,3648400,81.140602
"2014-04-03",94.885002,94.885002,93.849998,94.584999,2824600,81.17923
"2014-04-04",94.845001,95,93.75,94.025002,3306200,80.698601
"2014-04-07",93.900002,94.190002,92.754997,93.125,2849000,79.926155
"2014-04-08",92.910004,93.355003,92.339996,92.665001,4222600,79.531364
"2014-04-09",92.910004,93.510002,92.294998,93.285004,3487000,80.063484
"2014-04-10",93.339996,93.629997,91.75,91.790001,3483000,78.780396
"2014-04-11",91.205002,91.870003,90.425003,90.535004,6082200,77.703255
"2014-04-14",91.309998,91.739998,90.360001,91.050003,4537000,78.145256
"2014-04-15",91.209999,92.919998,91.144997,92.764999,6549000,79.61721
"2014-04-16",92.720001,94.269997,92.254997,94.074997,7271800,80.741508
"2014-04-17",91.254997,95.014999,91.154999,94.794998,6252600,81.359474
"2014-04-21",95,95.995003,94.805,95.769997,4141400,82.196259
"2014-04-22",96.019997,97.080002,95.830002,96.025002,4668200,82.415115
"2014-04-23",96.025002,96.309998,95.599998,95.949997,2982400,82.350784
"2014-04-24",96.150002,96.275002,95.004997,95.290001,2731000,81.784294
"2014-04-25",95.300003,95.300003,93.705002,93.889999,4432600,80.582764
"2014-04-28",94.379997,94.635002,93.360001,93.964996,4256600,80.647133
"2014-04-29",94.175003,95.040001,93.900002,94.945,3375400,81.488205
"2014-04-30",94.955002,95.605003,94.900002,95.214996,3067400,81.719917
"2014-05-01",95.150002,95.625,94.364998,94.400002,2656600,81.020477
"2014-05-02",94.489998,94.730003,93.915001,94,3757600,80.677155
"2014-05-05",93.870003,94.209999,93.404999,93.875,3695600,80.56987
"2014-05-06",93.75,94.135002,93.580002,93.650002,4296200,80.37677
"2014-05-07",93.809998,94.434998,93.425003,94.175003,5311800,80.827354
"2014-05-08",94.184998,94.915001,93.955002,94.355003,3780200,80.981834
"2014-05-09",94.224998,94.974998,93.845001,94.660004,3323200,81.243607
"2014-05-12",94.769997,95.855003,94.769997,95.815002,3925000,82.234909
"2014-05-13",96.014999,97.07,95.980003,96.449997,3249400,82.7799
"2014-05-14",96.449997,96.639999,95.660004,96.105003,2892800,82.483795
"2014-05-15",95.940002,96.099998,95.230003,95.559998,2971600,82.016052
"2014-05-16",95.985001,97.625,95.985001,97.580002,5889000,83.749756
"2014-05-19",97.629997,97.889999,97.07,97.794998,3210600,83.93428
"2014-05-20",97.775002,98.190002,96.599998,96.934998,3654000,83.196159
"2014-05-21",97.290001,98.014999,97.220001,97.625,3088600,83.788361
"2014-05-22",97.5,97.970001,96.985001,97.650002,2344800,83.809814
"2014-05-23",97.900002,98.565002,97.75,98.129997,2123400,84.221809
"2014-05-27",98.544998,98.900002,98.260002,98.544998,2436000,84.577988
"2014-05-28",98.580002,98.864998,98.135002,98.184998,3267400,84.269005
"2014-05-29",98.510002,98.970001,98.245003,98.900002,2666800,84.882668
"2014-05-30",98.675003,99.730003,98.445,99.635002,4539800,85.513489
"2014-06-02",99.68,99.809998,99,99.584999,2625600,85.470581
"2014-06-03",99.5,99.589996,98.455002,98.695,2845600,84.706718
"2014-06-04",98.695,99.120003,98.625,98.915001,2354800,84.895531
"2014-06-05",98.904999,100.644997,98.904999,100.169998,3489200,85.972656
"2014-06-06",100.68,101.309998,100.114998,100.93,4104800,86.624947
"2014-06-09",101.870003,102.199997,100.82,102.139999,3366400,87.663437
"2014-06-10",102.879997,102.959999,101.349998,102.419998,3328500,87.903763
"2014-06-11",102.059998,102.309998,101.300003,102.18,2491500,87.697762
"2014-06-12",101.760002,101.949997,100.43,100.669998,3307900,86.788261
"2014-06-13",100.68,101.239998,100.330002,100.900002,1837800,86.986549
"2014-06-16",100.25,100.620003,99.620003,99.809998,3152500,86.046852
"2014-06-17",99.940002,100,99.279999,99.370003,3537200,85.667511
"2014-06-18",99.540001,100.959999,99.480003,100.669998,3585900,86.788261
"2014-06-19",100.68,101.440002,100.540001,101.029999,2523600,87.098618
"2014-06-20",101.059998,101.349998,100.860001,101.080002,4876500,87.141739
"2014-06-23",101.18,101.199997,100.379997,100.690002,2715700,86.805496
"2014-06-24",100.339996,101.199997,99.629997,99.68,2482400,85.934776
"2014-06-25",99.629997,100.360001,99.629997,100.089996,2545200,86.288231
"2014-06-26",100.209999,100.300003,99.160004,99.57,3127600,85.839958
"2014-06-27",99.57,99.940002,99.160004,99.639999,3244200,85.900307
"2014-06-30",99.540001,100.839996,99.540001,99.75,3773600,85.995132
"2014-07-01",99.959999,100.68,99.769997,100.099998,3365400,86.29686
"2014-07-02",100.050003,100.779999,99.910004,100.07,3471100,86.270996
"2014-07-03",100.190002,101.089996,100.18,100.980003,2461400,87.055519
"2014-07-07",101.199997,101.199997,99.709999,100.260002,2914100,86.434799
"2014-07-08",100.019997,100.339996,99.529999,100.089996,2022200,86.288231
"2014-07-09",100.540001,101,100.199997,100.610001,1782900,86.736511
"2014-07-10",99.599998,99.980003,99.269997,99.610001,2436400,85.874413
"2014-07-11",99.660004,100.43,99.550003,100.269997,2086600,86.443436
"2014-07-14",100.739998,101.349998,100.730003,101.089996,2261500,87.150345
"2014-07-15",100.669998,101.639999,100.589996,101.370003,2659500,87.391731
"2014-07-16",101.879997,102,101.25,101.779999,2164800,87.745178
"2014-07-17",100.970001,101.730003,100.440002,100.449997,2218200,86.598579
"2014-07-18",100.699997,101.349998,100.370003,101.339996,3189800,87.365875
"2014-07-21",101.32,101.889999,100.860001,101.639999,2746600,87.624504
"2014-07-22",101.870003,102.980003,101.75,102.860001,2861500,88.676254
"2014-07-23",102.970001,103.25,101.769997,102.510002,3554000,88.37455
"2014-07-24",101.389999,102.199997,100.599998,101.769997,3283600,87.736565
"2014-07-25",101.5,102.349998,101.43,101.660004,2337400,87.641731
"2014-07-28",101.459999,101.629997,100.32,100.639999,3160400,86.762383
"2014-07-29",100.540001,100.589996,99.540001,99.599998,4010700,85.865776
"2014-07-30",100.150002,100.309998,98.959999,99.470001,4676300,85.753738
"2014-07-31",99.050003,99.199997,97.959999,98.309998,4492200,84.753685
"2014-08-01",98.220001,99.190002,97.739998,97.910004,4207200,84.408836
"2014-08-04",98.120003,98.550003,97.470001,98.290001,4540500,84.736443
"2014-08-05",97.870003,98.75,97.400002,97.959999,3166300,84.45195
"2014-08-06",97.129997,98.019997,96.760002,97.510002,3295000,84.064003
"2014-08-07",98,98.459999,97.269997,97.480003,2340200,84.038139
"2014-08-08",97.400002,98.699997,97.050003,98.639999,2415400,85.038193
