"dates","ROST.Open","ROST.High","ROST.Low","ROST.Close","ROST.Volume","ROST.Adjusted"
"2010-11-03",15.1975,15.2775,14.9675,15.1225,9862800,13.707369
"2010-11-04",15.3525,16.057501,15.3525,15.9075,11359200,14.418908
"2010-11-05",15.8725,16.102501,15.83,16.0625,5676800,14.559408
"2010-11-08",15.975,16.0175,15.7075,15.96,6696400,14.466496
"2010-11-09",16.0275,16.0275,15.655,15.7225,5012800,14.25122
"2010-11-10",15.7475,16.035,15.745,16.025,5973200,14.525414
"2010-11-11",15.9175,16.205,15.815,16.145,4691600,14.634184
"2010-11-12",16.057501,16.174999,15.9175,15.9725,4283200,14.477828
"2010-11-15",16.084999,16.125,15.8925,15.9075,3825600,14.418908
"2010-11-16",15.84,16.135,15.7125,15.8925,6028800,14.405314
"2010-11-17",15.9325,16.424999,15.87,16.35,9165200,14.820002
"2010-11-18",16.1,16.254999,15.515,15.8625,16335200,14.378122
"2010-11-19",15.83,16.0175,15.7175,16.012501,5847600,14.514084
"2010-11-22",15.9375,16.25,15.7625,16.205,6020000,14.68857
"2010-11-23",16.045,16.272499,15.955,16.030001,6106800,14.529945
"2010-11-24",16.0875,16.422501,16.0875,16.395,3857600,14.860791
"2010-11-26",16.2875,16.422501,16.262501,16.4175,1394800,14.881183
"2010-11-29",16.275,16.342501,15.8825,16.057501,5065200,14.554875
"2010-11-30",15.93,16.325001,15.865,16.219999,5421600,14.702166
"2010-12-01",16.375,16.645,16.2925,16.397499,7205200,14.863054
"2010-12-02",16.387501,16.49,16.174999,16.4,7310000,14.865322
"2010-12-03",16.360001,16.389999,16.1975,16.282499,5132800,14.794902
"2010-12-06",16.297501,16.344999,16.137501,16.184999,3801200,14.706311
"2010-12-07",16.3125,16.4025,16.1625,16.217501,4232800,14.73584
"2010-12-08",16.407499,16.407499,15.99,16.084999,6312400,14.615446
"2010-12-09",16.125,16.4125,16.0725,16.3925,5565200,14.894851
"2010-12-10",16.4025,16.424999,16.0875,16.280001,5193200,14.792631
"2010-12-13",16.3025,16.315001,15.8125,15.825,5407600,14.379199
"2010-12-14",15.835,15.9225,15.745,15.785,5382000,14.342855
"2010-12-15",15.75,15.82,15.47,15.5825,9056000,14.158858
"2010-12-16",15.6075,16.0425,15.5825,16.002501,5341200,14.540483
"2010-12-17",15.91,15.985,15.7375,15.74,5928800,14.301969
