"dates","IDXX.Open","IDXX.High","IDXX.Low","IDXX.Close","IDXX.Volume","IDXX.Adjusted"
"2012-11-02",47.994999,48.110001,47.224998,47.32,547600,47.32
"2012-11-05",47.345001,47.345001,46.82,46.950001,791600,46.950001
"2012-11-06",47.255001,47.424999,46.865002,46.945,970400,46.945
"2012-11-07",46.625,46.82,46.099998,46.445,758200,46.445
"2012-11-08",46.205002,46.404999,44.945,44.955002,1051600,44.955002
"2012-11-09",44.889999,45.105,44.599998,44.775002,1044000,44.775002
"2012-11-12",44.775002,44.98,44.470001,44.855,508800,44.855
"2012-11-13",44.665001,45.244999,44.450001,44.994999,625000,44.994999
"2012-11-14",45.025002,45.560001,44.560001,44.66,757600,44.66
"2012-11-15",44.740002,45.110001,43.755001,44.880001,893400,44.880001
"2012-11-16",44.924999,45.400002,44.825001,45.16,754000,45.16
"2012-11-19",45.380001,46.32,45.330002,46.310001,747600,46.310001
"2012-11-20",46.215,46.330002,45.544998,45.974998,442000,45.974998
"2012-11-21",46,46.235001,45.564999,45.935001,414000,45.935001
"2012-11-23",45.900002,47.084999,45.900002,47.025002,245400,47.025002
"2012-11-26",46.810001,47.130001,46.705002,46.965,374600,46.965
"2012-11-27",46.66,47.150002,46.035,46.150002,693200,46.150002
"2012-11-28",45.849998,46.025002,45.110001,45.709999,785600,45.709999
"2012-11-29",46.060001,46.889999,46.044998,46.630001,520600,46.630001
"2012-11-30",46.59,46.924999,46.490002,46.735001,1495400,46.735001
"2012-12-03",46.814999,46.985001,45.900002,46.080002,605400,46.080002
"2012-12-04",46.064999,46.299999,45.73,46.16,606200,46.16
"2012-12-05",46.224998,46.48,45.904999,46.34,427600,46.34
"2012-12-06",46.330002,46.639999,46.264999,46.549999,278400,46.549999
"2012-12-07",46.625,46.950001,46.445,46.755001,331800,46.755001
"2012-12-10",46.650002,47.215,46.525002,46.91,379600,46.91
"2012-12-11",46.91,47.439999,46.900002,47.25,363200,47.25
"2012-12-12",47.27,48.369999,47.095001,47.794998,639400,47.794998
"2012-12-13",47.735001,47.904999,47.400002,47.52,393800,47.52
"2012-12-14",47.189999,48.384998,47.014999,47.84,473200,47.84
"2012-12-17",47.799999,48.215,47.779999,47.959999,512400,47.959999
"2012-12-18",47.884998,48.16,47.810001,48.02,406000,48.02
"2012-12-19",48.235001,48.455002,47.779999,47.794998,496400,47.794998
"2012-12-20",47.665001,48.189999,47.665001,48.119999,330600,48.119999
"2012-12-21",47.330002,48.57,47.330002,47.619999,1578600,47.619999
"2012-12-24",47.810001,48.355,47.195,47.630001,264000,47.630001
"2012-12-26",47.814999,47.830002,46.275002,46.279999,642400,46.279999
"2012-12-27",46.349998,46.625,45.955002,46.459999,496200,46.459999
"2012-12-28",46.165001,46.48,45.794998,45.855,314800,45.855
"2012-12-31",45.75,46.5,45.544998,46.400002,572400,46.400002
"2013-01-02",47.294998,47.404999,46.695,47.025002,447000,47.025002
"2013-01-03",46.834999,47.375,46.689999,47,492000,47
"2013-01-04",47.16,47.965,46.945,47.439999,519400,47.439999
"2013-01-07",47.325001,47.939999,47.255001,47.720001,394200,47.720001
"2013-01-08",47.799999,48.290001,47.560001,48.005001,525000,48.005001
"2013-01-09",48.25,48.945,48.07,48.57,511800,48.57
"2013-01-10",48.845001,49.009998,48.450001,48.630001,302000,48.630001
"2013-01-11",48.709999,48.955002,48.360001,48.549999,256000,48.549999
"2013-01-14",48.584999,48.700001,47.970001,47.98,349600,47.98
"2013-01-15",47.875,48.330002,47.459999,47.474998,554200,47.474998
"2013-01-16",47.375,47.939999,46.715,47.195,721800,47.195
"2013-01-17",47.365002,47.650002,47.125,47.165001,427400,47.165001
"2013-01-18",47.125,47.334999,46.599998,46.625,735400,46.625
"2013-01-22",46.715,47.779999,46.715,47.744999,1147000,47.744999
"2013-01-23",47.625,47.669998,47.41,47.619999,1344000,47.619999
"2013-01-24",47.625,48.32,47.514999,48.314999,2059400,48.314999
"2013-01-25",48.424999,49.875,48.32,49.73,1505800,49.73
"2013-01-28",49.400002,50.404999,49.400002,49.825001,1128600,49.825001
"2013-01-29",46.744999,49.07,46.744999,48.709999,1682000,48.709999
"2013-01-30",48.705002,49.134998,47.970001,48.080002,785000,48.080002
"2013-01-31",47.764999,48.060001,47.41,47.605,807000,47.605
"2013-02-01",47.82,48.115002,47.105,47.23,1259600,47.23
"2013-02-04",47.035,47.23,46.605,46.810001,720200,46.810001
"2013-02-05",46.985001,47.080002,46.810001,46.900002,726200,46.900002
"2013-02-06",46.845001,47,46.634998,46.950001,611200,46.950001
"2013-02-07",47,47,46.68,46.950001,372200,46.950001
"2013-02-08",46.950001,47.07,46.740002,46.785,491600,46.785
"2013-02-11",46.900002,46.985001,46.525002,46.779999,319000,46.779999
"2013-02-12",46.935001,47.014999,46.349998,46.465,658600,46.465
"2013-02-13",46.595001,46.605,45.794998,46.040001,1646800,46.040001
"2013-02-14",46.029999,46.255001,45.75,45.84,477600,45.84
"2013-02-15",45.799999,45.825001,45.375,45.599998,666200,45.599998
"2013-02-19",45.610001,46.130001,45.509998,45.98,621000,45.98
"2013-02-20",45.865002,46.345001,45.849998,46.035,809800,46.035
"2013-02-21",45.855,45.93,45.535,45.605,526200,45.605
"2013-02-22",45.834999,46.174999,45.634998,46.099998,442800,46.099998
"2013-02-25",46.205002,46.450001,46.005001,46.099998,1187000,46.099998
"2013-02-26",46.139999,46.485001,45.599998,45.650002,844200,45.650002
"2013-02-27",45.66,46.695,45.610001,46.275002,640800,46.275002
"2013-02-28",46.384998,46.615002,45.985001,46.060001,764600,46.060001
"2013-03-01",45.915001,46.029999,45.389999,45.625,1301600,45.625
"2013-03-04",45.52,45.665001,45.095001,45.575001,662000,45.575001
"2013-03-05",45.849998,46.685001,45.75,46.625,609800,46.625
"2013-03-06",46.779999,47.134998,45.970001,46.064999,657000,46.064999
"2013-03-07",46,46.189999,45.285,45.509998,491400,45.509998
"2013-03-08",45.529999,46.025002,45.119999,45.73,1221600,45.73
"2013-03-11",45.755001,46.310001,45.689999,45.915001,339000,45.915001
"2013-03-12",45.790001,45.900002,45.494999,45.755001,348800,45.755001
"2013-03-13",45.779999,46.005001,45.509998,45.830002,373800,45.830002
"2013-03-14",45.82,46.575001,45.814999,46.360001,902600,46.360001
"2013-03-15",46.290001,46.424999,46.009998,46.224998,927600,46.224998
"2013-03-18",45.724998,46.174999,45.52,45.595001,380800,45.595001
"2013-03-19",45.709999,46.07,45.165001,45.68,413600,45.68
"2013-03-20",45.744999,46.209999,45.689999,45.785,271000,45.785
"2013-03-21",45.599998,46.009998,45.355,45.799999,441000,45.799999
"2013-03-22",45.860001,46.215,45.860001,46.035,586200,46.035
"2013-03-25",46.200001,46.215,45.470001,45.630001,386600,45.630001
"2013-03-26",45.884998,46.169998,45.700001,46.139999,230400,46.139999
"2013-03-27",45.985001,46.610001,45.865002,46.445,549400,46.445
"2013-03-28",46.435001,46.505001,45.884998,46.195,452200,46.195
"2013-04-01",46.029999,46.200001,45.145,45.415001,727400,45.415001
"2013-04-02",45.470001,45.900002,45.375,45.5,339600,45.5
"2013-04-03",45.404999,45.529999,44.404999,44.535,582800,44.535
"2013-04-04",44.674999,44.825001,43.945,44.814999,889000,44.814999
"2013-04-05",44.48,44.974998,44.224998,44.865002,543600,44.865002
"2013-04-08",44.855,45.275002,44.700001,45.195,369000,45.195
"2013-04-09",45.25,45.57,44.950001,45.255001,463000,45.255001
"2013-04-10",45.564999,45.564999,45.014999,45.445,667400,45.445
"2013-04-11",45.400002,45.794998,45.389999,45.48,862800,45.48
"2013-04-12",45.349998,45.470001,43.950001,44.314999,1007400,44.314999
"2013-04-15",44.099998,44.52,43.799999,43.860001,627800,43.860001
"2013-04-16",44.169998,44.855,43.625,44.82,756400,44.82
"2013-04-17",44.544998,44.634998,44.07,44.48,990800,44.48
"2013-04-18",44.505001,44.799999,44.325001,44.66,764400,44.66
"2013-04-19",44.75,45.32,44.509998,45.279999,613200,45.279999
"2013-04-22",45.41,45.485001,44.775002,45,1069200,45
"2013-04-23",41.919998,44.105,41.525002,43.325001,6353200,43.325001
"2013-04-24",43.224998,43.299999,42.014999,42.134998,2763200,42.134998
"2013-04-25",42.290001,43.764999,42.224998,43.514999,1782200,43.514999
"2013-04-26",43.529999,43.974998,43.349998,43.965,1006800,43.965
"2013-04-29",44.115002,44.535,44.07,44.18,1481200,44.18
"2013-04-30",44.290001,44.474998,43.744999,43.98,1522600,43.98
"2013-05-01",43.759998,43.990002,42.575001,42.619999,1502600,42.619999
"2013-05-02",42.755001,42.880001,42.049999,42.200001,1177800,42.200001
