"dates","TT.Open","TT.High","TT.Low","TT.Close","TT.Volume","TT.Adjusted"
"2010-10-06",23.118944,23.70141,23.081766,23.651838,7695700,19.772068
"2010-10-07",23.670427,23.856321,23.546499,23.781963,6631058,19.88085
"2010-10-08",23.719999,24.073196,23.633249,23.949268,4762245,20.020712
"2010-10-11",24.023626,24.104179,23.843929,23.918285,1997919,19.994812
"2010-10-12",23.757179,24.005035,23.509321,23.918285,5981008,19.994812
"2010-10-13",24.153751,24.38302,23.96166,24.209518,6287313,20.238274
"2010-10-14",24.147554,24.414001,23.949268,24.042215,6007475,20.098412
"2010-10-15",24.302465,24.376823,23.763374,24.005035,5627257,20.067337
"2010-10-18",24.017429,24.178537,23.850124,24.067001,3289950,20.119131
"2010-10-19",23.856321,23.936876,23.453552,23.540302,5541563,19.678829
"2010-10-20",23.565088,23.955465,23.565088,23.812946,3317869,19.906746
"2010-10-21",23.87491,24.234304,23.757179,24.141357,6684314,20.181292
"2010-10-22",23.881107,24.475965,23.558891,24.38302,7661971,20.383312
"2010-10-25",24.500751,24.866343,24.395412,24.705235,5199592,20.652676
"2010-10-26",24.482162,24.705235,24.135162,24.587503,6954308,20.554247
"2010-10-27",24.333448,24.475965,24.08559,24.38302,2599554,20.383312
"2010-10-28",24.618484,24.624681,24.104179,24.221912,2672983,20.248634
"2010-10-29",24.122768,24.463573,24.005035,24.358234,2870032,20.362595
"2010-11-01",24.475965,24.754807,24.407806,24.575109,4710441,20.543896
"2010-11-02",24.754807,24.754807,24.370626,24.482162,4102512,20.466194
"2010-11-03",24.43259,24.723824,24.234304,24.550323,3889487,20.52317
"2010-11-04",24.754807,25.176165,24.692842,25.157576,5500087,21.030813
"2010-11-05",25.083218,25.467398,24.946896,25.424023,3859147,21.253553
"2010-11-08",25.176165,25.535559,24.915915,25.442612,3757960,21.269094
"2010-11-09",25.455006,25.51697,25.077023,25.200951,3087253,21.067074
"2010-11-10",25.16997,25.541756,24.829165,25.492184,3939677,21.310535
"2010-11-11",26.390669,26.644724,26.241955,26.595152,23553820,22.232571
"2010-11-12",26.359686,26.452633,25.919739,26.031275,15695284,21.761189
"2010-11-15",26.173794,26.266741,25.9879,26.142811,16371962,21.854435
"2010-11-16",26.043669,26.062258,25.405434,25.665684,110115358,21.455568
"2010-11-17",25.832989,25.832989,25.138987,25.337273,14290286,21.181036
"2010-11-18",25.888756,25.932133,25.473595,25.535559,8563456,21.346788
"2010-11-19",25.380648,25.547953,25.151379,25.349667,8200344,21.191391
"2010-11-22",25.262915,25.535559,25.157576,25.498381,6978838,21.315716
"2010-11-23",25.145184,25.213345,24.705235,24.884932,8237624,20.802895
"2010-11-24",25.089415,25.529362,25.039843,25.485987,4897000,21.305351
"2010-11-26",25.293898,25.535559,25.083218,25.300095,1814104,21.14995
"2010-11-29",25.108004,25.51697,25.070826,25.455006,7397626,21.279453
"2010-11-30",25.108004,25.597523,24.996468,25.405434,5518323,21.23801
"2010-12-01",25.8144,26.303919,25.8144,26.087044,8719190,21.807812
"2010-12-02",26.11183,26.483616,25.975508,26.452633,4771444,22.113432
"2010-12-03",26.19858,26.595152,26.186186,26.588955,3956138,22.227398
"2010-12-06",26.477419,26.768652,26.260544,26.657116,3270422,22.284376
"2010-12-07",26.923563,27.326332,26.898777,27.06608,6917351,22.626247
"2010-12-08",27.072277,27.233385,26.898777,27.047491,4250339,22.610712
"2010-12-09",27.214796,27.40069,27.078474,27.320135,5779602,22.838633
"2010-12-10",27.332529,27.636154,27.245777,27.518421,4750303,23.040972
"2010-12-13",27.636154,27.884012,27.369707,27.753887,4850844,23.238131
"2010-12-14",27.859226,28.466478,27.716707,28.373531,6429329,23.756954
"2010-12-15",28.379728,28.646175,28.280584,28.509853,6130610,23.871084
"2010-12-16",28.559425,28.819675,28.323959,28.794889,3291079,24.109753
"2010-12-17",28.937408,29.340178,28.894033,29.123302,8749530,24.384729
"2010-12-20",29.123302,29.302999,28.745319,29.191463,4266800,24.441801
"2010-12-21",29.253428,29.340178,29.017962,29.210052,5466358,24.457359
"2010-12-22",29.061337,29.253428,29.061337,29.17907,3838974,24.431417
"2010-12-23",29.185266,29.185266,29.017962,29.048944,3529926,24.32247
"2010-12-27",28.993176,29.228642,28.81348,29.216249,2304224,24.462551
"2010-12-28",29.222445,29.333981,29.117105,29.278214,3712934,24.514437
"2010-12-29",29.216249,29.414536,28.962194,29.327785,3013017,24.555933
"2010-12-30",29.272017,29.433125,29.135695,29.346375,2279209,24.571508
"2010-12-31",29.321589,29.340178,29.110909,29.17907,2489975,24.431417
"2011-01-03",29.414536,29.625214,29.284409,29.532267,5515419,24.727152
"2011-01-04",28.98698,29.315392,28.782497,29.117105,9030013,24.379543
"2011-01-05",29.036552,29.433125,28.974586,29.290606,5065322,24.524809
"2011-01-06",29.302999,29.464106,28.968391,29.086123,4738038,24.353596
"2011-01-07",29.197659,29.321589,28.658567,28.875444,5794449,24.177195
"2011-01-10",28.646175,28.918819,28.472675,28.844461,5417459,24.151258
"2011-01-11",29.036552,29.216249,28.856855,28.993176,7960529,24.275774
"2011-01-12",29.117105,29.278214,29.024158,29.241034,4309405,24.483309
"2011-01-13",29.210052,29.272017,28.90023,29.061337,3139218,24.332846
"2011-01-14",29.017962,29.079927,28.584211,29.011766,6156915,24.291342
"2011-01-18",29.024158,29.203856,28.925016,28.993176,3738594,24.275774
"2011-01-19",28.86305,28.894033,28.503656,28.627586,4462719,23.969671
"2011-01-20",28.299173,28.410709,28.051315,28.292978,7762674,23.689507
"2011-01-21",28.51605,28.708139,28.150459,28.268192,5092111,23.668751
"2011-01-24",28.113281,28.615192,28.113281,28.590406,4561969,23.93854
"2011-01-25",28.51605,28.807283,28.367334,28.652372,4267284,23.990423
"2011-01-26",28.726728,29.117105,28.683353,28.993176,4260022,24.275774
"2011-01-27",28.9498,29.216249,28.739122,29.123302,2835334,24.384729
"2011-01-28",29.148088,29.383553,28.497461,28.578014,3946939,23.928164
"2011-01-31",28.701942,29.272017,28.627586,29.247231,5891925,24.488491
"2011-02-01",29.38975,29.637608,29.321589,29.538464,8117071,24.732346
