"dates","PFE.Open","PFE.High","PFE.Low","PFE.Close","PFE.Volume","PFE.Adjusted"
"2010-06-15",14.611006,14.734345,14.516129,14.724858,53201915,9.877457
"2010-06-16",14.629981,14.772296,14.573055,14.686907,39971580,9.851998
"2010-06-17",14.639469,14.677419,14.354839,14.677419,52403088,9.845635
"2010-06-18",14.696395,14.753321,14.316888,14.43074,73595339,9.680162
"2010-06-21",14.573055,14.59203,14.240987,14.326376,48184453,9.610153
"2010-06-22",14.373814,14.459203,14.203036,14.203036,46211471,9.527417
"2010-06-23",14.212524,14.212524,14.051233,14.117647,50930123,9.470136
"2010-06-24",13.870968,13.975332,13.633776,13.719165,90713669,9.202834
"2010-06-25",13.747628,13.956357,13.662239,13.889943,61800236,9.317391
"2010-06-28",13.937381,14.02277,13.757116,13.795066,47024737,9.253749
"2010-06-29",13.690702,13.73814,13.45351,13.548387,68386787,9.088278
"2010-06-30",13.491461,13.73814,13.444023,13.529412,53420304,9.075546
"2010-07-01",13.557875,13.595825,13.282732,13.500949,71540882,9.056454
"2010-07-02",13.557875,13.624288,13.377609,13.41556,42953557,8.999177
"2010-07-06",13.595825,13.671727,13.41556,13.557875,75837408,9.094641
"2010-07-07",13.57685,13.880455,13.472486,13.870968,57185719,9.304661
"2010-07-08",14.02277,14.212524,13.870968,14.060721,63019503,9.431952
"2010-07-09",14.089184,14.098672,13.880455,14.013283,34381902,9.400129
"2010-07-12",13.975332,14.174573,13.937381,14.165085,40434707,9.501958
"2010-07-13",14.231499,14.326376,14.003795,14.032258,52752173,9.412858
"2010-07-14",13.975332,14.193548,13.899431,14.079696,48047222,9.444679
"2010-07-15",14.089184,14.165085,13.899431,14.108159,45976956,9.46377
"2010-07-16",14.070209,14.174573,13.804554,13.814042,50368025,9.266479
"2010-07-19",13.870968,14.079696,13.833017,13.975332,34474021,9.374674
"2010-07-20",13.899431,13.899431,13.70019,13.804554,49684506,9.260111
"2010-07-21",13.804554,13.965844,13.681214,13.757116,44571974,9.228294
"2010-07-22",13.86148,14.108159,13.842505,14.051233,47225313,9.425588
"2010-07-23",13.994307,14.041746,13.652751,13.833017,56075435,9.279208
"2010-07-26",13.880455,14.316888,13.86148,14.250474,58491941,9.559237
"2010-07-27",14.326376,14.573055,14.222011,14.487666,63936483,9.71835
"2010-07-28",14.497154,14.648956,14.184061,14.231499,42533221,9.54651
"2010-07-29",14.402277,14.629981,14.250474,14.316888,61682083,9.603788
"2010-07-30",14.250474,14.354839,14.117647,14.231499,46412890,9.54651
"2010-08-02",14.383302,14.686907,14.326376,14.686907,57746657,9.851998
"2010-08-03",15.180266,15.635674,15.132827,15.502846,167802492,10.399329
"2010-08-04",15.426945,15.673624,15.294118,15.597723,77121707,10.579517
"2010-08-05",15.550285,15.635674,15.246679,15.360531,77704147,10.418634
"2010-08-06",15.237192,15.44592,15.180266,15.40797,54416966,10.450813
"2010-08-09",15.455408,15.635674,15.28463,15.578748,50676952,10.566646
"2010-08-10",15.455408,15.749526,15.426945,15.721063,60703338,10.663173
"2010-08-11",15.464896,15.502846,15.170778,15.180266,56609181,10.296368
"2010-08-12",15.085389,15.398482,15.047438,15.370019,51069673,10.42507
"2010-08-13",15.332068,15.417457,15.208729,15.256167,34156240,10.347848
"2010-08-16",15.16129,15.341556,15.037951,15.208729,38242071,10.315671
"2010-08-17",15.398482,15.559772,15.303605,15.436433,53190953,10.470121
"2010-08-18",15.379507,15.512334,15.189753,15.275142,52097217,10.36072
"2010-08-19",15.246679,15.303605,15.009488,15.208729,56138359,10.315671
"2010-08-20",15.094877,15.199241,15.037951,15.104364,51745392,10.244885
"2010-08-23",15.370019,15.40797,15.16129,15.275142,62161126,10.36072
"2010-08-24",15.12334,15.151803,14.962049,15.009488,53044763,10.180533
"2010-08-25",14.962049,15.237192,14.857685,15.170778,52033556,10.289931
"2010-08-26",15.256167,15.265655,15,15.085389,44662091,10.232016
"2010-08-27",15.16129,15.294118,14.962049,15.265655,40326989,10.354284
"2010-08-30",15.227704,15.379507,15.028463,15.047438,37586167,10.206273
"2010-08-31",15.075901,15.275142,14.981025,15.094877,47145315,10.238449
"2010-09-01",15.303605,15.531309,15.246679,15.44592,47862562,10.476554
"2010-09-02",15.493359,15.588235,15.417457,15.559772,38177145,10.553777
"2010-09-03",15.626186,15.740038,15.540797,15.616698,34781789,10.592388
"2010-09-07",15.597723,15.607211,15.379507,15.493359,42043322,10.508728
"2010-09-08",15.512334,15.796964,15.464896,15.711575,58522191,10.65674
"2010-09-09",15.872865,16.034157,15.806452,15.910816,55017219,10.791882
"2010-09-10",15.97723,16.129032,15.948767,16.119545,44291715,10.933455
"2010-09-13",16.138519,16.271347,15.986717,16.100569,50411555,10.920588
"2010-09-14",16.062618,16.337761,16.053131,16.204933,53768440,10.991374
"2010-09-15",16.195446,16.470589,16.157495,16.385199,58196610,11.113642
"2010-09-16",16.375711,16.375711,16.204933,16.290323,40812356,11.049288
"2010-09-17",16.328274,16.375711,16.157495,16.185959,56217936,10.978501
"2010-09-20",16.204933,16.442125,16.166983,16.394688,33106562,11.120075
"2010-09-21",16.356735,16.394688,16.21442,16.26186,46251206,11.029985
"2010-09-22",16.242884,16.385199,16.204933,16.337761,54848368,11.081464
"2010-09-23",16.242884,16.356735,16.148008,16.166983,39959880,10.965631
"2010-09-24",16.337761,16.518026,16.271347,16.508539,35529497,11.1973
"2010-09-27",16.527514,16.537003,16.252373,16.290323,29433055,11.049288
