"dates","MMM.Open","MMM.High","MMM.Low","MMM.Close","MMM.Volume","MMM.Adjusted"
"2014-09-29",140.940002,142.339996,140.660004,142.190002,2848300,118.165421
"2014-09-30",142.5,142.899994,141.279999,141.679993,2675100,117.741562
"2014-10-01",141.160004,141.669998,138.720001,139.179993,2925900,115.663963
"2014-10-02",138.570007,139.320007,137.949997,138.669998,3221300,115.240143
"2014-10-03",139.330002,140.449997,138.570007,140.169998,3514100,116.486679
"2014-10-06",140.550003,141.279999,139.589996,140.339996,2464700,116.627983
"2014-10-07",138.820007,140.179993,137.660004,137.679993,3144900,114.417404
"2014-10-08",138.25,141.479996,137.720001,141.410004,4135500,117.517181
"2014-10-09",141.149994,141.5,138.330002,138.639999,3768000,115.215225
"2014-10-10",139.330002,139.600006,133.820007,133.830002,7366500,111.217934
"2014-10-13",134.259995,135.350006,131.009995,132.899994,4583400,110.445038
"2014-10-14",133.649994,135.940002,133.210007,134.179993,3644300,111.508781
"2014-10-15",132.559998,134.639999,130.600006,134.220001,4794700,111.542038
"2014-10-16",133.419998,135.970001,132.75,135.050003,3497200,112.231781
"2014-10-17",135.75,137.850006,135.75,137.399994,3746400,114.184731
"2014-10-20",137.149994,137.75,136.759995,137.600006,2782500,114.350937
"2014-10-21",138.399994,141.100006,138.339996,140.929993,3078400,117.118286
"2014-10-22",140.899994,141.089996,138.699997,138.949997,4294300,115.472839
"2014-10-23",141.919998,147.919998,141.919998,145.050003,7424400,120.542137
"2014-10-24",145,148.789993,144.809998,148.589996,4480900,123.484055
"2014-10-27",148.089996,149.710007,147.339996,149.559998,2840000,124.290123
"2014-10-28",149.830002,151.130005,149.559998,151.059998,2358800,125.536705
"2014-10-29",151.389999,151.729996,150.199997,151.009995,2060600,125.49514
"2014-10-30",150.490005,152.399994,150,152.100006,1836500,126.400978
"2014-10-31",153.830002,154.440002,153.089996,153.770004,3016300,127.788857
"2014-11-03",153.139999,154.389999,152.979996,153.300003,2367500,127.398224
"2014-11-04",153.919998,155.229996,153.240005,155.050003,3128600,128.852539
"2014-11-05",155.679993,156.240005,154.139999,155.690002,2770400,129.38443
"2014-11-06",155.690002,156.679993,155.210007,156.050003,2067200,129.683594
"2014-11-07",156.149994,156.619995,155.479996,156.550003,1882800,130.099091
"2014-11-10",156.25,157.710007,156.050003,157.660004,1463500,131.021561
"2014-11-11",157.949997,158,156.649994,157.110001,1806600,130.564514
"2014-11-12",156.649994,157.869995,156.5,157.679993,1500700,131.038177
"2014-11-13",158,159.070007,157.479996,158.350006,2375100,131.595016
"2014-11-14",158.529999,158.880005,157.710007,158.850006,1786300,132.010513
"2014-11-17",158.089996,159.160004,158.089996,158.690002,1674300,131.877502
"2014-11-18",158.880005,160.460007,158.850006,160.149994,2311400,133.090851
"2014-11-19",159.330002,159.410004,157.970001,158.830002,2314700,132.702362
"2014-11-20",158.190002,159.550003,157.839996,159.360001,1749000,133.145126
"2014-11-21",160.309998,160.860001,159.589996,160.160004,2472000,133.813553
"2014-11-24",160.160004,160.559998,159.410004,159.880005,2358200,133.57959
"2014-11-25",159,159.679993,158.059998,158.059998,3646300,132.05896
"2014-11-26",157.970001,158.449997,157.5,158.309998,1823200,132.267868
"2014-11-28",159.580002,160.820007,158.800003,160.089996,1565500,133.755051
"2014-12-01",158.350006,159.509995,157.860001,158.160004,2502100,132.142548
"2014-12-02",158.779999,160.779999,158.539993,160.600006,2504400,134.181183
"2014-12-03",161.100006,162.440002,160.169998,162.259995,3038800,135.568085
"2014-12-04",162,162.919998,160.899994,162.259995,2164200,135.568085
"2014-12-05",162.399994,162.899994,161.880005,162.270004,1722600,135.576462
"2014-12-08",162.100006,162.800003,160.100006,160.929993,1898300,134.456879
"2014-12-09",159.889999,161.100006,159.110001,160.830002,2043100,134.373352
"2014-12-10",160.710007,160.809998,157.699997,158.240005,3243700,132.209412
"2014-12-11",159.179993,160.220001,158.419998,159.149994,2437300,132.969696
"2014-12-12",158.559998,158.990005,157.119995,157.119995,2820600,131.273636
"2014-12-15",158.119995,158.440002,155.589996,156.850006,2609300,131.048035
"2014-12-16",157.259995,161.440002,157.080002,159.050003,3380800,132.886139
"2014-12-17",159.289993,160.889999,157.779999,160.600006,3942600,134.181183
"2014-12-18",162.399994,165.300003,162,165.300003,3359800,138.108047
"2014-12-19",164.779999,166.089996,164.360001,165.479996,4891300,138.258408
"2014-12-22",166.220001,167.309998,166.139999,167.270004,2081600,139.753998
"2014-12-23",168.020004,168.160004,166.869995,166.869995,2190200,139.419739
"2014-12-24",166.169998,167.610001,166.169998,166.960007,981600,139.494965
"2014-12-26",167.339996,167.809998,166.149994,166.259995,1607400,138.910095
"2014-12-29",166.300003,167.119995,165.809998,166.710007,1215700,139.286057
"2014-12-30",166.550003,166.740005,165.279999,165.839996,1180700,138.559189
"2014-12-31",166,167.169998,164.199997,164.320007,1623700,137.28923
"2015-01-02",164.710007,165.080002,162.729996,164.059998,2116400,137.071991
"2015-01-05",163,163.639999,160.080002,160.360001,3692900,133.980652
"2015-01-06",160.820007,161.369995,157.740005,158.649994,3532000,132.551971
"2015-01-07",159.899994,160.279999,158.940002,159.800003,3081300,133.512802
"2015-01-08",160.649994,163.690002,160.520004,163.630005,3142900,136.712753
"2015-01-09",163.850006,164,161.270004,161.619995,2378600,135.033386
"2015-01-12",162.389999,162.389999,160.020004,160.740005,2149200,134.298157
"2015-01-13",162.229996,164.380005,159.449997,160.619995,2703000,134.197906
"2015-01-14",159.039993,160.529999,158.5,159.839996,1983500,133.546188
"2015-01-15",160.889999,161.440002,159.369995,159.660004,1876800,133.395813
"2015-01-16",159.860001,162.179993,159.089996,162,2349700,135.350861
"2015-01-20",162.720001,163.399994,160.059998,161.940002,2091800,135.300751
"2015-01-21",161.660004,163.369995,161.020004,162.539993,1597700,135.802048
"2015-01-22",163.259995,165.990005,162.130005,165.889999,2225800,138.600983
"2015-01-23",165.75,165.979996,163.910004,164.020004,2245600,137.038605
"2015-01-26",163.619995,164.279999,161.800003,164.240005,3556300,137.222382
"2015-01-27",162.309998,165.139999,160.940002,163.630005,4190700,136.712753
"2015-01-28",164.610001,166.570007,163.759995,163.940002,3574600,136.971741
"2015-01-29",164.070007,166.160004,162.880005,166.130005,2674600,138.801498
"2015-01-30",164.75,165.220001,162.300003,162.300003,3561900,135.601532
"2015-02-02",162.119995,164.619995,160.889999,164.419998,2379700,137.372772
"2015-02-03",165.169998,166.190002,164.710007,165.940002,2604800,138.642746
"2015-02-04",165.779999,165.830002,164.240005,164.809998,2363600,137.698608
"2015-02-05",165.309998,166.589996,164.75,166.550003,2050500,139.15242
"2015-02-06",166.229996,167.679993,165.559998,166.070007,1826900,138.751358
"2015-02-09",164.380005,165.539993,163.839996,164.839996,2073000,137.723679
"2015-02-10",165.399994,166.139999,164.600006,165.820007,1885100,138.54245
"2015-02-11",164.520004,164.970001,163.470001,164.479996,1695100,138.277649
"2015-02-12",164.929993,165.949997,164.850006,165.910004,1615700,139.479858
"2015-02-13",165.899994,166.619995,165.330002,165.940002,1792000,139.505081
"2015-02-17",165.940002,166.919998,165.089996,166.919998,2100900,140.328964
"2015-02-18",166.919998,167.509995,166.009995,167.399994,1552000,140.732529
"2015-02-19",167.399994,167.550003,166.580002,167.089996,1648800,140.471848
"2015-02-20",166.740005,168.270004,165.130005,168.119995,2416600,141.337784
"2015-02-23",168.139999,168.869995,167.699997,168.809998,1836000,141.917892
"2015-02-24",168.270004,169.25,168.070007,169.119995,1770300,142.178482
"2015-02-25",168.970001,169.660004,168.619995,168.889999,2019100,141.985123
"2015-02-26",168.850006,169.979996,168.639999,169.610001,1789400,142.590424
"2015-02-27",169.660004,169.75,168.559998,168.649994,1946000,141.78334
"2015-03-02",168.160004,170.5,168.119995,170.5,2223100,143.338684
"2015-03-03",169.570007,169.600006,167.360001,168.270004,2232400,141.463928
"2015-03-04",168.259995,168.259995,166.460007,167.160004,1575700,140.530716
"2015-03-05",167.210007,167.699997,166.690002,167.570007,1547200,140.875412
"2015-03-06",166.5,166.770004,164.009995,164.360001,2114400,138.176819
"2015-03-09",164.720001,166.779999,164.509995,166.369995,1608100,139.866608
"2015-03-10",164.809998,164.860001,162.25,162.259995,2564600,136.411301
"2015-03-11",162.699997,163.220001,161.660004,161.729996,1894300,135.965744
"2015-03-12",162.589996,164.520004,162.570007,164.470001,1715000,138.269272
"2015-03-13",164.020004,164.389999,161.779999,162.740005,2284700,136.814865
"2015-03-16",163.580002,166.270004,163.580002,166.210007,2111200,139.732056
"2015-03-17",165.520004,165.529999,163.380005,164.229996,2557900,138.067505
"2015-03-18",163.160004,166.949997,162.050003,166.470001,3062400,139.950607
"2015-03-19",166.160004,166.210007,164.850006,165.660004,1953500,139.269669
"2015-03-20",166.089996,167.130005,165.389999,166.490005,4371800,139.967484
"2015-03-23",166.830002,166.910004,165.830002,166.130005,2157300,139.664841
"2015-03-24",165.580002,167.649994,165.529999,166.320007,2091000,139.824539
"2015-03-25",166.240005,166.520004,162.660004,162.699997,2540900,136.781219
"2015-03-26",162,163.369995,161.210007,162.589996,2050700,136.688751
"2015-03-27",162.360001,163.899994,162.020004,163.5,1722600,137.453796
"2015-03-30",164.199997,166.770004,164.199997,166.050003,1684000,139.597488
"2015-03-31",165.410004,166,164.619995,164.949997,2081300,138.672791
"2015-04-01",164.289993,164.539993,161.899994,162.520004,2148100,136.629898
"2015-04-02",163.380005,163.970001,162.119995,162.800003,1852600,136.86528
"2015-04-06",161.660004,165.990005,161.399994,165.479996,2560300,139.118362
"2015-04-07",165.399994,167.570007,165.279999,166.210007,2479500,139.732056
"2015-04-08",166.210007,167.220001,165.210007,166.270004,1754400,139.782501
"2015-04-09",166.25,167.179993,165.080002,166.789993,1680100,140.21965
"2015-04-10",167.5,167.699997,166.220001,167.070007,1501900,140.455093
"2015-04-13",166.759995,167.360001,165.600006,165.839996,1860400,139.421036
"2015-04-14",165.320007,166.479996,164.169998,165.990005,1914300,139.547119
"2015-04-15",166.720001,167.339996,165.860001,166.440002,1995800,139.9254
"2015-04-16",165.729996,166.649994,165.100006,165.889999,1662800,139.463043
"2015-04-17",164.529999,164.539993,161.130005,161.710007,3063500,135.948959
"2015-04-20",163,165.389999,162.729996,164.509995,2394200,138.302872
"2015-04-21",165.649994,165.699997,163.619995,164,1970500,137.87413
"2015-04-22",163.809998,164.889999,162.570007,164.669998,2228800,138.437378
"2015-04-23",159.539993,161.449997,158.610001,159.660004,5704500,134.225494
"2015-04-24",159.809998,159.809998,157.850006,158.990005,3043500,133.662231
"2015-04-27",159.479996,160.070007,157.809998,157.979996,3448800,132.813141
"2015-04-28",157.690002,158.360001,156.179993,158.330002,3387900,133.107391
"2015-04-29",157.419998,157.929993,156.179993,156.970001,3078600,131.96402
"2015-04-30",156.820007,157.919998,156.009995,156.389999,3510200,131.47641
"2015-05-01",156.789993,158.089996,156.789993,157.679993,2160100,132.560928
"2015-05-04",158.399994,159.850006,157.880005,159.020004,2240300,133.687454
"2015-05-05",158.860001,159.449997,157.410004,157.910004,1947700,132.754303
"2015-05-06",157.919998,159.080002,156.550003,157.639999,2203100,132.527267
"2015-05-07",157.229996,159.199997,157.229996,158.610001,2112900,133.342743
"2015-05-08",160.25,161.399994,160.059998,160.600006,2025500,135.015747
"2015-05-11",160.259995,161,159.800003,159.899994,1708700,134.427277
"2015-05-12",158.710007,160.399994,158.009995,160.070007,1864800,134.57019
"2015-05-13",160.429993,161.740005,160.360001,161.309998,2587900,135.612701
"2015-05-14",162.089996,163.300003,161.800003,163.149994,2462500,137.159546
"2015-05-15",163.149994,163.770004,162.649994,163.300003,1923800,137.285645
"2015-05-18",163,163.589996,162.309998,162.869995,1747800,136.924133
"2015-05-19",163.070007,163.589996,162.550003,163.119995,2075100,137.134308
"2015-05-20",162.419998,163.070007,161.839996,161.899994,1978100,136.96933
"2015-05-21",161.899994,162.350006,161.800003,162.059998,2400800,137.104691
"2015-05-22",161.990005,162.330002,160.660004,160.979996,1822700,136.190979
"2015-05-26",160.979996,161.320007,159.039993,159.589996,2471100,135.01506
"2015-05-27",159.820007,161.309998,159.529999,161.020004,2625900,136.224869
"2015-05-28",160.350006,160.889999,159.610001,160.869995,1578100,136.097946
"2015-05-29",160.440002,160.789993,158.740005,159.080002,2880500,134.583588
"2015-06-01",159.100006,159.759995,158.570007,158.979996,1906100,134.498978
"2015-06-02",158.279999,159.880005,157.949997,159.080002,2481100,134.583588
"2015-06-03",159.610001,160.5,158.979996,160.160004,2074500,135.497269
"2015-06-04",159.509995,160.380005,158.089996,158.350006,2237600,133.966019
"2015-06-05",157.5,157.970001,156.970001,157.080002,2314800,132.891602
"2015-06-08",156.5,157.410004,156.300003,156.589996,1608600,132.477005
"2015-06-09",156.850006,158.259995,156.600006,156.979996,1810800,132.806946
"2015-06-10",156.949997,159.570007,156.949997,159.039993,1758900,134.549728
"2015-06-11",159.119995,160.360001,159,159.860001,1854200,135.243484
"2015-06-12",159.850006,159.990005,157.880005,158.039993,1910500,133.703735
"2015-06-15",157.080002,157.320007,155.389999,155.869995,2353100,131.867874
"2015-06-16",155.490005,157.039993,155.369995,156.490005,1729300,132.39241
"2015-06-17",156.600006,157.589996,155.75,156.949997,1839400,132.781601
"2015-06-18",157.589996,160.240005,157.389999,159.619995,2528900,135.040421
"2015-06-19",159.360001,159.880005,158.940002,158.949997,3287200,134.473618
"2015-06-22",159.850006,160.699997,159.449997,159.679993,1447400,135.091171
"2015-06-23",160.410004,160.869995,159.509995,159.839996,2286400,135.226563
"2015-06-24",159.679993,159.960007,157.539993,157.539993,2862900,133.280716
"2015-06-25",157.850006,158.320007,155.919998,155.919998,2564000,131.910202
"2015-06-26",156.160004,157.990005,155.929993,157.089996,2625500,132.900024
"2015-06-29",155.919998,156.440002,153.919998,153.949997,2475000,130.243561
"2015-06-30",155,155.300003,154.070007,154.300003,2561000,130.539658
"2015-07-01",156.130005,156.429993,154.660004,155.649994,1726800,131.681778
"2015-07-02",156.080002,156.080002,154.899994,155.380005,2022400,131.453369
"2015-07-06",153.889999,155.580002,153.830002,155.080002,2172200,131.199585
"2015-07-07",155.139999,155.630005,153.160004,155.429993,2865300,131.495636
"2015-07-08",154.080002,154.5,152.699997,152.710007,2613300,129.194473
"2015-07-09",154.589996,155.5,153.75,153.75,2069200,130.074341
"2015-07-10",154.740005,155.860001,154.5,154.949997,2061300,131.089554
"2015-07-13",156.419998,156.770004,155.649994,156.470001,2107200,132.375504
"2015-07-14",156.490005,157.080002,156.279999,156.779999,1811400,132.637756
"2015-07-15",156.570007,157,155.899994,156,1786100,131.977905
"2015-07-16",157.580002,157.940002,156.690002,157.169998,2023900,132.967728
"2015-07-17",156.5,157.369995,156.429993,156.690002,2429000,132.56163
"2015-07-20",156.770004,157.649994,156.270004,157.119995,2349000,132.9254
"2015-07-21",156.75,157.179993,155.339996,155.759995,2743900,131.774857
"2015-07-22",155.589996,156.309998,154.440002,155.410004,3067700,131.478714
"2015-07-23",151.919998,153.690002,149.020004,149.5,5176400,126.478806
"2015-07-24",148.860001,150.800003,148.699997,149.330002,3433600,126.334984
"2015-07-27",148.639999,149,147.699997,148.710007,3117600,125.810471
"2015-07-28",148.850006,151.720001,148.320007,151.110001,3277700,127.840881
"2015-07-29",151.440002,151.690002,150.710007,151.449997,2176900,128.12851
"2015-07-30",151,151.729996,150.330002,151.570007,2119100,128.230072
