"dates","MTD.Open","MTD.High","MTD.Low","MTD.Close","MTD.Volume","MTD.Adjusted"
"2010-04-15",116.230003,117.75,116.230003,116.580002,103200,116.580002
"2010-04-16",116.599998,117.730003,115.660004,117.290001,296100,117.290001
"2010-04-19",116.230003,117.230003,115.830002,116.919998,146100,116.919998
"2010-04-20",117.300003,117.730003,116.610001,116.870003,163000,116.870003
"2010-04-21",116.720001,117.5,115.980003,116.449997,162000,116.449997
"2010-04-22",115.279999,115.870003,114.660004,115.230003,233200,115.230003
"2010-04-23",115.019997,116.769997,114.150002,116.760002,242500,116.760002
"2010-04-26",116.379997,117.900002,116.290001,116.699997,194400,116.699997
"2010-04-27",116.779999,120.120003,115.959999,116.309998,289200,116.309998
"2010-04-28",116.879997,118.870003,116.230003,118.419998,278700,118.419998
"2010-04-29",118.889999,120.959999,118.870003,119.830002,327400,119.830002
"2010-04-30",127.470001,130.169998,125.459999,125.480003,503900,125.480003
"2010-05-03",126.580002,127.620003,124.839996,126.699997,274900,126.699997
"2010-05-04",125.25,125.419998,122.809998,123.660004,372500,123.660004
"2010-05-05",122.650002,122.650002,119.68,120.199997,268700,120.199997
"2010-05-06",120.019997,120.019997,111.610001,117.529999,351300,117.529999
"2010-05-07",116.169998,116.419998,111.82,112.459999,278200,112.459999
"2010-05-10",116.129997,118.75,116.029999,117.57,306800,117.57
"2010-05-11",117,120.290001,116.379997,119.949997,286900,119.949997
"2010-05-12",119.970001,122,119.93,122,231400,122
"2010-05-13",121.5,121.620003,119.93,120.480003,212500,120.480003
"2010-05-14",120.209999,120.209999,117.470001,118.25,495100,118.25
"2010-05-17",118.360001,119.279999,116.57,118.599998,203600,118.599998
"2010-05-18",119.959999,119.959999,116,116.339996,325500,116.339996
"2010-05-19",115.5,116.459999,114.800003,116.040001,344500,116.040001
"2010-05-20",114.709999,114.709999,110.080002,110.82,382800,110.82
"2010-05-21",109.220001,112.650002,108.82,111.349998,363000,111.349998
"2010-05-24",110.849998,112.860001,110.730003,111.32,221000,111.32
"2010-05-25",109.07,110.139999,107,109.110001,401800,109.110001
"2010-05-26",110,112.309998,109.730003,110.690002,352500,110.690002
"2010-05-27",113.190002,116.849998,112.830002,116.639999,315200,116.639999
"2010-05-28",116.25,116.809998,114,114.529999,182500,114.529999
"2010-06-01",113.709999,115.040001,112.349998,112.410004,134900,112.410004
"2010-06-02",112.639999,114.059998,110.589996,113.959999,218100,113.959999
"2010-06-03",114.43,116,113.779999,115.32,232800,115.32
"2010-06-04",113.68,113.870003,109.940002,110.209999,229300,110.209999
"2010-06-07",110.160004,110.779999,107.760002,107.959999,203300,107.959999
"2010-06-08",107.93,108.25,106.220001,107.419998,257000,107.419998
"2010-06-09",108.269997,111.540001,107.839996,110.360001,328900,110.360001
"2010-06-10",111.800003,113.629997,111.589996,113.400002,215400,113.400002
"2010-06-11",112.279999,114.440002,112.160004,113.169998,209500,113.169998
"2010-06-14",113.660004,117.139999,113.660004,115.589996,173700,115.589996
"2010-06-15",116.050003,117.970001,116.050003,117.739998,98400,117.739998
"2010-06-16",116.809998,118.980003,116.309998,118.25,177900,118.25
"2010-06-17",118.68,119.360001,116.620003,118.019997,81000,118.019997
"2010-06-18",117.860001,118.629997,116.639999,116.980003,113500,116.980003
"2010-06-21",118.169998,119.699997,116.260002,116.760002,121600,116.760002
"2010-06-22",116.650002,117.93,114.889999,115.010002,119700,115.010002
"2010-06-23",114.919998,115.580002,113.529999,114.589996,84600,114.589996
"2010-06-24",113.690002,114.440002,113.010002,113.440002,105800,113.440002
"2010-06-25",113.519997,115.75,112.910004,114.519997,189100,114.519997
"2010-06-28",115.040001,116.050003,113.790001,114.709999,69900,114.709999
"2010-06-29",114.169998,114.169998,109.980003,110.550003,211100,110.550003
"2010-06-30",110.040001,112.440002,109.970001,111.629997,219100,111.629997
"2010-07-01",111.43,111.489998,107.57,109.389999,213800,109.389999
"2010-07-02",109.900002,110.290001,108.099998,108.419998,123800,108.419998
"2010-07-06",109.190002,111.93,109.190002,111.410004,317400,111.410004
"2010-07-07",111.910004,113.739998,110.849998,113.510002,288200,113.510002
"2010-07-08",113.93,115.239998,113.32,114.519997,290700,114.519997
"2010-07-09",114.639999,115.940002,114.349998,115.900002,100800,115.900002
"2010-07-12",115.739998,116.709999,115.239998,116.059998,184000,116.059998
"2010-07-13",117.269997,118.739998,116.989998,117.900002,157100,117.900002
"2010-07-14",117.739998,118.730003,117.220001,118.650002,133600,118.650002
"2010-07-15",118.800003,119.300003,117.440002,118.489998,154200,118.489998
"2010-07-16",117.879997,118.050003,116.059998,116.279999,177700,116.279999
"2010-07-19",115.900002,117.400002,115.900002,116.779999,190800,116.779999
"2010-07-20",115.690002,117.080002,115.690002,117,432600,117
"2010-07-21",117.300003,118.449997,116.279999,117.309998,321000,117.309998
"2010-07-22",118.519997,121.389999,118.029999,121.239998,340300,121.239998
"2010-07-23",121.489998,122.769997,118.93,120.93,385600,120.93
"2010-07-26",121.540001,123.139999,120.699997,122.290001,200600,122.290001
"2010-07-27",122.599998,122.599998,118.379997,118.440002,294500,118.440002
"2010-07-28",118.529999,120.239998,118.089996,118.25,238000,118.25
"2010-07-29",119,119.510002,115.68,116.769997,216300,116.769997
"2010-07-30",115.82,117.540001,115.239998,116.800003,171000,116.800003
"2010-08-02",118.269997,118.5,117.760002,118.440002,171900,118.440002
"2010-08-03",118.279999,120.269997,117.730003,118.730003,150700,118.730003
"2010-08-04",118.57,121.239998,118.5,121.07,169400,121.07
"2010-08-05",121.029999,121.559998,120.18,121.18,93600,121.18
"2010-08-06",120,121.419998,118.970001,121.32,122200,121.32
"2010-08-09",122.190002,122.480003,121.220001,122.309998,106300,122.309998
"2010-08-10",120.540001,121.57,119.550003,120.129997,90500,120.129997
"2010-08-11",118.440002,119.010002,115.769997,116.139999,154100,116.139999
"2010-08-12",114.889999,115.410004,113.879997,114.440002,172100,114.440002
"2010-08-13",114.160004,114.68,113.300003,113.559998,122300,113.559998
"2010-08-16",112.910004,114.879997,112.57,114.269997,72200,114.269997
"2010-08-17",115.150002,119.419998,115,118.400002,159000,118.400002
"2010-08-18",118.400002,118.419998,116.739998,116.739998,150800,116.739998
"2010-08-19",115.849998,116.629997,113.669998,114.25,160100,114.25
"2010-08-20",113.470001,113.870003,111.540001,113.650002,180300,113.650002
"2010-08-23",114.269997,115.290001,112.550003,112.760002,98800,112.760002
"2010-08-24",111.330002,111.410004,108.879997,110.150002,166200,110.150002
"2010-08-25",109.339996,110.690002,107.900002,110.300003,256700,110.300003
"2010-08-26",110.559998,113.629997,109.459999,110.370003,181900,110.370003
"2010-08-27",110.949997,111.989998,109.769997,111.720001,151200,111.720001
"2010-08-30",111.25,112.629997,109.879997,109.900002,88600,109.900002
"2010-08-31",108.650002,112.019997,108.120003,110.589996,290200,110.589996
"2010-09-01",111.589996,115.269997,111.589996,114.989998,183300,114.989998
"2010-09-02",114.690002,116.459999,114.690002,116,97100,116
"2010-09-03",117.190002,119.220001,117.019997,118.510002,134500,118.510002
"2010-09-07",118.589996,120.339996,116.800003,117.160004,111500,117.160004
"2010-09-08",117.510002,118.360001,117.139999,117.260002,103500,117.260002
"2010-09-09",118.599998,118.919998,117.589996,117.889999,109100,117.889999
"2010-09-10",117.940002,118.57,117.589996,117.809998,91900,117.809998
"2010-09-13",119,120.790001,118.860001,120.349998,151900,120.349998
"2010-09-14",120.220001,123.190002,120.029999,123.059998,178900,123.059998
"2010-09-15",122.980003,124.919998,122.18,123.779999,115400,123.779999
"2010-09-16",123.449997,124.68,123.209999,123.760002,93300,123.760002
"2010-09-17",124.029999,124.389999,123.129997,123.580002,221800,123.580002
"2010-09-20",123.75,125,123.459999,123.5,218800,123.5
"2010-09-21",123.400002,123.900002,122.25,122.879997,170700,122.879997
"2010-09-22",122.290001,123.059998,120.5,121.18,228700,121.18
"2010-09-23",120.709999,122.5,119.959999,120.050003,130700,120.050003
"2010-09-24",121.089996,124.239998,120.879997,123.650002,124400,123.650002
"2010-09-27",123.559998,123.879997,122.379997,123.269997,131100,123.269997
"2010-09-28",123.769997,124.410004,122.32,123.790001,185900,123.790001
"2010-09-29",123.760002,124.910004,123.160004,124.190002,144300,124.190002
"2010-09-30",125,126.830002,124.260002,124.440002,274100,124.440002
"2010-10-01",125.379997,125.989998,124,124.989998,126200,124.989998
"2010-10-04",124.300003,125.239998,122.519997,123.279999,105100,123.279999
"2010-10-05",124.160004,127,124.160004,126.519997,85400,126.519997
"2010-10-06",126.139999,127,124.690002,125,90700,125
"2010-10-07",125.339996,125.529999,123.830002,124.75,73400,124.75
"2010-10-08",124.68,126.5,124.209999,125.82,65600,125.82
"2010-10-11",125.790001,126.25,125.239998,125.980003,83800,125.980003
"2010-10-12",125.879997,126.260002,123.879997,125.330002,127800,125.330002
"2010-10-13",126.43,128.259995,126.129997,127.540001,118000,127.540001
"2010-10-14",127.300003,127.760002,125.209999,125.629997,103900,125.629997
"2010-10-15",126.459999,126.489998,124.669998,125.699997,121000,125.699997
"2010-10-18",125.610001,127.830002,125.610001,127.720001,83700,127.720001
"2010-10-19",125.870003,127.309998,124.779999,125.519997,117000,125.519997
"2010-10-20",125.989998,129.479996,125.900002,127.82,108100,127.82
"2010-10-21",128.440002,130.479996,128.440002,129.729996,137900,129.729996
"2010-10-22",129.630005,131.169998,129.210007,131.009995,144300,131.009995
"2010-10-25",131.649994,132.710007,131.410004,132.009995,146700,132.009995
"2010-10-26",131.889999,131.970001,130.110001,131,166600,131
"2010-10-27",130.089996,131.960007,129.940002,130.869995,111700,130.869995
"2010-10-28",131.789993,132.740005,130.350006,132.050003,57600,132.050003
"2010-10-29",131.589996,133.020004,130.399994,130.559998,120300,130.559998
"2010-11-01",131.509995,132.759995,130.679993,132.089996,108200,132.089996
"2010-11-02",133.520004,134.399994,133.320007,134,83900,134
"2010-11-03",134,134,131.520004,133,208600,133
"2010-11-04",134.25,136.970001,133.619995,136.220001,172300,136.220001
"2010-11-05",139.649994,141.809998,139.25,141.479996,272200,141.479996
"2010-11-08",136.449997,141.050003,135.5,140.470001,211800,140.470001
"2010-11-09",140.550003,140.940002,138.899994,139.179993,139000,139.179993
"2010-11-10",138.970001,146.350006,137.610001,143.679993,310400,143.679993
"2010-11-11",142.5,145.020004,141.759995,144.440002,145500,144.440002
"2010-11-12",142.669998,144.100006,141.570007,142.389999,138400,142.389999
"2010-11-15",142.660004,144.850006,142.339996,144.229996,124000,144.229996
"2010-11-16",143.050003,143.190002,138.699997,139.320007,162600,139.320007
"2010-11-17",139.210007,141.559998,139.089996,141.130005,141000,141.130005
"2010-11-18",142.110001,144.070007,142,142.320007,195200,142.320007
"2010-11-19",142.300003,143.580002,141.990005,143.320007,69400,143.320007
"2010-11-22",142.339996,145.240005,142.339996,144.779999,133900,144.779999
"2010-11-23",143.050003,143.100006,141.559998,142.350006,162000,142.350006
"2010-11-24",143.520004,149.190002,143.470001,146.800003,243300,146.800003
"2010-11-26",145.889999,146.869995,145.550003,146.080002,60800,146.080002
"2010-11-29",145.240005,146.820007,144.729996,146.309998,174300,146.309998
"2010-11-30",144.75,146.25,144.699997,145.179993,122500,145.179993
"2010-12-01",146.960007,147.139999,144.690002,145.929993,241100,145.929993
"2010-12-02",145.910004,149.710007,145.910004,149.229996,142700,149.229996
"2010-12-03",148.490005,151.729996,148.490005,151.149994,100600,151.149994
"2010-12-06",150.990005,151.210007,149.869995,150.869995,61700,150.869995
"2010-12-07",152.470001,153.800003,151.580002,152.720001,132100,152.720001
"2010-12-08",152.610001,153.580002,151.639999,152.479996,97000,152.479996
"2010-12-09",153.550003,154.490005,152.240005,154.130005,103500,154.130005
"2010-12-10",154.070007,156.850006,153.860001,155.190002,159000,155.190002
"2010-12-13",155.240005,159.070007,155.059998,157.550003,156300,157.550003
"2010-12-14",157.550003,158.350006,156.289993,157.080002,135300,157.080002
"2010-12-15",156.550003,157.940002,152.839996,153.360001,266500,153.360001
"2010-12-16",153.479996,155.610001,153.419998,155.360001,167900,155.360001
"2010-12-17",155.630005,158.470001,154.160004,157.449997,194400,157.449997
"2010-12-20",157.639999,158.610001,155.350006,156.929993,103500,156.929993
"2010-12-21",157.419998,157.919998,154.850006,154.990005,153600,154.990005
"2010-12-22",155.410004,156,153.470001,153.949997,182500,153.949997
"2010-12-23",153.740005,154.5,153.190002,153.300003,54100,153.300003
"2010-12-27",152.910004,153,152,152.639999,105700,152.639999
"2010-12-28",152.940002,153.470001,152.089996,153.149994,83200,153.149994
"2010-12-29",153.389999,153.990005,152.110001,152.589996,67100,152.589996
"2010-12-30",152.190002,154.179993,151.570007,152.520004,34900,152.520004
"2010-12-31",152.110001,152.970001,151.210007,151.210007,63400,151.210007
"2011-01-03",152.410004,154.850006,152.410004,153.229996,86000,153.229996
"2011-01-04",151.880005,152.860001,148.240005,151.559998,159200,151.559998
"2011-01-05",151.139999,153.669998,150.539993,150.639999,122100,150.639999
"2011-01-06",150.479996,152.119995,149.720001,150.419998,70700,150.419998
"2011-01-07",150.369995,151.339996,146.559998,147.229996,141300,147.229996
"2011-01-10",146.699997,151.330002,145.529999,150.520004,153600,150.520004
"2011-01-11",151.360001,154.029999,151.360001,152.059998,100800,152.059998
"2011-01-12",153.380005,153.380005,150.380005,151.050003,110000,151.050003
"2011-01-13",151.25,151.729996,149.949997,150.440002,65800,150.440002
"2011-01-14",150.410004,152.440002,149.979996,151.570007,126000,151.570007
"2011-01-18",151.190002,155.720001,150.860001,155.720001,193700,155.720001
"2011-01-19",155.380005,156.850006,152.259995,153.160004,225900,153.160004
"2011-01-20",152.289993,153.330002,149.020004,149.559998,165900,149.559998
"2011-01-21",150.479996,150.559998,148.050003,149.809998,142300,149.809998
"2011-01-24",149.899994,150.490005,149.050003,149.580002,103900,149.580002
"2011-01-25",148.979996,151.369995,148.910004,151.339996,103600,151.339996
"2011-01-26",151.429993,152.330002,150.759995,151.050003,90700,151.050003
"2011-01-27",150.679993,151.850006,150.089996,150.639999,72500,150.639999
"2011-01-28",150.850006,151.229996,147,147.559998,115700,147.559998
"2011-01-31",147.520004,150.449997,147.520004,149.190002,69000,149.190002
"2011-02-01",150.380005,153.630005,150.380005,152.860001,150700,152.860001
"2011-02-02",152.169998,153.369995,150.75,150.770004,60900,150.770004
"2011-02-03",150.809998,152.490005,149.259995,151.350006,52400,151.350006
"2011-02-04",151.649994,153.270004,151.259995,152.720001,49100,152.720001
"2011-02-07",153.289993,155.899994,152.630005,155.779999,121400,155.779999
"2011-02-08",155.820007,162.160004,155.690002,161.029999,183700,161.029999
"2011-02-09",160.210007,160.929993,158.259995,159.300003,139500,159.300003
"2011-02-10",159.270004,159.479996,157.009995,159.350006,201400,159.350006
"2011-02-11",160.669998,167.389999,160.669998,167.110001,448700,167.110001
"2011-02-14",167.779999,169,166.699997,168.679993,196900,168.679993
"2011-02-15",169,169,167.149994,167.740005,173500,167.740005
"2011-02-16",168.100006,169.660004,167.25,167.460007,186100,167.460007
"2011-02-17",167.449997,169.789993,166.639999,169.160004,147000,169.160004
"2011-02-18",169,169.679993,168,169.279999,130800,169.279999
"2011-02-22",167.350006,169.279999,166.240005,168.020004,151300,168.020004
"2011-02-23",167.610001,168.830002,163.759995,167.869995,280800,167.869995
"2011-02-24",167.419998,170.789993,166.820007,168.259995,223600,168.259995
"2011-02-25",168.839996,171.539993,168.300003,171.009995,232700,171.009995
"2011-02-28",171.5,173.940002,171.029999,171.369995,221300,171.369995
