"dates","FANG.Open","FANG.High","FANG.Low","FANG.Close","FANG.Volume","FANG.Adjusted"
"2013-02-20",22.809999,23.280001,21.209999,21.280001,96200,20.211454
"2013-02-21",21.290001,21.290001,20.549999,20.73,76900,19.689074
"2013-02-22",22.25,22.629999,20.23,20.98,310600,19.926517
"2013-02-25",21,21.08,19.57,19.74,167600,18.748787
"2013-02-26",19.84,20.52,19.700001,20.049999,119300,19.043219
"2013-02-27",20.09,21.5,19.85,20.959999,158500,19.907524
"2013-02-28",20.98,23.309999,20.200001,22.709999,205000,21.569651
"2013-03-01",22.5,22.809999,21.91,22.34,46000,21.218229
"2013-03-04",22.370001,22.870001,21.83,22.389999,39000,21.265718
"2013-03-05",22.41,23.879999,22.389999,23.700001,108700,22.509939
"2013-03-06",23.83,24.030001,23.379999,23.549999,13800,22.36747
"2013-03-07",23.5,24.889999,22.530001,24.51,129700,23.279264
"2013-03-08",24.77,24.959999,23.889999,24.9,127200,23.649687
"2013-03-11",24.92,24.99,24.08,24.49,218100,23.260271
"2013-03-12",24.52,24.99,24.299999,24.93,107300,23.678179
"2013-03-13",24.870001,26.389999,24.67,25.75,308800,24.457005
"2013-03-14",25.860001,25.860001,24.219999,24.860001,153000,23.611692
"2013-03-15",24.92,24.959999,23.5,24.15,186000,22.937346
"2013-03-18",23.870001,24.549999,23.629999,23.99,38800,22.785378
"2013-03-19",24.23,25.139999,23.57,23.76,87200,22.566925
"2013-03-20",24.040001,24.299999,23.65,24,81000,22.794874
"2013-03-21",23.92,24.469999,23.889999,24.309999,133000,23.08931
"2013-03-22",24.389999,24.620001,24.24,24.549999,48100,23.317259
"2013-03-25",24.690001,25.33,24.620001,25.200001,197000,23.934624
"2013-03-26",25.23,25.870001,25.08,25.65,191400,24.362022
"2013-03-27",25.440001,26.27,25.440001,26.110001,83600,24.798925
"2013-03-28",26.24,27.209999,26.040001,26.84,157500,25.49227
"2013-04-01",26.93,27.969999,26.93,27.4,216600,26.024147
"2013-04-02",27.469999,27.889999,26.75,27.040001,493300,25.68223
"2013-04-03",27.049999,27.049999,24.48,24.92,526600,23.668678
"2013-04-04",24.870001,25.27,23.83,25.049999,135100,23.792149
"2013-04-05",24.690001,25.370001,24.57,25.18,56400,23.915625
"2013-04-08",25.17,26.35,25.02,26.049999,144200,24.741938
"2013-04-09",26.299999,27.389999,26.139999,26.76,285300,25.416288
"2013-04-10",26.75,27.24,25.92,26.08,230100,24.77043
"2013-04-11",26.139999,26.700001,25.1,26.5,165600,25.16934
"2013-04-12",26.5,27.049999,26.23,26.629999,275800,25.292814
"2013-04-15",26.360001,26.360001,25.01,25.799999,378800,24.50449
"2013-04-16",26.07,26.77,25.860001,26.74,166300,25.397291
"2013-04-17",26.51,26.540001,25.41,25.799999,160000,24.50449
"2013-04-18",25.91,26.67,25.459999,26.51,74100,25.178841
"2013-04-19",26.75,26.82,26.09,26.219999,126900,24.9034
"2013-04-22",26.35,27.34,26.209999,26.98,149300,25.625242
"2013-04-23",27.049999,27.690001,26.959999,27.49,107100,26.109629
"2013-04-24",27.43,27.620001,27.040001,27.1,77900,25.739214
"2013-04-25",27.51,27.68,27.17,27.299999,68500,25.929169
"2013-04-26",27.290001,27.370001,26.35,26.879999,147000,25.530262
"2013-04-29",26.98,26.98,25.780001,26.040001,343500,24.732443
"2013-04-30",26.459999,26.74,26.129999,26.26,171600,24.941391
"2013-05-01",26.1,27.01,25.950001,26.440001,347100,25.112354
"2013-05-02",26.459999,27.25,26.459999,27.1,168400,25.739214
"2013-05-03",27.440001,27.66,27.16,27.48,86000,26.100136
"2013-05-06",27.58,29.4,27.58,28.76,393000,27.315861
"2013-05-07",28.709999,28.809999,27.879999,28.540001,264200,27.106905
"2013-05-08",28.379999,29.75,27.51,29.530001,200900,28.047197
"2013-05-09",29.57,29.67,28.469999,28.68,189700,27.239876
"2013-05-10",28.65,28.700001,27.91,28.58,89400,27.144896
"2013-05-13",28.459999,29,28.35,28.66,51700,27.220884
"2013-05-14",28.610001,28.91,28.530001,28.870001,73700,27.420336
"2013-05-15",28.290001,29.77,27.190001,29.48,599000,27.999706
"2013-05-16",31.17,31.6,29.73,29.940001,3939200,28.436609
"2013-05-17",30.52,32.41,30.200001,31.43,914000,29.851791
"2013-05-20",31.620001,32.25,31.24,32.029999,545100,30.421659
