"dates","WYNN.Open","WYNN.High","WYNN.Low","WYNN.Close","WYNN.Volume","WYNN.Adjusted"
"2010-10-04",87.660004,92.160004,87.610001,90.510002,4713700,59.73576
"2010-10-05",91.949997,93.199997,91,92.709999,2720100,61.187756
"2010-10-06",92.050003,92.489998,89.559998,90.169998,2667800,59.511368
"2010-10-07",90.730003,91,88.550003,89.269997,1781700,58.91737
"2010-10-08",89.5,94.220001,88.879997,93.849998,4291700,61.940105
"2010-10-11",95.339996,102.75,95.050003,101.779999,9281500,67.173836
"2010-10-12",100.129997,104.580002,99.809998,102.360001,7210600,67.556641
"2010-10-13",101.690002,103.860001,100,102.190002,5018600,67.444443
"2010-10-14",102.300003,102.739998,100.32,101.589996,2820600,67.048439
"2010-10-15",102.5,103.129997,100.300003,101.940002,2742700,67.279465
"2010-10-18",101.230003,102.470001,100.959999,102.040001,1548600,67.345436
"2010-10-19",100.480003,100.639999,97.300003,97.889999,2768600,64.606476
"2010-10-20",98.889999,102.489998,98.550003,101.160004,2777300,66.764641
"2010-10-21",103,107.360001,101.699997,103.239998,4911100,68.137444
"2010-10-22",102.940002,105.279999,102.589996,104.419998,1948900,68.916214
"2010-10-25",104.25,106.199997,103.25,103.349998,1809300,68.210022
"2010-10-26",102.699997,105.720001,102.199997,105.120003,1830400,69.378227
"2010-10-27",104.610001,104.889999,102.730003,104.540001,1515800,68.99543
"2010-10-28",108.970001,109,105.690002,107.050003,2346800,70.651985
"2010-10-29",106.400002,108.459999,106.010002,107.160004,1471500,70.724609
"2010-11-01",108.870003,111.110001,108.190002,109.260002,2399300,72.110596
"2010-11-02",111.730003,113.959999,108.839996,112.57,6128200,74.295143
"2010-11-03",109.18,112.449997,108.5,111.139999,5311700,73.351364
"2010-11-04",110,113.580002,108.269997,112.519997,5402900,74.262138
"2010-11-05",112.519997,115.440002,112.519997,113.07,4887700,74.625145
"2010-11-08",112.970001,116.93,112.129997,116.540001,5250300,76.915298
"2010-11-09",117.5,117.5,113,113.870003,3142000,75.153152
"2010-11-10",114.139999,115.190002,112.059998,114.25,2257300,75.403923
"2010-11-11",112.980003,115.139999,112.889999,114.559998,1696700,75.608521
"2010-11-12",114.07,114.309998,110.120003,111,2612300,73.258957
"2010-11-15",112,114.599998,111.639999,111.739998,2052500,73.74736
"2010-11-16",110.919998,113.07,107.349998,108.059998,3172100,71.318588
"2010-11-17",108.330002,109.199997,105.269997,105.5,3531200,69.629021
"2010-11-18",107.910004,110.410004,106.900002,108.949997,3167600,71.905991
"2010-11-19",101.330002,103.699997,101.25,102.989998,3846900,73.35907
"2010-11-22",103.269997,105.959999,102.209999,105.209999,2173100,74.940353
"2010-11-23",103.110001,103.339996,101,101.650002,1833900,72.404594
"2010-11-24",103.419998,104.489998,102.370003,103.160004,1571000,73.480164
"2010-11-26",102.080002,103.5,102,102.089996,621200,72.71801
"2010-11-29",101.989998,102.790001,100.389999,102.230003,1755000,72.817711
"2010-11-30",101.050003,103.5,100.900002,101.099998,2719400,72.012817
"2010-12-01",104.5,106.339996,103.300003,104.790001,5110100,74.641174
"2010-12-02",105.059998,106.120003,101.709999,103.470001,4642700,73.700951
"2010-12-03",102.5,104.959999,102.370003,103.339996,2441900,73.608368
"2010-12-06",102.93,103.580002,102.459999,102.959999,1480900,73.337669
"2010-12-07",104.93,105,101.330002,101.470001,2139600,72.27639
"2010-12-08",101.790001,102.279999,100.470001,101.449997,2168900,72.262123
"2010-12-09",101.809998,103.489998,101.209999,101.360001,1715900,72.198036
"2010-12-10",101.970001,101.970001,100.269997,101,1441400,71.941582
"2010-12-13",102.269997,102.559998,100.160004,100.260002,1582600,71.414505
"2010-12-14",100.279999,101.68,99.209999,99.599998,1975700,70.944382
"2010-12-15",99.739998,101.93,99.459999,100.739998,3583100,71.756393
"2010-12-16",103.370003,107,103.019997,105.589996,3979500,75.211006
"2010-12-17",105.970001,107.25,104.449997,104.949997,2408800,74.75515
"2010-12-20",106,107,105.199997,105.769997,2158200,75.339218
"2010-12-21",106.730003,106.949997,105.150002,105.910004,1621200,75.438965
"2010-12-22",106.220001,106.25,103.620003,104,1320600,74.078491
"2010-12-23",104.110001,104.599998,102.510002,103,950300,73.366173
"2010-12-27",102.559998,102.599998,100.510002,102.120003,1049200,72.73938
"2010-12-28",102.459999,102.949997,100.989998,101.690002,718400,72.433067
"2010-12-29",102.209999,103.129997,101.629997,102.610001,1719900,73.088417
"2010-12-30",102.190002,102.580002,101.019997,101.709999,784100,72.447327
"2010-12-31",101.580002,104.199997,100.849998,103.839996,1390100,73.964523
"2011-01-03",106.25,109.089996,106.080002,108.989998,3174100,77.632805
"2011-01-04",109.410004,112.5,109.339996,112.389999,3656300,80.054611
"2011-01-05",111.550003,114.690002,111.550003,113.839996,2624900,81.087433
"2011-01-06",113.919998,115.050003,112.550003,114.669998,2051200,81.678619
"2011-01-07",115.660004,119.330002,115.379997,118.730003,3966000,84.570549
"2011-01-10",118.07,119.669998,116.629997,118.699997,2180900,84.549171
"2011-01-11",119.75,119.900002,116.339996,117.089996,2353900,83.402397
"2011-01-12",117.75,118.209999,115.550003,116.779999,1969600,83.181564
"2011-01-13",118.410004,119.18,116.349998,116.720001,2351000,83.138847
"2011-01-14",116.389999,118.82,116.25,118.82,1679100,84.634666
"2011-01-18",120.5,121.739998,118.269997,118.860001,1677000,84.663155
"2011-01-19",118.489998,121.190002,117.260002,118.18,2457700,84.178802
"2011-01-20",117.540001,118.089996,114,116.239998,1993300,82.796944
"2011-01-21",116.559998,118.080002,115.389999,115.949997,1538300,82.590363
"2011-01-24",116.129997,116.860001,114.5,115.379997,1449100,82.18438
"2011-01-25",114.739998,115.120003,112.459999,114.82,1826300,81.785484
"2011-01-26",115.699997,119.239998,114.849998,118.660004,2000800,84.520706
"2011-01-27",118.699997,119.989998,116.900002,118.870003,1681300,84.670296
"2011-01-28",119.440002,120.75,114.400002,114.510002,2190000,81.564674
"2011-01-31",114.760002,117.419998,114.709999,116.330002,1794400,82.861053
"2011-02-01",117,119.5,115.5,119.18,2245500,84.891083
"2011-02-02",119.480003,119.699997,117.639999,118.870003,1414500,84.670296
"2011-02-03",119.059998,121,117.879997,119.400002,2402600,85.047783
"2011-02-04",118.07,119.25,117.379997,118.059998,2198900,84.093307
"2011-02-07",116.809998,119.25,115.550003,118.010002,2038400,84.057701
"2011-02-08",119.839996,122.889999,118.75,120.18,4494700,85.603378
"2011-02-09",119.559998,122.410004,118.620003,121.529999,2411400,86.564972
"2011-02-10",120.82,122.389999,119.760002,120.150002,3207200,85.582001
"2011-02-11",119.510002,129.369995,118.5,129.100006,5643900,91.957024
"2011-02-14",128.979996,129.279999,127.019997,127.949997,2078100,91.137886
"2011-02-15",127.529999,129.5,127,128.199997,1587100,91.315964
"2011-02-16",129.130005,129.600006,127.169998,127.879997,1420000,91.088028
"2011-02-17",128.160004,129.490005,127.550003,128.460007,1292500,91.501152
"2011-02-18",128.460007,128.940002,126.550003,127.699997,1273200,90.959824
"2011-02-22",126.040001,126.940002,122.699997,123.07,1803000,87.661896
"2011-02-23",123.150002,124,116.360001,120.339996,2631700,85.717339
"2011-02-24",120.120003,120.800003,117.330002,119.290001,1563700,84.969452
"2011-02-25",120.82,123.449997,120.129997,121.839996,1215300,86.785767
"2011-02-28",123.129997,124.07,121,122.93,1196000,87.562164
"2011-03-01",123.760002,126.059998,122.589996,125.830002,3349700,89.627838
"2011-03-02",125.75,126.989998,124.540001,126.080002,1789600,89.805908
"2011-03-03",126.75,131.080002,126.75,130.529999,2434400,92.975616
"2011-03-04",130.529999,132.25,129.089996,130.809998,2114200,93.175049
"2011-03-07",131.440002,131.539993,124.5,126.400002,2228600,90.033829
"2011-03-08",126.620003,128.479996,125.839996,127.059998,1632100,90.503937
"2011-03-09",126.709999,128.880005,125.529999,128.089996,1685200,91.237595
"2011-03-10",126.550003,126.550003,122.400002,123.089996,2353900,87.676163
"2011-03-11",121.739998,124.300003,120.639999,123.790001,1779100,88.174782
"2011-03-14",122.480003,124.360001,120.599998,123.989998,1799300,88.317192
"2011-03-15",120.169998,121.970001,117.209999,121.169998,2450800,86.308533
"2011-03-16",119.68,121.059998,116.550003,117.040001,2680700,83.366791
"2011-03-17",119.910004,119.970001,117.790001,118.18,1272200,84.178802
"2011-03-18",120.199997,120.199997,116.389999,116.459999,2067100,82.953621
"2011-03-21",117.849998,122.639999,117.379997,121.760002,2526500,86.728798
"2011-03-22",122.260002,123.43,118.209999,118.410004,3390700,84.342621
"2011-03-23",118.650002,121.239998,116.510002,120.970001,1926400,86.166084
"2011-03-24",121.989998,124.82,121.730003,124.239998,2134200,88.495277
"2011-03-25",126.190002,128.570007,125.029999,127.029999,2108400,90.482574
"2011-03-28",127.68,127.720001,124.639999,125.120003,1551900,89.122086
"2011-03-29",125.190002,127,124,125.879997,1140100,89.66346
"2011-03-30",126.5,127.720001,125.540001,127.660004,1439000,90.931335
"2011-03-31",126.620003,127.970001,125.089996,127.160004,1428400,90.575172
"2011-04-01",130,135.850006,129.710007,133.009995,3809300,94.742081
"2011-04-04",135.279999,136.429993,132.309998,132.960007,2220500,94.706459
"2011-04-05",132.5,134.309998,131.669998,133.139999,1693200,94.834679
"2011-04-06",135,137.100006,132.350006,134.300003,2179400,95.660957
"2011-04-07",134.630005,136.339996,133.130005,135.380005,1643000,96.430222
"2011-04-08",135.759995,136.080002,131.800003,132.570007,1627000,94.428688
"2011-04-11",133.080002,133.75,130.880005,131.970001,1161200,94.00132
"2011-04-12",130.479996,131.309998,129.050003,130.139999,1223000,92.697815
"2011-04-13",132.110001,135.710007,131.630005,135.149994,2038900,96.266388
"2011-04-14",134.020004,135.580002,133.360001,134.960007,1391300,96.131058
"2011-04-15",135,140.369995,134.539993,138.460007,2962300,98.6241
"2011-04-18",136.600006,141.199997,134.300003,140.5,2816900,100.077164
"2011-04-19",141.25,141.339996,136.929993,138.929993,2943100,98.95887
"2011-04-20",143.759995,149.800003,143,147.919998,5512100,105.362396
"2011-04-21",146.5,149.270004,145.270004,147.710007,1779200,105.212807
"2011-04-25",148.25,148.740005,145.580002,147.169998,1330500,104.828178
"2011-04-26",147.690002,147.729996,145.080002,146.190002,1600000,104.130096
"2011-04-27",146.839996,147.600006,144.429993,146.759995,1489800,104.536125
"2011-04-28",146.570007,147.330002,143.740005,145.710007,1595600,103.788223
"2011-04-29",145.369995,149.179993,144.399994,147.149994,2956200,105.174828
"2011-05-02",148.360001,151.690002,147.229996,147.869995,2302100,105.68943
"2011-05-03",147.699997,148.5,144.360001,146.080002,1500000,104.410057
"2011-05-04",145.699997,145.699997,140.660004,143.130005,2068800,102.301552
"2011-05-05",142.039993,146.389999,141.429993,143.690002,1500000,102.701797
"2011-05-06",145.949997,147.380005,144,144.339996,1413300,103.166389
"2011-05-09",144.5,146.899994,144.5,144.710007,1258100,103.430847
"2011-05-10",145.570007,150.199997,145.25,149.740005,2269400,107.026024
"2011-05-11",149.25,151.729996,146.860001,148.630005,2092500,106.232681
"2011-05-12",147.589996,148.5,146.199997,146.830002,1700000,104.946098
"2011-05-13",147.229996,149.520004,145.720001,146.270004,1545700,104.545853
"2011-05-16",146.449997,147.289993,139.800003,140.539993,2860700,100.450333
"2011-05-17",140.580002,143.25,140.070007,142.850006,2156100,102.101448
"2011-05-18",143.179993,147.460007,142.350006,146.860001,1999100,104.967583
"2011-05-19",148,148.619995,146.029999,147.009995,1574000,105.07473
"2011-05-20",146.270004,147.130005,144.490005,144.979996,1339100,103.623833
"2011-05-23",142.649994,143.320007,140.149994,142.470001,1800000,101.829803
"2011-05-24",143.690002,143.75,140.800003,141.75,1092200,101.315193
"2011-05-25",141.789993,143.899994,140.669998,143.149994,1650000,102.315857
"2011-05-26",143.139999,145.779999,142.75,145.339996,1303200,103.881126
"2011-05-27",145.169998,147.490005,145.169998,146.399994,1227400,104.638771
"2011-05-31",147.820007,149.100006,145.75,146.520004,1342600,104.724556
"2011-06-01",146.070007,149.800003,145.449997,145.860001,2366000,104.2528
"2011-06-02",146.339996,147.419998,143.399994,146.259995,1611000,104.538727
"2011-06-03",144.759995,145.889999,142.529999,143.410004,1723900,102.501678
"2011-06-06",143.320007,144.75,141.210007,141.300003,1547300,100.99353
