"dates","EW.Open","EW.High","EW.Low","EW.Close","EW.Volume","EW.Adjusted"
"2012-03-20",11.708333,11.898333,11.635,11.858333,6495600,11.858333
"2012-03-21",11.841667,11.895,11.741667,11.848333,4021200,11.848333
"2012-03-22",11.833333,12.023333,11.815,11.916667,7168200,11.916667
"2012-03-23",11.895,11.94,11.826667,11.88,5737200,11.88
"2012-03-26",11.956667,12.618333,11.91,12.585,15715200,12.585
"2012-03-27",12.541667,12.606667,12.335,12.345,13692600,12.345
"2012-03-28",12.36,12.405,12.055,12.168333,8301000,12.168333
"2012-03-29",12.128333,12.233333,12.091667,12.146667,4702800,12.146667
"2012-03-30",12.191667,12.225,12.105,12.121667,4782000,12.121667
"2012-04-02",12.13,12.286667,12.115,12.268333,6053400,12.268333
"2012-04-03",12.216667,12.321667,12.128333,12.193333,4728000,12.193333
"2012-04-04",12.068333,12.143333,11.936667,11.981667,5187600,11.981667
"2012-04-05",11.953333,12.066667,11.896667,11.998333,3321600,11.998333
"2012-04-09",11.843333,11.941667,11.756667,11.866667,3603600,11.866667
"2012-04-10",11.835,11.978333,11.763333,11.768333,3844200,11.768333
"2012-04-11",11.896667,11.963333,11.841667,11.941667,4115400,11.941667
"2012-04-12",11.938333,12.128333,11.89,12.1,3298800,12.1
"2012-04-13",11.996667,12.06,11.41,11.425,15694800,11.425
"2012-04-16",11.476667,11.508333,11.31,11.406667,8453400,11.406667
"2012-04-17",11.5,11.906667,11.445,11.895,9707400,11.895
"2012-04-18",11.885,12.173333,11.828333,12.118333,10779000,12.118333
"2012-04-19",12.133333,12.201667,12.1,12.155,6926400,12.155
"2012-04-20",12.18,12.308333,12.158333,12.228333,7135200,12.228333
"2012-04-23",12.148333,12.255,12.083333,12.226667,5321400,12.226667
"2012-04-24",12.211667,12.316667,12.165,12.221667,6270000,12.221667
"2012-04-25",12.668333,13.906667,12.668333,13.64,26009400,13.64
"2012-04-26",13.556667,13.703333,13.48,13.62,7002000,13.62
"2012-04-27",13.631667,13.86,13.596667,13.781667,4448400,13.781667
"2012-04-30",13.731667,13.915,13.731667,13.828333,4600200,13.828333
"2012-05-01",13.708333,14.173333,13.708333,14.13,7991400,14.13
"2012-05-02",14.335,14.516667,14.135,14.373333,12193800,14.373333
"2012-05-03",14.3,14.451667,14.156667,14.351667,5566800,14.351667
"2012-05-04",14.221667,14.285,14.08,14.165,5925000,14.165
"2012-05-07",13.998333,14.306667,13.921667,14.248333,5664000,14.248333
"2012-05-08",14.151667,14.283333,13.961667,14.233333,7518000,14.233333
"2012-05-09",14.096667,14.28,14.031667,14.241667,4278600,14.241667
"2012-05-10",14.333333,14.333333,13.905,14.008333,9125400,14.008333
"2012-05-11",13.951667,14.253333,13.838333,14.113333,6140400,14.113333
"2012-05-14",14.04,14.046667,13.801667,14.011667,3850800,14.011667
"2012-05-15",14.036667,14.12,13.851667,13.895,4102800,13.895
"2012-05-16",13.968333,13.991667,13.833333,13.848333,3921000,13.848333
"2012-05-17",13.863333,13.968333,13.756667,13.766667,6587400,13.766667
"2012-05-18",13.811667,13.911667,13.598333,13.648333,4909200,13.648333
"2012-05-21",13.698333,14.018333,13.69,14.016667,4395600,14.016667
"2012-05-22",14.011667,14.105,13.821667,13.91,6566400,13.91
"2012-05-23",13.813333,14.208333,13.775,14.175,6e+06,14.175
"2012-05-24",14.201667,14.573333,14.201667,14.555,8325000,14.555
"2012-05-25",14.531667,14.666667,14.461667,14.566667,5590800,14.566667
"2012-05-29",14.681667,14.681667,14.47,14.588333,4842000,14.588333
"2012-05-30",14.455,14.506667,14.295,14.295,6880800,14.295
"2012-05-31",14.231667,14.296667,14.041667,14.228333,8185800,14.228333
"2012-06-01",14.006667,14.243333,13.981667,14.095,5671800,14.095
"2012-06-04",14.075,14.078333,13.82,14.03,4662000,14.03
"2012-06-05",13.938333,14.583333,13.938333,14.528333,7014000,14.528333
"2012-06-06",14.528333,14.528333,14.24,14.39,8266200,14.39
"2012-06-07",14.61,14.698333,14.501667,14.536667,5622000,14.536667
"2012-06-08",14.478333,14.846667,14.431667,14.705,8759400,14.705
"2012-06-11",14.735,14.991667,14.44,14.666667,9028200,14.666667
"2012-06-12",14.683333,15.148333,14.588333,15.135,6936600,15.135
"2012-06-13",15.078333,15.383333,14.998333,15.09,7885800,15.09
"2012-06-14",15.201667,16.5,15.201667,16.146667,24871200,16.146667
"2012-06-15",16.236668,16.26,16.086666,16.253332,8351400,16.253332
"2012-06-18",16.165001,16.790001,16.148333,16.776667,9661200,16.776667
"2012-06-19",16.753332,17.375,16.681667,17.08,10530600,17.08
"2012-06-20",17.053333,17.245001,16.853333,16.98,8295600,16.98
"2012-06-21",17.036667,17.043333,16.548332,16.591667,5107200,16.591667
"2012-06-22",16.646667,17.011667,16.633333,16.926666,4626000,16.926666
"2012-06-25",16.898333,17.101667,16.825001,17.025,4241400,17.025
"2012-06-26",16.791668,17.146667,16.761667,16.913334,4805400,16.913334
"2012-06-27",16.936666,17.120001,16.809999,16.969999,4419600,16.969999
"2012-06-28",16.855,16.936666,16.666668,16.863333,4725000,16.863333
"2012-06-29",17.143333,17.245001,17.040001,17.216667,4790400,17.216667
"2012-07-02",17.166668,17.406668,17.051666,17.368334,3863400,17.368334
"2012-07-03",17.318333,17.401667,17.184999,17.325001,1588200,17.325001
"2012-07-05",17.251667,17.438334,17.25,17.406668,3781800,17.406668
"2012-07-06",17.295,17.33,16.905001,16.986668,4492200,16.986668
"2012-07-09",17.059999,17.233334,16.988333,17.223333,3940800,17.223333
"2012-07-10",17.333332,17.333332,16.834999,16.905001,4552200,16.905001
"2012-07-11",16.933332,17.096666,16.75,16.934999,3835800,16.934999
"2012-07-12",16.84,16.888332,16.483334,16.803333,4150800,16.803333
"2012-07-13",16.726667,16.98,16.514999,16.906668,5107200,16.906668
"2012-07-16",16.9,17.125,16.806667,16.84,3141600,16.84
"2012-07-17",16.926666,17.328333,16.803333,17.206667,4876800,17.206667
"2012-07-18",17.111668,17.228333,16.976667,17.016666,3878400,17.016666
"2012-07-19",17.059999,17.254999,17.025,17.136667,3648000,17.136667
"2012-07-20",17.141666,17.5,16.833332,16.848333,7679400,16.848333
"2012-07-23",16.648333,16.788334,16.504999,16.748333,3269400,16.748333
"2012-07-24",16.856667,16.863333,16.323334,16.441668,5572200,16.441668
"2012-07-25",16.836666,17.823334,16.753332,17.51,16656000,17.51
"2012-07-26",17.379999,17.51,16.766666,17.09,11265600,17.09
"2012-07-27",17.198334,17.653334,17.075001,17.531668,7957200,17.531668
"2012-07-30",17.536667,17.540001,17.184999,17.24,3940800,17.24
"2012-07-31",17.226667,17.416668,16.861668,16.866667,4829400,16.866667
"2012-08-01",17.014999,17.26,16.513332,16.674999,7267200,16.674999
"2012-08-02",16.488333,16.601667,16.344999,16.549999,4304400,16.549999
"2012-08-03",16.816668,17.046667,16.746668,16.886667,4099200,16.886667
"2012-08-06",16.791668,16.934999,16.626667,16.736668,4566600,16.736668
"2012-08-07",16.698334,17.030001,16.431667,16.851667,4870200,16.851667
"2012-08-08",16.821667,16.938334,16.601667,16.715,2967600,16.715
"2012-08-09",16.625,16.625,16.148333,16.383333,6744600,16.383333
"2012-08-10",16.375,16.495001,16.198334,16.361668,3632400,16.361668
"2012-08-13",16.276667,16.366667,16.059999,16.309999,2586600,16.309999
"2012-08-14",16.424999,16.456667,16.200001,16.261667,2995200,16.261667
"2012-08-15",16.248333,16.496668,16.206667,16.363333,1782600,16.363333
"2012-08-16",16.334999,16.466667,16.251667,16.299999,1845000,16.299999
"2012-08-17",16.639999,16.916668,16.605,16.738333,5716200,16.738333
"2012-08-20",16.66,16.700001,16.373333,16.555,3493200,16.555
"2012-08-21",16.576668,16.711666,16.536667,16.611668,3862800,16.611668
"2012-08-22",16.58,16.678333,16.498333,16.601667,2745600,16.601667
"2012-08-23",16.613333,16.876667,16.471666,16.549999,4192200,16.549999
"2012-08-24",16.48,16.583332,16.333332,16.530001,2680200,16.530001
