"dates","GE.Open","GE.High","GE.Low","GE.Close","GE.Volume","GE.Adjusted"
"2010-08-27",14.048077,14.192308,13.817308,14.144231,48331920,10.599348
"2010-08-30",14.105769,14.153846,13.951923,13.961538,38046632,10.462439
"2010-08-31",13.807692,14.019231,13.759615,13.923077,61593688,10.433622
"2010-09-01",14.163462,14.519231,14.038462,14.432692,81164408,10.815514
"2010-09-02",14.519231,14.615385,14.365385,14.567308,56610944,10.916393
"2010-09-03",14.798077,14.961538,14.615385,14.798077,66914744,11.089325
"2010-09-07",14.692308,14.903846,14.625,14.846154,57580432,11.125352
"2010-09-08",14.798077,15.182692,14.730769,15.096154,78072696,11.312696
"2010-09-09",15.298077,15.384615,15.211538,15.298077,62926448,11.464009
"2010-09-10",15.346154,15.461538,15.201923,15.365385,48503312,11.514449
"2010-09-13",15.567308,15.682692,15.432692,15.625,58562920,11.709
"2010-09-14",15.557692,15.653846,15.490385,15.538462,50085984,11.644151
"2010-09-15",15.451923,15.836538,15.355769,15.711538,71298240,11.77385
"2010-09-16",15.557692,15.682692,15.490385,15.605769,48954880,11.78111
"2010-09-17",15.682692,15.788462,15.461538,15.663462,75400624,11.824662
"2010-09-20",15.644231,15.961538,15.605769,15.913462,47934952,12.013393
"2010-09-21",15.884615,16.057692,15.788462,15.884615,56321720,11.991617
"2010-09-22",15.875,16.028847,15.769231,15.865385,49337496,11.977101
"2010-09-23",15.644231,15.759615,15.432692,15.519231,55306992,11.715779
"2010-09-24",15.701923,16.019232,15.673077,16.019232,88431096,12.093238
"2010-09-27",16.009615,16.009615,15.769231,15.798077,42190720,11.926288
"2010-09-28",15.798077,15.884615,15.519231,15.807692,56031976,11.933543
"2010-09-29",15.711538,15.826923,15.615385,15.730769,45888856,11.875474
"2010-09-30",15.826923,16.048077,15.528846,15.625,61362600,11.795626
"2010-10-01",15.769231,15.894231,15.634615,15.730769,50370736,11.875474
"2010-10-04",15.682692,15.740385,15.384615,15.480769,47667984,11.686743
"2010-10-05",15.625,15.942308,15.567308,15.875,65116376,11.984356
"2010-10-06",15.855769,16.346153,15.826923,16.25,76960104,12.267453
"2010-10-07",16.346153,16.461538,16.201923,16.394232,60942336,12.376334
"2010-10-08",16.471153,16.625,16.375,16.461538,53610336,12.427143
"2010-10-11",16.576923,16.596153,16.269232,16.307692,54366312,12.311005
"2010-10-12",16.317308,16.634615,16.288462,16.528847,67364440,12.477959
"2010-10-13",16.634615,16.817308,16.519232,16.615385,63239176,12.543288
"2010-10-14",16.721153,16.721153,16.317308,16.5,60201440,12.456179
"2010-10-15",16.134615,16.144232,15.528846,15.673077,213367336,11.83192
"2010-10-18",15.682692,15.711538,15.480769,15.625,70188664,11.795626
"2010-10-19",15.480769,15.634615,15.365385,15.451923,77129104,11.664966
"2010-10-20",15.567308,15.576923,15.269231,15.432692,72440784,11.650448
"2010-10-21",15.471154,15.740385,15.403846,15.480769,61791288,11.686743
"2010-10-22",15.490385,15.576923,15.394231,15.442308,32571552,11.65771
"2010-10-25",15.634615,15.692308,15.442308,15.442308,55745872,11.65771
"2010-10-26",15.442308,15.692308,15.413462,15.538462,51368408,11.730297
"2010-10-27",15.442308,15.519231,15.375,15.490385,52647920,11.694003
"2010-10-28",15.596154,15.673077,15.413462,15.461538,46033936,11.672227
"2010-10-29",15.451923,15.509615,15.365385,15.403846,39701376,11.628675
"2010-11-01",15.471154,15.557692,15.269231,15.336538,54969616,11.577863
"2010-11-02",15.384615,15.451923,15.269231,15.326923,52567216,11.570599
"2010-11-03",15.346154,15.480769,15.269231,15.442308,68390816,11.65771
"2010-11-04",15.576923,15.951923,15.557692,15.875,90689248,11.984356
