"dates","ACN.Open","ACN.High","ACN.Low","ACN.Close","ACN.Volume","ACN.Adjusted"
"2015-01-20",88.889999,89.419998,87.919998,88.620003,2333600,79.305237
"2015-01-21",88.349998,88.629997,87.730003,88.339996,2040800,79.054626
"2015-01-22",88.720001,89.559998,87.949997,89.5,2656900,80.09272
"2015-01-23",89.510002,89.919998,89.139999,89.220001,1939100,79.842155
"2015-01-26",89.040001,89.199997,88.239998,89.080002,1997200,79.716866
"2015-01-27",87.949997,88.32,86,86.160004,3689000,77.103783
"2015-01-28",86.93,87.120003,84.330002,84.360001,3469100,75.492981
"2015-01-29",84.949997,85.699997,83.940002,85.639999,3590600,76.638451
"2015-01-30",85.120003,85.440002,83.860001,84.029999,3837500,75.197678
"2015-02-02",84.419998,85.849998,83.470001,85.830002,3088500,76.808479
"2015-02-03",86.25,87.959999,85.970001,87.919998,3501300,78.678795
"2015-02-04",89.18,89.18,87.169998,87.339996,2764100,78.159752
"2015-02-05",88.110001,88.540001,87.339996,88.470001,2102000,79.17099
"2015-02-06",88.599998,89.099998,87.839996,88.150002,2386500,78.884605
"2015-02-09",87.510002,88.230003,87.099998,87.360001,2670500,78.17765
"2015-02-10",87.739998,87.910004,86.68,87.519997,2573800,78.320831
"2015-02-11",87.519997,88.169998,87.25,87.959999,1829800,78.714607
"2015-02-12",88.059998,89.220001,87.980003,89.089996,1931300,79.7258
"2015-02-13",89.089996,89.800003,89.080002,89.790001,1774400,80.352249
"2015-02-17",89.629997,89.790001,88.830002,89.300003,1915900,79.91375
"2015-02-18",89,89.519997,88.860001,89.43,1508900,80.03009
"2015-02-19",89.529999,90.379997,89.370003,90.269997,1751700,80.781769
"2015-02-20",90.019997,90.980003,89.309998,90.489998,2950600,80.978668
"2015-02-23",90.599998,90.790001,90.129997,90.57,1579000,81.05024
"2015-02-24",90.169998,91,89.889999,90.849998,1592000,81.300827
"2015-02-25",90.639999,91.440002,90.330002,90.599998,1732900,81.077103
"2015-02-26",90.82,91.230003,90,90.300003,2156800,80.80864
"2015-02-27",90.050003,90.760002,89.860001,90.029999,1686100,80.567009
"2015-03-02",90.029999,91.239998,89.730003,91.18,1975000,81.59613
"2015-03-03",91.18,91.269997,90.550003,90.839996,2888300,81.29187
"2015-03-04",90.830002,91.199997,90.059998,90.910004,2728800,81.354523
"2015-03-05",91.309998,92.18,91.18,92.050003,3019600,82.374702
"2015-03-06",91.620003,91.949997,90.489998,90.669998,3735000,81.13974
"2015-03-09",90.730003,90.959999,90.139999,90.790001,1464200,81.247131
"2015-03-10",89.959999,90.209999,88.050003,88.059998,3230200,78.804092
"2015-03-11",88.290001,88.900002,86.760002,86.860001,4320400,77.730202
"2015-03-12",87.029999,88.300003,86.860001,88.199997,2164100,78.929359
"2015-03-13",88.18,88.209999,86.400002,87.870003,3617200,78.634041
"2015-03-16",88.32,89.099998,88.139999,88.910004,2246000,79.56472
"2015-03-17",88.349998,88.879997,88.209999,88.839996,2210900,79.502106
"2015-03-18",88.800003,91.349998,88.370003,90.93,2664900,81.372421
"2015-03-19",90.889999,91.339996,89.989998,90.190002,2658500,80.710197
"2015-03-20",90.889999,91.650002,90.510002,91.480003,3558200,81.864594
"2015-03-23",91.379997,91.779999,91.209999,91.540001,1916200,81.918297
"2015-03-24",91.489998,91.489998,89.279999,89.410004,2948600,80.012184
"2015-03-25",89.410004,89.949997,88.18,88.209999,3607100,78.938324
"2015-03-26",91.510002,94.980003,90.940002,94.169998,7157000,84.271866
"2015-03-27",93.919998,94.139999,92.650002,93.940002,4352000,84.066017
"2015-03-30",94.150002,94.839996,93.940002,94.419998,3333100,84.495575
"2015-03-31",94.010002,94.489998,93.550003,93.690002,2708600,83.842316
"2015-04-01",93.559998,93.93,92.68,93.559998,2736100,83.725967
"2015-04-02",93.699997,94.419998,93.099998,94.18,2145700,84.280815
"2015-04-06",93.459999,96,93.129997,95.690002,2563700,85.632088
"2015-04-07",95.639999,96.779999,95.139999,96.389999,4232700,86.258522
"2015-04-08",95.459999,96.160004,94.660004,95.120003,2651600,86.03241
"2015-04-09",95.400002,95.660004,94.68,95.470001,1952200,86.348961
"2015-04-10",95.449997,95.470001,94.529999,94.690002,2158000,85.643486
"2015-04-13",94.339996,94.879997,93.440002,93.489998,2443900,84.558121
"2015-04-14",93.57,94.220001,93.220001,93.809998,2087000,84.847549
"2015-04-15",94.269997,94.5,94.010002,94.160004,2093900,85.164124
"2015-04-16",93.910004,94.220001,93.669998,94.059998,1934800,85.073685
"2015-04-17",93.290001,93.410004,92.160004,92.389999,2647800,83.563232
"2015-04-20",92.989998,93.559998,92.620003,93.269997,3294400,84.359146
"2015-04-21",93.910004,94,92.870003,93,1949800,84.114967
"2015-04-22",93.339996,93.629997,92.760002,93.379997,1896200,84.458633
"2015-04-23",93.379997,94.269997,92.849998,93.839996,2165500,84.874687
"2015-04-24",93.290001,93.82,92.639999,93.400002,2249800,84.476723
"2015-04-27",94.029999,94.400002,93.529999,93.760002,2155500,84.802338
"2015-04-28",93.599998,94.489998,92.739998,94.419998,1976300,85.399269
"2015-04-29",94.25,94.410004,92.910004,93.650002,1701900,84.702843
"2015-04-30",93.230003,93.860001,92.129997,92.650002,1804800,83.798378
"2015-05-01",93.32,93.669998,92.699997,93.360001,1851300,84.440559
"2015-05-04",93.839996,94.959999,93.760002,94.440002,1990600,85.417366
"2015-05-05",94.440002,94.739998,93.440002,93.650002,1769000,84.702843
"2015-05-06",93.660004,93.970001,92.589996,93,2386600,84.114967
"2015-05-07",92.93,94.830002,92.739998,94.489998,2466600,85.462593
"2015-05-08",95.57,96.290001,94.989998,95.889999,2411700,86.728836
"2015-05-11",95.5,96.440002,95.410004,96.010002,2837700,86.837379
"2015-05-12",95.309998,95.620003,94.449997,95.419998,2065100,86.303734
"2015-05-13",95.599998,96.099998,95.080002,95.68,1784400,86.538902
"2015-05-14",96.139999,97,96.059998,96.980003,1504600,87.714706
"2015-05-15",96.830002,97.239998,96.459999,97.019997,2578500,87.750885
"2015-05-18",96.610001,97.739998,96.610001,97.459999,2110900,88.148842
"2015-05-19",97.709999,97.949997,96.919998,97.18,1672000,87.895599
"2015-05-20",97.330002,97.779999,96.690002,97.050003,1441100,87.778023
"2015-05-21",96.779999,97.050003,96.290001,96.830002,1677800,87.579048
"2015-05-22",96.5,96.690002,95.919998,96.389999,2083000,87.181061
"2015-05-26",96.870003,97.169998,95.739998,96.089996,2397400,86.909737
"2015-05-27",96.309998,96.949997,95.940002,96.769997,1513600,87.524757
"2015-05-28",96.699997,97.019997,96.080002,96.910004,1202700,87.651398
"2015-05-29",96.779999,96.970001,95.800003,96.040001,1713800,86.864517
"2015-06-01",96.18,96.599998,95.610001,96.190002,1422100,87.000183
