"dates","DHR.Open","DHR.High","DHR.Low","DHR.Close","DHR.Volume","DHR.Adjusted"
"2011-02-11",38.445793,39.583015,38.445793,39.128128,9598759,25.545935
"2011-02-14",39.059895,39.150871,38.665657,38.961334,3353162,25.437023
"2011-02-15",38.771797,39.059895,38.6884,38.968918,4182417,25.441986
"2011-02-16",39.044731,39.325245,38.809704,38.862774,3127481,25.37269
"2011-02-17",38.650494,38.946171,38.53677,38.779377,4570599,25.318226
"2011-02-18",38.824867,39.294922,38.726307,39.264595,3788564,25.635021
"2011-02-22",38.84761,38.991661,38.180439,38.263836,4024401,24.981659
"2011-02-23",38.172859,38.369976,37.210007,37.596664,5126953,24.546061
"2011-02-24",37.354057,37.869598,37.33131,37.725552,5055463,24.630217
"2011-02-25",37.990902,38.354813,37.846855,38.294163,2977115,25.001446
"2011-02-28",38.195602,38.49128,38.028809,38.362396,6022554,25.04599
"2011-03-01",38.43063,38.53677,37.467777,37.467777,5328760,24.461922
"2011-03-02",37.369221,38.241093,37.369221,38.081879,5009430,24.862846
"2011-03-03",38.43821,38.938591,38.43821,38.733891,4434874,25.288538
"2011-03-04",38.733891,38.756634,38.157696,38.4837,3589263,25.125198
"2011-03-07",38.665657,38.733891,37.801365,38.013645,3008243,24.818304
"2011-03-08",38.225929,39.158455,38.059135,39.037148,3929697,25.48653
"2011-03-09",38.900681,39.416225,38.544353,39.158455,3802941,25.565727
"2011-03-10",38.711143,38.74147,38.112206,38.218346,4141396,24.951948
"2011-03-11",38.233509,39.105385,38.112206,38.968918,4272373,25.441986
"2011-03-14",38.620167,38.711143,38.294163,38.627747,3808613,25.219244
"2011-03-15",37.536011,38.468536,37.460197,38.248672,5461979,24.971758
"2011-03-16",38.233509,38.612583,37.11903,37.475361,7952515,24.466867
"2011-03-17",37.952995,38.27142,37.626991,37.778622,5179054,24.664867
"2011-03-18",38.225929,38.567097,38.043972,38.218346,5614060,24.951948
"2011-03-21",38.53677,39.128128,38.53677,38.885517,3399723,25.387531
"2011-03-22",38.968918,39.112965,38.726307,38.870358,3262547,25.377638
"2011-03-23",38.764214,39.249432,38.574677,39.021984,3883796,25.486568
"2011-03-24",39.158455,39.241852,38.551933,39.097801,3180373,25.536093
