"dates","APTV.Open","APTV.High","APTV.Low","APTV.Close","APTV.Volume","APTV.Adjusted"
"2015-04-14",70.335289,70.695724,69.857506,70.511314,1747268,66.523483
"2015-04-15",70.829842,70.863373,70.134117,70.201172,1931467,66.230865
"2015-04-16",70.310143,70.888519,70.201172,70.42749,2191899,66.444382
"2015-04-17",69.958092,70.176025,69.362953,69.798828,1991833,65.851288
"2015-04-20",70.352051,70.536461,69.647949,69.849121,1847838,65.89872
"2015-04-21",69.891029,70.016762,69.086334,69.597656,2319789,65.661491
"2015-04-22",69.765297,70.301758,69.161774,69.471916,1815269,65.542854
"2015-04-23",69.295891,70.075439,68.834869,69.731766,1901165,65.78801
"2015-04-24",70,70.36882,69.81559,70,1442934,66.041084
"2015-04-27",69.840736,70.393967,69.228836,69.337807,1855354,65.416344
"2015-04-28",69.186928,69.589272,68.642082,69.304276,1879572,65.384705
"2015-04-29",69.212067,69.44677,68.407379,68.675606,1775900,64.791603
"2015-04-30",67.96312,69.941322,67.96312,69.57251,3901587,65.637779
"2015-05-01",70.318527,70.779549,69.949707,70.695724,2857951,66.697449
"2015-05-04",70.762779,72.372169,70.762779,72.120705,2587140,68.041847
"2015-05-05",72.338638,72.523048,70.502937,70.519699,2776708,66.531395
"2015-05-06",70.68734,70.854988,70.058678,70.829842,2375860,66.823997
"2015-05-07",70.754402,70.989105,70.083824,70.284996,1458800,66.309967
"2015-05-08",71.031013,72.003349,70.87175,71.525566,1269591,67.480362
"2015-05-11",71.416595,71.986588,71.114838,71.114838,1907368,67.290016
"2015-05-12",70.838226,72.011734,70.36882,71.768646,1742019,67.908661
"2015-05-13",71.827324,72.506287,71.458511,71.550713,1303830,67.702438
"2015-05-14",72.020119,72.573341,71.617767,72.548195,1574641,68.646278
"2015-05-15",72.531433,73.143333,72.305115,73.134956,1897824,69.201485
"2015-05-18",73.134956,73.336128,72.715843,73.09304,1310749,69.161819
"2015-05-19",73.176865,73.805534,72.975693,73.084663,1808111,69.153877
"2015-05-20",72.967308,73.344513,72.531433,72.799667,1896989,68.884224
"2015-05-21",73.000839,73.79715,72.682312,73.16848,1925979,69.2332
"2015-05-22",73.025986,73.830681,72.640404,72.942162,1785444,69.019058
"2015-05-26",72.347023,72.90863,71.994972,72.238052,1748342,68.352821
"2015-05-27",72.657166,73.269073,72.313492,73.067894,1741541,69.138031
"2015-05-28",72.917015,73.562447,72.707458,73.428329,1849389,69.47908
"2015-05-29",73.788765,73.788765,72.866722,72.90863,1963439,68.987335
"2015-06-01",73.16848,73.16848,72.212906,72.782898,1993980,68.86834
"2015-06-02",72.405701,73.713326,72.305115,73.344513,1762777,69.399765
"2015-06-03",73.72171,74.383904,73.285835,74.056999,1573567,70.073936
"2015-06-04",73.738472,73.822296,72.766136,72.958923,1893888,69.034912
"2015-06-05",73.16848,73.461861,72.858337,73.193626,2507567,69.256989
"2015-06-08",72.992455,73.5373,72.749374,72.791283,1724839,68.876297
"2015-06-09",73.059517,73.411568,72.29673,72.564964,1676762,68.662132
"2015-06-10",72.808044,74.140823,72.640404,74.015091,1554837,70.034271
"2015-06-11",74.316849,74.325233,73.445099,73.562447,1691793,69.60598
"2015-06-12",73.512154,73.763618,73.10981,73.403183,1546963,69.455276
"2015-06-15",73.227158,73.72171,72.774521,73.185249,2036570,69.249062
"2015-06-16",73.403183,73.772003,72.774521,73.487007,1829108,69.534592
"2015-06-17",73.646271,74.694046,73.621124,74.467728,2293185,70.462555
"2015-06-18",74.59346,75.205368,73.813911,74.643753,2016289,70.629128
"2015-06-19",74.40905,75.339478,74.157585,74.735962,7220394,70.716354
"2015-06-22",75.917854,75.917854,74.358757,74.459343,2375979,70.454643
"2015-06-23",74.870071,74.870071,73.897736,74.216263,3816765,70.224617
