"dates","PSX.Open","PSX.High","PSX.Low","PSX.Close","PSX.Volume","PSX.Adjusted"
"2016-04-15",86.660004,86.660004,84.849998,84.849998,2723400,70.532768
"2016-04-18",84.849998,85.730003,83.910004,85.650002,2454600,71.197769
"2016-04-19",85.720001,86.5,85.290001,86.419998,1935800,71.837868
"2016-04-20",85.910004,87.209999,84.809998,86.690002,2344300,72.062286
"2016-04-21",86.839996,87.650002,86.080002,87.400002,2270700,72.652496
"2016-04-22",87.639999,88.459999,87.379997,87.980003,2038900,73.134644
"2016-04-25",87.900002,88.239998,86.889999,87.93,1730700,73.093079
"2016-04-26",88.449997,88.849998,87.82,88.400002,1654800,73.48378
"2016-04-27",88.849998,89.309998,88.010002,88.949997,2451700,73.940948
"2016-04-28",88.360001,89.059998,87.339996,87.790001,3039000,72.976692
"2016-04-29",85.209999,86.029999,81.150002,82.110001,7296800,68.255127
"2016-05-02",82.440002,82.5,79.980003,82.199997,4486800,68.329895
"2016-05-03",80.699997,80.980003,79.449997,80.010002,4397100,66.50946
"2016-05-04",79.900002,80.389999,78.489998,79.32,2996800,65.93589
"2016-05-05",80.019997,80.82,78.440002,79.080002,2830500,65.736389
"2016-05-06",78.709999,80.18,78.269997,78.519997,3802800,65.270859
"2016-05-09",78.5,78.529999,76.879997,78.32,3064600,65.104607
"2016-05-10",78.760002,79.690002,78.660004,79.25,2236500,65.877693
"2016-05-11",79.160004,80.360001,78.620003,79.389999,2652200,65.994087
"2016-05-12",80,80.099998,77.839996,78.25,2603500,65.046425
"2016-05-13",78.25,79.139999,77.910004,78.339996,3029400,65.121246
"2016-05-16",78.220001,78.800003,77.199997,78.68,3107000,65.934105
"2016-05-17",78.559998,79.300003,78.040001,78.309998,2235800,65.624039
"2016-05-18",78.290001,79.480003,77.720001,78.129997,2508400,65.473206
"2016-05-19",77.550003,77.959999,76.68,77.650002,2240900,65.070976
"2016-05-20",78.150002,78.459999,77.489998,77.900002,2352300,65.280464
"2016-05-23",77.510002,78.629997,77.400002,77.82,2498900,65.213425
"2016-05-24",78.599998,80,78.489998,79.699997,3454500,66.788872
"2016-05-25",80.089996,80.470001,79.470001,80.129997,2917400,67.149216
"2016-05-26",80.419998,80.599998,79.120003,80.040001,3572100,67.073792
"2016-05-27",80.050003,80.800003,79.75,80.629997,2319000,67.568222
"2016-05-31",80.900002,81.080002,79.860001,80.360001,5908500,67.341957
"2016-06-01",79.900002,80.959999,79.389999,80.849998,3022500,67.752571
"2016-06-02",80.57,81.43,80.519997,80.830002,2303700,67.735809
"2016-06-03",80.610001,80.889999,79.389999,80.129997,2985100,67.149216
"2016-06-06",80.610001,80.769997,80.080002,80.760002,2185000,67.677155
"2016-06-07",80.870003,81.580002,80.540001,81.32,2708400,68.146423
"2016-06-08",81.580002,82.419998,81.010002,82.370003,3595800,69.026352
"2016-06-09",81.650002,81.889999,80.879997,81.129997,3298200,67.987221
"2016-06-10",80.25,80.660004,79.629997,80.07,2341400,67.098923
"2016-06-13",79.730003,79.940002,78.669998,78.800003,3347700,66.034668
"2016-06-14",78.629997,79.339996,77.629997,78.900002,2638700,66.118477
"2016-06-15",78.629997,79.970001,78.110001,79.139999,2321700,66.319595
"2016-06-16",78.470001,79.57,78.099998,79.43,1867400,66.562607
"2016-06-17",79.339996,79.459999,78.279999,78.5,4086500,65.783279
"2016-06-20",79.529999,80.239998,78.959999,79.059998,2748300,66.252548
"2016-06-21",79.300003,79.580002,78.230003,79.349998,2331100,66.495583
"2016-06-22",79.370003,80.300003,79.150002,79.540001,1842100,66.654793
"2016-06-23",80.019997,80.870003,79.599998,80.870003,2097300,67.769348
"2016-06-24",78.290001,79.739998,78.290001,78.620003,6031800,65.883835
"2016-06-27",78.190002,78.519997,76.400002,76.900002,3474000,64.442467
"2016-06-28",78,78.790001,77.07,78.75,2479000,65.992775
"2016-06-29",79.209999,80.010002,79.080002,79.699997,2348700,66.788872
"2016-06-30",79.400002,79.489998,77.709999,79.339996,3505600,66.487175
"2016-07-01",79.07,79.910004,78.959999,79.779999,2661000,66.855927
"2016-07-05",78.970001,79.32,77.400002,77.93,3063900,65.305588
"2016-07-06",77.260002,77.330002,74.839996,76.370003,5344900,63.998325
"2016-07-07",76.589996,77.099998,73.669998,74.269997,6056100,62.238506
"2016-07-08",74.540001,75.470001,74.059998,74.849998,4058200,62.724548
"2016-07-11",74.849998,75.580002,74.760002,75.209999,2704900,63.026241
"2016-07-12",75.989998,77.190002,75.720001,76.400002,3309200,64.023445
"2016-07-13",76.080002,76.510002,74.82,76.25,3586500,63.89777
"2016-07-14",76.360001,76.809998,76.059998,76.610001,2901000,64.19944
"2016-07-15",76.910004,76.910004,75.5,75.660004,2977600,63.403332
"2016-07-18",75.769997,76.07,75,75.650002,2418400,63.394966
"2016-07-19",75.730003,75.940002,75.32,75.739998,2018000,63.470371
"2016-07-20",75.739998,76.019997,75,75.339996,2144500,63.135178
"2016-07-21",75.550003,76.169998,74.949997,75.120003,2631000,62.950821
"2016-07-22",75.120003,75.400002,74.610001,75.389999,1688300,63.177074
"2016-07-25",75.029999,75.120003,73.970001,74.470001,3318200,62.40612
"2016-07-26",74.470001,76.300003,74.370003,76.230003,2901700,63.881012
"2016-07-27",76.43,76.870003,75.269997,75.400002,3108500,63.185474
"2016-07-28",75.690002,76.379997,75.089996,76.25,4051900,63.89777
"2016-07-29",75.379997,76.160004,73.82,76.059998,5548800,63.738541
"2016-08-01",75.300003,75.629997,74.019997,74.260002,3399600,62.230133
"2016-08-02",74.529999,76.330002,74.510002,76.150002,4528300,63.813976
"2016-08-03",76.599998,78.739998,76.300003,78.660004,4582400,65.917366
"2016-08-04",78.370003,78.830002,77.309998,77.540001,2692900,64.978798
