"dates","VFC.Open","VFC.High","VFC.Low","VFC.Close","VFC.Volume","VFC.Adjusted"
"2013-07-09",47.182201,47.182201,45.840397,46.723164,1364458,39.377098
"2013-07-10",46.612522,46.925613,46.320621,46.584274,1771416,39.260052
"2013-07-11",46.96563,47.099812,46.767891,47.015064,1790532,39.623104
"2013-07-12",46.951508,47.210453,46.782017,46.977402,1343218,39.59137
"2013-07-15",46.92326,47.102165,46.741997,46.96563,2096813,39.581436
"2013-07-16",46.942089,47.125706,46.610168,46.650188,2100211,39.315594
"2013-07-17",46.741997,46.960922,46.381828,46.490112,2103185,39.180691
"2013-07-18",46.04755,47.04567,46.04755,46.970341,2530958,39.5854
"2013-07-19",46.421844,46.970341,45.729755,46.360641,5437015,39.071564
"2013-07-22",45.562618,46.22646,45.553204,45.870998,3212338,38.658909
"2013-07-23",45.98164,46.341808,45.863937,46.181732,1476180,38.920788
"2013-07-24",46.403011,46.572506,46.111111,46.306496,1307110,39.025932
"2013-07-25",46.278248,46.619587,46.122883,46.560734,1649923,39.240204
"2013-07-26",46.219398,46.916195,46.139359,46.86676,1677960,39.498116
"2013-07-29",46.76083,46.833805,46.285313,46.405369,1233619,39.109264
"2013-07-30",46.640774,46.786724,46.374763,46.497173,1543723,39.186638
"2013-07-31",46.600754,46.930321,46.285313,46.374763,1480853,39.083473
"2013-08-01",46.638416,47.429379,46.419491,47.332863,1488924,39.890934
"2013-08-02",47.257534,47.631828,47.059792,47.62241,1104905,40.134953
"2013-08-05",47.344631,47.634182,47.285782,47.351696,750197,39.906803
"2013-08-06",47.238701,47.54002,47.085686,47.330509,2181773,39.888958
"2013-08-07",47.024483,47.259888,46.678436,46.683144,2559420,39.343372
"2013-08-08",47.019775,47.095104,46.767891,46.829098,1395893,39.46637
"2013-08-09",46.798492,47.165726,46.539547,46.819679,1432426,39.458435
"2013-08-12",46.581921,46.911488,46.532486,46.654896,1473631,39.319561
"2013-08-13",46.732578,47.015064,46.440678,46.876179,1615090,39.506054
"2013-08-14",46.836159,46.918549,46.094631,46.193504,2571314,38.930717
"2013-08-15",45.988701,46.00518,45.261299,45.444916,2933244,38.299816
"2013-08-16",45.200092,45.812145,45.200092,45.374294,2034792,38.240303
"2013-08-19",45.249531,45.550846,44.919964,44.938793,1818144,37.873272
"2013-08-20",44.995293,45.428436,44.679848,45.061207,2573014,37.976437
"2013-08-21",45.042374,45.423729,44.743408,44.849342,1395043,37.797886
"2013-08-22",44.931732,45.247173,44.364407,44.905838,1635905,37.845505
"2013-08-23",45.051788,45.628532,44.741055,44.983521,1830038,37.910961
"2013-08-26",45.009415,45.188324,44.453861,44.531544,1899706,37.530056
"2013-08-27",44.517422,44.590397,43.740585,43.830036,2923898,36.938835
"2013-08-28",43.740585,44.145481,43.714687,43.924198,2090866,37.0182
"2013-08-29",43.921844,44.267891,43.695858,43.987759,2357640,37.071774
"2013-08-30",44.152542,44.475048,43.910076,44.070152,1696651,37.141205
"2013-09-03",44.444443,44.764595,44.312618,44.503296,2170303,37.506252
"2013-09-04",44.682201,45.428436,44.682201,45.223637,1779912,38.113327
"2013-09-05",45.221279,45.677967,45.110641,45.503765,2116354,38.349415
"2013-09-06",45.480225,45.572033,44.580978,45.02354,1337695,38.116249
"2013-09-09",45.06356,45.327213,44.941151,45.120056,1400990,38.197968
"2013-09-10",45.18597,45.331921,44.69162,45.233051,1791382,38.293617
"2013-09-11",45.20245,45.423729,44.898777,45.423729,2527135,38.455032
"2013-09-12",45.383709,45.859226,45.320152,45.835686,2330453,38.803795
"2013-09-13",45.77919,46.068737,45.541431,46.021656,1387822,38.961227
"2013-09-16",46.464218,46.78437,46.075802,46.160545,2204287,39.078819
"2013-09-17",46.167606,46.546612,46.160545,46.532486,1997410,39.3937
"2013-09-18",46.428909,47.161018,46.038136,47.130413,1943885,39.899883
"2013-09-19",46.92326,48.17326,46.92326,48.137947,3575542,40.75285
"2013-09-20",48.185028,48.243877,47.537666,47.862522,3425587,40.519676
"2013-09-23",47.791901,47.850754,47.132767,47.655369,1809223,40.344315
"2013-09-24",47.74482,47.888416,47.455273,47.688324,1732759,40.372211
"2013-09-25",47.749531,47.758945,46.767891,46.902073,2533507,39.706585
"2013-09-26",47.015064,47.25518,46.777306,46.98917,2352967,39.780319
"2013-09-27",46.984463,47.078625,46.327682,46.723164,2728490,39.555122
