"dates","NEE.Open","NEE.High","NEE.Low","NEE.Close","NEE.Volume","NEE.Adjusted"
"2010-06-04",12.455,12.455,12.1175,12.1575,8416000,8.800683
"2010-06-07",12.1925,12.39,12.1425,12.2575,8117200,8.873072
"2010-06-08",12.2475,12.2925,12.1475,12.2325,18177200,8.854977
"2010-06-09",12.27,12.315,12.0775,12.1,9823600,8.75906
"2010-06-10",12.285,12.575,12.22,12.575,9816800,9.102908
"2010-06-11",12.465,12.5225,12.3725,12.5,7825600,9.048617
"2010-06-14",12.6275,12.74,12.5375,12.625,7473600,9.139106
"2010-06-15",12.725,12.8275,12.6775,12.8275,8120800,9.28569
"2010-06-16",12.745,12.9975,12.745,12.92,8106400,9.352651
"2010-06-17",12.9625,13.1125,12.8125,13.0925,8105200,9.47752
"2010-06-18",13.0875,13.185,13.025,13.1275,9016400,9.502856
"2010-06-21",13.2475,13.2475,12.9025,12.9825,6652800,9.39789
"2010-06-22",12.965,12.9725,12.635,12.6775,7922400,9.177106
"2010-06-23",12,12.77,12,12.55,5679200,9.084809
"2010-06-24",12.4975,12.68,12.37,12.395,6574800,8.97261
"2010-06-25",12.4525,12.4525,12.2575,12.305,10078400,8.90746
"2010-06-28",12.32,12.3625,12.2275,12.2975,7355200,8.902029
"2010-06-29",12.0975,12.2475,11.99,12.0925,9597600,8.753634
"2010-06-30",12.1375,12.4075,12.1325,12.19,11804000,8.82421
"2010-07-01",12.255,12.255,12.11,12.2375,9380800,8.858596
"2010-07-02",12.2825,12.34,12.2075,12.24,5958400,8.860406
"2010-07-06",12.355,12.4725,12.2425,12.35,4575200,8.940033
"2010-07-07",12.425,12.7075,12.33,12.7,7862800,9.193393
"2010-07-08",12.75,12.75,12.665,12.75,5472400,9.229589
"2010-07-09",12.7325,12.8775,12.6875,12.8575,3559200,9.307405
"2010-07-12",12.8,12.98,12.79,12.9775,3630400,9.394273
"2010-07-13",13.005,13.11,12.975,13.07,4233200,9.461235
"2010-07-14",13,13.0925,12.9375,13.025,4001200,9.428658
"2010-07-15",12.995,13.2475,12.93,13.235,7978800,9.580677
"2010-07-16",13.2,13.245,13.0725,13.1525,9810800,9.520955
"2010-07-19",13.14,13.2325,13.0725,13.1925,4420400,9.549912
"2010-07-20",13.15,13.2025,12.995,13.175,6205600,9.537243
"2010-07-21",13.1275,13.1975,12.9625,13.03,6376800,9.432279
"2010-07-22",13.07,13.2775,13.07,13.21,9219600,9.56258
"2010-07-23",13.2375,13.3125,13.03,13.2025,7092800,9.557149
"2010-07-26",13.155,13.415,13.125,13.2075,4636800,9.56077
"2010-07-27",13.105,13.5,13.105,13.45,9195200,9.73631
"2010-07-28",13.3825,13.4225,13.24,13.2675,6512000,9.604205
"2010-07-29",13.32,13.375,13.085,13.125,8449200,9.501046
"2010-07-30",13.105,13.1525,13.0025,13.075,5814000,9.46485
"2010-08-02",13.15,13.5025,13.15,13.5025,7969200,9.774317
"2010-08-03",13.4375,13.5125,13.375,13.435,4088400,9.725453
"2010-08-04",13.4625,13.4625,13.225,13.4,4592000,9.700118
"2010-08-05",13.2925,13.3175,13.1725,13.315,7759600,9.638584
"2010-08-06",13.26,13.4275,13.1625,13.4275,3809600,9.720025
"2010-08-09",13.42,13.465,13.3275,13.37,5240800,9.6784
"2010-08-10",13.28,13.4825,13.2375,13.4375,6483200,9.727262
"2010-08-11",13.2425,13.355,13.14,13.17,5523600,9.533622
"2010-08-12",13.085,13.1025,12.91,13.015,5706400,9.42142
"2010-08-13",12.9975,13.1225,12.9325,13.005,4241200,9.41418
"2010-08-16",12.9425,13.09,12.8325,13.04,5056800,9.439519
"2010-08-17",13.0925,13.2425,13.0675,13.1175,5054400,9.495621
"2010-08-18",13.085,13.18,12.98,13.1375,5724400,9.510097
"2010-08-19",13.0475,13.0925,12.875,12.96,5137600,9.381607
"2010-08-20",12.8275,13.36,12.8275,13.3225,14323600,9.644016
"2010-08-23",13.3475,13.5,13.3475,13.43,6938400,9.721834
"2010-08-24",13.335,13.8125,13.3225,13.5725,24677600,9.824989
"2010-08-25",13.2975,13.565,13.2275,13.3175,9636800,9.730009
"2010-08-26",13.2825,13.375,13.21,13.2625,5526400,9.689826
"2010-08-27",13.3125,13.48,13.23,13.4725,4824000,9.843254
"2010-08-30",13.4,13.4975,13.3125,13.315,4872400,9.728181
"2010-08-31",13.2625,13.4575,13.205,13.4325,8602400,9.814029
"2010-09-01",13.495,13.655,13.375,13.655,7937200,9.976592
"2010-09-02",13.6875,13.7,13.5475,13.66,4718800,9.980245
"2010-09-03",13.705,13.75,13.605,13.66,4793200,9.980245
"2010-09-07",13.5425,13.6625,13.5425,13.5725,5395600,9.916315
"2010-09-08",13.6125,13.665,13.4375,13.5675,7439200,9.912661
"2010-09-09",13.6775,13.7275,13.635,13.6525,8193200,9.974767
"2010-09-10",13.7175,13.8,13.585,13.79,8062800,10.075224
"2010-09-13",13.8925,13.995,13.8125,13.8625,9160800,10.128193
"2010-09-14",13.735,13.875,13.7275,13.755,4706800,10.04965
"2010-09-15",13.45,13.525,13.3425,13.4375,19810400,9.817683
"2010-09-16",13.49,13.49,13.3625,13.4675,7955200,9.839601
"2010-09-17",13.525,13.53,13.4125,13.44,7019600,9.81951
"2010-09-20",13.48,13.6275,13.4025,13.625,4917600,9.954674
"2010-09-21",13.59,13.685,13.4825,13.5225,6756400,9.879784
"2010-09-22",13.555,13.64,13.5025,13.5775,7527200,9.919971
"2010-09-23",13.51,13.5475,13.375,13.3875,5046400,9.781151
"2010-09-24",13.5475,13.76,13.4875,13.625,8217600,9.954674
"2010-09-27",13.65,13.725,13.6025,13.6675,4823200,9.985724
